#Pass ID: 20260119_111422_AQUA
#Satellite: AQUA
#Configuration: AQUA
#almurnet v.1.7.20251203
#Start time: 2026-01-19 11:15:13

#Version: 2.2.20231116
#Station: R2.0S_Moscow
#Location: 37.707566 lon 55.798166 lat
#TLE: 1 27424U 02022A   26017.96925465  .00000866  00000+0  18326-3 0  9999
#TLE: 2 27424  98.4087 344.4465 0002004  74.6027 356.0068 14.61826972261327

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-19 11:15:13.86	146.54	5.61	-43.6	-57.4	3.8	1.49e+00	0	62	0	0	60	16077
2026-01-19 11:15:14.86	146.51	5.69	-46.7	-65.2	3.8	7.46e-01	0	62	104	0	63	33257
2026-01-19 11:15:15.87	146.48	5.77	-46.7	-65.3	3.8	7.44e-01	0	62	104	0	63	33322
2026-01-19 11:15:16.88	146.45	5.84	-46.7	-65.2	3.8	7.41e-01	0	62	104	0	63	33293
2026-01-19 11:15:17.89	146.42	5.92	-46.6	-65.2	3.8	7.46e-01	0	62	104	0	64	31283
2026-01-19 11:15:18.90	146.39	6.00	-46.5	-65.1	3.8	7.42e-01	0	62	104	0	64	30742
2026-01-19 11:15:19.91	146.36	6.08	-46.3	-64.9	3.8	7.46e-01	0	62	104	0	64	30216
2026-01-19 11:15:20.93	146.33	6.16	-46.1	-64.5	3.8	7.45e-01	0	62	104	0	64	28967
2026-01-19 11:15:21.93	146.30	6.24	-41.7	-61.7	3.9	7.47e-01	0	62	104	0	60	26377
2026-01-19 11:15:22.95	146.27	6.32	-45.4	-63.8	3.8	7.46e-01	0	62	104	0	61	31769
2026-01-19 11:15:23.96	146.24	6.39	-45.2	-62.0	3.8	7.45e-01	0	62	104	0	61	25793
2026-01-19 11:15:24.97	146.21	6.47	-45.0	-61.8	3.8	7.46e-01	0	62	104	0	60	26752
2026-01-19 11:15:25.98	146.18	6.55	-44.8	-61.3	3.9	7.47e-01	0	62	104	0	60	25070
2026-01-19 11:15:26.99	146.15	6.63	-45.1	-61.8	3.8	7.43e-01	0	62	104	0	60	26622
2026-01-19 11:15:28.00	146.12	6.72	-44.9	-62.1	3.8	7.47e-01	0	62	104	0	60	27424
2026-01-19 11:15:29.01	146.09	6.80	-44.9	-62.2	3.7	7.41e-01	0	62	104	0	60	28000
2026-01-19 11:15:30.02	146.05	6.88	-45.0	-62.5	3.9	7.49e-01	0	62	104	0	60	28703
2026-01-19 11:15:31.03	146.02	6.96	-45.2	-62.5	3.8	7.42e-01	0	62	104	0	60	28896
2026-01-19 11:15:32.04	145.99	7.04	-45.2	-63.0	3.8	7.48e-01	0	62	104	0	60	30472
2026-01-19 11:15:33.05	145.96	7.12	-44.0	-63.0	3.8	7.46e-01	0	62	104	0	60	30429
2026-01-19 11:15:34.06	145.92	7.20	-45.0	-63.2	3.8	7.42e-01	0	63	104	0	60	31168
2026-01-19 11:15:35.07	145.89	7.29	-45.3	-62.9	3.9	7.45e-01	0	62	104	0	59	31905
2026-01-19 11:15:36.08	145.86	7.37	-45.4	-63.0	3.8	7.44e-01	0	62	104	0	59	32441
2026-01-19 11:15:37.09	145.82	7.45	-45.2	-63.5	3.9	7.49e-01	0	63	104	0	60	32194
2026-01-19 11:15:38.10	145.79	7.54	-43.9	-62.6	3.9	7.49e-01	0	62	104	0	60	29182
2026-01-19 11:15:39.11	145.75	7.62	-45.2	-63.2	3.8	7.42e-01	0	62	104	0	60	31423
2026-01-19 11:15:40.12	145.72	7.70	-45.1	-62.2	3.9	7.38e-01	0	62	104	0	60	27946
2026-01-19 11:15:41.13	145.69	7.79	-45.0	-62.4	3.8	7.47e-01	0	62	104	0	60	28425
2026-01-19 11:15:42.14	145.65	7.87	-42.0	-59.0	3.9	7.45e-01	0	63	104	0	55	25766
2026-01-19 11:15:43.15	145.62	7.96	-45.1	-60.1	4.2	7.35e-01	0	62	104	0	60	21990
2026-01-19 11:15:44.16	145.58	8.04	-45.0	-59.7	4.3	7.46e-01	0	62	104	0	60	20957
2026-01-19 11:15:45.17	145.55	8.13	-45.0	-58.0	5.1	7.04e-01	0	62	0	0	60	17238
2026-01-19 11:15:46.18	145.51	8.21	-44.8	-57.2	5.5	6.95e-01	29	62	0	0	60	15660
2026-01-19 11:15:47.19	145.47	8.30	-44.5	-56.4	5.8	6.85e-01	51	62	104	0	60	14242
2026-01-19 11:15:48.20	145.44	8.39	-44.8	-56.0	6.4	6.76e-01	92	62	0	524288	60	13692
2026-01-19 11:15:49.21	145.40	8.47	-44.4	-55.5	6.6	6.76e-01	92	62	0	2097152	60	12940
2026-01-19 11:15:50.22	145.37	8.56	-44.7	-55.5	6.3	6.73e-01	92	62	104	2621440	60	12959
2026-01-19 11:15:51.24	145.33	8.65	-44.8	-55.4	7.1	6.64e-01	90	62	0	4194304	60	12725
2026-01-19 11:15:52.25	145.29	8.74	-44.8	-56.5	4.3	7.28e-01	0	62	104	5242880	60	14427
2026-01-19 11:15:53.26	145.25	8.83	-44.9	-56.2	6.4	6.76e-01	90	62	0	6291456	60	13969
2026-01-19 11:15:54.27	145.22	8.91	-44.9	-56.9	5.8	6.89e-01	0	62	0	7864320	60	15150
2026-01-19 11:15:55.28	145.18	9.00	-43.9	-57.8	5.0	7.15e-01	0	62	104	7864320	59	17804
2026-01-19 11:15:56.29	145.14	9.09	-45.0	-59.4	4.0	7.38e-01	0	62	104	7864320	60	20300
2026-01-19 11:15:57.30	145.10	9.18	-43.5	-59.6	4.3	7.30e-01	0	62	104	7864320	60	20621
2026-01-19 11:15:58.31	145.06	9.27	-44.8	-59.8	3.9	7.42e-01	0	62	104	7864320	59	22425
2026-01-19 11:15:59.32	145.02	9.36	-44.4	-58.2	4.1	7.39e-01	0	62	104	7864320	60	17619
2026-01-19 11:16:00.33	144.98	9.45	-44.6	-55.4	6.9	6.65e-01	92	62	0	8388608	60	12725
2026-01-19 11:16:01.34	144.94	9.54	-44.4	-53.3	8.3	6.36e-01	15	62	0	10485760	60	10032
2026-01-19 11:16:02.35	144.90	9.63	-44.4	-51.8	11.0	6.15e-01	0	62	0	12058624	59	8956
2026-01-19 11:16:03.36	144.86	9.73	-44.1	-50.6	12.3	6.08e-01	0	62	0	14155776	58	8223
2026-01-19 11:16:04.37	144.82	9.82	-43.6	-49.3	13.2	6.13e-01	1	62	0	15728640	57	7525
2026-01-19 11:16:05.38	144.78	9.91	-43.0	-48.2	13.8	6.10e-01	1	62	0	17825792	56	6993
2026-01-19 11:16:06.39	144.74	10.00	-43.0	-47.7	15.3	6.08e-01	0	62	0	19922944	56	6607
2026-01-19 11:16:07.41	144.70	10.10	-42.9	-47.3	15.7	6.05e-01	0	62	0	21495808	56	6311
2026-01-19 11:16:08.42	144.66	10.19	-42.9	-47.5	15.7	6.06e-01	0	62	0	23592960	56	6430
2026-01-19 11:16:09.43	144.62	10.28	-43.9	-50.2	12.2	6.16e-01	0	62	0	25690112	58	7859
2026-01-19 11:16:10.44	144.57	10.38	-43.5	-49.1	11.7	6.16e-01	4	62	0	27262976	57	7297
2026-01-19 11:16:11.45	144.53	10.47	-43.2	-48.3	10.3	6.13e-01	39	62	0	29360128	56	7085
2026-01-19 11:16:12.46	144.49	10.57	-42.5	-47.0	15.0	6.05e-01	0	62	0	30932992	56	6131
2026-01-19 11:16:13.47	144.44	10.66	-44.1	-51.1	10.8	6.17e-01	1	62	104	31981568	59	8213
2026-01-19 11:16:14.48	144.40	10.76	-42.4	-46.5	15.5	6.07e-01	0	62	0	33554432	55	6105
2026-01-19 11:16:15.48	144.36	10.85	-42.3	-46.5	15.9	6.07e-01	1	62	0	35127296	54	6441
2026-01-19 11:16:16.49	144.31	10.95	-42.4	-46.5	15.0	6.07e-01	3	62	0	37224448	55	6101
2026-01-19 11:16:17.50	144.27	11.05	-40.9	-46.2	15.2	6.11e-01	1	62	0	39321600	54	6208
2026-01-19 11:16:18.51	144.22	11.15	-41.2	-46.2	13.3	6.07e-01	0	62	0	40894464	54	6221
2026-01-19 11:16:19.52	144.18	11.24	-41.8	-46.0	14.6	6.06e-01	3	62	0	42991616	54	6109
2026-01-19 11:16:20.53	144.13	11.34	-42.0	-46.0	16.7	6.07e-01	0	62	0	44564480	54	6070
2026-01-19 11:16:21.54	144.09	11.44	-41.6	-45.9	13.4	6.12e-01	6	62	0	46661632	54	6033
2026-01-19 11:16:22.55	144.04	11.54	-42.1	-46.0	16.5	6.07e-01	0	62	0	48758784	55	5785
2026-01-19 11:16:23.56	143.99	11.64	-41.8	-46.0	15.9	6.08e-01	3	62	0	50331648	54	6082
2026-01-19 11:16:24.57	143.95	11.74	-42.1	-45.9	16.9	6.08e-01	0	62	0	52428800	54	6020
2026-01-19 11:16:25.58	143.90	11.84	-41.7	-45.8	16.7	6.05e-01	0	62	0	54001664	54	5980
2026-01-19 11:16:26.60	143.85	11.94	-41.9	-45.8	14.7	6.13e-01	4	62	0	56098816	54	5950
2026-01-19 11:16:27.61	143.80	12.04	-41.7	-45.7	11.9	6.18e-01	19	62	0	58195968	53	6271
2026-01-19 11:16:28.62	143.75	12.14	-41.9	-45.5	16.8	6.06e-01	0	62	0	59768832	53	6062
2026-01-19 11:16:29.63	143.71	12.25	-41.9	-45.7	16.6	6.07e-01	0	62	0	61865984	54	5877
2026-01-19 11:16:30.64	143.66	12.35	-41.9	-45.5	17.3	6.04e-01	0	62	0	63438848	54	5773
2026-01-19 11:16:31.65	143.61	12.45	-41.8	-45.5	16.5	6.05e-01	2	62	0	65536000	54	5746
2026-01-19 11:16:32.66	143.56	12.56	-41.9	-45.4	17.2	6.06e-01	0	62	0	67633152	54	5684
2026-01-19 11:16:33.66	143.51	12.66	-41.9	-45.4	17.0	6.07e-01	0	62	0	69206016	54	5670
2026-01-19 11:16:34.67	143.46	12.76	-41.8	-45.4	17.0	6.10e-01	1	62	0	71303168	54	5666
2026-01-19 11:16:35.68	143.40	12.87	-42.0	-45.6	14.2	6.17e-01	11	62	0	73400320	54	5797
2026-01-19 11:16:36.69	143.35	12.97	-42.0	-45.4	17.2	6.04e-01	0	62	0	74973184	54	5685
2026-01-19 11:16:37.70	143.30	13.08	-41.7	-45.4	16.6	6.07e-01	0	62	0	77070336	54	5677
2026-01-19 11:16:38.71	143.25	13.19	-41.9	-45.3	17.3	6.04e-01	0	62	0	78643200	54	5639
2026-01-19 11:16:39.72	143.20	13.29	-41.9	-45.3	16.4	6.08e-01	1	62	0	80740352	54	5617
2026-01-19 11:16:40.73	143.14	13.40	-42.0	-45.5	16.6	6.07e-01	0	62	0	82837504	54	5777
2026-01-19 11:16:41.74	143.09	13.51	-39.8	-45.0	15.3	6.09e-01	1	62	0	84410368	52	6117
2026-01-19 11:16:42.75	143.03	13.62	-42.0	-45.3	16.5	6.07e-01	0	62	0	86507520	53	5973
2026-01-19 11:16:43.76	142.98	13.73	-42.0	-45.5	16.9	6.06e-01	0	62	0	88080384	54	5736
2026-01-19 11:16:44.77	142.92	13.84	-40.9	-45.4	15.0	6.06e-01	2	62	0	90177536	51	6725
2026-01-19 11:16:45.78	142.87	13.95	-40.7	-45.4	14.1	6.08e-01	11	62	0	92274688	53	5999
2026-01-19 11:16:46.79	142.81	14.06	-42.0	-45.6	17.2	6.07e-01	0	62	0	93847552	54	5833
2026-01-19 11:16:47.80	142.76	14.17	-42.0	-45.5	16.5	6.08e-01	2	62	0	95944704	54	5776
2026-01-19 11:16:48.81	142.70	14.28	-42.0	-45.6	13.3	6.09e-01	7	62	0	98041856	53	6158
2026-01-19 11:16:49.82	142.64	14.39	-42.0	-45.5	15.4	6.07e-01	3	62	0	99614720	54	5746
2026-01-19 11:16:50.83	142.58	14.51	-41.5	-45.5	17.2	6.07e-01	0	62	0	101711872	54	5748
2026-01-19 11:16:51.83	142.52	14.62	-41.9	-45.4	16.3	6.05e-01	0	62	0	103284736	54	5665
2026-01-19 11:16:52.84	142.47	14.73	-42.0	-45.4	17.6	6.06e-01	0	62	0	105381888	54	5688
2026-01-19 11:16:53.85	142.41	14.85	-41.3	-45.3	16.7	6.10e-01	0	62	0	107479040	54	5636
2026-01-19 11:16:54.86	142.35	14.96	-39.7	-45.3	15.9	6.07e-01	0	62	0	109051904	54	5623
2026-01-19 11:16:55.87	142.29	15.08	-37.6	-45.1	13.1	6.22e-01	21	62	0	111149056	50	6905
2026-01-19 11:16:56.88	142.22	15.19	-41.3	-45.2	14.5	6.06e-01	3	62	0	112721920	54	5578
2026-01-19 11:16:57.89	142.16	15.31	-41.4	-45.1	14.8	6.10e-01	1	62	0	114819072	53	5830
2026-01-19 11:16:58.90	142.10	15.43	-40.2	-44.6	16.2	6.08e-01	3	62	0	116391936	53	5477
2026-01-19 11:16:59.91	142.04	15.54	-41.6	-45.3	15.0	6.08e-01	4	62	0	118489088	54	5610
2026-01-19 11:17:00.92	141.97	15.66	-41.6	-45.2	15.1	6.10e-01	5	62	0	120586240	54	5532
2026-01-19 11:17:01.93	141.91	15.78	-37.2	-44.5	10.5	6.22e-01	34	62	0	122159104	46	8167
2026-01-19 11:17:02.94	141.85	15.90	-41.5	-45.1	14.1	6.12e-01	11	62	0	124256256	54	5468
2026-01-19 11:17:03.95	141.78	16.02	-41.6	-44.8	16.4	6.07e-01	0	62	0	125829120	53	5606
2026-01-19 11:17:04.96	141.72	16.14	-41.8	-45.0	18.0	6.07e-01	0	62	0	127926272	54	5458
2026-01-19 11:17:05.97	141.65	16.26	-36.1	-44.9	9.0	6.24e-01	69	62	0	130023424	45	9056
2026-01-19 11:17:06.98	141.58	16.39	-41.4	-44.7	17.9	6.07e-01	2	62	0	131596288	53	5567
2026-01-19 11:17:07.99	141.52	16.51	-41.9	-45.2	17.6	6.05e-01	0	62	0	133693440	54	5543
2026-01-19 11:17:09.00	141.45	16.63	-41.9	-45.1	17.7	6.06e-01	0	62	0	135790592	54	5491
2026-01-19 11:17:10.00	141.38	16.76	-40.9	-45.0	16.1	6.08e-01	1	62	0	137363456	53	5734
2026-01-19 11:17:11.01	141.31	16.88	-41.9	-45.1	16.8	6.08e-01	2	62	0	139460608	54	5483
2026-01-19 11:17:12.02	141.24	17.01	-40.2	-45.0	14.7	6.13e-01	9	62	0	141033472	54	5460
2026-01-19 11:17:13.03	141.17	17.13	-41.6	-45.1	15.3	6.10e-01	5	62	0	143130624	53	5802
