#Pass ID: 20260119_155642_FENGYUN 3E
#Satellite: FENGYUN 3E
#Configuration: FENGYUN 3E
#almurnet v.1.7.20240730
#Start time: 2026-01-19 15:56:43

#Version: 2.2.20231116
#Station: R2M6_AANII_01
#Location: 30.233357 lon 59.946436 lat
#TLE: 1 49008U 21062A   26018.95190407 -.00000301  00000+0 -12097-3 0  9991
#TLE: 2 49008  98.7482  24.0337 0002210 129.7386 230.3985 14.19884646235406

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-19 15:56:43.68	203.66	7.08	-28.2	-29.1	5.6	7.51e-01	0	44	0	0	17	4018
2026-01-19 15:56:44.68	203.74	7.14	-28.6	-30.1	5.6	7.56e-01	0	44	104	0	17	4301
2026-01-19 15:56:45.69	203.82	7.21	-28.4	-29.8	11.5	7.37e-04	0	44	0	0	17	4194
2026-01-19 15:56:46.69	203.90	7.28	-28.8	-30.8	10.9	1.64e-03	0	44	0	7340032	17	4495
2026-01-19 15:56:47.69	203.98	7.35	-28.8	-30.7	11.0	2.41e-03	0	44	0	14680064	17	4468
2026-01-19 15:56:48.70	204.07	7.42	-28.6	-30.1	11.3	1.02e-03	0	44	0	22020096	17	4300
2026-01-19 15:56:49.70	204.15	7.49	-28.4	-29.6	11.7	6.24e-04	0	44	0	28311552	17	4142
2026-01-19 15:56:50.71	204.23	7.55	-28.2	-29.1	12.0	4.73e-04	0	44	0	35651584	17	4008
2026-01-19 15:56:51.71	204.32	7.62	-28.1	-29.1	12.1	3.16e-04	0	44	0	42991616	17	3996
2026-01-19 15:56:52.70	204.40	7.69	-28.1	-29.0	12.0	3.74e-04	0	44	0	50331648	17	3990
2026-01-19 15:56:53.71	204.48	7.76	-27.8	-28.6	12.6	1.40e-04	0	44	0	57671680	16	3979
2026-01-19 15:56:54.71	204.57	7.83	-27.6	-28.3	12.8	7.55e-05	0	44	0	65011712	16	3900
2026-01-19 15:56:55.71	204.65	7.90	-27.5	-28.0	13.1	4.23e-05	0	44	0	72351744	16	3814
2026-01-19 15:56:56.70	204.74	7.97	-27.1	-27.7	13.3	2.74e-05	0	44	0	79691776	15	3842
2026-01-19 15:56:57.70	204.82	8.04	-27.2	-27.9	13.2	1.37e-05	0	44	0	85983232	15	3899
2026-01-19 15:56:58.71	204.91	8.11	-27.2	-27.9	13.2	2.28e-05	0	44	0	93323264	15	3893
2026-01-19 15:56:59.71	204.99	8.18	-26.9	-27.7	13.6	1.60e-05	0	44	0	100663296	14	3952
2026-01-19 15:57:00.71	205.08	8.25	-26.9	-27.8	13.6	1.14e-05	0	44	0	108003328	14	3956
2026-01-19 15:57:01.71	205.17	8.32	-27.1	-28.1	13.4	1.25e-05	0	44	0	115343360	14	4051
2026-01-19 15:57:02.71	205.26	8.39	-26.9	-27.8	13.6	1.02e-05	0	44	0	122683392	14	3962
2026-01-19 15:57:03.71	205.34	8.46	-27.0	-27.9	13.6	1.02e-05	0	44	0	130023424	14	3980
2026-01-19 15:57:04.71	205.43	8.53	-27.0	-28.0	13.5	1.37e-05	0	44	0	137363456	14	4009
2026-01-19 15:57:05.71	205.52	8.60	-26.9	-27.8	13.7	4.50e-06	0	44	0	144703488	14	3955
2026-01-19 15:57:06.71	205.61	8.67	-27.0	-28.0	13.5	1.60e-05	0	45	0	150994944	14	4009
2026-01-19 15:57:07.71	205.70	8.74	-27.0	-27.8	13.6	1.14e-05	0	44	0	158334976	14	3980
2026-01-19 15:57:08.71	205.79	8.81	-26.9	-27.8	13.7	5.70e-06	0	44	0	165675008	14	3954
2026-01-19 15:57:09.71	205.88	8.88	-27.0	-27.8	13.6	6.80e-06	0	44	0	173015040	14	3969
2026-01-19 15:57:10.72	205.97	8.96	-26.9	-27.7	13.7	3.40e-06	0	45	0	180355072	14	3932
