#Pass ID: 20260119_142109_FENGYUN 3E
#Satellite: FENGYUN 3E
#Configuration: FENGYUN 3E
#Start time: 2026-01-19 14:21:05

#Version: 1.5.20200625
#Station: XPeterburg
#Location: 30.318091 lon 59.932769 lat
#TLE: 1 49008U 21062A   26018.95190407 -.00000301  00000+0 -12097-3 0  9991
#TLE: 2 49008  98.7482  24.0337 0002210 129.7386 230.3985 14.19884646235406

#Time	Az	El	Level	Level2	SNR	BER	Gain	Gain2
2026-01-19 14:21:05.03	94.76	69.10	-38.0	-39.8	3.3	8391986	94	6026
2026-01-19 14:21:05.23	94.52	69.14	-37.8	-47.7	3.6	8073898	80	15423
2026-01-19 14:21:05.43	94.28	69.18	-38.0	-40.9	3.5	8446517	93	6902
2026-01-19 14:21:05.64	94.02	69.23	-37.9	-40.0	3.3	8418697	93	6247
2026-01-19 14:21:05.84	93.78	69.27	-37.8	-39.5	3.3	8397216	93	5982
2026-01-19 14:21:06.04	93.53	69.31	-37.7	-40.6	3.6	8402206	93	6878
2026-01-19 14:21:06.24	93.29	69.36	-37.6	-40.1	3.6	8437660	93	6532
2026-01-19 14:21:06.44	93.04	69.40	-37.5	-38.7	3.5	8437660	93	5651
2026-01-19 14:21:06.64	92.79	69.44	-37.4	-38.1	3.5	8403945	93	5367
2026-01-19 14:21:06.84	92.54	69.48	-37.3	-39.3	3.6	8391014	93	6227
2026-01-19 14:21:07.04	92.29	69.52	-37.1	-39.3	3.7	8387535	92	6293
2026-01-19 14:21:07.24	92.04	69.56	-37.1	-38.1	3.7	8403842	92	5530
2026-01-19 14:21:07.44	91.79	69.60	-36.9	-37.4	3.7	8364051	92	5199
2026-01-19 14:21:07.65	91.52	69.64	-36.8	-37.0	3.8	8335750	92	5026
2026-01-19 14:21:07.85	91.27	69.68	-36.3	-38.3	3.8	8327430	91	6183
2026-01-19 14:21:08.05	91.01	69.72	-36.7	-38.5	3.8	8327430	91	6031
2026-01-19 14:21:08.25	90.76	69.76	-36.5	-37.1	4.1	8391437	91	5237
2026-01-19 14:21:08.45	90.50	69.80	-35.9	-35.8	4.4	8269695	90	4846
2026-01-19 14:21:08.65	90.24	69.84	-35.7	-35.7	4.7	8080089	89	4923
2026-01-19 14:21:08.85	89.98	69.87	-35.4	-34.8	5.0	7784912	89	4616
2026-01-19 14:21:09.05	89.72	69.91	-34.8	-34.1	5.6	7259525	88	4497
2026-01-19 14:21:09.25	89.46	69.95	-34.4	-33.6	6.2	4542354	87	4495
2026-01-19 14:21:09.45	89.20	69.98	-33.6	-33.0	6.9	2453659	85	4566
2026-01-19 14:21:09.66	88.92	70.02	-33.0	-32.3	7.5	1340320	84	4526
2026-01-19 14:21:09.86	88.66	70.06	-32.5	-31.7	8.3	1340320	83	4479
2026-01-19 14:21:10.06	88.39	70.09	-31.9	-30.9	9.2	721206	82	4408
2026-01-19 14:21:10.26	88.12	70.13	-31.3	-30.2	9.9	306758	81	4369
2026-01-19 14:21:10.46	87.86	70.16	-30.8	-29.8	10.6	120998	80	4374
2026-01-19 14:21:10.66	87.59	70.19	-30.2	-29.1	10.9	44963	79	4336
2026-01-19 14:21:10.86	87.32	70.23	-29.9	-29.0	11.5	20187	78	4439
2026-01-19 14:21:11.06	87.05	70.26	-29.7	-29.0	11.8	7633	77	4576
2026-01-19 14:21:11.26	86.77	70.29	-29.5	-29.3	12.0	3879	76	4786
2026-01-19 14:21:11.47	86.49	70.33	-29.4	-29.0	12.3	3879	76	4714
2026-01-19 14:21:11.67	86.21	70.36	-29.3	-28.9	12.4	2117	76	4687
2026-01-19 14:21:11.87	85.94	70.39	-29.4	-29.0	12.2	2105	76	4709
2026-01-19 14:21:12.07	85.66	70.42	-29.4	-29.1	12.1	2185	76	4726
2026-01-19 14:21:12.27	85.39	70.45	-29.5	-29.2	12.0	2620	76	4737
2026-01-19 14:21:12.47	85.11	70.48	-29.5	-29.3	12.0	3547	76	4803
2026-01-19 14:21:12.67	84.83	70.51	-29.6	-29.4	11.9	3387	76	4797
2026-01-19 14:21:12.87	84.55	70.54	-29.5	-29.1	12.0	3707	76	4727
2026-01-19 14:21:13.08	84.26	70.57	-29.5	-29.3	12.0	3318	76	4811
2026-01-19 14:21:13.28	83.98	70.60	-29.4	-29.1	12.1	3501	76	4740
2026-01-19 14:21:13.48	83.70	70.63	-29.4	-29.0	12.2	2609	76	4726
2026-01-19 14:21:13.68	83.41	70.66	-29.4	-29.0	12.2	2609	76	4719
2026-01-19 14:21:13.88	83.13	70.69	-29.3	-28.8	12.3	2460	76	4659
2026-01-19 14:21:14.08	82.84	70.71	-29.2	-28.6	12.4	1831	76	4607
2026-01-19 14:21:14.28	82.56	70.74	-29.2	-28.6	12.4	1487	76	4600
2026-01-19 14:21:14.48	82.27	70.76	-29.1	-28.5	12.5	1029	76	4578
2026-01-19 14:21:14.69	81.97	70.79	-28.9	-28.0	12.7	1224	76	4423
2026-01-19 14:21:14.89	81.68	70.82	-29.0	-28.5	12.4	743	75	4683
2026-01-19 14:21:15.09	81.40	70.84	-28.5	-27.6	12.9	1316	75	4425
2026-01-19 14:21:15.29	81.11	70.87	-28.8	-28.2	12.5	1316	75	4596
2026-01-19 14:21:15.49	80.82	70.89	-28.7	-28.1	12.7	835	75	4568
2026-01-19 14:21:15.69	80.52	70.91	-28.7	-28.0	12.8	1052	75	4541
2026-01-19 14:21:15.89	80.23	70.93	-28.5	-27.6	12.9	663	75	4427
2026-01-19 14:21:16.09	79.94	70.96	-28.6	-27.8	12.8	492	75	4482
2026-01-19 14:21:16.29	79.65	70.98	-28.5	-27.6	12.9	720	75	4432
2026-01-19 14:21:16.49	79.35	71.00	-28.4	-27.3	13.1	411	75	4342
2026-01-19 14:21:16.70	79.04	71.02	-28.4	-27.4	13.0	629	75	4388
2026-01-19 14:21:16.90	78.75	71.04	-28.5	-27.7	12.9	629	75	4456
2026-01-19 14:21:17.10	78.45	71.06	-28.6	-27.8	12.9	423	75	4495
2026-01-19 14:21:17.30	78.16	71.08	-28.5	-27.6	13.0	549	75	4436
2026-01-19 14:21:17.50	77.86	71.10	-28.6	-27.9	12.9	457	75	4532
2026-01-19 14:21:17.70	77.56	71.12	-28.5	-27.6	13.0	526	75	4456
2026-01-19 14:21:17.90	77.26	71.14	-28.4	-27.6	12.9	617	75	4443
2026-01-19 14:21:18.10	76.96	71.15	-28.4	-27.5	13.0	629	75	4434
2026-01-19 14:21:18.30	76.66	71.17	-28.5	-27.6	12.9	549	75	4463
2026-01-19 14:21:18.50	76.36	71.19	-28.4	-27.5	13.0	583	75	4432
2026-01-19 14:21:18.71	76.05	71.20	-28.6	-27.9	12.8	583	75	4539
2026-01-19 14:21:18.91	75.75	71.22	-28.5	-27.7	12.9	492	75	4487
2026-01-19 14:21:19.11	75.45	71.24	-28.6	-27.9	12.8	595	75	4530
2026-01-19 14:21:19.31	75.14	71.25	-28.6	-27.9	12.8	709	75	4525
2026-01-19 14:21:19.51	74.84	71.26	-28.6	-28.0	12.8	698	75	4565
2026-01-19 14:21:19.71	74.54	71.28	-28.7	-28.1	12.7	572	75	4592
2026-01-19 14:21:19.91	74.23	71.29	-28.8	-28.3	12.7	846	75	4645
2026-01-19 14:21:20.11	73.93	71.30	-28.7	-28.1	12.8	1007	75	4582
2026-01-19 14:21:20.31	73.62	71.32	-28.6	-28.0	12.8	1007	75	4563
2026-01-19 14:21:20.52	73.30	71.33	-28.6	-28.0	12.7	675	75	4562
2026-01-19 14:21:20.72	73.00	71.34	-28.7	-28.1	12.7	766	75	4599
2026-01-19 14:21:20.92	72.69	71.35	-28.6	-28.0	12.8	766	75	4559
2026-01-19 14:21:21.12	72.39	71.36	-28.7	-28.1	12.7	926	75	4609
2026-01-19 14:21:21.32	72.08	71.37	-28.8	-28.3	12.6	1029	75	4637
2026-01-19 14:21:21.52	71.77	71.38	-28.8	-28.2	12.6	1007	75	4601
2026-01-19 14:21:21.72	71.47	71.39	-28.6	-27.8	12.8	1373	75	4484
2026-01-19 14:21:21.92	71.16	71.39	-28.6	-27.8	12.7	858	75	4491
2026-01-19 14:21:22.12	70.85	71.40	-28.7	-28.1	12.6	858	75	4554
2026-01-19 14:21:22.32	70.54	71.41	-28.7	-28.0	12.7	972	75	4556
2026-01-19 14:21:22.52	70.23	71.42	-28.7	-28.1	12.7	595	75	4594
2026-01-19 14:21:22.72	69.93	71.42	-28.6	-27.9	12.9	675	75	4533
2026-01-19 14:21:22.92	69.62	71.43	-28.7	-28.1	12.7	846	75	4590
2026-01-19 14:21:23.13	69.29	71.43	-28.5	-27.8	12.9	892	75	4507
2026-01-19 14:21:23.33	68.98	71.44	-28.7	-28.1	12.7	823	75	4593
2026-01-19 14:21:23.53	68.68	71.44	-28.7	-28.1	12.7	812	75	4586
2026-01-19 14:21:23.73	68.37	71.44	-28.6	-27.9	12.8	789	75	4515
2026-01-19 14:21:23.93	68.06	71.45	-28.7	-27.9	12.7	789	75	4524
2026-01-19 14:21:24.13	67.75	71.45	-28.8	-28.2	12.6	789	75	4609
2026-01-19 14:21:24.33	67.44	71.45	-28.8	-28.3	12.5	1464	75	4654
2026-01-19 14:21:24.53	67.13	71.45	-28.8	-28.3	12.6	984	75	4644
2026-01-19 14:21:24.73	66.82	71.45	-28.8	-28.2	12.6	1224	75	4603
2026-01-19 14:21:24.93	66.51	71.45	-28.8	-28.2	12.6	1201	75	4612
2026-01-19 14:21:25.14	66.18	71.45	-29.0	-28.7	12.3	1304	75	4742
2026-01-19 14:21:25.34	65.87	71.45	-28.9	-28.4	12.4	1522	75	4664
2026-01-19 14:21:25.54	65.56	71.45	-28.9	-28.4	12.4	1590	75	4669
2026-01-19 14:21:25.74	65.25	71.45	-28.9	-28.5	12.4	1590	75	4701
2026-01-19 14:21:25.94	64.95	71.45	-28.9	-28.4	12.4	1808	75	4661
2026-01-19 14:21:26.14	64.64	71.45	-29.0	-28.6	12.3	1762	75	4713
2026-01-19 14:21:26.34	64.33	71.44	-28.9	-28.3	12.4	2162	75	4631
2026-01-19 14:21:26.54	64.02	71.44	-29.0	-28.6	12.3	1716	75	4708
2026-01-19 14:21:26.74	63.71	71.43	-28.8	-28.3	12.5	1853	75	4614
2026-01-19 14:21:26.94	63.40	71.43	-29.0	-28.6	12.2	1441	75	4704
2026-01-19 14:21:27.15	63.08	71.42	-28.7	-27.9	12.6	1361	75	4511
