#Pass ID: 20260120_003814_AURA
#Satellite: AURA
#Configuration: AURA
#Start time: 2026-01-20 00:38:19.984612

#LorettStation: 1.0.0 05.05.2024
#Station: R2.0S_Raduga
#Location: 37.601861 lon 55.688408 lat
#TLE: 1 28376U 04026A   26018.91010266  .00000896  00000+0  19248-3 0  9999
#TLE: 2 28376  98.3235 334.3213 0001599  73.1831 286.9545 14.61013889144418

#Time	Az	El	Level	SNR
2026-01-20 00:38:24.147704	16.3	15.5	-96.1	0.0
2026-01-20 00:38:25.285039	16.3	15.6	-96.2	0.0
2026-01-20 00:38:26.425726	16.3	15.8	-96.0	0.0
2026-01-20 00:38:27.562813	16.4	15.9	-96.3	0.0
2026-01-20 00:38:28.701381	16.4	16.0	-96.2	0.0
2026-01-20 00:38:29.837604	16.4	16.2	-96.2	0.0
2026-01-20 00:38:30.969978	16.4	16.3	-96.2	0.0
2026-01-20 00:38:32.106046	16.4	16.5	-96.3	0.0
2026-01-20 00:38:33.240316	16.4	16.6	-96.2	0.0
2026-01-20 00:38:34.376957	16.4	16.7	-96.3	0.0
2026-01-20 00:38:35.509989	16.4	16.9	-96.2	0.0
2026-01-20 00:38:36.647493	16.4	17.0	-96.3	0.0
2026-01-20 00:38:37.786347	16.4	17.2	-96.4	0.0
2026-01-20 00:38:38.919476	16.4	17.3	-96.2	0.0
2026-01-20 00:38:40.073914	16.4	17.5	-96.4	0.0
2026-01-20 00:38:41.209368	16.4	17.6	-96.4	0.0
2026-01-20 00:38:42.343761	16.4	17.8	-96.5	0.0
2026-01-20 00:38:43.484362	16.4	17.9	-96.4	0.0
2026-01-20 00:38:44.622315	16.5	18.1	-96.4	0.0
2026-01-20 00:38:45.755604	16.5	18.2	-96.4	0.0
2026-01-20 00:38:46.893011	16.5	18.4	-96.5	0.0
2026-01-20 00:38:48.028007	16.5	18.5	-96.3	0.0
2026-01-20 00:38:49.167212	16.5	18.7	-96.5	0.0
2026-01-20 00:38:50.304617	16.5	18.8	-96.4	0.0
2026-01-20 00:38:51.442409	16.5	19.0	-96.5	0.0
2026-01-20 00:38:52.579782	16.5	19.2	-96.6	0.0
2026-01-20 00:38:53.717896	16.5	19.3	-96.6	0.0
2026-01-20 00:38:54.853325	16.5	19.5	-96.3	0.0
2026-01-20 00:38:55.990133	16.5	19.6	-96.6	0.0
2026-01-20 00:38:57.127351	16.5	19.8	-96.7	0.0
2026-01-20 00:38:58.265637	16.5	20.0	-96.6	0.0
2026-01-20 00:38:59.400767	16.5	20.1	-96.4	0.0
2026-01-20 00:39:00.544186	16.5	20.3	-96.5	0.0
2026-01-20 00:39:01.689403	16.6	20.5	-96.5	0.0
2026-01-20 00:39:02.827372	16.6	20.6	-96.3	0.0
2026-01-20 00:39:03.967000	16.6	20.8	-96.5	0.0
2026-01-20 00:39:05.101873	16.6	21.0	-96.4	0.0
2026-01-20 00:39:06.237591	16.6	21.2	-96.4	0.0
2026-01-20 00:39:07.375755	16.6	21.3	-96.5	0.0
2026-01-20 00:39:08.512362	16.6	21.5	-96.6	0.0
2026-01-20 00:39:09.647785	16.6	21.7	-96.4	0.0
2026-01-20 00:39:10.791073	16.6	21.9	-96.5	0.0
2026-01-20 00:39:11.925582	16.6	22.0	-96.4	0.0
2026-01-20 00:39:13.059893	16.6	22.2	-96.5	0.0
2026-01-20 00:39:14.201960	16.6	22.4	-96.6	0.0
2026-01-20 00:39:15.333952	16.6	22.6	-96.4	0.0
2026-01-20 00:39:16.473997	16.6	22.8	-96.5	0.0
2026-01-20 00:39:17.609451	16.7	23.0	-96.4	0.0
2026-01-20 00:39:18.744603	16.7	23.2	-96.5	0.0
2026-01-20 00:39:19.883020	16.7	23.4	-96.6	0.0
2026-01-20 00:39:21.014377	16.7	23.5	-96.5	0.0
2026-01-20 00:39:22.149543	16.7	23.7	-96.5	0.0
2026-01-20 00:39:23.283948	16.7	23.9	-96.4	0.0
2026-01-20 00:39:24.419821	16.7	24.1	-96.3	0.0
2026-01-20 00:39:25.557496	16.7	24.3	-96.5	0.0
2026-01-20 00:39:26.692120	16.7	24.5	-96.5	0.0
2026-01-20 00:39:27.832323	16.7	24.7	-96.4	0.0
2026-01-20 00:39:28.971033	16.7	24.9	-96.4	0.0
2026-01-20 00:39:30.108001	16.7	25.1	-96.4	0.0
2026-01-20 00:39:31.248901	16.7	25.3	-96.3	0.0
2026-01-20 00:39:32.384229	16.8	25.6	-96.5	0.0
2026-01-20 00:39:33.522908	16.8	25.8	-96.5	0.0
2026-01-20 00:39:34.659462	16.8	26.0	-96.4	0.0
2026-01-20 00:39:35.804381	16.8	26.2	-96.4	0.0
2026-01-20 00:39:36.953245	16.8	26.4	-96.4	0.0
2026-01-20 00:39:38.095331	16.8	26.6	-96.4	0.0
2026-01-20 00:39:39.229375	16.8	26.8	-96.5	0.0
2026-01-20 00:39:40.367273	16.8	27.1	-96.5	0.0
2026-01-20 00:39:41.507472	16.8	27.3	-96.4	0.0
2026-01-20 00:39:42.641984	16.8	27.5	-96.3	0.0
2026-01-20 00:39:43.776329	16.8	27.7	-96.5	0.0
2026-01-20 00:39:44.908116	16.8	28.0	-96.6	0.0
2026-01-20 00:39:46.048546	16.9	28.2	-96.5	0.0
2026-01-20 00:39:47.184789	16.9	28.4	-96.4	0.0
2026-01-20 00:39:48.327296	16.9	28.7	-96.4	0.0
2026-01-20 00:39:49.464846	16.9	28.9	-96.4	0.0
2026-01-20 00:39:50.598223	16.9	29.2	-96.4	0.0
2026-01-20 00:39:51.733535	16.9	29.4	-96.4	0.0
2026-01-20 00:39:52.873909	16.9	29.6	-96.4	0.0
2026-01-20 00:39:54.006206	16.9	29.9	-96.4	0.0
2026-01-20 00:39:55.142060	16.9	30.1	-96.5	0.0
2026-01-20 00:39:56.282193	16.9	30.4	-96.5	0.0
2026-01-20 00:39:57.418047	16.9	30.6	-96.3	0.0
2026-01-20 00:39:58.558496	17.0	30.9	-96.5	0.0
2026-01-20 00:39:59.697442	17.0	31.2	-96.4	0.0
2026-01-20 00:40:00.832301	17.0	31.4	-96.4	0.0
2026-01-20 00:40:01.966987	17.0	31.7	-96.4	0.0
2026-01-20 00:40:03.103544	17.0	32.0	-96.5	0.0
2026-01-20 00:40:04.243905	17.0	32.2	-96.5	0.0
2026-01-20 00:40:05.384686	17.0	32.5	-96.4	0.0
2026-01-20 00:40:06.517755	17.0	32.8	-96.5	0.0
2026-01-20 00:40:07.653785	17.0	33.1	-96.5	0.0
2026-01-20 00:40:08.791148	17.0	33.3	-96.5	0.0
2026-01-20 00:40:09.931836	17.1	33.6	-96.5	0.0
2026-01-20 00:40:11.081938	17.1	33.9	-96.6	0.0
2026-01-20 00:40:12.225503	17.1	34.2	-96.4	0.0
2026-01-20 00:40:13.364009	17.1	34.5	-96.3	0.0
2026-01-20 00:40:14.499450	17.1	34.8	-96.6	0.0
2026-01-20 00:40:15.638133	17.1	35.1	-96.4	0.0
2026-01-20 00:40:16.779225	17.1	35.4	-96.5	0.0
2026-01-20 00:40:17.915533	17.1	35.7	-96.5	0.0
2026-01-20 00:40:19.055519	17.1	36.0	-96.5	0.0
2026-01-20 00:40:20.193047	17.1	36.3	-96.4	0.0
2026-01-20 00:40:21.340504	17.2	36.6	-96.3	0.0
2026-01-20 00:40:22.477383	17.2	36.9	-96.5	0.0
2026-01-20 00:40:23.616789	17.2	37.3	-96.5	0.0
2026-01-20 00:40:24.748921	17.2	37.6	-96.4	0.0
2026-01-20 00:40:25.883723	17.2	37.9	-96.4	0.0
2026-01-20 00:40:27.029931	17.2	38.2	-96.4	0.0
2026-01-20 00:40:28.168829	17.2	38.6	-96.6	0.0
2026-01-20 00:40:29.306741	17.2	38.9	-96.4	0.0
2026-01-20 00:40:30.449536	17.3	39.2	-96.5	0.0
2026-01-20 00:40:31.585761	17.3	39.6	-96.4	0.0
2026-01-20 00:40:32.723815	17.3	39.9	-96.4	0.0
2026-01-20 00:40:33.861411	17.3	40.3	-96.4	0.0
2026-01-20 00:40:35.015410	17.3	40.6	-96.3	0.0
2026-01-20 00:40:36.153889	17.3	41.0	-96.5	0.0
2026-01-20 00:40:37.292669	17.3	41.4	-96.5	0.0
2026-01-20 00:40:38.429421	17.4	41.7	-96.6	0.0
2026-01-20 00:40:39.561004	17.4	42.1	-96.3	0.0
2026-01-20 00:40:40.694155	17.4	42.5	-96.2	0.0
2026-01-20 00:40:41.830424	17.4	42.9	-96.4	0.0
2026-01-20 00:40:42.963934	17.4	43.2	-96.4	0.0
2026-01-20 00:40:44.102880	17.4	43.6	-96.6	0.0
2026-01-20 00:40:45.237606	17.4	44.0	-96.4	0.0
2026-01-20 00:40:46.374031	17.5	44.4	-96.5	0.0
2026-01-20 00:40:47.517464	17.5	44.8	-96.6	0.0
2026-01-20 00:40:48.651843	17.5	45.2	-96.6	0.0
2026-01-20 00:40:49.788547	17.5	45.6	-96.3	0.0
2026-01-20 00:40:50.923803	17.5	46.0	-96.6	0.0
2026-01-20 00:40:52.060819	17.6	46.4	-96.5	0.0
2026-01-20 00:40:53.195141	17.6	46.9	-96.4	0.0
2026-01-20 00:40:54.336015	17.6	47.3	-96.4	0.0
2026-01-20 00:40:55.473113	17.6	47.7	-96.6	0.0
2026-01-20 00:40:56.614856	17.6	48.2	-96.6	0.0
2026-01-20 00:40:57.752937	17.6	48.6	-96.5	0.0
2026-01-20 00:40:58.886240	17.7	49.0	-96.4	0.0
2026-01-20 00:41:00.030789	17.7	49.5	-96.5	0.0
2026-01-20 00:41:01.169345	17.7	49.9	-96.5	0.0
2026-01-20 00:41:02.303231	17.7	50.4	-96.4	0.0
2026-01-20 00:41:03.442956	17.8	50.9	-96.4	0.0
2026-01-20 00:41:04.577734	17.8	51.3	-96.4	0.0
2026-01-20 00:41:05.715532	17.8	51.8	-96.5	0.0
2026-01-20 00:41:06.851420	17.8	52.3	-96.5	0.0
2026-01-20 00:41:07.992439	17.9	52.8	-96.4	0.0
2026-01-20 00:41:09.126840	17.9	53.2	-96.6	0.0
2026-01-20 00:41:10.265445	17.9	53.7	-96.4	0.0
2026-01-20 00:41:11.409835	17.9	54.2	-96.4	0.0
2026-01-20 00:41:12.553833	18.0	54.7	-96.4	0.0
2026-01-20 00:41:13.691220	18.0	55.3	-96.4	0.0
2026-01-20 00:41:14.826853	18.0	55.8	-96.4	0.0
2026-01-20 00:41:15.963212	18.1	56.3	-96.5	0.0
