#Pass ID: 20260120_000135_2025-108B
#Satellite: 2025-108B
#Configuration: 3PB_600M
#almurnet v.1.7.20251203
#Start time: 2026-01-20 00:01:39

#Version: 2.2.20231116
#Station: R4.6S_Anadyr
#Location: 177.4865 lon 64.73178 lat
#TLE: 1 64088U 25108B   26019.25903941  .00010038  00000+0  50324-3 0  9991
#TLE: 2 64088  97.4888  96.7170 0013028 163.0725 197.0946 15.17470711 36762

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-20 00:01:39.55	17.38	0.25	-51.5	-66.5	3.5	1.51e+00	0	40	0	0	60	76141
2026-01-20 00:01:40.56	17.37	0.31	-48.1	-50.4	3.6	0.00e+00	0	41	104	0	60	40790
2026-01-20 00:01:41.57	17.36	0.38	-48.2	-50.5	3.6	0.00e+00	0	41	104	0	60	41011
2026-01-20 00:01:42.58	17.34	0.44	-47.8	-50.1	3.6	0.00e+00	0	41	104	0	60	39178
2026-01-20 00:01:43.59	17.33	0.51	-47.7	-50.1	3.6	0.00e+00	0	41	104	0	60	39166
2026-01-20 00:01:44.60	17.32	0.57	-47.4	-49.8	3.6	0.00e+00	0	41	104	0	60	37673
2026-01-20 00:01:45.61	17.31	0.64	-47.1	-49.4	3.6	0.00e+00	0	41	104	0	60	36256
2026-01-20 00:01:46.62	17.29	0.71	-46.8	-49.3	3.6	0.00e+00	0	41	104	0	60	35581
2026-01-20 00:01:47.63	17.28	0.77	-47.0	-49.4	3.6	0.00e+00	0	42	104	0	60	35949
2026-01-20 00:01:48.64	17.27	0.84	-46.9	-49.2	3.6	0.00e+00	0	42	104	0	60	35471
2026-01-20 00:01:49.65	17.25	0.90	-46.9	-49.3	3.6	0.00e+00	0	42	104	0	60	35668
2026-01-20 00:01:50.66	17.24	0.97	-46.8	-49.1	3.6	0.00e+00	0	42	104	0	60	34994
2026-01-20 00:01:51.67	17.23	1.04	-46.9	-49.2	3.6	0.00e+00	0	42	104	0	60	35286
2026-01-20 00:01:52.68	17.21	1.10	-46.7	-49.0	3.6	0.00e+00	0	42	104	0	60	34414
2026-01-20 00:01:53.69	17.20	1.17	-46.4	-48.8	3.6	0.00e+00	0	42	104	0	60	33674
2026-01-20 00:01:54.70	17.19	1.24	-46.3	-48.6	3.6	0.00e+00	0	42	104	0	60	32992
2026-01-20 00:01:55.71	17.17	1.31	-46.1	-48.4	3.6	0.00e+00	0	42	104	0	60	32397
2026-01-20 00:01:56.72	17.16	1.37	-45.9	-48.3	3.6	0.00e+00	0	42	104	0	60	31858
2026-01-20 00:01:57.73	17.15	1.44	-45.9	-48.2	3.6	0.00e+00	0	42	104	0	60	31543
2026-01-20 00:01:58.74	17.13	1.51	-45.6	-48.0	3.6	0.00e+00	0	42	104	0	60	30602
2026-01-20 00:01:59.75	17.12	1.58	-45.3	-47.6	3.6	0.00e+00	0	42	104	0	60	29540
2026-01-20 00:02:00.76	17.10	1.65	-45.3	-47.6	3.6	0.00e+00	0	42	104	0	60	29263
2026-01-20 00:02:01.77	17.09	1.71	-45.2	-47.5	3.6	0.00e+00	0	42	104	0	60	29084
2026-01-20 00:02:02.78	17.08	1.78	-45.2	-47.6	3.6	0.00e+00	0	42	104	0	60	29279
2026-01-20 00:02:03.79	17.06	1.85	-45.3	-47.6	3.6	0.00e+00	0	42	104	0	60	29347
2026-01-20 00:02:04.80	17.05	1.92	-45.2	-47.6	3.6	0.00e+00	0	42	104	0	60	29436
2026-01-20 00:02:05.81	17.03	1.99	-45.2	-47.6	3.6	0.00e+00	0	42	104	0	60	29370
2026-01-20 00:02:06.82	17.02	2.06	-45.2	-47.5	3.6	0.00e+00	0	42	104	0	60	29178
2026-01-20 00:02:07.82	17.00	2.13	-45.3	-47.6	3.6	0.00e+00	0	42	104	0	60	29537
2026-01-20 00:02:08.83	16.99	2.20	-45.3	-47.6	3.6	0.00e+00	0	42	104	0	60	29344
2026-01-20 00:02:09.84	16.97	2.27	-45.2	-47.5	3.6	0.00e+00	0	42	104	0	60	29173
2026-01-20 00:02:10.85	16.96	2.34	-45.2	-47.5	3.6	0.00e+00	0	42	104	0	60	29152
2026-01-20 00:02:11.86	16.94	2.41	-45.2	-47.6	3.6	0.00e+00	0	42	104	0	60	29219
