#Pass ID: 20260120_133253_AQUA
#Satellite: AQUA
#Configuration: AQUA
#almurnet v.1.7.20251203
#Start time: 2026-01-20 13:32:53

#Version: 2.0.20230620
#Station: T1
#Location: 37.570604 lon 55.790049 lat
#TLE: 1 27424U 02022A   26019.95447505  .00001296  00000+0  26931-3 0  9993
#TLE: 2 27424  98.4091 346.4652 0001983  72.1988 359.6274 14.61832814261618

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-20 13:32:53.19	229.30	5.01	-51.6	-71.5	3.8	7.47e-01	0	36	0	0	74	36440
2026-01-20 13:32:54.18	229.43	5.06	-51.5	-71.5	3.8	7.44e-01	0	36	104	0	73	38431
2026-01-20 13:32:55.18	229.56	5.11	-51.5	-71.5	3.8	7.44e-01	0	36	104	0	73	38412
2026-01-20 13:32:56.18	229.68	5.17	-51.5	-71.5	3.8	7.46e-01	0	36	104	0	73	38391
2026-01-20 13:32:57.17	229.81	5.22	-51.5	-71.5	3.8	7.47e-01	0	36	104	0	73	38366
2026-01-20 13:32:58.17	229.94	5.27	-51.5	-71.5	3.8	7.45e-01	0	36	104	0	73	38363
2026-01-20 13:32:59.17	230.07	5.32	-51.5	-71.5	3.8	7.44e-01	0	37	104	0	73	38328
2026-01-20 13:33:00.16	230.20	5.37	-51.5	-71.5	3.8	7.45e-01	0	37	104	0	73	38276
2026-01-20 13:33:01.16	230.33	5.42	-51.5	-71.4	3.8	7.45e-01	0	37	104	0	73	38210
2026-01-20 13:33:02.16	230.46	5.47	-51.5	-71.4	3.8	7.45e-01	0	37	104	0	73	38033
2026-01-20 13:33:03.16	230.59	5.52	-51.5	-71.4	3.8	7.47e-01	0	37	104	0	73	37914
2026-01-20 13:33:04.15	230.72	5.57	-51.5	-71.4	3.8	7.47e-01	0	37	104	0	73	37939
2026-01-20 13:33:05.15	230.85	5.62	-51.5	-71.4	3.8	7.47e-01	0	37	104	0	73	38003
2026-01-20 13:33:06.15	230.99	5.67	-51.5	-71.4	3.8	7.42e-01	0	37	104	0	73	37905
2026-01-20 13:33:07.15	231.12	5.72	-51.5	-71.4	3.8	7.46e-01	0	37	104	0	73	37852
2026-01-20 13:33:08.15	231.26	5.77	-51.5	-71.4	3.8	7.45e-01	0	37	104	0	73	37876
2026-01-20 13:33:09.14	231.39	5.82	-51.5	-71.3	3.8	7.45e-01	0	37	104	0	73	37603
2026-01-20 13:33:10.14	231.52	5.88	-51.5	-71.2	3.8	7.48e-01	0	37	104	0	73	37328
2026-01-20 13:33:11.14	231.66	5.93	-51.5	-71.2	3.8	7.46e-01	0	37	104	0	73	37000
2026-01-20 13:33:12.13	231.79	5.98	-51.5	-71.2	3.8	7.45e-01	0	37	104	0	73	37092
2026-01-20 13:33:13.13	231.93	6.03	-51.5	-71.2	3.8	7.43e-01	0	37	104	0	73	37003
2026-01-20 13:33:14.13	232.07	6.08	-51.5	-71.2	3.8	7.48e-01	0	37	104	0	73	37170
2026-01-20 13:33:15.13	232.20	6.13	-51.5	-71.3	3.8	7.45e-01	0	37	104	0	73	37491
2026-01-20 13:33:16.12	232.34	6.18	-51.5	-71.3	3.8	7.46e-01	0	37	104	0	73	37698
2026-01-20 13:33:17.12	232.48	6.23	-51.5	-71.3	3.8	7.47e-01	0	37	104	0	73	37560
2026-01-20 13:33:18.12	232.62	6.28	-51.5	-71.3	3.8	7.45e-01	0	37	104	0	73	37482
2026-01-20 13:33:19.12	232.76	6.33	-51.4	-71.2	3.8	7.47e-01	0	37	104	0	73	37276
2026-01-20 13:33:20.12	232.90	6.38	-51.4	-71.3	3.8	7.45e-01	0	37	104	0	73	37716
2026-01-20 13:33:21.11	233.04	6.43	-51.5	-71.4	3.8	7.44e-01	0	37	104	0	73	38000
2026-01-20 13:33:22.11	233.18	6.48	-51.4	-71.3	3.8	7.48e-01	0	37	104	0	73	37734
2026-01-20 13:33:23.11	233.32	6.53	-51.4	-71.4	3.8	7.45e-01	0	37	104	0	73	38028
2026-01-20 13:33:24.11	233.46	6.58	-51.5	-71.4	3.8	7.44e-01	0	37	104	0	73	38010
2026-01-20 13:33:25.11	233.60	6.63	-51.5	-71.4	3.8	7.43e-01	0	37	104	0	73	37825
2026-01-20 13:33:26.11	233.75	6.68	-51.5	-71.3	3.8	7.49e-01	0	38	104	0	73	37533
2026-01-20 13:33:27.10	233.89	6.73	-51.5	-71.2	3.8	7.46e-01	0	38	104	0	73	37259
2026-01-20 13:33:28.10	234.03	6.78	-51.5	-71.1	3.8	7.48e-01	0	38	104	0	73	36936
2026-01-20 13:33:29.10	234.18	6.83	-51.5	-71.1	3.8	7.45e-01	0	38	104	0	73	36828
2026-01-20 13:33:30.10	234.32	6.88	-51.5	-71.1	3.8	7.45e-01	0	38	104	0	73	36635
2026-01-20 13:33:31.10	234.47	6.93	-51.5	-71.1	3.8	7.44e-01	0	38	104	0	73	36723
2026-01-20 13:33:32.09	234.61	6.98	-51.5	-71.1	3.8	7.47e-01	0	38	104	0	73	36828
2026-01-20 13:33:33.09	234.76	7.03	-51.4	-71.2	3.8	7.47e-01	0	38	104	0	73	37063
2026-01-20 13:33:34.09	234.91	7.08	-51.5	-71.2	3.8	7.44e-01	0	38	104	0	73	37291
2026-01-20 13:33:35.09	235.05	7.13	-51.5	-71.3	3.8	7.44e-01	0	38	104	0	73	37646
2026-01-20 13:33:36.08	235.20	7.18	-51.5	-71.4	3.8	7.48e-01	0	38	104	0	73	37888
2026-01-20 13:33:37.08	235.35	7.23	-51.5	-71.3	3.8	7.48e-01	0	38	104	0	73	37728
2026-01-20 13:33:38.08	235.50	7.28	-51.5	-71.3	3.8	7.47e-01	0	38	104	0	73	37431
2026-01-20 13:33:39.08	235.65	7.33	-51.5	-71.2	3.8	7.46e-01	0	38	104	0	73	37034
2026-01-20 13:33:40.07	235.80	7.38	-51.4	-71.2	3.8	7.44e-01	0	38	104	0	73	37160
2026-01-20 13:33:41.07	235.95	7.43	-51.5	-71.3	3.8	7.45e-01	0	38	104	0	73	37781
2026-01-20 13:33:42.07	236.10	7.48	-51.5	-71.4	3.8	7.47e-01	0	38	104	0	73	38000
