#Pass ID: 20260121_152724_METOP-B
#Satellite: METOP-B
#Configuration: METOP-B
#Start time: 2026-01-21 15:27:29.480268

#LorettStation: 1.0.0 05.05.2024
#Station: PlanumMoscow
#Location: 37.6253844 lon 55.6713361 lat
#TLE: 1 38771U 12049A   25293.92766658  .00000266  00000+0  14193-3 0  9996
#TLE: 2 38771  98.6882 344.7603 0001609 341.5209  18.5909 14.21379342679275

#Time	Az	El	Level	SNR
2026-01-21 15:31:08.006852	60.7	15.6	-64.4	7.1
2026-01-21 15:31:09.130106	60.4	15.6	-64.5	6.9
2026-01-21 15:31:10.251863	60.2	15.6	-64.9	5.2
2026-01-21 15:31:11.375621	60.0	15.7	-65.2	7.0
2026-01-21 15:31:12.497379	59.7	15.7	-65.1	6.7
2026-01-21 15:31:13.617657	59.5	15.7	-64.6	5.5
2026-01-21 15:31:14.739910	59.2	15.8	-64.2	5.8
2026-01-21 15:31:15.861706	59.0	15.8	-65.0	6.9
2026-01-21 15:31:16.983464	58.8	15.8	-64.2	6.0
2026-01-21 15:31:18.105718	58.5	15.8	-64.6	5.3
2026-01-21 15:31:19.226987	58.3	15.9	-64.9	6.8
2026-01-21 15:31:20.348745	58.0	15.9	-65.0	6.0
2026-01-21 15:31:21.470044	57.8	15.9	-65.1	5.5
2026-01-21 15:31:22.590811	57.6	16.0	-65.3	6.1
2026-01-21 15:31:23.718075	57.3	16.0	-65.5	6.3
2026-01-21 15:31:24.838842	57.1	16.0	-65.3	6.2
2026-01-21 15:31:25.961143	56.8	16.0	-65.5	5.8
2026-01-21 15:31:27.081909	56.6	16.1	-65.0	3.6
2026-01-21 15:31:28.204171	56.4	16.1	-65.7	6.9
2026-01-21 15:31:29.326424	56.1	16.1	-65.3	5.7
2026-01-21 15:31:30.448183	55.9	16.1	-65.4	6.1
2026-01-21 15:31:31.569484	55.6	16.2	-65.8	6.2
2026-01-21 15:31:32.691241	55.4	16.2	-65.0	5.1
2026-01-21 15:31:33.812503	55.1	16.2	-65.4	5.5
2026-01-21 15:31:34.933765	54.9	16.2	-65.5	6.3
2026-01-21 15:31:36.055045	54.6	16.2	-65.0	4.5
2026-01-21 15:31:37.176345	54.4	16.3	-64.7	5.9
2026-01-21 15:31:38.298111	54.1	16.3	-64.9	4.5
2026-01-21 15:31:39.417894	53.9	16.3	-64.8	6.6
2026-01-21 15:31:40.539156	53.6	16.3	-65.2	6.8
2026-01-21 15:31:41.661409	53.4	16.3	-65.1	7.5
2026-01-21 15:31:42.782671	53.2	16.3	-64.8	5.7
2026-01-21 15:31:43.904429	52.9	16.4	-65.1	6.7
2026-01-21 15:31:45.026722	52.7	16.4	-64.9	7.4
2026-01-21 15:31:46.148479	52.4	16.4	-64.8	7.5
2026-01-21 15:31:47.269246	52.2	16.4	-64.7	6.9
2026-01-21 15:31:48.391499	51.9	16.4	-64.2	7.1
2026-01-21 15:31:49.512274	51.7	16.4	-64.4	6.8
2026-01-21 15:31:50.634064	51.4	16.5	-64.6	6.9
2026-01-21 15:31:51.755325	51.2	16.5	-64.6	6.4
2026-01-21 15:31:52.877138	50.9	16.5	-64.5	6.4
2026-01-21 15:31:53.998896	50.7	16.5	-64.6	7.5
2026-01-21 15:31:55.121158	50.4	16.5	-64.4	5.9
2026-01-21 15:31:56.242915	50.2	16.5	-64.2	5.7
2026-01-21 15:31:57.364673	49.9	16.5	-64.6	7.8
2026-01-21 15:31:58.486926	49.7	16.5	-64.6	7.1
2026-01-21 15:31:59.607701	49.4	16.5	-64.5	5.6
2026-01-21 15:32:00.729500	49.2	16.6	-64.2	5.8
2026-01-21 15:32:01.851257	48.9	16.6	-64.8	6.0
2026-01-21 15:32:02.973015	48.6	16.6	-64.9	4.7
2026-01-21 15:32:04.094780	48.4	16.6	-64.1	5.1
2026-01-21 15:32:05.217042	48.1	16.6	-64.2	5.2
2026-01-21 15:32:06.339305	47.9	16.6	-64.4	3.8
2026-01-21 15:32:07.460599	47.6	16.6	-64.0	4.1
2026-01-21 15:32:08.582853	47.4	16.6	-65.1	4.7
2026-01-21 15:32:09.704131	47.1	16.6	-65.2	6.2
2026-01-21 15:32:10.831393	46.9	16.6	-65.1	5.3
2026-01-21 15:32:11.951696	46.6	16.6	-64.4	4.6
2026-01-21 15:32:13.072958	46.4	16.6	-64.3	3.1
2026-01-21 15:32:14.194228	46.1	16.6	-64.1	3.6
2026-01-21 15:32:15.315986	45.9	16.6	-64.6	4.5
2026-01-21 15:32:16.437301	45.6	16.6	-65.0	5.2
2026-01-21 15:32:17.559067	45.4	16.6	-64.2	4.9
2026-01-21 15:32:18.683825	45.1	16.6	-64.5	5.7
2026-01-21 15:32:19.805583	44.9	16.6	-63.7	4.6
2026-01-21 15:32:20.927341	44.6	16.6	-64.7	5.1
2026-01-21 15:32:22.048145	44.4	16.6	-63.9	5.2
2026-01-21 15:32:23.170399	44.1	16.6	-64.2	5.5
2026-01-21 15:32:24.292660	43.9	16.6	-64.0	3.9
2026-01-21 15:32:25.414914	43.6	16.6	-63.9	5.0
2026-01-21 15:32:26.536672	43.3	16.6	-64.2	4.5
2026-01-21 15:32:27.658460	43.1	16.6	-64.3	5.3
2026-01-21 15:32:28.780218	42.8	16.6	-64.0	4.2
2026-01-21 15:32:29.901984	42.6	16.6	-64.3	5.9
2026-01-21 15:32:31.024247	42.3	16.6	-65.2	5.6
2026-01-21 15:32:32.145549	42.1	16.6	-64.1	4.7
2026-01-21 15:32:33.267306	41.8	16.6	-64.1	4.1
2026-01-21 15:32:34.389064	41.6	16.5	-64.9	5.3
2026-01-21 15:32:35.510326	41.3	16.5	-64.7	3.0
2026-01-21 15:32:36.632589	41.1	16.5	-64.6	3.9
2026-01-21 15:32:37.754385	40.8	16.5	-64.2	3.9
2026-01-21 15:32:38.877143	40.6	16.5	-64.2	4.5
2026-01-21 15:32:39.998901	40.3	16.5	-64.7	4.5
2026-01-21 15:32:41.120674	40.1	16.5	-64.2	3.8
2026-01-21 15:32:42.243448	39.8	16.5	-65.0	5.5
2026-01-21 15:32:43.364710	39.6	16.5	-64.1	3.5
2026-01-21 15:32:44.486468	39.3	16.4	-64.4	5.0
2026-01-21 15:32:45.608731	39.1	16.4	-64.5	5.2
2026-01-21 15:32:46.730984	38.8	16.4	-63.8	3.1
2026-01-21 15:32:47.853279	38.6	16.4	-63.6	3.0
2026-01-21 15:32:48.978542	38.3	16.4	-64.1	4.4
2026-01-21 15:32:50.100301	38.1	16.4	-65.1	4.0
2026-01-21 15:32:51.222563	37.8	16.4	-64.8	6.0
2026-01-21 15:32:52.344321	37.6	16.3	-63.9	3.0
2026-01-21 15:32:53.465133	37.3	16.3	-64.4	3.0
2026-01-21 15:32:54.586891	37.1	16.3	-65.5	6.0
2026-01-21 15:32:55.710162	36.8	16.3	-63.1	2.4
2026-01-21 15:32:56.832415	36.6	16.3	-65.1	5.9
2026-01-21 15:32:57.953212	36.4	16.2	-63.8	2.8
2026-01-21 15:32:59.074475	36.1	16.2	-64.7	3.5
2026-01-21 15:33:00.195745	35.9	16.2	-65.7	6.1
2026-01-21 15:33:01.317999	35.6	16.2	-65.6	6.0
2026-01-21 15:33:02.439262	35.4	16.2	-65.4	5.2
2026-01-21 15:33:03.560555	35.1	16.1	-64.0	3.2
2026-01-21 15:33:04.682313	34.9	16.1	-65.4	5.7
2026-01-21 15:33:05.803080	34.6	16.1	-65.0	4.9
2026-01-21 15:33:06.924351	34.4	16.1	-64.7	2.8
2026-01-21 15:33:08.046629	34.1	16.0	-64.5	3.7
2026-01-21 15:33:09.168920	33.9	16.0	-64.6	3.8
2026-01-21 15:33:10.290183	33.7	16.0	-64.0	0.8
2026-01-21 15:33:11.410949	33.4	16.0	-64.3	2.2
2026-01-21 15:33:12.532706	33.2	15.9	-63.5	1.0
2026-01-21 15:33:13.654514	32.9	15.9	-64.0	4.2
2026-01-21 15:33:14.776272	32.7	15.9	-66.3	6.3
2026-01-21 15:33:15.898533	32.5	15.9	-64.5	4.7
2026-01-21 15:33:17.020291	32.2	15.8	-65.9	6.1
2026-01-21 15:33:18.142544	32.0	15.8	-66.0	6.1
2026-01-21 15:33:19.263333	31.7	15.8	-66.1	5.3
2026-01-21 15:33:20.387604	31.5	15.8	-66.4	6.5
2026-01-21 15:33:21.508867	31.3	15.7	-65.2	3.3
2026-01-21 15:33:22.630138	31.0	15.7	-65.5	4.7
2026-01-21 15:33:23.751896	30.8	15.7	-65.3	6.5
2026-01-21 15:33:24.874149	30.6	15.6	-65.7	5.3
2026-01-21 15:33:25.995944	30.3	15.6	-66.2	5.7
2026-01-21 15:33:27.117701	30.1	15.6	-64.3	2.5
2026-01-21 15:33:28.239481	29.8	15.5	-65.3	5.1
2026-01-21 15:33:29.360744	29.6	15.5	-65.1	4.5
2026-01-21 15:33:30.482997	29.4	15.5	-66.4	5.9
2026-01-21 15:33:31.604754	29.1	15.4	-65.9	6.0
2026-01-21 15:33:32.727015	28.9	15.4	-64.4	3.4
2026-01-21 15:33:33.849269	28.7	15.4	-65.2	3.4
2026-01-21 15:33:34.974523	28.5	15.3	-65.6	6.0
2026-01-21 15:33:36.096816	28.2	15.3	-65.8	5.4
2026-01-21 15:33:37.219574	28.0	15.3	-65.4	4.6
2026-01-21 15:33:38.341341	27.8	15.2	-65.5	5.1
2026-01-21 15:33:39.463603	27.5	15.2	-65.5	4.8
2026-01-21 15:33:40.585361	27.3	15.1	-65.5	6.7
2026-01-21 15:33:41.706654	27.1	15.1	-65.4	2.6
2026-01-21 15:33:42.829412	26.8	15.1	-65.0	7.2
2026-01-21 15:33:43.951179	26.6	15.0	-66.0	6.7
2026-01-21 15:33:45.072936	26.4	15.0	-65.7	5.9
2026-01-21 15:33:46.194710	26.2	15.0	-66.1	6.5
2026-01-21 15:33:47.316988	25.9	14.9	-66.0	5.5
2026-01-21 15:33:48.438746	25.7	14.9	-65.6	5.8
2026-01-21 15:33:49.560511	25.5	14.8	-64.9	3.3
2026-01-21 15:33:50.681796	25.3	14.8	-64.8	2.9
2026-01-21 15:33:51.803553	25.0	14.8	-66.2	6.0
2026-01-21 15:33:52.925807	24.8	14.7	-65.5	3.5
2026-01-21 15:33:54.047564	24.6	14.7	-66.3	6.8
2026-01-21 15:33:55.169825	24.4	14.6	-66.2	6.9
2026-01-21 15:33:56.291087	24.2	14.6	-65.9	6.5
2026-01-21 15:33:57.412380	23.9	14.5	-65.7	6.2
2026-01-21 15:33:58.534633	23.7	14.5	-64.9	6.1
2026-01-21 15:33:59.656399	23.5	14.5	-65.9	7.1
2026-01-21 15:34:00.778195	23.3	14.4	-65.5	6.4
2026-01-21 15:34:01.900448	23.1	14.4	-66.0	5.2
2026-01-21 15:34:03.021711	22.9	14.3	-65.9	5.9
2026-01-21 15:34:04.143964	22.6	14.3	-66.5	5.3
2026-01-21 15:34:05.265234	22.4	14.2	-66.0	3.7
2026-01-21 15:34:06.387488	22.2	14.2	-66.0	5.9
2026-01-21 15:34:07.514293	22.0	14.1	-65.3	4.4
2026-01-21 15:34:08.636052	21.8	14.1	-65.7	5.6
2026-01-21 15:34:09.758305	21.6	14.0	-65.5	4.8
2026-01-21 15:34:10.880558	21.4	14.0	-65.3	4.1
2026-01-21 15:34:12.003316	21.2	14.0	-65.9	6.5
2026-01-21 15:34:13.125106	20.9	13.9	-64.3	5.3
2026-01-21 15:34:14.246864	20.7	13.9	-65.4	3.2
2026-01-21 15:34:15.369117	20.5	13.8	-64.9	4.8
2026-01-21 15:34:16.490875	20.3	13.8	-65.2	3.9
2026-01-21 15:34:17.612640	20.1	13.7	-65.1	1.5
2026-01-21 15:34:18.734437	19.9	13.7	-66.2	4.6
2026-01-21 15:34:19.856195	19.7	13.6	-65.6	4.5
2026-01-21 15:34:20.978456	19.5	13.6	-66.0	3.9
2026-01-21 15:34:22.105710	19.3	13.5	-64.2	2.3
2026-01-21 15:34:23.227468	19.1	13.5	-66.1	4.2
2026-01-21 15:34:24.349760	18.9	13.4	-66.7	4.4
2026-01-21 15:34:25.472013	18.7	13.4	-64.6	0.6
2026-01-21 15:34:26.593771	18.5	13.3	-65.4	5.1
2026-01-21 15:34:27.716024	18.3	13.3	-63.4	0.0
2026-01-21 15:34:28.837782	18.1	13.2	-65.3	3.7
2026-01-21 15:34:29.959043	17.9	13.2	-65.5	5.6
2026-01-21 15:34:31.080800	17.7	13.1	-65.2	5.9
2026-01-21 15:34:32.202062	17.5	13.1	-65.1	5.3
2026-01-21 15:34:33.324315	17.3	13.0	-64.8	3.5
2026-01-21 15:34:34.446073	17.1	13.0	-65.2	5.6
2026-01-21 15:34:35.567830	16.9	12.9	-64.7	3.8
2026-01-21 15:34:36.688596	16.7	12.9	-65.0	3.5
2026-01-21 15:34:37.815405	16.5	12.8	-64.2	3.3
2026-01-21 15:34:38.937163	16.3	12.7	-65.0	4.2
2026-01-21 15:34:40.059416	16.1	12.7	-64.6	5.0
2026-01-21 15:34:41.181173	15.9	12.6	-64.0	0.0
2026-01-21 15:34:42.302444	15.7	12.6	-63.9	0.0
2026-01-21 15:34:43.424201	15.5	12.5	-64.4	0.0
2026-01-21 15:34:44.545513	15.3	12.5	-63.9	1.8
2026-01-21 15:34:45.667270	15.2	12.4	-64.5	0.0
2026-01-21 15:34:46.788540	15.0	12.4	-64.8	1.7
2026-01-21 15:34:47.910803	14.8	12.3	-65.3	1.1
2026-01-21 15:34:49.033561	14.6	12.3	-65.6	1.1
2026-01-21 15:34:50.154854	14.4	12.2	-64.9	0.0
2026-01-21 15:34:51.276612	14.2	12.2	-65.1	0.0
2026-01-21 15:34:52.402875	14.0	12.1	-64.9	0.0
2026-01-21 15:34:53.524633	13.8	12.0	-65.0	0.0
2026-01-21 15:34:54.646407	13.7	12.0	-65.7	0.0
2026-01-21 15:34:55.768691	13.5	11.9	-65.1	0.0
2026-01-21 15:34:56.889954	13.3	11.9	-64.9	0.0
2026-01-21 15:34:58.011724	13.1	11.8	-64.5	0.0
2026-01-21 15:34:59.132994	12.9	11.8	-64.2	0.0
2026-01-21 15:35:00.254321	12.8	11.7	-65.0	0.0
2026-01-21 15:35:01.376079	12.6	11.6	-64.8	0.0
