#Pass ID: 20260121_133227_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#almurnet v.1.7.20251203
#Start time: 2026-01-21 13:32:27

#Version: 2.2.20231116
#Station: R2.0S_Moscow
#Location: 37.707566 lon 55.798166 lat
#TLE: 1 43010U 17072A   26020.92362722 -.00000077  00000+0 -14488-4 0  9992
#TLE: 2 43010  98.9946 352.8312 0002486  99.3651 260.7806 14.19696535424099

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-21 13:32:27.49	207.94	2.01	-43.9	-55.5	3.8	8.46e-01	0	50	0	0	59	13587
2026-01-21 13:32:28.50	208.01	2.06	-43.9	-55.4	3.8	8.45e-01	0	50	104	0	59	13567
2026-01-21 13:32:29.51	208.08	2.12	-43.9	-55.4	3.8	8.46e-01	0	50	104	0	59	13549
2026-01-21 13:32:30.52	208.16	2.17	-43.9	-55.5	3.8	8.46e-01	0	50	104	0	59	13628
2026-01-21 13:32:31.53	208.23	2.23	-43.9	-55.5	3.8	8.47e-01	0	50	104	0	59	13585
2026-01-21 13:32:32.54	208.31	2.29	-43.9	-55.5	3.8	8.47e-01	0	50	104	0	59	13570
2026-01-21 13:32:33.55	208.38	2.34	-43.9	-55.5	3.8	8.46e-01	0	51	104	0	59	13615
2026-01-21 13:32:34.56	208.46	2.40	-43.9	-55.5	3.8	8.46e-01	0	50	104	0	59	13570
2026-01-21 13:32:35.57	208.53	2.45	-43.9	-55.5	3.8	8.47e-01	0	51	104	0	59	13595
2026-01-21 13:32:36.58	208.61	2.51	-43.9	-55.5	3.8	8.46e-01	0	51	104	0	59	13616
2026-01-21 13:32:37.59	208.69	2.56	-43.9	-55.5	3.8	8.47e-01	0	51	104	0	59	13607
2026-01-21 13:32:38.60	208.76	2.62	-43.9	-55.4	3.8	8.45e-01	0	51	104	0	59	13562
2026-01-21 13:32:39.61	208.84	2.68	-43.9	-55.4	3.8	8.45e-01	0	51	104	0	59	13541
2026-01-21 13:32:40.62	208.92	2.73	-43.9	-55.5	3.8	8.46e-01	0	51	104	0	59	13622
2026-01-21 13:32:41.63	208.99	2.79	-43.9	-55.5	3.8	8.47e-01	0	51	104	0	59	13604
2026-01-21 13:32:42.64	209.07	2.84	-43.9	-55.5	3.8	8.46e-01	0	51	104	0	59	13605
2026-01-21 13:32:43.65	209.15	2.90	-43.9	-55.5	3.8	8.46e-01	0	51	104	0	59	13641
2026-01-21 13:32:44.66	209.23	2.96	-43.9	-55.5	3.8	8.47e-01	0	51	104	0	59	13571
2026-01-21 13:32:45.67	209.31	3.01	-43.9	-55.5	3.8	8.47e-01	0	51	104	0	59	13599
