#Pass ID: 20260121_133555_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#almurnet v.1.7.20251203
#Start time: 2026-01-21 13:35:55

#Version: 2.2.20231116
#Station: R3.2S_Murmansk
#Location: 33.079688 lon 68.888172 lat
#TLE: 1 43010U 17072A   26020.92362722 -.00000077  00000+0 -14488-4 0  9992
#TLE: 2 43010  98.9946 352.8312 0002486  99.3651 260.7806 14.19696535424099

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-21 13:35:55.97	202.26	2.02	-50.3	-62.2	3.8	8.46e-01	0	38	0	0	71	14811
2026-01-21 13:35:56.98	202.32	2.08	-50.3	-62.2	3.8	8.46e-01	0	38	104	0	71	14827
2026-01-21 13:35:57.98	202.38	2.14	-50.3	-62.2	3.8	8.46e-01	0	38	104	0	71	14784
2026-01-21 13:35:58.99	202.44	2.20	-50.3	-62.2	3.8	8.46e-01	0	38	104	0	71	14767
2026-01-21 13:36:00.01	202.50	2.26	-50.3	-62.2	3.8	8.46e-01	0	38	104	0	71	14768
2026-01-21 13:36:01.01	202.57	2.31	-50.3	-62.2	3.8	8.45e-01	0	38	104	0	71	14784
2026-01-21 13:36:02.02	202.63	2.37	-50.3	-62.2	3.8	8.47e-01	0	38	104	0	71	14782
2026-01-21 13:36:03.03	202.69	2.43	-50.3	-62.2	3.8	8.46e-01	0	38	104	0	71	14783
2026-01-21 13:36:04.04	202.75	2.49	-50.3	-62.2	3.8	8.46e-01	0	38	104	0	71	14772
2026-01-21 13:36:05.04	202.82	2.55	-50.3	-62.2	3.8	8.47e-01	0	38	104	0	71	14746
2026-01-21 13:36:06.05	202.88	2.61	-50.3	-62.2	3.8	8.46e-01	0	38	104	0	71	14776
2026-01-21 13:36:07.06	202.94	2.67	-50.3	-62.2	3.8	8.46e-01	0	38	104	0	71	14787
2026-01-21 13:36:08.07	203.01	2.73	-50.3	-62.2	3.8	8.47e-01	0	38	104	0	71	14745
2026-01-21 13:36:09.08	203.07	2.79	-50.3	-62.2	3.8	8.47e-01	0	39	104	0	71	14713
2026-01-21 13:36:10.08	203.14	2.85	-50.3	-62.2	3.8	8.45e-01	0	38	104	0	71	14787
2026-01-21 13:36:11.09	203.20	2.91	-50.3	-62.2	3.8	8.46e-01	0	38	104	0	71	14788
2026-01-21 13:36:12.10	203.27	2.96	-50.2	-62.2	3.8	8.46e-01	0	39	104	0	71	14734
2026-01-21 13:36:13.11	203.33	3.02	-50.3	-62.2	3.8	8.46e-01	0	38	104	0	71	14761
2026-01-21 13:36:14.12	203.40	3.08	-50.3	-62.2	3.8	8.46e-01	0	39	104	0	71	14789
2026-01-21 13:36:15.12	203.46	3.14	-50.3	-62.2	3.8	8.46e-01	0	39	104	0	71	14777
2026-01-21 13:36:16.13	203.53	3.20	-50.3	-62.2	3.8	8.46e-01	0	39	104	0	71	14757
2026-01-21 13:36:17.14	203.59	3.26	-50.3	-62.2	3.8	8.46e-01	0	39	104	0	71	14753
2026-01-21 13:36:18.15	203.66	3.33	-50.3	-62.2	3.8	8.45e-01	0	39	104	0	71	14771
2026-01-21 13:36:19.16	203.73	3.39	-50.3	-62.2	3.8	8.46e-01	0	38	104	0	71	14778
2026-01-21 13:36:20.17	203.80	3.45	-50.3	-62.2	3.8	8.46e-01	0	39	104	0	71	14763
2026-01-21 13:36:21.17	203.86	3.51	-50.3	-62.2	3.8	8.47e-01	0	39	104	0	71	14793
2026-01-21 13:36:22.18	203.93	3.57	-50.3	-62.2	3.8	8.45e-01	0	39	104	0	71	14752
2026-01-21 13:36:23.19	204.00	3.63	-50.3	-62.2	3.8	8.45e-01	0	39	104	0	71	14742
2026-01-21 13:36:24.19	204.06	3.69	-50.3	-62.2	3.8	8.46e-01	0	39	104	0	71	14736
2026-01-21 13:36:25.20	204.13	3.75	-50.3	-62.2	3.8	8.45e-01	0	39	104	0	71	14782
2026-01-21 13:36:26.21	204.20	3.81	-50.3	-62.2	3.8	8.46e-01	0	39	104	0	71	14782
2026-01-21 13:36:27.22	204.27	3.87	-50.3	-62.2	3.8	8.46e-01	0	39	104	0	71	14733
2026-01-21 13:36:28.22	204.34	3.93	-50.3	-62.2	3.8	8.45e-01	0	39	104	0	71	14821
2026-01-21 13:36:29.23	204.41	3.99	-50.3	-62.2	3.8	8.45e-01	0	39	104	0	71	14758
