#Pass ID: 20260121_030009_AQUA
#Satellite: AQUA
#Configuration: AQUA
#Start time: 2026-01-21 03:00:14.955814

#LorettStation: 1.0.0 05.05.2024
#Station: Regia
#Location: 37.494653 lon 55.929028 lat
#TLE: 1 27424U 02022A   26020.30984080  .00001497  00000+0  30942-3 0  9998
#TLE: 2 27424  98.4092 346.8266 0001984  71.7888  69.0903 14.61835321261661

#Time	Az	El	Level	SNR
2026-01-21 03:00:17.103411	341.5	15.1	-69.3	0.0
2026-01-21 03:00:18.216174	341.3	15.2	-69.4	0.0
2026-01-21 03:00:19.329809	341.1	15.3	-69.5	0.0
2026-01-21 03:00:20.442822	340.8	15.4	-69.6	0.0
2026-01-21 03:00:21.555498	340.6	15.4	-69.4	0.0
2026-01-21 03:00:22.668579	340.4	15.5	-69.4	0.0
2026-01-21 03:00:23.781443	340.2	15.6	-69.0	0.0
2026-01-21 03:00:24.894868	339.9	15.7	-69.5	0.0
2026-01-21 03:00:26.007548	339.7	15.7	-69.5	0.0
2026-01-21 03:00:27.120187	339.4	15.8	-69.4	0.0
2026-01-21 03:00:28.233111	339.2	15.9	-69.2	0.0
2026-01-21 03:00:29.346270	339.0	16.0	-69.3	0.0
2026-01-21 03:00:30.459488	338.7	16.0	-69.6	0.0
2026-01-21 03:00:31.572693	338.5	16.1	-69.7	0.0
2026-01-21 03:00:32.685862	338.2	16.2	-69.6	0.0
2026-01-21 03:00:33.799223	338.0	16.2	-69.4	0.0
2026-01-21 03:00:34.911375	337.8	16.3	-69.7	0.0
2026-01-21 03:00:36.024220	337.5	16.4	-69.8	0.0
2026-01-21 03:00:37.137326	337.3	16.4	-69.5	0.0
2026-01-21 03:00:38.250713	337.0	16.5	-69.8	0.0
2026-01-21 03:00:39.363457	336.8	16.6	-69.6	0.0
2026-01-21 03:00:40.476603	336.5	16.7	-69.5	0.0
2026-01-21 03:00:41.591459	336.3	16.7	-69.7	0.0
2026-01-21 03:00:42.704349	336.0	16.8	-69.4	0.0
2026-01-21 03:00:43.817729	335.7	16.9	-69.2	0.0
2026-01-21 03:00:44.930714	335.5	16.9	-69.6	0.0
2026-01-21 03:00:46.043772	335.2	17.0	-69.6	0.0
2026-01-21 03:00:47.156362	335.0	17.1	-69.7	0.0
2026-01-21 03:00:48.269833	334.7	17.1	-69.5	0.0
2026-01-21 03:00:49.382645	334.5	17.2	-69.7	0.0
2026-01-21 03:00:50.495994	334.2	17.3	-69.7	0.0
2026-01-21 03:00:51.608884	333.9	17.3	-69.5	0.0
2026-01-21 03:00:52.722248	333.7	17.4	-69.6	0.0
2026-01-21 03:00:53.834740	333.4	17.5	-69.7	0.0
2026-01-21 03:00:54.947838	333.1	17.5	-69.7	0.0
2026-01-21 03:00:56.060998	332.9	17.6	-69.5	0.0
2026-01-21 03:00:57.174872	332.6	17.7	-69.7	0.0
2026-01-21 03:00:58.287818	332.3	17.7	-68.8	0.0
2026-01-21 03:00:59.401179	332.0	17.8	-69.6	0.0
2026-01-21 03:01:00.513857	331.8	17.8	-69.4	0.0
2026-01-21 03:01:01.626595	331.5	17.9	-69.5	0.0
2026-01-21 03:01:02.740008	331.2	18.0	-69.4	0.0
2026-01-21 03:01:03.852472	330.9	18.0	-69.6	0.0
2026-01-21 03:01:04.964849	330.7	18.1	-69.8	0.0
2026-01-21 03:01:06.077880	330.4	18.1	-69.3	0.0
2026-01-21 03:01:07.190267	330.1	18.2	-69.5	0.0
2026-01-21 03:01:08.302544	329.8	18.3	-69.5	0.0
2026-01-21 03:01:09.414927	329.5	18.3	-69.6	0.0
2026-01-21 03:01:10.528068	329.2	18.4	-69.3	0.0
2026-01-21 03:01:11.640923	329.0	18.4	-69.5	0.0
2026-01-21 03:01:12.754400	328.7	18.5	-69.7	0.0
2026-01-21 03:01:13.867495	328.4	18.6	-69.6	0.0
2026-01-21 03:01:14.980139	328.1	18.6	-69.5	0.0
2026-01-21 03:01:16.093636	327.8	18.7	-69.5	0.0
2026-01-21 03:01:17.206261	327.5	18.7	-69.5	0.0
2026-01-21 03:01:18.319457	327.2	18.8	-69.6	0.0
2026-01-21 03:01:19.431922	326.9	18.8	-69.3	0.0
2026-01-21 03:01:20.545068	326.6	18.9	-69.5	0.0
2026-01-21 03:01:21.658043	326.3	18.9	-69.6	0.0
2026-01-21 03:01:22.770919	326.0	19.0	-69.5	0.0
2026-01-21 03:01:23.884525	325.7	19.0	-69.5	0.0
2026-01-21 03:01:24.997392	325.4	19.1	-69.7	0.0
2026-01-21 03:01:26.110039	325.1	19.1	-69.6	0.0
2026-01-21 03:01:27.223369	324.8	19.2	-69.4	0.0
2026-01-21 03:01:28.335986	324.5	19.2	-69.5	0.0
2026-01-21 03:01:29.449631	324.2	19.3	-69.5	0.0
2026-01-21 03:01:30.562896	323.9	19.3	-69.5	0.0
2026-01-21 03:01:31.679091	323.6	19.4	-69.3	0.0
2026-01-21 03:01:32.792942	323.3	19.4	-69.6	0.0
2026-01-21 03:01:33.905756	323.0	19.5	-69.5	0.0
2026-01-21 03:01:35.018491	322.7	19.5	-69.4	0.0
2026-01-21 03:01:36.131311	322.4	19.5	-69.7	0.0
2026-01-21 03:01:37.244399	322.1	19.6	-69.6	0.0
2026-01-21 03:01:38.357743	321.8	19.6	-69.3	0.0
2026-01-21 03:01:39.470837	321.5	19.7	-69.7	0.0
2026-01-21 03:01:40.584225	321.2	19.7	-69.5	0.0
2026-01-21 03:01:41.697096	320.8	19.7	-69.5	0.0
2026-01-21 03:01:42.809871	320.5	19.8	-69.7	0.0
2026-01-21 03:01:43.923264	320.2	19.8	-69.8	0.0
2026-01-21 03:01:45.036806	319.9	19.9	-69.6	0.0
2026-01-21 03:01:46.149182	319.6	19.9	-69.5	0.0
2026-01-21 03:01:47.262412	319.3	19.9	-69.6	0.0
2026-01-21 03:01:48.375357	318.9	20.0	-69.5	0.0
2026-01-21 03:01:49.487926	318.6	20.0	-69.3	0.0
2026-01-21 03:01:50.600852	318.3	20.0	-69.6	0.0
2026-01-21 03:01:51.713917	318.0	20.1	-69.6	0.0
2026-01-21 03:01:52.827522	317.7	20.1	-69.5	0.0
2026-01-21 03:01:53.940173	317.3	20.1	-69.6	0.0
2026-01-21 03:01:55.052974	317.0	20.2	-69.5	0.0
2026-01-21 03:01:56.165962	316.7	20.2	-69.6	0.0
2026-01-21 03:01:57.278952	316.4	20.2	-69.4	0.0
2026-01-21 03:01:58.391831	316.0	20.2	-69.5	0.0
2026-01-21 03:01:59.505476	315.7	20.3	-69.4	0.0
2026-01-21 03:02:00.618831	315.4	20.3	-69.7	0.0
2026-01-21 03:02:01.731410	315.1	20.3	-69.7	0.0
2026-01-21 03:02:02.844362	314.7	20.3	-69.5	0.0
2026-01-21 03:02:03.956310	314.4	20.3	-69.5	0.0
2026-01-21 03:02:05.069305	314.1	20.4	-69.3	0.0
2026-01-21 03:02:06.181895	313.8	20.4	-69.5	0.0
2026-01-21 03:02:07.294635	313.4	20.4	-69.6	0.0
2026-01-21 03:02:08.407781	313.1	20.4	-69.6	0.0
2026-01-21 03:02:09.520869	312.8	20.4	-69.3	0.0
2026-01-21 03:02:10.633883	312.4	20.5	-69.7	0.0
2026-01-21 03:02:11.746816	312.1	20.5	-69.6	0.0
2026-01-21 03:02:12.859526	311.8	20.5	-69.7	0.0
2026-01-21 03:02:13.972380	311.4	20.5	-69.6	0.0
2026-01-21 03:02:15.085102	311.1	20.5	-69.6	0.0
2026-01-21 03:02:16.199092	310.8	20.5	-69.8	0.0
2026-01-21 03:02:17.311761	310.5	20.5	-69.7	0.0
2026-01-21 03:02:18.423914	310.1	20.5	-69.7	0.0
2026-01-21 03:02:19.539499	309.8	20.6	-69.7	0.0
2026-01-21 03:02:20.652709	309.5	20.6	-69.6	0.0
