#Pass ID: 20260121_115133_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#almurnet v.1.7.20251203
#Start time: 2026-01-21 11:51:32

#Version: 2.0.20230620
#Station: T1
#Location: 37.570604 lon 55.790049 lat
#TLE: 1 43010U 17072A   26020.92362722 -.00000077  00000+0 -14488-4 0  9992
#TLE: 2 43010  98.9946 352.8312 0002486  99.3651 260.7806 14.19696535424099

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-21 11:51:32.87	156.18	4.99	-51.8	-63.8	3.8	8.47e-01	0	36	0	0	75	14178
2026-01-21 11:51:33.86	156.18	5.06	-51.8	-63.5	3.8	8.47e-01	0	36	104	0	75	13581
2026-01-21 11:51:34.85	156.17	5.13	-51.8	-63.5	3.8	8.47e-01	0	36	104	0	75	13647
2026-01-21 11:51:35.84	156.17	5.20	-51.8	-63.5	3.8	8.47e-01	0	36	104	0	75	13711
2026-01-21 11:51:36.84	156.16	5.28	-51.8	-63.6	3.8	8.47e-01	0	36	104	0	75	13827
2026-01-21 11:51:37.83	156.16	5.35	-51.8	-63.8	3.8	8.47e-01	0	36	104	0	75	14085
2026-01-21 11:51:38.82	156.15	5.42	-51.8	-63.9	3.8	8.47e-01	0	36	104	0	75	14241
2026-01-21 11:51:39.82	156.15	5.49	-51.8	-64.0	3.8	8.47e-01	0	36	104	0	75	14521
2026-01-21 11:51:40.81	156.14	5.57	-51.8	-64.0	3.8	8.47e-01	0	36	104	0	75	14537
2026-01-21 11:51:41.80	156.14	5.64	-51.8	-64.0	3.8	8.47e-01	0	36	104	0	75	14496
2026-01-21 11:51:42.80	156.13	5.71	-51.8	-63.8	3.8	8.47e-01	0	36	104	0	75	14097
2026-01-21 11:51:43.79	156.13	5.79	-51.8	-63.5	3.8	8.46e-01	0	36	104	0	75	13656
2026-01-21 11:51:44.78	156.12	5.86	-51.7	-63.1	3.8	8.48e-01	0	37	104	0	75	12978
2026-01-21 11:51:45.78	156.12	5.93	-51.7	-62.6	3.8	8.47e-01	0	37	104	0	75	12257
2026-01-21 11:51:46.77	156.11	6.01	-51.6	-62.3	3.8	8.47e-01	0	37	104	0	75	11926
2026-01-21 11:51:47.77	156.11	6.08	-51.6	-62.0	3.8	8.45e-01	0	37	104	0	75	11532
2026-01-21 11:51:48.76	156.10	6.16	-51.5	-61.7	3.8	8.45e-01	0	36	104	0	75	11056
2026-01-21 11:51:49.75	156.10	6.23	-51.5	-61.6	3.8	8.45e-01	0	37	104	0	75	11014
2026-01-21 11:51:50.74	156.09	6.31	-51.5	-61.7	3.8	8.45e-01	0	37	104	0	75	11060
2026-01-21 11:51:51.74	156.09	6.38	-51.6	-62.0	3.8	8.46e-01	0	37	104	0	75	11427
2026-01-21 11:51:52.73	156.08	6.46	-51.6	-62.2	3.8	8.45e-01	0	37	104	0	75	11804
2026-01-21 11:51:53.72	156.08	6.53	-51.6	-62.6	3.8	8.46e-01	0	37	104	0	75	12310
2026-01-21 11:51:54.72	156.07	6.61	-51.7	-63.1	3.8	8.47e-01	0	37	104	0	75	13030
2026-01-21 11:51:55.71	156.06	6.68	-51.7	-63.5	3.8	8.46e-01	0	37	104	0	75	13680
2026-01-21 11:51:56.71	156.06	6.76	-51.8	-63.9	3.8	8.47e-01	0	37	104	0	75	14248
2026-01-21 11:51:57.70	156.05	6.84	-51.8	-64.0	3.8	8.47e-01	0	37	104	0	75	14531
2026-01-21 11:51:58.69	156.05	6.91	-51.8	-64.0	3.8	8.47e-01	0	37	104	0	75	14521
2026-01-21 11:51:59.69	156.04	6.99	-51.8	-64.0	3.8	8.46e-01	0	37	104	0	75	14393
2026-01-21 11:52:00.68	156.04	7.07	-51.8	-63.8	3.8	8.47e-01	0	37	104	0	75	14118
2026-01-21 11:52:01.67	156.03	7.14	-51.8	-63.5	3.8	8.48e-01	0	37	104	0	75	13596
2026-01-21 11:52:02.67	156.02	7.22	-51.7	-63.0	3.8	8.46e-01	0	37	104	0	75	12949
2026-01-21 11:52:03.66	156.02	7.30	-51.6	-62.2	3.8	8.48e-01	0	37	104	0	75	11805
2026-01-21 11:52:04.65	156.01	7.38	-51.4	-61.0	3.9	8.44e-01	0	37	104	0	74	10787
2026-01-21 11:52:05.65	156.01	7.46	-51.1	-59.4	4.5	8.29e-01	0	37	0	0	74	9015
2026-01-21 11:52:06.64	156.00	7.53	-50.6	-57.3	5.7	7.20e-01	0	37	0	0	73	7536
2026-01-21 11:52:07.63	155.99	7.61	-50.1	-55.9	6.8	2.78e-01	0	37	0	5242880	72	6746
2026-01-21 11:52:08.63	155.99	7.69	-49.5	-54.3	8.4	7.28e-02	0	37	0	10485760	71	5938
2026-01-21 11:52:09.62	155.98	7.77	-48.9	-53.1	9.6	2.47e-02	0	37	0	16777216	69	5834
2026-01-21 11:52:10.61	155.98	7.85	-48.1	-51.7	11.0	4.31e-03	0	37	0	22020096	68	5278
2026-01-21 11:52:11.61	155.97	7.93	-47.3	-50.6	12.1	1.14e-03	0	38	0	27262976	66	5170
2026-01-21 11:52:12.60	155.96	8.01	-46.6	-49.7	13.0	8.69e-05	0	38	0	32505856	65	4931
2026-01-21 11:52:13.59	155.96	8.09	-46.2	-49.0	13.6	1.71e-05	0	37	0	38797312	64	4858
2026-01-21 11:52:14.59	155.95	8.17	-45.9	-48.7	14.1	9.95e-05	0	38	0	44040192	63	4931
2026-01-21 11:52:15.58	155.94	8.25	-45.6	-48.3	14.4	3.40e-06	0	37	0	50331648	63	4733
2026-01-21 11:52:16.57	155.94	8.33	-45.5	-48.1	14.6	1.10e-06	0	38	0	55574528	63	4627
2026-01-21 11:52:17.57	155.93	8.41	-45.5	-48.1	14.7	0.00e+00	0	37	0	60817408	62	4884
2026-01-21 11:52:18.56	155.92	8.50	-45.6	-48.2	14.5	0.00e+00	0	37	0	66060288	62	4974
2026-01-21 11:52:19.55	155.92	8.58	-45.9	-48.6	14.1	0.00e+00	0	38	0	72351744	62	5192
2026-01-21 11:52:20.55	155.91	8.66	-46.3	-49.1	13.6	5.70e-06	0	38	0	77594624	63	5218
2026-01-21 11:52:21.54	155.90	8.74	-46.7	-49.7	12.9	5.49e-05	0	38	0	82837504	64	5255
2026-01-21 11:52:22.53	155.90	8.82	-47.2	-50.5	12.1	1.85e-04	0	38	0	89128960	65	5452
2026-01-21 11:52:23.53	155.89	8.91	-48.0	-51.7	11.0	2.03e-03	0	37	0	94371840	66	5858
2026-01-21 11:52:24.52	155.88	8.99	-48.9	-53.1	9.6	1.06e-02	0	38	0	100663296	68	6202
2026-01-21 11:52:25.51	155.88	9.07	-46.4	-49.4	13.1	3.34e-02	0	38	0	105906176	65	4768
2026-01-21 11:52:26.51	155.87	9.16	-44.2	-46.5	16.3	0.00e+00	0	38	0	111149056	59	4821
2026-01-21 11:52:27.50	155.86	9.24	-48.6	-52.6	10.3	2.20e-06	0	38	0	116391936	67	6167
2026-01-21 11:52:28.50	155.85	9.33	-50.8	-58.0	4.3	8.44e-01	0	38	104	117440512	73	8111
2026-01-21 11:52:29.49	155.85	9.41	-46.5	-49.4	13.2	2.05e-02	0	38	0	120586240	65	4789
2026-01-21 11:52:30.49	155.84	9.50	-43.4	-45.6	17.0	0.00e+00	0	38	0	126877696	58	4646
2026-01-21 11:52:31.49	155.83	9.58	-43.1	-45.3	17.3	0.00e+00	0	38	0	132120576	58	4458
2026-01-21 11:52:32.48	155.82	9.67	-42.9	-45.1	17.5	0.00e+00	0	38	0	138412032	57	4600
2026-01-21 11:52:33.47	155.82	9.75	-42.5	-44.5	18.0	0.00e+00	0	38	0	143654912	56	4598
2026-01-21 11:52:34.50	155.81	9.84	-42.5	-44.6	18.0	0.00e+00	0	38	0	148897792	56	4600
2026-01-21 11:52:35.50	155.80	9.93	-42.3	-44.3	18.2	0.00e+00	0	38	0	155189248	56	4483
2026-01-21 11:52:36.56	155.79	10.02	-42.1	-44.1	18.5	0.00e+00	0	38	0	160432128	56	4364
