#Pass ID: 20260122_195551_AQUA
#Satellite: AQUA
#Configuration: AQUA
#almurnet v.1.7.20251203
#Start time: 2026-01-22 19:55:53

#Version: 2.2.20231116
#Station: R4.6S_Anadyr
#Location: 177.4865 lon 64.73178 lat
#TLE: 1 27424U 02022A   26021.53721517  .00002456  00000+0  50140-3 0  9996
#TLE: 2 27424  98.4098 348.0744 0002012  70.1009  46.1672 14.61843091261845

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-22 19:55:53.41	33.87	0.09	-51.1	-66.0	3.5	1.51e+00	0	38	0	0	60	72037
2026-01-22 19:55:54.41	33.79	0.14	-51.8	-69.7	3.5	3.02e+01	0	39	104	0	60	117289
2026-01-22 19:55:55.42	33.70	0.19	-51.8	-69.6	3.5	3.02e+01	0	39	104	0	60	116808
2026-01-22 19:55:56.43	33.61	0.24	-51.9	-69.7	3.5	3.02e+01	0	39	104	0	60	116917
2026-01-22 19:55:57.44	33.53	0.29	-51.8	-69.7	3.5	3.02e+01	0	40	104	0	60	117217
2026-01-22 19:55:58.45	33.44	0.34	-51.7	-69.6	3.5	3.02e+01	0	40	104	0	60	116401
2026-01-22 19:55:59.46	33.35	0.39	-51.8	-69.7	3.5	3.02e+01	0	40	104	0	60	116970
2026-01-22 19:56:00.47	33.26	0.44	-51.7	-69.6	3.5	3.02e+01	0	40	104	0	60	115862
2026-01-22 19:56:01.47	33.18	0.49	-51.7	-69.6	3.5	3.02e+01	0	40	104	0	60	116069
2026-01-22 19:56:02.48	33.09	0.54	-51.8	-69.6	3.5	3.02e+01	0	40	104	0	60	116085
2026-01-22 19:56:03.49	33.00	0.59	-51.7	-69.6	3.5	3.02e+01	0	40	104	0	60	115787
2026-01-22 19:56:04.50	32.91	0.64	-51.6	-69.5	3.5	3.02e+01	0	40	104	0	60	114921
2026-01-22 19:56:05.51	32.82	0.69	-51.6	-69.5	3.5	3.02e+01	0	40	104	0	60	114368
2026-01-22 19:56:06.52	32.73	0.74	-51.5	-69.5	3.5	3.02e+01	0	40	104	0	60	114493
2026-01-22 19:56:07.53	32.64	0.79	-51.6	-69.4	3.5	3.02e+01	0	40	104	0	60	113369
2026-01-22 19:56:08.55	32.54	0.84	-51.5	-69.3	3.5	3.02e+01	0	40	104	0	60	112687
2026-01-22 19:56:09.56	32.45	0.89	-51.4	-69.3	3.5	3.02e+01	0	40	104	0	60	112368
