#Pass ID: 20260122_111400_NOAA 20
#Satellite: NOAA 20
#Configuration: NOAA 20
#Start time: 2026-01-22 11:13:56

#Time	Level	Level2	SNR	BER	Gain	Gain2
11:13:56.54	-37.6	-45.0	3.3	15361167	92	2443
11:13:56.65	-37.1	-59.3	3.3	0	64	13404
11:13:56.76	-37.3	-53.4	3.6	0	77	6637
11:13:56.87	-38.0	-47.6	3.6	15117073	91	3154
11:13:56.98	-37.6	-46.3	3.6	15117073	92	2819
11:13:57.09	-37.7	-45.8	3.5	15117073	92	2656
11:13:57.20	-37.6	-45.5	3.4	15117073	92	2581
11:13:57.32	-37.6	-45.3	3.4	15167396	92	2516
11:13:57.43	-37.7	-45.2	3.3	15167396	92	2482
11:13:57.54	-37.6	-46.5	3.3	15167396	92	2893
11:13:57.65	-37.6	-46.6	3.6	15167396	92	2912
11:13:57.76	-37.6	-46.4	3.6	15186126	92	2861
11:13:57.87	-37.7	-46.1	3.5	15186126	92	2763
11:13:57.99	-37.6	-45.8	3.5	15186126	92	2655
11:13:58.10	-37.6	-45.4	3.4	15186126	92	2553
11:13:58.21	-37.6	-45.2	3.4	15192634	92	2492
11:13:58.32	-37.6	-45.1	3.3	15192634	92	2462
11:13:58.43	-37.6	-46.6	3.6	15192634	92	2915
11:13:58.54	-37.6	-46.6	3.6	15192634	92	2922
11:13:58.66	-37.9	-46.3	3.6	15174705	93	2746
11:13:58.77	-37.9	-45.9	3.5	15174705	93	2624
11:13:58.88	-37.9	-45.6	3.4	15174705	93	2522
11:13:58.99	-37.9	-45.5	3.4	15174705	93	2490
11:13:59.10	-37.9	-45.2	3.3	15161804	93	2416
11:13:59.21	-37.6	-46.0	2.8	15161804	93	2739
11:13:59.33	-37.6	-46.0	3.6	15161804	93	2718
11:13:59.44	-37.6	-45.9	3.6	15161804	93	2709
11:13:59.55	-37.9	-45.6	3.6	15139190	94	2538
11:13:59.66	-37.8	-45.3	3.5	15139190	94	2463
11:13:59.77	-37.9	-45.0	3.4	15139190	94	2377
11:13:59.88	-37.8	-44.7	3.4	15139190	94	2309
11:14:00.00	-37.8	-44.5	3.3	15168197	94	2242
11:14:00.11	-37.6	-46.0	3.3	15168197	93	2721
11:14:00.22	-37.6	-46.0	3.6	15168197	93	2730
11:14:00.33	-37.6	-46.0	3.6	15168197	93	2732
11:14:00.44	-37.6	-45.6	3.5	15156120	93	2603
11:14:00.55	-37.6	-45.3	3.5	15156120	93	2521
11:14:00.67	-37.6	-45.0	3.4	15156120	93	2443
11:14:00.78	-37.6	-44.9	3.4	15195945	93	2396
11:14:00.89	-37.6	-44.8	3.4	15195945	93	2372
11:14:01.00	-37.6	-46.0	3.2	15195945	93	2738
11:14:01.11	-37.6	-46.0	3.6	15195945	93	2742
11:14:01.22	-37.6	-46.0	3.6	15197242	93	2744
11:14:01.34	-37.8	-45.7	3.6	15197242	94	2568
11:14:01.45	-37.9	-45.3	3.5	15197242	94	2437
11:14:01.56	-37.9	-45.0	3.4	15197242	94	2369
11:14:01.67	-37.9	-44.8	3.4	15137664	94	2304
11:14:01.78	-37.9	-44.6	3.3	15137664	94	2267
11:14:01.89	-37.7	-46.2	2.9	15137664	93	2766
11:14:02.00	-37.8	-46.3	3.6	15137664	93	2790
11:14:02.12	-37.8	-46.3	3.6	15188613	93	2794
11:14:02.23	-37.8	-46.1	3.6	15188613	93	2713
11:14:02.34	-37.7	-45.7	3.5	15188613	93	2602
11:14:02.45	-37.8	-45.4	3.4	15188613	93	2505
11:14:02.56	-37.8	-45.2	3.4	15167854	93	2453
11:14:02.67	-37.8	-45.0	3.3	15167854	93	2393
11:14:02.79	-37.7	-44.8	3.3	15167854	93	2350
11:14:02.90	-37.8	-46.3	3.6	15167854	93	2778
11:14:03.01	-37.7	-46.3	3.6	15225776	93	2774
11:14:03.12	-38.0	-46.1	3.6	15225776	94	2639
11:14:03.23	-38.0	-45.6	3.5	15225776	94	2509
11:14:03.34	-38.0	-45.2	3.4	15225776	94	2398
11:14:03.46	-38.0	-45.0	3.4	15126548	94	2343
11:14:03.57	-38.0	-44.9	3.3	15126548	94	2313
11:14:03.68	-38.0	-44.9	3.3	15126548	94	2300
11:14:03.79	-37.8	-46.3	3.6	15210510	93	2769
11:14:03.90	-37.8	-46.2	3.6	15210510	93	2747
11:14:04.02	-38.0	-46.0	3.7	15210510	94	2618
11:14:04.13	-38.0	-45.7	3.5	15210510	94	2520
11:14:04.24	-38.1	-45.6	3.5	15210510	94	2473
11:14:04.35	-38.0	-45.1	3.4	15105728	94	2344
11:14:04.46	-38.0	-45.0	3.4	15105728	94	2320
11:14:04.57	-38.1	-44.9	3.3	15105728	94	2289
11:14:04.68	-37.8	-46.4	3.6	15105728	93	2789
11:14:04.80	-37.8	-46.2	3.6	15228057	93	2756
11:14:04.91	-37.8	-46.2	3.6	15228057	93	2733
11:14:05.02	-37.8	-45.8	3.5	15228057	93	2623
11:14:05.13	-37.8	-45.5	3.4	15228057	93	2533
11:14:05.24	-37.8	-45.3	3.4	15117919	93	2468
11:14:05.36	-37.8	-45.1	3.3	15117919	93	2405
11:14:05.47	-37.8	-44.9	3.3	15117919	93	2365
11:14:05.58	-37.8	-46.3	3.6	15267051	93	2790
11:14:05.69	-37.8	-46.3	3.6	15267051	93	2775
11:14:05.80	-37.8	-46.2	3.6	15267051	93	2724
11:14:05.91	-37.9	-46.0	3.5	15267051	93	2622
11:14:06.03	-37.9	-45.7	3.4	15123428	93	2557
11:14:06.14	-37.9	-45.4	3.4	15123428	93	2476
11:14:06.25	-37.9	-45.3	3.3	15123428	93	2428
11:14:06.36	-37.9	-46.8	3.3	15123428	93	2881
11:14:06.47	-37.9	-46.6	3.6	15245330	93	2859
11:14:06.58	-37.8	-46.4	3.6	15245330	93	2782
11:14:06.69	-37.9	-46.1	3.5	15245330	93	2687
11:14:06.81	-37.9	-45.8	3.5	15245330	93	2592
11:14:06.92	-37.8	-45.3	3.4	15139495	93	2460
11:14:07.03	-37.8	-45.2	3.4	15139495	93	2439
11:14:07.14	-37.9	-45.2	3.3	15139495	93	2425
11:14:07.25	-37.8	-46.3	3.6	15139495	93	2775
11:14:07.37	-37.8	-46.3	3.6	15235748	93	2769
11:14:07.48	-37.8	-46.3	3.6	15235748	93	2772
11:14:07.59	-37.8	-45.9	3.5	15235748	93	2640
11:14:07.70	-37.7	-45.4	3.4	15235748	93	2515
11:14:07.81	-37.7	-45.2	3.4	15146308	93	2464
11:14:07.92	-37.7	-45.0	3.4	15146308	93	2405
11:14:08.04	-37.7	-44.8	3.3	15146308	93	2364
11:14:08.15	-37.8	-46.4	3.6	15146308	93	2812
11:14:08.26	-37.9	-46.5	3.6	15227439	93	2796
11:14:08.37	-37.9	-46.3	3.6	15227439	93	2722
11:14:08.48	-37.9	-45.8	3.5	15227439	93	2600
11:14:08.60	-37.9	-45.8	3.4	15227439	93	2563
11:14:08.71	-37.9	-45.5	3.4	15150939	93	2489
11:14:08.82	-37.8	-45.1	3.3	15150939	93	2407
11:14:08.93	-37.9	-46.4	3.4	15150939	93	2777
11:14:09.04	-37.9	-46.7	3.6	15222145	93	2856
11:14:09.15	-38.1	-47.0	3.1	15222145	93	2897
11:14:09.26	-38.1	-46.5	3.5	15222145	93	2722
11:14:09.38	-38.1	-46.2	3.5	15222145	93	2655
11:14:09.49	-38.1	-46.1	3.4	15222145	93	2612
11:14:09.60	-38.1	-45.6	3.4	15133110	93	2478
11:14:09.71	-38.1	-45.5	3.4	15133110	93	2447
11:14:09.82	-37.8	-46.3	2.8	15133110	93	2771
11:14:09.94	-37.7	-46.1	3.6	15133110	93	2725
11:14:10.05	-37.7	-46.2	3.6	15193527	93	2764
11:14:10.16	-37.7	-45.7	3.6	15193527	93	2633
11:14:10.27	-37.6	-45.3	3.5	15193527	93	2523
11:14:10.38	-37.8	-45.4	3.4	15193527	93	2500
11:14:10.49	-37.9	-45.4	3.4	15149871	93	2475
11:14:10.61	-37.9	-45.1	3.3	15149871	93	2395
11:14:10.72	-37.8	-46.3	3.4	15149871	93	2765
11:14:10.83	-37.9	-46.6	3.6	15234718	93	2844
11:14:10.94	-37.9	-46.6	3.6	15234718	93	2838
11:14:11.05	-37.8	-45.9	3.5	15234718	93	2638
11:14:11.16	-37.8	-45.6	3.5	15234718	93	2549
11:14:11.28	-37.8	-45.4	3.4	15148445	93	2482
11:14:11.39	-37.8	-45.1	3.4	15148445	93	2414
