#Pass ID: 20260123_192226_FENGYUN 3G
#Satellite: FENGYUN 3G
#Configuration: FENGYUN 3G
#almurnet v.1.7.20251203
#Start time: 2026-01-23 19:22:27

#Version: 2.2.20231116
#Station: R2.0S_Moscow
#Location: 37.707566 lon 55.798166 lat
#TLE: 1 56232U 23055A   26022.95932522  .00036289  00000+0  55235-3 0  9992
#TLE: 2 56232  49.9946  14.8507 0004090  68.3647 291.7756 15.54106507157434

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-23 19:22:27.56	244.39	2.04	-44.2	-62.3	3.8	8.47e-01	0	51	0	0	60	28210
2026-01-23 19:22:28.58	244.32	2.11	-44.2	-62.3	3.8	8.43e-01	0	52	104	0	60	28197
2026-01-23 19:22:29.59	244.26	2.18	-44.2	-62.3	3.8	8.47e-01	0	52	104	0	60	28202
2026-01-23 19:22:30.60	244.19	2.24	-44.2	-62.3	3.8	8.46e-01	0	52	104	0	60	28202
2026-01-23 19:22:31.61	244.12	2.31	-44.2	-62.3	3.8	8.46e-01	0	52	104	0	60	28120
2026-01-23 19:22:32.62	244.06	2.38	-44.2	-62.3	3.8	8.46e-01	0	52	104	0	60	28127
2026-01-23 19:22:33.63	243.99	2.44	-44.2	-62.2	3.8	8.46e-01	0	52	104	0	60	27968
2026-01-23 19:22:34.64	243.92	2.51	-44.2	-62.2	3.8	8.46e-01	0	52	104	0	60	27884
2026-01-23 19:22:35.65	243.86	2.58	-44.2	-62.2	3.8	8.48e-01	0	52	104	0	60	27947
2026-01-23 19:22:36.66	243.79	2.65	-44.2	-62.2	3.8	8.45e-01	0	52	104	0	60	27931
2026-01-23 19:22:37.67	243.72	2.71	-44.2	-62.2	3.8	8.45e-01	0	52	104	0	60	27863
2026-01-23 19:22:38.69	243.65	2.78	-44.2	-62.2	3.8	8.46e-01	0	52	104	0	60	27852
2026-01-23 19:22:39.69	243.58	2.85	-44.2	-62.2	3.8	8.46e-01	0	52	104	0	60	27782
2026-01-23 19:22:40.71	243.51	2.92	-44.2	-62.2	3.8	8.46e-01	0	53	104	0	60	27931
2026-01-23 19:22:41.72	243.44	2.99	-44.2	-62.1	3.8	8.45e-01	0	53	104	0	60	27698
2026-01-23 19:22:42.73	243.37	3.06	-44.2	-62.2	3.8	8.47e-01	0	53	104	0	60	27899
2026-01-23 19:22:43.74	243.30	3.13	-44.2	-62.2	3.8	8.47e-01	0	53	104	0	60	27967
2026-01-23 19:22:44.75	243.22	3.20	-44.2	-62.2	3.8	8.47e-01	0	53	104	0	60	27914
2026-01-23 19:22:45.76	243.15	3.27	-44.2	-62.3	3.8	8.46e-01	0	53	104	0	60	28051
