#Pass ID: 20260123_213305_JL1KF02B05
#Satellite: JL1KF02B05
#Configuration: 01B_900M
#almurnet v.1.7.20251203
#Start time: 2026-01-23 21:33:06

#Version: 2.2.20231116
#Station: R3.2S_Murmansk
#Location: 33.079688 lon 68.888172 lat
#TLE: 1 61194U 24169F   26022.96101522  .00006187  00000+0  38573-3 0  9991
#TLE: 2 61194  97.5705 114.6700 0018165 130.9830 229.2974 15.09759959 73936

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-23 21:33:06.00	203.97	2.04	-54.8	-56.9	6.2	0.00e+00	0	44	0	0	80	19067
2026-01-23 21:33:07.01	204.05	2.10	-54.8	-56.9	6.2	0.00e+00	0	44	104	0	81	18083
2026-01-23 21:33:08.02	204.14	2.17	-54.9	-57.0	6.2	0.00e+00	0	44	104	0	81	18370
2026-01-23 21:33:09.03	204.22	2.23	-55.0	-57.1	6.2	0.00e+00	0	44	104	0	81	18488
2026-01-23 21:33:10.04	204.30	2.29	-55.0	-57.1	6.2	0.00e+00	0	44	104	0	81	18464
2026-01-23 21:33:11.05	204.38	2.35	-55.0	-57.1	6.2	0.00e+00	0	44	104	0	81	18440
2026-01-23 21:33:12.05	204.47	2.42	-55.0	-57.1	6.2	0.00e+00	0	44	104	0	81	18443
2026-01-23 21:33:13.06	204.55	2.48	-55.0	-57.0	6.2	0.00e+00	0	44	104	0	81	18331
2026-01-23 21:33:14.07	204.64	2.54	-54.9	-57.0	6.2	0.00e+00	0	44	104	0	81	18339
2026-01-23 21:33:15.08	204.72	2.61	-54.9	-57.0	6.2	0.00e+00	0	44	104	0	81	18224
2026-01-23 21:33:16.09	204.81	2.67	-54.9	-57.0	6.2	0.00e+00	0	44	104	0	81	18183
2026-01-23 21:33:17.09	204.89	2.73	-54.9	-56.9	6.2	0.00e+00	0	44	104	0	81	18144
2026-01-23 21:33:18.10	204.98	2.80	-54.8	-56.9	6.2	0.00e+00	0	44	104	0	81	18151
2026-01-23 21:33:19.11	205.06	2.86	-54.8	-56.9	6.2	0.00e+00	0	44	104	0	81	17998
2026-01-23 21:33:20.12	205.15	2.93	-54.7	-56.8	6.2	0.00e+00	0	44	104	0	81	17873
2026-01-23 21:33:21.13	205.24	2.99	-54.7	-56.8	6.2	0.00e+00	0	44	104	0	81	17853
2026-01-23 21:33:22.13	205.33	3.06	-54.7	-56.7	6.2	0.00e+00	0	44	104	0	81	17688
2026-01-23 21:33:23.14	205.41	3.12	-54.6	-56.7	6.2	0.00e+00	0	44	104	0	81	17608
2026-01-23 21:33:24.15	205.50	3.19	-54.5	-56.6	6.2	0.00e+00	0	44	104	0	81	17428
2026-01-23 21:33:25.16	205.59	3.25	-54.4	-56.5	6.2	0.00e+00	0	44	104	0	80	18308
2026-01-23 21:33:26.17	205.68	3.32	-54.3	-56.4	6.2	0.00e+00	0	44	104	0	80	18102
2026-01-23 21:33:27.17	205.77	3.38	-54.2	-56.3	6.2	0.00e+00	0	44	104	0	80	17878
2026-01-23 21:33:28.18	205.86	3.45	-54.1	-56.2	6.2	0.00e+00	0	44	104	0	80	17622
2026-01-23 21:33:29.19	205.95	3.51	-53.8	-55.9	6.2	0.00e+00	0	44	104	0	79	18132
2026-01-23 21:33:30.20	206.05	3.58	-53.4	-55.6	6.2	0.00e+00	0	44	104	0	78	18447
2026-01-23 21:33:31.21	206.14	3.64	-53.4	-55.5	6.2	0.00e+00	0	44	104	0	78	18208
2026-01-23 21:33:32.21	206.23	3.71	-53.4	-55.4	6.2	0.00e+00	0	45	104	0	78	18170
2026-01-23 21:33:33.23	206.32	3.78	-53.3	-55.4	6.2	0.00e+00	0	44	104	0	78	18160
2026-01-23 21:33:34.23	206.42	3.84	-53.3	-55.4	6.2	0.00e+00	0	44	104	0	78	18171
2026-01-23 21:33:35.24	206.51	3.91	-53.3	-55.4	6.2	0.00e+00	0	45	104	0	78	18171
2026-01-23 21:33:36.25	206.61	3.98	-53.3	-55.4	6.2	0.00e+00	0	45	104	0	78	18132
2026-01-23 21:33:37.26	206.70	4.04	-53.3	-55.4	6.2	0.00e+00	0	45	104	0	78	18133
2026-01-23 21:33:38.27	206.80	4.11	-53.3	-55.4	6.2	0.00e+00	0	45	104	0	78	18145
2026-01-23 21:33:39.28	206.89	4.18	-53.3	-55.4	6.2	0.00e+00	0	45	104	0	78	18137
2026-01-23 21:33:40.29	206.99	4.24	-53.3	-55.4	6.2	0.00e+00	0	45	104	0	78	18141
2026-01-23 21:33:41.30	207.09	4.31	-53.3	-55.4	6.2	0.00e+00	0	45	104	0	78	18160
2026-01-23 21:33:42.30	207.18	4.38	-53.3	-55.4	6.2	0.00e+00	0	45	104	0	78	18101
2026-01-23 21:33:43.31	207.28	4.45	-53.3	-55.4	6.2	0.00e+00	0	45	104	0	78	18127
2026-01-23 21:33:44.32	207.38	4.51	-53.3	-55.4	6.2	0.00e+00	0	45	104	0	78	18122
2026-01-23 21:33:45.33	207.48	4.58	-53.3	-55.4	6.2	0.00e+00	0	45	104	0	78	18099
2026-01-23 21:33:46.33	207.58	4.65	-53.3	-55.4	6.2	0.00e+00	0	45	104	0	78	18098
2026-01-23 21:33:47.34	207.68	4.72	-53.3	-55.4	6.2	0.00e+00	0	45	104	0	78	18075
2026-01-23 21:33:48.35	207.78	4.79	-53.3	-55.4	6.2	0.00e+00	0	45	104	0	78	18087
2026-01-23 21:33:49.36	207.88	4.86	-53.3	-55.4	6.2	0.00e+00	0	45	104	0	78	18101
2026-01-23 21:33:50.37	207.99	4.93	-53.3	-55.4	6.2	0.00e+00	0	45	104	0	78	18040
2026-01-23 21:33:51.37	208.09	4.99	-53.3	-55.4	6.2	0.00e+00	0	45	104	0	78	18048
2026-01-23 21:33:52.38	208.19	5.06	-53.3	-55.4	6.2	0.00e+00	0	45	104	0	78	18105
2026-01-23 21:33:53.39	208.30	5.13	-53.3	-55.4	6.2	0.00e+00	0	45	104	0	78	18104
2026-01-23 21:33:54.40	208.40	5.20	-53.3	-55.4	6.2	0.00e+00	0	45	104	0	78	18088
2026-01-23 21:33:55.40	208.50	5.27	-53.4	-55.5	6.2	0.00e+00	0	45	104	0	78	18252
2026-01-23 21:33:56.41	208.61	5.34	-53.3	-55.4	6.2	0.00e+00	0	45	104	0	78	18089
2026-01-23 21:33:57.42	208.72	5.41	-53.3	-55.3	6.2	0.00e+00	0	45	104	0	78	17965
2026-01-23 21:33:58.43	208.82	5.48	-53.3	-55.4	6.2	0.00e+00	0	45	104	0	78	17985
2026-01-23 21:33:59.44	208.93	5.55	-53.4	-55.5	6.2	0.00e+00	0	45	104	0	78	18289
2026-01-23 21:34:00.45	209.04	5.62	-53.3	-55.4	6.2	0.00e+00	0	45	104	0	78	18077
2026-01-23 21:34:01.45	209.15	5.69	-53.2	-55.3	6.2	0.00e+00	0	45	104	0	78	17951
2026-01-23 21:34:02.46	209.26	5.77	-53.2	-55.4	6.2	0.00e+00	0	45	104	0	78	17987
2026-01-23 21:34:03.47	209.37	5.84	-53.4	-55.5	6.2	0.00e+00	0	46	104	0	78	18214
2026-01-23 21:34:04.48	209.48	5.91	-53.3	-55.4	6.2	0.00e+00	0	45	104	0	78	18088
2026-01-23 21:34:05.49	209.59	5.98	-53.2	-55.3	6.2	0.00e+00	0	45	104	0	78	17886
2026-01-23 21:34:06.49	209.70	6.05	-53.2	-55.4	6.2	0.00e+00	0	45	104	0	78	18001
2026-01-23 21:34:07.50	209.81	6.12	-53.3	-55.5	6.2	0.00e+00	0	45	104	0	78	18180
2026-01-23 21:34:08.51	209.93	6.20	-53.3	-55.4	6.2	0.00e+00	0	45	104	0	78	18019
2026-01-23 21:34:09.52	210.04	6.27	-53.2	-55.3	6.2	0.00e+00	0	46	104	0	78	17908
2026-01-23 21:34:10.53	210.16	6.34	-53.2	-55.4	6.2	0.00e+00	0	46	104	0	78	17979
2026-01-23 21:34:11.54	210.27	6.41	-53.3	-55.4	6.2	0.00e+00	0	45	104	0	78	18176
2026-01-23 21:34:12.54	210.39	6.49	-53.3	-55.4	6.2	0.00e+00	0	45	104	0	78	18029
2026-01-23 21:34:13.55	210.50	6.56	-53.2	-55.3	6.2	0.00e+00	0	45	104	0	78	17861
2026-01-23 21:34:14.56	210.62	6.63	-53.2	-55.3	6.2	0.00e+00	0	45	104	0	78	17924
2026-01-23 21:34:15.57	210.74	6.70	-53.4	-55.5	6.2	0.00e+00	0	46	104	0	78	18221
2026-01-23 21:34:16.58	210.86	6.78	-53.3	-55.4	6.2	0.00e+00	0	45	104	0	78	18011
2026-01-23 21:34:17.59	210.98	6.85	-53.2	-55.3	6.2	0.00e+00	0	45	104	0	78	17879
2026-01-23 21:34:18.59	211.10	6.93	-53.3	-55.4	6.2	0.00e+00	0	45	104	0	78	18049
2026-01-23 21:34:19.60	211.22	7.00	-53.4	-55.4	6.2	0.00e+00	0	46	104	0	78	18143
2026-01-23 21:34:20.61	211.34	7.07	-53.3	-55.4	6.2	0.00e+00	0	46	104	0	78	18075
2026-01-23 21:34:21.62	211.46	7.15	-53.2	-55.4	6.2	0.00e+00	0	46	104	0	78	18003
2026-01-23 21:34:22.63	211.58	7.22	-53.3	-55.4	6.2	0.00e+00	0	46	104	0	78	18131
2026-01-23 21:34:23.63	211.71	7.30	-53.4	-55.5	6.2	0.00e+00	0	45	104	0	78	18190
2026-01-23 21:34:24.64	211.83	7.37	-53.3	-55.4	6.2	0.00e+00	0	46	104	0	78	18081
2026-01-23 21:34:25.65	211.96	7.45	-53.3	-55.4	6.2	0.00e+00	0	46	104	0	78	18000
2026-01-23 21:34:26.65	212.08	7.52	-53.3	-55.4	6.2	0.00e+00	0	46	104	0	78	18087
2026-01-23 21:34:27.66	212.21	7.60	-53.3	-55.4	6.2	0.00e+00	0	46	104	0	78	18145
2026-01-23 21:34:28.67	212.34	7.67	-53.3	-55.4	6.2	0.00e+00	0	46	104	0	78	18041
2026-01-23 21:34:29.68	212.47	7.75	-53.3	-55.4	6.2	0.00e+00	0	46	104	0	78	18011
2026-01-23 21:34:30.69	212.60	7.83	-53.3	-55.4	6.2	0.00e+00	0	46	104	0	78	18055
2026-01-23 21:34:31.69	212.72	7.90	-53.4	-55.5	6.2	0.00e+00	0	46	104	0	78	18223
2026-01-23 21:34:32.70	212.86	7.98	-53.3	-55.4	6.2	0.00e+00	0	46	104	0	78	18008
2026-01-23 21:34:33.71	212.99	8.06	-53.3	-55.3	6.2	0.00e+00	0	46	104	0	78	17954
2026-01-23 21:34:34.72	213.12	8.13	-53.4	-55.4	6.2	0.00e+00	0	46	104	0	78	18165
2026-01-23 21:34:35.72	213.25	8.21	-53.4	-55.5	6.2	0.00e+00	0	46	104	0	78	18322
2026-01-23 21:34:36.73	213.39	8.29	-53.3	-55.4	6.2	0.00e+00	0	46	104	0	78	18070
2026-01-23 21:34:37.74	213.52	8.36	-53.3	-55.4	6.2	0.00e+00	0	46	104	0	78	17976
2026-01-23 21:34:38.74	213.66	8.44	-49.0	-49.6	6.8	0.00e+00	0	46	104	0	68	16417
2026-01-23 21:34:39.75	213.79	8.52	-50.7	-51.7	6.4	0.00e+00	0	46	104	0	72	16701
2026-01-23 21:34:40.76	213.93	8.60	-46.6	-46.9	6.7	0.00e+00	0	46	104	0	64	15225
2026-01-23 21:34:41.77	214.07	8.68	-47.1	-47.5	6.7	0.00e+00	0	46	104	0	66	14520
2026-01-23 21:34:42.77	214.21	8.75	-46.9	-47.3	6.7	0.00e+00	0	46	104	0	65	15034
2026-01-23 21:34:43.78	214.35	8.83	-47.1	-47.5	6.7	0.00e+00	0	46	104	0	65	15338
2026-01-23 21:34:44.79	214.49	8.91	-46.7	-47.1	6.7	0.00e+00	0	46	104	0	65	14619
2026-01-23 21:34:45.80	214.63	8.99	-47.9	-48.4	6.7	0.00e+00	0	46	104	0	66	16161
2026-01-23 21:34:46.81	214.77	9.07	-50.3	-50.7	6.5	0.00e+00	0	46	104	0	70	16679
2026-01-23 21:34:47.82	214.92	9.15	-51.2	-52.4	6.3	0.00e+00	0	46	104	0	72	18094
2026-01-23 21:34:48.83	215.06	9.23	-49.4	-50.1	6.5	0.00e+00	0	46	104	0	69	16436
2026-01-23 21:34:49.84	215.21	9.31	-47.3	-47.8	6.7	0.00e+00	0	46	104	0	66	14977
2026-01-23 21:34:50.84	215.35	9.39	-46.9	-47.2	7.5	0.00e+00	0	46	104	0	65	14932
2026-01-23 21:34:51.85	215.50	9.47	-46.7	-46.9	7.5	0.00e+00	0	46	104	0	65	14392
2026-01-23 21:34:52.86	215.65	9.55	-47.0	-47.4	7.4	0.00e+00	0	46	104	0	65	15121
2026-01-23 21:34:53.87	215.80	9.63	-50.1	-51.0	6.7	0.00e+00	0	46	104	0	70	17310
2026-01-23 21:34:54.88	215.95	9.71	-36.8	-36.7	11.3	2.24e-02	0	46	104	0	44	14923
2026-01-23 21:34:55.88	216.10	9.79	-37.2	-37.1	14.2	6.08e-04	0	46	0	67108864	44	15601
2026-01-23 21:34:56.89	216.25	9.87	-33.7	-33.5	14.9	1.70e-04	0	46	0	176160768	37	15472
2026-01-23 21:34:57.90	216.41	9.95	-32.1	-32.0	13.8	3.66e-04	0	46	0	301989888	36	13671
2026-01-23 21:34:58.90	216.56	10.03	-29.3	-29.2	13.8	5.00e-04	0	46	0	419430400	30	14025
2026-01-23 21:34:59.91	216.71	10.11	-28.9	-28.7	14.0	3.30e-04	0	46	0	528482304	29	14086
2026-01-23 21:35:00.92	216.87	10.20	-28.6	-28.4	13.9	4.12e-04	0	46	0	637534208	29	13593
2026-01-23 21:35:01.93	217.03	10.28	-28.6	-28.5	13.9	4.02e-04	0	46	0	754974720	28	14482
2026-01-23 21:35:02.94	217.19	10.36	-28.5	-28.3	13.9	3.80e-04	0	46	0	864026624	28	14269
2026-01-23 21:35:03.95	217.35	10.44	-28.6	-28.4	13.8	3.70e-04	0	46	0	981467136	28	14402
2026-01-23 21:35:04.95	217.51	10.53	-28.6	-28.4	13.8	4.33e-04	0	46	0	1090519040	28	14395
2026-01-23 21:35:05.96	217.67	10.61	-28.4	-28.3	13.8	4.63e-04	0	46	0	1207959552	28	14123
2026-01-23 21:35:06.97	217.83	10.69	-28.3	-28.2	13.8	4.82e-04	0	46	0	1317011456	28	13952
2026-01-23 21:35:07.98	217.99	10.77	-28.3	-28.1	13.8	3.74e-04	0	46	0	1426063360	28	13942
2026-01-23 21:35:08.99	218.16	10.86	-28.1	-28.0	13.9	3.68e-04	0	46	0	1543503872	28	13666
2026-01-23 21:35:10.00	218.32	10.94	-28.3	-28.1	13.8	4.44e-04	0	46	0	1652555776	28	13947
2026-01-23 21:35:11.00	218.49	11.02	-28.7	-28.6	13.9	4.39e-04	0	47	0	1778384896	28	14621
2026-01-23 21:35:12.01	218.66	11.11	-28.6	-28.4	14.0	4.16e-04	0	46	0	1887436800	28	14436
2026-01-23 21:35:13.02	218.83	11.19	-28.7	-28.6	13.8	4.75e-04	0	46	0	2004877312	28	14652
2026-01-23 21:35:14.03	219.00	11.28	-28.5	-28.4	13.8	4.50e-04	0	47	0	2113929216	28	14319
2026-01-23 21:35:15.03	219.17	11.36	-28.6	-28.5	13.8	5.59e-04	0	46	0	2231369728	28	14504
2026-01-23 21:35:16.04	219.34	11.45	-28.1	-28.0	13.7	4.81e-04	0	46	0	2340421632	28	13675
