#Pass ID: 20260123_215925_JL1KF02B03
#Satellite: JL1KF02B03
#Configuration: 01B_900M
#almurnet v.1.7.20251203
#Start time: 2026-01-23 21:59:24

#Version: 2.2.20231116
#Station: R3.2S_Murmansk
#Location: 33.079688 lon 68.888172 lat
#TLE: 1 61190U 24169B   26022.91257898  .00006723  00000+0  42235-3 0  9996
#TLE: 2 61190  97.5626 113.9295 0014746 155.0471 205.1474 15.09499681 73914

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-23 21:59:24.98	218.44	2.00	-54.8	-56.8	6.3	0.00e+00	0	45	0	0	80	19019
2026-01-23 21:59:25.95	218.54	2.05	-55.0	-57.1	6.2	0.00e+00	0	45	104	0	81	18480
2026-01-23 21:59:26.92	218.64	2.11	-55.0	-57.1	6.2	0.00e+00	0	45	104	0	81	18538
2026-01-23 21:59:27.89	218.74	2.16	-55.0	-57.1	6.2	0.00e+00	0	45	104	0	81	18582
2026-01-23 21:59:28.86	218.84	2.22	-55.0	-57.1	6.2	0.00e+00	0	45	104	0	81	18568
2026-01-23 21:59:29.83	218.94	2.27	-55.0	-57.1	6.2	0.00e+00	0	45	104	0	81	18523
2026-01-23 21:59:30.80	219.04	2.33	-55.0	-57.1	6.2	0.00e+00	0	45	104	0	81	18503
2026-01-23 21:59:31.77	219.14	2.39	-55.0	-57.1	6.2	0.00e+00	0	45	104	0	81	18425
2026-01-23 21:59:32.74	219.24	2.44	-54.9	-57.1	6.2	0.00e+00	0	45	104	0	81	18407
2026-01-23 21:59:33.70	219.34	2.50	-54.9	-57.0	6.2	0.00e+00	0	45	104	0	81	18267
2026-01-23 21:59:34.68	219.44	2.55	-54.9	-57.0	6.2	0.00e+00	0	45	104	0	81	18246
2026-01-23 21:59:35.64	219.54	2.61	-54.8	-56.9	6.2	0.00e+00	0	45	104	0	81	18134
2026-01-23 21:59:36.61	219.65	2.66	-54.8	-56.8	6.2	0.00e+00	0	45	104	0	81	17961
2026-01-23 21:59:37.58	219.75	2.72	-54.8	-56.8	6.2	0.00e+00	0	45	104	0	81	17942
2026-01-23 21:59:38.55	219.85	2.78	-54.7	-56.8	6.2	0.00e+00	0	45	104	0	81	17811
2026-01-23 21:59:39.51	219.96	2.83	-54.7	-56.7	6.2	0.00e+00	0	45	104	0	81	17763
2026-01-23 21:59:40.48	220.06	2.89	-54.6	-56.7	6.2	0.00e+00	0	45	104	0	81	17639
2026-01-23 21:59:41.45	220.17	2.94	-54.6	-56.6	6.2	0.00e+00	0	45	104	0	81	17562
2026-01-23 21:59:42.42	220.27	3.00	-54.5	-56.6	6.2	0.00e+00	0	45	104	0	81	17423
2026-01-23 21:59:43.39	220.38	3.06	-54.4	-56.5	6.2	0.00e+00	0	45	104	0	80	18257
2026-01-23 21:59:44.37	220.49	3.11	-54.3	-56.4	6.2	0.00e+00	0	45	104	0	80	18049
2026-01-23 21:59:45.33	220.59	3.17	-54.2	-56.2	6.2	0.00e+00	0	45	104	0	80	17739
2026-01-23 21:59:46.30	220.70	3.23	-54.0	-56.1	6.2	0.00e+00	0	45	104	0	80	17387
2026-01-23 21:59:47.27	220.81	3.28	-53.9	-56.0	6.2	0.00e+00	0	45	104	0	79	18310
2026-01-23 21:59:48.24	220.92	3.34	-53.4	-55.5	6.2	0.00e+00	0	45	104	0	78	18253
2026-01-23 21:59:49.21	221.02	3.40	-53.3	-55.5	6.2	0.00e+00	0	45	104	0	78	18185
2026-01-23 21:59:50.18	221.13	3.46	-53.3	-55.4	6.2	0.00e+00	0	45	104	0	78	18107
2026-01-23 21:59:51.15	221.24	3.51	-53.3	-55.4	6.2	0.00e+00	0	46	104	0	78	18105
2026-01-23 21:59:52.12	221.36	3.57	-53.3	-55.4	6.2	0.00e+00	0	45	104	0	78	18118
2026-01-23 21:59:53.10	221.47	3.63	-53.3	-55.4	6.2	0.00e+00	0	46	104	0	78	18064
2026-01-23 21:59:54.06	221.58	3.68	-53.3	-55.4	6.2	0.00e+00	0	46	104	0	78	18056
2026-01-23 21:59:55.03	221.69	3.74	-53.3	-55.4	6.2	0.00e+00	0	46	104	0	78	18019
2026-01-23 21:59:56.00	221.80	3.80	-53.3	-55.4	6.2	0.00e+00	0	46	104	0	78	18054
2026-01-23 21:59:56.97	221.92	3.86	-53.3	-55.4	6.2	0.00e+00	0	46	104	0	78	18028
2026-01-23 21:59:57.94	222.03	3.91	-53.3	-55.4	6.2	0.00e+00	0	46	104	0	78	18035
2026-01-23 21:59:58.91	222.14	3.97	-53.3	-55.4	6.2	0.00e+00	0	46	104	0	78	17999
2026-01-23 21:59:59.88	222.26	4.03	-53.3	-55.3	6.2	0.00e+00	0	46	104	0	78	17962
2026-01-23 22:00:00.85	222.37	4.09	-53.3	-55.4	6.2	0.00e+00	0	46	104	0	78	18047
2026-01-23 22:00:01.82	222.49	4.15	-53.3	-55.4	6.2	0.00e+00	0	46	104	0	78	18010
2026-01-23 22:00:02.79	222.61	4.20	-53.3	-55.3	6.2	0.00e+00	0	46	104	0	78	17932
2026-01-23 22:00:03.76	222.72	4.26	-53.3	-55.4	6.2	0.00e+00	0	46	104	0	78	18019
2026-01-23 22:00:04.72	222.84	4.32	-53.3	-55.4	6.2	0.00e+00	0	46	104	0	78	18042
2026-01-23 22:00:05.69	222.96	4.38	-53.3	-55.4	6.2	0.00e+00	0	46	104	0	78	18027
2026-01-23 22:00:06.66	223.08	4.44	-53.3	-55.4	6.2	0.00e+00	0	46	104	0	78	17995
2026-01-23 22:00:07.63	223.20	4.50	-53.3	-55.4	6.2	0.00e+00	0	46	104	0	78	17972
2026-01-23 22:00:08.60	223.32	4.55	-53.2	-55.4	6.2	0.00e+00	0	46	104	0	78	18002
2026-01-23 22:00:09.57	223.44	4.61	-53.3	-55.3	6.2	0.00e+00	0	46	104	0	78	17957
2026-01-23 22:00:10.54	223.56	4.67	-53.3	-55.4	6.2	0.00e+00	0	46	104	0	78	17976
2026-01-23 22:00:11.51	223.68	4.73	-53.3	-55.4	6.2	0.00e+00	0	46	104	0	78	17977
2026-01-23 22:00:12.48	223.80	4.79	-53.2	-55.4	6.2	0.00e+00	0	46	104	0	78	17989
2026-01-23 22:00:13.45	223.92	4.85	-53.2	-55.3	6.2	0.00e+00	0	46	104	0	78	17970
2026-01-23 22:00:14.41	224.05	4.91	-53.2	-55.3	6.2	0.00e+00	0	46	104	0	78	17932
2026-01-23 22:00:15.38	224.17	4.97	-53.2	-55.3	6.2	0.00e+00	0	46	104	0	78	17943
2026-01-23 22:00:16.35	224.29	5.02	-53.3	-55.4	6.2	0.00e+00	0	46	104	0	78	18013
2026-01-23 22:00:17.32	224.42	5.08	-53.4	-55.5	6.2	0.00e+00	0	46	104	0	78	18256
2026-01-23 22:00:18.29	224.55	5.14	-53.2	-55.3	6.2	0.00e+00	0	46	104	0	78	17907
2026-01-23 22:00:19.26	224.67	5.20	-53.3	-55.4	6.2	0.00e+00	0	46	104	0	78	18152
2026-01-23 22:00:20.23	224.80	5.26	-53.3	-55.3	6.2	0.00e+00	0	46	104	0	78	17954
2026-01-23 22:00:21.20	224.93	5.32	-53.2	-55.2	6.2	0.00e+00	0	46	104	0	78	17735
2026-01-23 22:00:22.18	225.06	5.38	-53.1	-55.2	6.2	0.00e+00	0	46	104	0	78	17753
2026-01-23 22:00:23.15	225.18	5.44	-53.3	-55.4	6.2	0.00e+00	0	46	104	0	78	18086
2026-01-23 22:00:24.13	225.32	5.50	-53.2	-55.4	6.2	0.00e+00	0	46	104	0	78	18005
2026-01-23 22:00:25.10	225.45	5.56	-53.2	-55.3	6.2	0.00e+00	0	46	104	0	78	17846
2026-01-23 22:00:26.06	225.57	5.62	-53.1	-55.2	6.2	0.00e+00	0	46	104	0	78	17713
2026-01-23 22:00:27.03	225.71	5.68	-53.3	-55.4	6.2	0.00e+00	0	46	104	0	78	18050
2026-01-23 22:00:28.00	225.84	5.74	-53.2	-55.3	6.2	0.00e+00	0	46	104	0	78	17963
2026-01-23 22:00:28.97	225.97	5.80	-53.2	-55.3	6.2	0.00e+00	0	46	104	0	78	17833
2026-01-23 22:00:29.93	226.10	5.86	-53.1	-55.2	6.2	0.00e+00	0	46	104	0	78	17749
2026-01-23 22:00:30.91	226.24	5.92	-53.3	-55.4	6.2	0.00e+00	0	46	104	0	78	18061
2026-01-23 22:00:31.88	226.37	5.98	-53.2	-55.3	6.2	0.00e+00	0	46	104	0	78	17889
2026-01-23 22:00:32.85	226.51	6.04	-53.2	-55.3	6.2	0.00e+00	0	46	104	0	78	17806
2026-01-23 22:00:33.82	226.64	6.10	-53.1	-55.2	6.2	0.00e+00	0	46	104	0	78	17713
2026-01-23 22:00:34.79	226.78	6.16	-53.2	-55.3	6.2	0.00e+00	0	46	104	0	78	17930
2026-01-23 22:00:35.76	226.92	6.22	-53.2	-55.3	6.2	0.00e+00	0	46	104	0	78	17902
2026-01-23 22:00:36.72	227.05	6.28	-53.2	-55.2	6.2	0.00e+00	0	47	104	0	78	17753
