#Pass ID: 20260124_105735_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#almurnet v.1.7.20251203
#Start time: 2026-01-24 10:57:35

#Version: 2.2.20231116
#Station: R3.2S_Murmansk
#Location: 33.079688 lon 68.888172 lat
#TLE: 1 43010U 17072A   26023.60174628  .00000324  00000+0  17481-3 0  9994
#TLE: 2 43010  98.9958 355.5514 0002482  93.7422 266.4037 14.19699955424476

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-24 10:57:35.37	136.87	1.97	-51.7	-63.6	3.8	8.47e-01	0	41	0	0	73	15534
2026-01-24 10:57:36.38	136.86	2.04	-51.7	-63.7	3.8	8.46e-01	0	41	104	0	73	15582
2026-01-24 10:57:37.39	136.85	2.10	-51.7	-63.6	3.8	8.47e-01	0	41	104	0	73	15529
2026-01-24 10:57:38.40	136.83	2.17	-51.7	-63.6	3.8	8.45e-01	0	41	104	0	73	15476
2026-01-24 10:57:39.41	136.82	2.23	-51.6	-63.6	3.8	8.47e-01	0	41	104	0	73	15446
2026-01-24 10:57:40.41	136.81	2.30	-51.6	-63.6	3.8	8.45e-01	0	41	104	0	73	15434
2026-01-24 10:57:41.42	136.79	2.36	-51.6	-63.6	3.8	8.46e-01	0	41	104	0	73	15442
2026-01-24 10:57:42.43	136.78	2.43	-50.9	-63.6	3.8	8.45e-01	0	41	104	0	73	15418
2026-01-24 10:57:43.44	136.77	2.49	-51.6	-63.5	3.8	8.45e-01	0	41	104	0	73	15368
2026-01-24 10:57:44.45	136.75	2.56	-51.6	-63.5	3.8	8.47e-01	0	41	104	0	73	15393
2026-01-24 10:57:45.46	136.74	2.63	-51.6	-63.5	3.8	8.46e-01	0	41	104	0	73	15332
2026-01-24 10:57:46.47	136.73	2.69	-51.6	-63.5	3.8	8.47e-01	0	41	104	0	73	15262
2026-01-24 10:57:47.48	136.72	2.76	-51.6	-63.5	3.8	8.46e-01	0	41	104	0	73	15252
2026-01-24 10:57:48.49	136.70	2.83	-51.6	-63.4	3.8	8.45e-01	0	41	104	0	73	15174
2026-01-24 10:57:49.49	136.69	2.89	-51.6	-63.4	3.8	8.45e-01	0	41	104	0	73	15161
2026-01-24 10:57:50.50	136.67	2.96	-51.6	-63.4	3.8	8.45e-01	0	42	104	0	73	15185
2026-01-24 10:57:51.51	136.66	3.02	-51.6	-63.4	3.8	8.46e-01	0	41	104	0	73	15223
2026-01-24 10:57:52.52	136.65	3.09	-51.6	-63.4	3.8	8.45e-01	0	41	104	0	73	15133
2026-01-24 10:57:53.53	136.63	3.16	-51.6	-63.4	3.8	8.46e-01	0	41	104	0	73	15085
2026-01-24 10:57:54.53	136.62	3.23	-51.6	-63.3	3.8	8.46e-01	0	41	104	0	73	14950
2026-01-24 10:57:55.54	136.61	3.29	-51.6	-63.3	3.8	8.46e-01	0	42	104	0	73	15011
2026-01-24 10:57:56.55	136.59	3.36	-51.6	-63.2	3.8	8.45e-01	0	42	104	0	73	14841
2026-01-24 10:57:57.56	136.58	3.43	-51.6	-63.1	3.8	8.45e-01	0	42	104	0	73	14694
2026-01-24 10:57:58.57	136.56	3.50	-51.6	-63.0	3.8	8.47e-01	0	42	104	0	73	14481
2026-01-24 10:57:59.57	136.55	3.56	-51.5	-63.0	3.8	8.46e-01	0	42	104	0	73	14508
2026-01-24 10:58:00.58	136.54	3.63	-51.6	-63.2	3.8	8.47e-01	0	42	104	0	73	14793
2026-01-24 10:58:01.59	136.52	3.70	-51.6	-63.3	3.8	8.46e-01	0	42	104	0	73	14956
2026-01-24 10:58:02.60	136.51	3.77	-51.5	-62.8	3.9	8.47e-01	0	42	104	0	73	14113
2026-01-24 10:58:03.61	136.49	3.84	-51.4	-61.2	3.8	8.45e-01	0	42	104	0	73	11710
2026-01-24 10:58:04.61	136.48	3.91	-51.0	-58.4	4.7	8.21e-01	0	42	0	0	73	8519
2026-01-24 10:58:05.62	136.46	3.98	-50.3	-55.8	6.6	3.80e-01	0	42	0	2097152	71	7064
2026-01-24 10:58:06.63	136.45	4.05	-49.4	-53.4	8.8	5.49e-02	0	42	0	7340032	71	5388
2026-01-24 10:58:07.64	136.43	4.12	-48.1	-50.9	11.5	3.24e-03	0	42	0	13631488	68	4779
2026-01-24 10:58:08.65	136.42	4.19	-47.2	-49.6	12.8	2.76e-04	0	42	0	18874368	65	4871
2026-01-24 10:58:09.65	136.40	4.25	-46.3	-48.2	14.2	3.40e-06	0	42	0	25165824	64	4412
2026-01-24 10:58:10.66	136.39	4.32	-45.7	-47.4	15.2	1.10e-06	0	42	0	30408704	63	4251
2026-01-24 10:58:11.67	136.37	4.39	-45.4	-47.1	15.5	0.00e+00	0	42	0	36700160	62	4343
2026-01-24 10:58:12.68	136.36	4.47	-44.3	-45.6	17.2	0.00e+00	0	42	0	41943040	59	4390
2026-01-24 10:58:13.69	136.34	4.54	-44.3	-45.6	17.2	0.00e+00	0	42	0	48234496	59	4368
2026-01-24 10:58:14.69	136.33	4.61	-44.0	-45.3	17.6	0.00e+00	0	42	0	53477376	58	4454
2026-01-24 10:58:15.70	136.31	4.68	-43.4	-44.6	18.3	0.00e+00	0	42	0	58720256	58	4107
2026-01-24 10:58:16.71	136.29	4.75	-43.3	-44.5	18.4	0.00e+00	0	42	0	65011712	58	4075
2026-01-24 10:58:17.72	136.28	4.82	-43.7	-44.9	17.9	0.00e+00	0	42	0	70254592	58	4270
2026-01-24 10:58:18.73	136.26	4.89	-43.9	-45.2	17.7	0.00e+00	0	42	0	75497472	58	4402
2026-01-24 10:58:19.74	136.25	4.96	-44.2	-45.5	17.4	0.00e+00	0	42	0	81788928	58	4577
2026-01-24 10:58:20.75	136.23	5.04	-44.5	-45.9	16.6	0.00e+00	0	42	0	87031808	60	4259
2026-01-24 10:58:21.76	136.21	5.11	-45.5	-47.1	15.7	0.00e+00	0	42	0	92274688	61	4641
2026-01-24 10:58:22.77	136.20	5.18	-43.7	-45.0	18.1	0.00e+00	0	42	0	98566144	57	4552
2026-01-24 10:58:23.77	136.18	5.25	-47.8	-50.5	12.1	1.60e-05	0	42	0	104857600	66	5141
2026-01-24 10:58:24.78	136.17	5.32	-44.0	-45.2	18.0	0.00e+00	0	42	0	110100480	59	4180
2026-01-24 10:58:25.79	136.15	5.40	-48.6	-51.9	10.7	0.00e+00	0	42	0	115343360	67	5690
2026-01-24 10:58:26.80	136.13	5.47	-44.1	-45.4	17.7	2.56e-04	0	42	0	121634816	59	4251
2026-01-24 10:58:27.81	136.12	5.54	-43.8	-45.0	18.1	0.00e+00	0	42	0	126877696	59	4091
2026-01-24 10:58:28.82	136.10	5.62	-43.4	-44.6	18.5	0.00e+00	0	42	0	133169152	57	4381
2026-01-24 10:58:29.83	136.08	5.69	-43.1	-44.2	18.9	0.00e+00	0	42	0	138412032	57	4188
2026-01-24 10:58:30.84	136.06	5.76	-43.0	-44.2	19.0	0.00e+00	0	42	0	143654912	57	4150
2026-01-24 10:58:31.85	136.05	5.84	-42.8	-43.9	19.3	0.00e+00	0	42	0	149946368	56	4246
2026-01-24 10:58:32.85	136.03	5.91	-42.9	-44.1	19.2	0.00e+00	0	42	0	155189248	56	4343
2026-01-24 10:58:33.86	136.01	5.99	-42.7	-43.8	19.4	0.00e+00	0	42	0	160432128	56	4205
2026-01-24 10:58:34.87	135.99	6.06	-42.7	-43.8	19.4	0.00e+00	0	42	0	166723584	56	4216
2026-01-24 10:58:35.88	135.98	6.14	-42.6	-43.7	19.6	0.00e+00	0	42	0	173015040	56	4151
2026-01-24 10:58:36.89	135.96	6.21	-42.8	-43.8	19.4	0.00e+00	0	42	0	178257920	56	4234
2026-01-24 10:58:37.90	135.94	6.29	-42.9	-44.0	19.2	0.00e+00	0	42	0	183500800	56	4322
2026-01-24 10:58:38.91	135.92	6.36	-42.5	-43.5	19.7	0.00e+00	0	42	0	189792256	56	4096
2026-01-24 10:58:39.92	135.91	6.44	-42.7	-43.8	19.5	0.00e+00	0	42	0	195035136	56	4227
2026-01-24 10:58:40.92	135.89	6.51	-42.5	-43.5	19.7	0.00e+00	0	42	0	200278016	55	4322
2026-01-24 10:58:41.93	135.87	6.59	-42.4	-43.4	19.8	0.00e+00	0	42	0	206569472	55	4290
2026-01-24 10:58:42.94	135.85	6.67	-42.8	-43.9	19.4	0.00e+00	0	42	0	211812352	56	4263
2026-01-24 10:58:43.95	135.83	6.74	-42.9	-44.0	19.4	0.00e+00	0	42	0	218103808	56	4295
2026-01-24 10:58:44.96	135.81	6.82	-42.7	-43.8	19.5	0.00e+00	0	42	0	223346688	56	4227
2026-01-24 10:58:45.96	135.79	6.90	-42.6	-43.6	19.6	0.00e+00	0	42	0	228589568	55	4384
2026-01-24 10:58:46.97	135.78	6.98	-42.4	-43.4	19.9	0.00e+00	0	42	0	234881024	55	4270
2026-01-24 10:58:47.98	135.76	7.05	-42.5	-43.5	19.8	0.00e+00	0	42	0	241172480	55	4313
2026-01-24 10:58:48.99	135.74	7.13	-42.6	-43.6	19.6	0.00e+00	0	42	0	246415360	55	4390
