#Pass ID: 20260125_173755_FENGYUN 3G
#Satellite: FENGYUN 3G
#Configuration: FENGYUN 3G
#almurnet v.1.7.20251203
#Start time: 2026-01-25 17:37:57

#Version: 2.2.20231116
#Station: R2.0S_Moscow
#Location: 37.707566 lon 55.798166 lat
#TLE: 1 56232U 23055A   26025.14527328  .00046082  00000+0  69370-3 0  9997
#TLE: 2 56232  49.9948   3.5622 0004071  80.7231 279.4197 15.54300718157774

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-25 17:37:57.27	227.60	2.11	-44.1	-62.2	3.8	8.47e-01	0	52	0	0	60	27834
2026-01-25 17:37:58.27	227.51	2.18	-44.1	-62.2	3.8	8.43e-01	0	52	104	0	60	27780
2026-01-25 17:37:59.28	227.43	2.24	-44.1	-62.1	3.8	8.46e-01	0	52	104	0	60	27679
2026-01-25 17:38:00.29	227.34	2.30	-44.1	-62.1	3.8	8.47e-01	0	52	104	0	60	27577
2026-01-25 17:38:01.30	227.26	2.37	-44.1	-62.1	3.8	8.47e-01	0	52	104	0	60	27438
2026-01-25 17:38:02.32	227.17	2.43	-44.1	-62.1	3.8	8.45e-01	0	52	104	0	60	27465
2026-01-25 17:38:03.33	227.08	2.50	-44.1	-62.1	3.8	8.46e-01	0	52	104	0	60	27522
2026-01-25 17:38:04.34	227.00	2.56	-44.1	-62.0	3.8	8.46e-01	0	52	104	0	60	27343
2026-01-25 17:38:05.35	226.91	2.63	-44.1	-61.9	3.8	8.46e-01	0	52	104	0	60	26967
2026-01-25 17:38:06.36	226.82	2.69	-44.1	-61.8	3.8	8.45e-01	0	53	104	0	60	26698
2026-01-25 17:38:07.37	226.73	2.76	-44.0	-61.8	3.8	8.45e-01	0	53	104	0	60	26589
2026-01-25 17:38:08.38	226.64	2.82	-44.1	-61.8	3.8	8.45e-01	0	53	104	0	60	26701
2026-01-25 17:38:09.39	226.55	2.89	-44.1	-61.9	3.8	8.46e-01	0	53	104	0	60	26811
2026-01-25 17:38:10.40	226.46	2.96	-44.1	-61.8	3.8	8.46e-01	0	53	104	0	60	26714
2026-01-25 17:38:11.41	226.37	3.02	-44.1	-61.9	3.8	8.46e-01	0	53	104	0	60	27034
2026-01-25 17:38:12.42	226.27	3.09	-44.1	-62.0	3.8	8.46e-01	0	53	104	0	60	27169
2026-01-25 17:38:13.43	226.18	3.16	-44.1	-62.1	3.8	8.46e-01	0	53	104	0	60	27459
2026-01-25 17:38:14.44	226.09	3.22	-44.1	-62.1	3.8	8.46e-01	0	53	104	0	60	27666
2026-01-25 17:38:15.45	225.99	3.29	-44.1	-62.2	3.8	8.47e-01	0	53	104	0	60	27727
2026-01-25 17:38:16.46	225.90	3.36	-44.1	-62.2	3.8	8.47e-01	0	53	104	0	60	27815
2026-01-25 17:38:17.47	225.80	3.42	-44.1	-62.2	3.8	8.47e-01	0	53	104	0	60	27826
2026-01-25 17:38:18.48	225.71	3.49	-44.1	-62.2	3.8	8.46e-01	0	53	104	0	60	27791
2026-01-25 17:38:19.49	225.61	3.56	-44.1	-62.2	3.8	8.46e-01	0	53	104	0	60	27780
2026-01-25 17:38:20.51	225.51	3.63	-44.1	-62.2	3.8	8.46e-01	0	53	104	0	60	27752
2026-01-25 17:38:21.52	225.41	3.70	-44.1	-62.2	3.8	8.46e-01	0	54	104	0	60	27756
2026-01-25 17:38:22.53	225.31	3.76	-44.1	-62.2	3.8	8.46e-01	0	54	104	0	60	27724
2026-01-25 17:38:23.54	225.21	3.83	-44.1	-62.2	3.8	8.46e-01	0	54	104	0	60	27747
2026-01-25 17:38:24.55	225.11	3.90	-44.1	-62.2	3.8	8.46e-01	0	54	104	0	60	27712
2026-01-25 17:38:25.56	225.01	3.97	-44.1	-62.1	3.8	8.46e-01	0	54	104	0	60	27677
2026-01-25 17:38:26.57	224.91	4.04	-44.1	-62.1	3.8	8.46e-01	0	54	104	0	60	27689
2026-01-25 17:38:27.58	224.81	4.11	-44.1	-62.1	3.8	8.46e-01	0	54	104	0	60	27685
2026-01-25 17:38:28.59	224.71	4.18	-44.0	-62.2	3.8	8.46e-01	0	54	104	0	60	27720
2026-01-25 17:38:29.60	224.60	4.25	-44.0	-62.2	3.8	8.46e-01	0	54	104	0	60	27758
2026-01-25 17:38:30.61	224.50	4.32	-44.1	-62.1	3.8	8.46e-01	0	54	104	0	60	27700
2026-01-25 17:38:31.62	224.39	4.39	-44.1	-62.1	3.8	8.47e-01	0	54	104	0	60	27700
2026-01-25 17:38:32.63	224.29	4.46	-44.1	-62.1	3.8	8.46e-01	0	54	104	0	59	29322
2026-01-25 17:38:33.64	224.18	4.53	-44.1	-62.0	3.8	8.46e-01	0	54	104	0	59	28890
2026-01-25 17:38:34.65	224.07	4.60	-44.1	-62.1	3.8	8.46e-01	0	54	104	0	59	29241
