#Pass ID: 20260125_103904_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#almurnet v.1.7.20240730
#Start time: 2026-01-25 10:39:05

#Version: 2.2.20231116
#Station: R2M6_AANII_01
#Location: 30.233357 lon 59.946436 lat
#TLE: 1 43010U 17072A   26024.51794477  .00000040  00000+0  40682-4 0  9990
#TLE: 2 43010  98.9961 356.4820 0002494  91.2631 268.8830 14.19699550424601

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-25 10:39:05.83	106.54	7.08	-30.8	-34.4	5.1	7.95e-01	0	41	0	0	22	5477
2026-01-25 10:39:06.83	106.46	7.14	-30.4	-33.2	5.3	7.87e-01	0	41	104	0	22	4972
2026-01-25 10:39:07.84	106.37	7.21	-30.3	-33.0	9.3	2.38e-02	0	41	0	0	22	4895
2026-01-25 10:39:08.84	106.29	7.28	-30.3	-33.0	9.3	2.28e-02	0	41	102	1048576	22	4907
2026-01-25 10:39:09.85	106.20	7.35	-30.3	-32.9	9.4	2.41e-02	0	42	102	1048576	22	4847
2026-01-25 10:39:10.84	106.12	7.41	-30.3	-33.4	9.4	2.03e-02	0	41	102	1048576	21	5162
2026-01-25 10:39:11.84	106.03	7.48	-30.6	-34.2	8.8	2.67e-02	0	42	102	1048576	21	5479
2026-01-25 10:39:12.84	105.95	7.55	-30.3	-33.5	9.3	2.82e-02	0	42	102	1048576	21	5198
2026-01-25 10:39:13.85	105.86	7.62	-29.8	-32.1	10.2	1.08e-02	0	42	102	1048576	21	4690
2026-01-25 10:39:14.85	105.78	7.69	-29.3	-31.7	11.3	2.29e-03	0	42	102	1048576	19	4740
2026-01-25 10:39:15.85	105.69	7.75	-28.9	-30.6	11.9	7.54e-04	0	42	102	1048576	19	4400
2026-01-25 10:39:16.86	105.60	7.82	-28.5	-30.1	12.6	2.78e-04	0	42	102	1048576	18	4352
2026-01-25 10:39:17.86	105.51	7.89	-28.2	-29.9	13.1	5.83e-05	0	42	102	1048576	17	4388
2026-01-25 10:39:18.87	105.42	7.96	-27.9	-29.3	13.4	2.86e-05	0	42	102	1048576	17	4214
2026-01-25 10:39:19.87	105.34	8.03	-27.8	-28.9	13.6	1.02e-05	0	42	102	1048576	17	4116
2026-01-25 10:39:20.88	105.25	8.10	-27.7	-29.2	13.8	6.80e-06	0	42	102	1048576	16	4296
2026-01-25 10:39:21.88	105.16	8.17	-27.7	-29.2	13.8	1.02e-05	0	42	102	1048576	16	4294
2026-01-25 10:39:22.88	105.07	8.23	-27.6	-29.1	13.9	8.00e-06	0	42	102	1048576	16	4256
2026-01-25 10:39:23.88	104.98	8.30	-27.6	-29.0	13.9	6.80e-06	0	42	102	1048576	16	4222
2026-01-25 10:39:24.89	104.89	8.37	-27.6	-29.1	13.9	9.10e-06	0	42	102	1048576	16	4265
2026-01-25 10:39:25.89	104.79	8.44	-27.6	-29.0	13.9	5.70e-06	0	42	102	1048576	16	4226
2026-01-25 10:39:26.89	104.70	8.51	-27.6	-29.0	14.0	5.70e-06	0	42	102	1048576	16	4223
2026-01-25 10:39:27.90	104.61	8.58	-27.4	-28.7	14.2	5.70e-06	0	42	102	1048576	16	4142
2026-01-25 10:39:28.91	104.52	8.65	-27.5	-28.7	14.1	1.10e-06	0	42	102	1048576	16	4152
2026-01-25 10:39:29.91	104.42	8.72	-27.3	-28.4	14.3	1.10e-06	0	42	102	1048576	16	4067
2026-01-25 10:39:30.92	104.33	8.79	-27.5	-28.8	14.1	5.70e-06	0	42	102	1048576	16	4186
2026-01-25 10:39:31.91	104.24	8.86	-27.4	-28.5	14.3	4.50e-06	0	42	102	1048576	16	4101
2026-01-25 10:39:32.92	104.14	8.93	-27.1	-28.5	14.4	1.10e-06	0	42	102	1048576	15	4199
2026-01-25 10:39:33.93	104.05	9.00	-27.1	-28.4	14.5	4.50e-06	0	42	102	1048576	15	4181
2026-01-25 10:39:34.93	103.95	9.07	-27.0	-28.2	14.6	0.00e+00	0	42	102	1048576	15	4122
2026-01-25 10:39:35.94	103.85	9.14	-27.1	-28.4	14.4	0.00e+00	0	42	102	1048576	15	4177
2026-01-25 10:39:36.94	103.76	9.22	-27.1	-28.3	14.5	2.20e-06	0	42	102	1048576	15	4153
2026-01-25 10:39:37.94	103.66	9.29	-27.1	-28.3	14.5	2.20e-06	0	42	102	1048576	15	4157
2026-01-25 10:39:38.95	103.56	9.36	-27.2	-28.6	14.4	4.50e-06	0	42	102	1048576	15	4220
2026-01-25 10:39:39.95	103.47	9.43	-27.0	-28.2	14.6	0.00e+00	0	42	102	1048576	15	4119
2026-01-25 10:39:40.96	103.37	9.50	-26.9	-28.0	14.7	0.00e+00	0	42	102	1048576	15	4068
2026-01-25 10:39:41.97	103.27	9.57	-26.9	-28.0	14.7	0.00e+00	0	42	102	1048576	15	4066
2026-01-25 10:39:42.97	103.17	9.64	-27.1	-28.3	14.5	0.00e+00	0	42	102	1048576	15	4151
2026-01-25 10:39:43.98	103.07	9.72	-27.0	-28.2	14.7	1.10e-06	0	42	102	1048576	15	4124
2026-01-25 10:39:44.98	102.97	9.79	-27.0	-28.1	14.7	1.10e-06	0	42	102	1048576	15	4094
2026-01-25 10:39:45.99	102.87	9.86	-27.1	-28.4	14.5	2.20e-06	0	42	102	1048576	15	4177
2026-01-25 10:39:46.99	102.76	9.93	-27.0	-28.2	14.6	1.10e-06	0	42	102	1048576	15	4127
2026-01-25 10:39:48.00	102.66	10.00	-27.1	-28.5	14.5	0.00e+00	0	42	102	1048576	15	4194
2026-01-25 10:39:49.00	102.56	10.08	-27.0	-28.2	14.6	0.00e+00	0	43	102	1048576	15	4119
2026-01-25 10:39:50.01	102.46	10.15	-27.0	-28.1	14.7	0.00e+00	0	42	102	1048576	15	4109
2026-01-25 10:39:51.02	102.35	10.22	-27.0	-28.2	14.7	1.10e-06	0	42	102	1048576	15	4116
2026-01-25 10:39:52.03	102.25	10.29	-27.0	-28.2	14.6	2.20e-06	0	43	102	1048576	15	4128
2026-01-25 10:39:53.04	102.14	10.37	-27.0	-28.1	14.7	1.10e-06	0	42	102	1048576	15	4094
2026-01-25 10:39:54.04	102.04	10.44	-27.1	-28.3	14.6	2.20e-06	0	42	102	1048576	15	4164
2026-01-25 10:39:55.05	101.93	10.51	-27.0	-28.2	14.7	1.10e-06	0	42	102	1048576	15	4135
2026-01-25 10:39:56.06	101.82	10.59	-27.0	-28.1	14.7	0.00e+00	0	42	102	1048576	15	4107
2026-01-25 10:39:57.06	101.72	10.66	-27.0	-28.1	14.7	0.00e+00	0	43	102	1048576	15	4106
2026-01-25 10:39:58.07	101.61	10.73	-27.2	-28.5	14.5	2.20e-06	0	43	102	1048576	15	4204
2026-01-25 10:39:59.07	101.50	10.81	-27.0	-28.1	14.8	0.00e+00	0	43	102	1048576	15	4098
2026-01-25 10:40:00.07	101.39	10.88	-27.1	-28.4	14.6	0.00e+00	0	43	102	1048576	15	4170
2026-01-25 10:40:01.07	101.29	10.95	-27.3	-28.8	14.4	2.20e-06	0	43	102	1048576	15	4287
2026-01-25 10:40:02.07	101.18	11.03	-27.0	-28.2	14.7	1.10e-06	0	43	102	1048576	15	4131
2026-01-25 10:40:03.08	101.07	11.10	-26.9	-28.0	14.8	1.10e-06	0	43	102	1048576	15	4062
2026-01-25 10:40:04.09	100.95	11.18	-26.9	-27.9	14.9	0.00e+00	0	43	102	1048576	15	4042
2026-01-25 10:40:05.09	100.84	11.25	-26.9	-28.0	14.9	0.00e+00	0	43	102	1048576	15	4065
2026-01-25 10:40:06.09	100.73	11.32	-26.9	-27.9	14.9	0.00e+00	0	43	102	1048576	15	4043
