#Pass ID: 20260125_142917_JL1KF02B02
#Satellite: JL1KF02B02
#Configuration: 01B_900M
#almurnet v.1.7.20251203
#Start time: 2026-01-25 14:35:55

#Version: 2.2.20231116
#Station: R3.2S_Murmansk_2ch
#Location: 33.079688 lon 68.888172 lat
#TLE: 1 61193U 24169E   26024.52893868  .00009249  00000+0  57481-3 0  9996
#TLE: 2 61193  97.5621 116.2803 0013684 104.2578 256.0172 15.09798233 74160

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-25 14:35:55.35	313.99	7.91	-53.3	-55.6	6.2	2.90e-04	0	37	0	0	78	18395
2026-01-25 14:35:56.35	313.80	7.85	-53.0	-55.1	6.2	0.00e+00	0	39	104	0	77	18564
2026-01-25 14:35:57.34	313.62	7.80	-53.0	-55.1	6.2	0.00e+00	0	39	104	0	77	18586
2026-01-25 14:35:58.34	313.43	7.75	-52.9	-55.0	6.2	0.00e+00	0	40	104	0	77	18372
2026-01-25 14:35:59.35	313.25	7.69	-52.9	-55.0	6.2	0.00e+00	0	40	104	0	77	18278
2026-01-25 14:36:00.34	313.07	7.64	-52.9	-55.0	6.2	0.00e+00	0	39	104	0	77	18331
2026-01-25 14:36:01.34	312.89	7.59	-53.0	-55.1	6.2	0.00e+00	0	40	104	0	77	18487
2026-01-25 14:36:02.34	312.70	7.53	-52.9	-55.0	6.2	0.00e+00	0	40	104	0	77	18289
2026-01-25 14:36:03.33	312.53	7.48	-52.9	-55.0	6.2	0.00e+00	0	40	104	0	77	18300
2026-01-25 14:36:04.33	312.35	7.43	-52.9	-55.0	6.2	0.00e+00	0	40	104	0	77	18313
2026-01-25 14:36:05.33	312.17	7.37	-53.0	-55.1	6.2	0.00e+00	0	40	104	0	77	18428
2026-01-25 14:36:06.32	311.99	7.32	-52.9	-55.0	6.2	0.00e+00	0	40	104	0	77	18252
2026-01-25 14:36:07.33	311.81	7.26	-52.9	-55.0	6.2	0.00e+00	0	41	104	0	77	18289
2026-01-25 14:36:08.33	311.64	7.21	-52.9	-55.0	6.2	0.00e+00	0	41	104	0	77	18284
2026-01-25 14:36:09.33	311.46	7.15	-52.9	-55.0	6.2	0.00e+00	0	41	104	0	77	18345
2026-01-25 14:36:10.33	311.29	7.10	-52.9	-54.9	6.2	0.00e+00	0	41	104	0	77	18166
2026-01-25 14:36:11.33	311.11	7.05	-52.9	-55.0	6.2	0.00e+00	0	41	104	0	77	18214
2026-01-25 14:36:12.32	310.94	6.99	-52.9	-55.0	6.2	0.00e+00	0	41	104	0	77	18216
