#Pass ID: 20260125_141407_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#almurnet v.1.7.20251203
#Start time: 2026-01-25 14:14:10

#Version: 2.2.20231116
#Station: R4.6S_Anadyr
#Location: 177.4865 lon 64.73178 lat
#TLE: 1 43010U 17072A   26024.94080550 -.00000109  00000+0 -29577-4 0  9995
#TLE: 2 43010  98.9962 356.9116 0002509  91.7481 268.3982 14.19699259424665

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-25 14:14:10.35	20.18	0.12	-50.1	-65.1	3.5	1.51e+00	0	38	0	0	60	64698
2026-01-25 14:14:11.35	20.26	0.17	-50.4	-62.5	3.6	8.45e-01	0	39	104	0	60	48438
2026-01-25 14:14:12.36	20.35	0.22	-50.4	-62.6	3.6	8.46e-01	0	39	104	0	60	48578
2026-01-25 14:14:13.37	20.43	0.26	-50.4	-62.6	3.6	8.44e-01	0	39	104	0	60	48632
2026-01-25 14:14:14.38	20.51	0.31	-50.4	-62.6	3.6	8.46e-01	0	39	104	0	60	48486
2026-01-25 14:14:15.39	20.60	0.36	-50.4	-62.5	3.6	8.47e-01	0	39	104	0	60	48269
2026-01-25 14:14:16.40	20.68	0.40	-50.4	-62.6	3.6	8.45e-01	0	39	104	0	60	48697
2026-01-25 14:14:17.42	20.76	0.45	-50.5	-62.6	3.6	8.45e-01	0	40	104	0	60	48775
2026-01-25 14:14:18.43	20.85	0.50	-50.5	-62.6	3.6	8.45e-01	0	39	104	0	60	48745
2026-01-25 14:14:19.44	20.93	0.55	-50.5	-62.6	3.6	8.46e-01	0	40	104	0	60	48987
2026-01-25 14:14:20.44	21.02	0.59	-50.5	-62.6	3.6	8.46e-01	0	40	104	0	60	48908
2026-01-25 14:14:21.45	21.10	0.64	-50.5	-62.6	3.6	8.46e-01	0	40	104	0	60	48621
2026-01-25 14:14:22.46	21.19	0.69	-50.5	-62.6	3.6	8.44e-01	0	40	104	0	60	48741
2026-01-25 14:14:23.47	21.27	0.73	-50.4	-62.5	3.6	8.45e-01	0	40	104	0	60	48393
2026-01-25 14:14:24.48	21.36	0.78	-50.4	-62.5	3.6	8.45e-01	0	40	104	0	60	48377
2026-01-25 14:14:25.49	21.44	0.83	-50.3	-62.5	3.6	8.46e-01	0	40	104	0	60	48062
2026-01-25 14:14:26.50	21.53	0.87	-50.3	-62.4	3.6	8.45e-01	0	40	104	0	60	47716
2026-01-25 14:14:27.52	21.61	0.92	-50.1	-62.3	3.6	8.45e-01	0	40	104	0	60	47048
2026-01-25 14:14:28.53	21.70	0.97	-50.1	-62.3	3.6	8.45e-01	0	40	104	0	60	46955
2026-01-25 14:14:29.53	21.79	1.02	-50.0	-62.2	3.6	8.46e-01	0	40	104	0	60	46642
2026-01-25 14:14:30.54	21.87	1.06	-50.0	-62.1	3.6	8.45e-01	0	40	104	0	60	46093
2026-01-25 14:14:31.55	21.96	1.11	-49.9	-62.0	3.6	8.46e-01	0	40	104	0	60	45585
2026-01-25 14:14:32.56	22.05	1.16	-49.7	-61.9	3.6	8.46e-01	0	40	104	0	60	44849
2026-01-25 14:14:33.57	22.14	1.20	-49.5	-61.7	3.6	8.46e-01	0	40	104	0	60	43963
2026-01-25 14:14:34.58	22.22	1.25	-49.2	-61.2	3.6	8.44e-01	0	40	104	0	60	41697
2026-01-25 14:14:35.59	22.31	1.30	-48.9	-61.0	3.6	8.46e-01	0	40	104	0	60	40444
2026-01-25 14:14:36.60	22.40	1.35	-48.9	-61.0	3.6	8.45e-01	0	40	104	0	60	40329
2026-01-25 14:14:37.61	22.49	1.39	-48.8	-60.9	3.6	8.46e-01	0	40	104	0	60	40043
2026-01-25 14:14:38.62	22.58	1.44	-48.9	-60.9	3.6	8.47e-01	0	40	104	0	60	40019
2026-01-25 14:14:39.63	22.67	1.49	-48.9	-60.9	3.6	8.46e-01	0	40	104	0	60	40037
2026-01-25 14:14:40.64	22.76	1.54	-48.9	-60.9	3.6	8.46e-01	0	40	104	0	60	40308
2026-01-25 14:14:41.65	22.85	1.58	-48.8	-60.8	3.6	8.45e-01	0	40	104	0	60	39831
2026-01-25 14:14:42.66	22.94	1.63	-48.9	-60.9	3.6	8.45e-01	0	40	104	0	60	39998
2026-01-25 14:14:43.67	23.03	1.68	-48.9	-60.9	3.6	8.45e-01	0	40	104	0	60	40189
2026-01-25 14:14:44.68	23.12	1.73	-48.9	-61.0	3.6	8.45e-01	0	40	104	0	60	40419
2026-01-25 14:14:45.69	23.21	1.77	-48.9	-61.0	3.6	8.46e-01	0	40	104	0	60	40736
2026-01-25 14:14:46.70	23.30	1.82	-48.8	-60.9	3.6	8.45e-01	0	40	104	0	60	40179
2026-01-25 14:14:47.71	23.39	1.87	-48.9	-60.9	3.6	8.45e-01	0	40	104	0	60	40315
2026-01-25 14:14:48.72	23.48	1.92	-48.8	-60.8	3.6	8.46e-01	0	40	104	0	60	39786
2026-01-25 14:14:49.73	23.58	1.97	-48.8	-60.7	3.6	8.45e-01	0	40	104	0	60	39136
2026-01-25 14:14:50.74	23.67	2.01	-48.8	-60.6	3.6	8.45e-01	0	40	104	0	60	38879
2026-01-25 14:14:51.75	23.76	2.06	-48.8	-60.7	3.6	8.46e-01	0	40	104	0	60	39091
2026-01-25 14:14:52.76	23.85	2.11	-48.8	-60.8	3.6	8.46e-01	0	40	104	0	60	39451
2026-01-25 14:14:53.77	23.95	2.16	-48.8	-60.9	3.6	8.45e-01	0	40	104	0	60	39933
2026-01-25 14:14:54.78	24.04	2.20	-48.9	-60.8	3.6	8.46e-01	0	40	104	0	60	39751
2026-01-25 14:14:55.78	24.13	2.25	-48.8	-60.9	3.6	8.45e-01	0	40	104	0	60	39902
2026-01-25 14:14:56.79	24.23	2.30	-48.9	-60.9	3.6	8.46e-01	0	40	104	0	60	40304
2026-01-25 14:14:57.80	24.32	2.35	-48.8	-60.5	3.6	8.46e-01	0	40	104	0	60	38170
2026-01-25 14:14:58.81	24.42	2.40	-48.7	-59.6	3.6	8.45e-01	0	40	104	0	60	34416
2026-01-25 14:14:59.82	24.51	2.44	-48.7	-59.1	3.7	8.45e-01	0	40	104	0	60	32524
2026-01-25 14:15:00.83	24.61	2.49	-48.8	-60.0	3.6	8.45e-01	0	40	104	0	60	36091
2026-01-25 14:15:01.84	24.70	2.54	-48.7	-59.5	3.6	8.45e-01	0	40	104	0	60	34014
2026-01-25 14:15:02.85	24.80	2.59	-48.0	-54.4	5.5	7.67e-01	0	40	0	0	60	19017
2026-01-25 14:15:03.86	24.89	2.64	-46.0	-48.9	10.6	3.60e-02	0	40	0	5242880	60	10096
2026-01-25 14:15:04.87	24.99	2.68	-43.6	-45.4	14.6	3.40e-06	0	40	0	10485760	60	6713
2026-01-25 14:15:05.88	25.09	2.73	-41.0	-42.2	17.9	0.00e+00	0	40	0	16777216	56	5866
2026-01-25 14:15:06.89	25.18	2.78	-39.3	-40.3	19.4	0.00e+00	0	40	0	22020096	52	5951
2026-01-25 14:15:07.90	25.28	2.83	-37.9	-38.8	21.1	0.00e+00	0	40	0	28311552	50	5594
2026-01-25 14:15:08.91	25.38	2.88	-38.4	-39.3	20.6	0.00e+00	0	40	0	33554432	50	5899
2026-01-25 14:15:09.92	25.48	2.92	-37.9	-38.7	21.2	0.00e+00	0	40	0	39845888	50	5539
2026-01-25 14:15:10.93	25.57	2.97	-39.5	-40.5	19.5	0.00e+00	0	40	0	45088768	50	6812
2026-01-25 14:15:11.94	25.67	3.02	-42.6	-44.2	15.7	0.00e+00	0	40	0	50331648	56	7347
2026-01-25 14:15:12.95	25.77	3.07	-39.8	-40.8	19.1	0.00e+00	0	40	0	56623104	52	6312
2026-01-25 14:15:13.96	25.87	3.12	-38.1	-39.0	20.9	0.00e+00	0	40	0	61865984	48	6420
2026-01-25 14:15:14.97	25.97	3.17	-48.8	-60.1	3.6	7.98e-02	0	40	104	66060288	60	36664
2026-01-25 14:15:15.98	26.07	3.21	-47.8	-54.3	4.2	8.20e-01	0	40	104	66060288	60	18855
2026-01-25 14:15:16.99	26.17	3.26	-45.3	-47.8	11.1	0.00e+00	0	40	0	67108864	60	8843
2026-01-25 14:15:18.00	26.27	3.31	-39.5	-40.5	20.2	0.00e+00	0	40	0	72351744	54	5385
2026-01-25 14:15:19.01	26.37	3.36	-38.7	-39.6	20.5	0.00e+00	0	40	0	78643200	50	6171
2026-01-25 14:15:20.01	26.47	3.41	-37.6	-38.4	21.7	0.00e+00	0	40	0	83886080	48	5996
