#Pass ID: 20260125_225107_2024-110A
#Satellite: 2024-110A
#Configuration: 01B_900M
#almurnet v.1.7.20251203
#Start time: 2026-01-25 22:51:12

#Version: 2.2.20231116
#Station: R4.6S_Anadyr
#Location: 177.4865 lon 64.73178 lat
#TLE: 1 60012U 24110A   26025.53726470  .00013446  00000+0  80489-3 0  9995
#TLE: 2 60012  97.5725 118.4384 0009502  33.6364 326.5468 15.11106268 90358

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-25 22:51:12.73	23.34	0.28	-50.6	-52.2	5.6	0.00e+00	0	34	0	0	60	50044
2026-01-25 22:51:13.73	23.44	0.33	-51.1	-53.5	6.1	7.54e-01	0	35	104	0	60	58042
2026-01-25 22:51:14.74	23.53	0.39	-51.5	-53.9	6.1	7.54e-01	0	35	104	0	60	60637
2026-01-25 22:51:15.75	23.62	0.44	-50.8	-53.3	6.1	7.54e-01	0	35	104	0	60	56312
2026-01-25 22:51:16.76	23.72	0.49	-50.6	-53.0	6.1	7.54e-01	0	35	104	0	60	54847
2026-01-25 22:51:17.77	23.81	0.55	-50.7	-53.1	6.1	7.54e-01	0	35	104	0	60	55598
2026-01-25 22:51:18.78	23.91	0.60	-50.9	-53.3	6.1	7.54e-01	0	35	104	0	60	56952
2026-01-25 22:51:19.79	24.00	0.66	-50.2	-52.8	6.1	7.54e-01	0	35	104	0	60	53184
2026-01-25 22:51:20.81	24.10	0.71	-50.6	-53.0	6.1	7.53e-01	0	35	104	0	60	54803
2026-01-25 22:51:21.81	24.20	0.77	-50.7	-53.2	6.1	7.54e-01	0	35	104	0	60	55924
2026-01-25 22:51:22.82	24.29	0.82	-50.3	-52.9	6.1	7.54e-01	0	35	104	0	60	53785
2026-01-25 22:51:23.83	24.39	0.88	-50.7	-53.2	6.1	7.53e-01	0	36	104	0	60	55723
2026-01-25 22:51:24.84	24.49	0.93	-50.9	-53.3	6.1	7.55e-01	0	36	104	0	60	56702
2026-01-25 22:51:25.85	24.59	0.98	-50.2	-52.7	6.1	7.55e-01	0	36	104	0	60	52713
2026-01-25 22:51:26.86	24.68	1.04	-49.6	-52.2	6.1	7.54e-01	0	36	104	0	60	50085
2026-01-25 22:51:27.87	24.78	1.09	-50.0	-52.5	6.1	7.55e-01	0	36	104	0	60	51543
2026-01-25 22:51:28.88	24.88	1.15	-50.0	-52.5	6.1	7.55e-01	0	36	104	0	60	51928
2026-01-25 22:51:29.89	24.98	1.20	-49.9	-52.4	6.0	7.54e-01	0	36	104	0	60	50852
2026-01-25 22:51:30.90	25.08	1.26	-49.8	-52.2	6.1	7.54e-01	0	36	104	0	60	49880
2026-01-25 22:51:31.91	25.18	1.31	-49.6	-52.1	6.1	7.54e-01	0	36	104	0	60	49244
2026-01-25 22:51:32.92	25.28	1.37	-49.0	-51.6	6.1	7.54e-01	0	36	104	0	60	46581
2026-01-25 22:51:33.93	25.39	1.42	-49.0	-51.6	6.1	7.54e-01	0	36	104	0	60	46304
2026-01-25 22:51:34.94	25.49	1.48	-48.8	-51.2	6.1	7.54e-01	0	36	104	0	60	44601
2026-01-25 22:51:35.95	25.59	1.54	-48.8	-51.3	6.1	7.54e-01	0	36	104	0	60	45108
2026-01-25 22:51:36.96	25.69	1.59	-48.8	-51.3	6.1	7.55e-01	0	36	104	0	60	44944
2026-01-25 22:51:37.97	25.80	1.65	-48.8	-51.4	6.1	7.55e-01	0	36	104	0	60	45531
2026-01-25 22:51:38.98	25.90	1.70	-48.9	-51.4	6.1	7.53e-01	0	36	104	0	60	45603
