#Pass ID: 20260125_183722_FENGYUN 3B
#Satellite: FENGYUN 3B
#Configuration: FENGYUN 3B
#Start time: 2026-01-25 18:37:16

#Time	Level	Level2	SNR	BER	Gain	Gain2
18:37:16.12	-37.2	-43.8	3.3	15360229	91	4466
18:37:16.23	-36.9	-57.8	3.6	65345	64	23041
18:37:16.34	-36.8	-51.4	3.6	65345	77	11164
18:37:16.45	-37.0	-45.2	3.6	65345	90	5373
18:37:16.56	-37.0	-44.8	3.5	65345	90	5099
18:37:16.68	-37.0	-44.4	3.4	15173873	90	4884
18:37:16.79	-37.0	-44.2	3.4	15173873	90	4773
18:37:16.90	-37.0	-43.9	3.4	15173873	90	4644
18:37:17.01	-36.9	-43.8	3.3	15173873	90	4584
18:37:17.12	-36.9	-45.3	3.6	15173873	90	5422
18:37:17.23	-37.0	-45.3	3.6	15173873	90	5420
18:37:17.35	-37.0	-45.1	3.6	15173873	90	5313
18:37:17.46	-37.0	-44.7	3.5	15213691	90	5099
18:37:17.57	-36.9	-44.2	3.4	15213691	90	4770
18:37:17.68	-36.9	-44.0	3.4	15213691	90	4658
18:37:17.79	-36.9	-43.8	3.3	15213691	90	4591
18:37:17.90	-36.9	-43.8	3.3	15213691	90	4605
18:37:18.02	-37.0	-45.3	3.6	15213691	90	5455
18:37:18.13	-37.0	-45.3	3.6	15233276	90	5411
18:37:18.24	-36.9	-44.9	3.5	15233276	90	5182
18:37:18.35	-37.0	-44.5	3.4	15233276	90	4965
18:37:18.46	-36.9	-44.1	3.4	15233276	90	4764
18:37:18.57	-36.9	-44.0	3.4	15233276	90	4662
18:37:18.68	-36.9	-43.8	3.3	15233276	90	4583
18:37:18.80	-36.9	-45.3	3.5	15231422	90	5425
18:37:18.91	-36.9	-45.3	3.6	15231422	90	5427
18:37:19.02	-36.9	-45.2	3.6	15231422	90	5380
18:37:19.13	-36.9	-44.6	3.5	15231422	90	5036
18:37:19.24	-36.9	-44.3	3.4	15231422	90	4861
18:37:19.35	-36.9	-44.2	3.4	15231422	90	4783
18:37:19.47	-37.0	-43.9	3.3	15181091	90	4601
18:37:19.58	-36.9	-43.8	3.3	15181091	90	4580
18:37:19.69	-36.9	-45.3	3.6	15181091	90	5425
18:37:19.80	-36.9	-45.2	3.6	15181091	90	5409
18:37:19.91	-37.0	-44.9	3.5	15181091	90	5190
18:37:20.02	-36.9	-44.5	3.5	15181091	90	4952
18:37:20.14	-36.9	-44.2	3.4	15181091	90	4788
18:37:20.25	-36.9	-44.0	3.4	15189735	90	4688
18:37:20.36	-37.0	-43.9	3.3	15189735	90	4623
18:37:20.47	-36.9	-45.3	3.6	15189735	90	5454
18:37:20.58	-36.9	-45.2	3.6	15189735	90	5397
18:37:20.70	-37.0	-45.2	3.6	15189735	90	5402
18:37:20.81	-37.0	-44.9	3.6	15189735	90	5203
18:37:20.92	-37.0	-44.5	3.4	15203010	90	4926
18:37:21.03	-37.0	-44.1	3.4	15203010	90	4759
18:37:21.14	-37.0	-43.9	3.3	15203010	90	4636
18:37:21.25	-36.9	-43.8	3.3	15203010	90	4603
18:37:21.36	-36.9	-45.3	3.6	15203010	90	5450
18:37:21.47	-36.9	-45.3	3.6	15203010	90	5409
18:37:21.58	-37.0	-45.1	3.6	15219955	90	5319
18:37:21.70	-36.9	-44.6	3.5	15219955	90	5048
18:37:21.81	-37.0	-44.4	3.4	15219955	90	4891
18:37:21.92	-36.9	-44.0	3.4	15219955	90	4669
18:37:22.03	-36.9	-43.9	3.3	15219955	90	4607
18:37:22.14	-36.9	-43.7	3.3	15219955	90	4543
18:37:22.25	-36.9	-45.3	3.6	15219955	90	5459
18:37:22.37	-37.0	-45.2	3.6	15226638	90	5397
18:37:22.48	-36.9	-44.8	3.5	15226638	90	5171
18:37:22.59	-37.0	-44.5	3.5	15226638	90	4971
18:37:22.70	-36.9	-44.1	3.4	15226638	90	4753
18:37:22.81	-37.0	-43.9	3.4	15226638	90	4617
18:37:22.92	-37.0	-43.8	3.3	15226638	90	4571
18:37:23.04	-36.9	-45.3	3.5	15223770	90	5454
18:37:23.15	-36.9	-45.3	3.6	15223770	90	5432
18:37:23.26	-37.0	-45.3	3.6	15223770	90	5426
18:37:23.37	-37.0	-44.7	3.5	15223770	90	5053
18:37:23.48	-37.0	-44.3	3.4	15223770	90	4863
18:37:23.59	-37.0	-44.1	3.4	15223770	90	4726
18:37:23.71	-36.9	-43.9	3.3	15183776	90	4651
18:37:23.82	-36.9	-43.8	3.3	15183776	90	4557
18:37:23.93	-36.9	-45.2	3.6	15183776	90	5404
18:37:24.04	-37.0	-45.3	3.6	15183776	90	5425
18:37:24.15	-37.0	-45.2	3.6	15183776	90	5346
18:37:24.26	-36.9	-44.5	3.5	15183776	90	4972
18:37:24.38	-37.0	-44.3	3.4	15185279	90	4835
18:37:24.49	-37.0	-44.1	3.4	15185279	90	4725
18:37:24.60	-36.9	-43.9	3.3	15185279	90	4636
18:37:24.71	-36.9	-43.9	3.3	15185279	90	4622
18:37:24.82	-37.0	-45.3	3.6	15185279	90	5407
18:37:24.93	-37.0	-45.2	3.6	15185279	90	5397
18:37:25.05	-36.9	-44.9	3.5	15185279	90	5188
18:37:25.16	-37.0	-44.5	3.5	15194541	90	4974
18:37:25.27	-37.3	-44.3	3.4	15194541	91	4664
18:37:25.38	-37.3	-44.1	3.3	15194541	91	4553
18:37:25.49	-37.4	-44.2	3.3	15194541	91	4549
18:37:25.60	-37.4	-45.6	3.5	15194541	91	5375
18:37:25.71	-37.3	-45.4	3.6	15194541	91	5290
18:37:25.83	-37.4	-45.3	3.6	15224174	91	5213
18:37:25.94	-37.4	-45.1	3.5	15224174	91	5036
18:37:26.05	-37.4	-44.9	3.4	15224174	91	4927
18:37:26.16	-37.4	-44.2	3.4	15224174	91	4593
18:37:26.27	-37.4	-44.2	3.3	15224174	91	4557
18:37:26.38	-37.3	-44.1	3.3	15224174	91	4522
18:37:26.49	-37.4	-45.7	3.6	15242454	91	5408
18:37:26.61	-37.4	-45.7	3.6	15242454	91	5403
18:37:26.72	-37.4	-45.3	3.6	15242454	91	5194
18:37:26.83	-37.3	-44.7	3.5	15242454	91	4897
18:37:26.94	-37.3	-44.6	3.4	15242454	91	4781
18:37:27.05	-37.4	-44.4	3.4	15242454	91	4682
18:37:27.16	-37.4	-44.2	3.3	15197578	91	4570
18:37:27.28	-37.3	-45.5	3.6	15197578	91	5353
18:37:27.39	-37.3	-45.6	3.6	15197578	91	5376
18:37:27.50	-37.3	-45.6	3.6	15197578	91	5363
18:37:27.61	-37.4	-45.0	3.5	15197578	91	5037
18:37:27.72	-37.3	-44.7	3.4	15197578	91	4851
18:37:27.83	-37.3	-44.4	3.4	15197578	91	4685
18:37:27.95	-37.4	-44.3	3.3	15177513	91	4609
18:37:28.06	-37.4	-44.2	3.3	15177513	91	4545
18:37:28.17	-37.4	-45.6	3.6	15177513	91	5377
18:37:28.28	-37.4	-45.6	3.6	15177513	91	5367
18:37:28.39	-37.4	-45.4	3.6	15177513	91	5256
18:37:28.50	-37.3	-45.0	3.5	15177513	91	5034
18:37:28.61	-37.4	-44.5	3.4	15186988	91	4726
18:37:28.73	-37.4	-44.3	3.4	15186988	91	4622
18:37:28.84	-37.4	-44.2	3.3	15186988	91	4555
18:37:28.95	-37.4	-44.1	3.3	15186988	91	4532
18:37:29.06	-37.4	-45.5	3.6	15186988	91	5310
18:37:29.17	-37.5	-45.9	3.6	15186988	91	5464
18:37:29.28	-37.4	-44.9	3.5	15213218	92	4934
18:37:29.39	-37.4	-44.5	3.4	15213218	92	4675
18:37:29.51	-37.4	-44.0	3.4	15213218	92	4453
18:37:29.62	-37.5	-43.9	3.3	15213218	92	4348
18:37:29.73	-37.4	-43.8	3.3	15213218	92	4318
18:37:29.84	-37.4	-45.0	3.6	15213218	92	5033
18:37:29.95	-37.4	-45.1	3.6	15213218	92	5022
18:37:30.07	-37.4	-44.9	3.6	15231155	92	4914
18:37:30.18	-37.4	-44.5	3.5	15231155	92	4702
18:37:30.29	-37.4	-44.1	3.4	15231155	92	4515
18:37:30.40	-37.4	-43.9	3.4	15231155	92	4369
18:37:30.51	-37.4	-43.5	3.3	15231155	92	4219
18:37:30.62	-37.3	-43.5	3.3	15231155	92	4241
18:37:30.74	-37.4	-45.0	3.6	15227149	92	4993
18:37:30.85	-37.4	-45.0	3.6	15227149	92	4987
18:37:30.96	-37.3	-44.8	3.6	15227149	92	4909
18:37:31.07	-37.3	-44.2	3.5	15227149	92	4566
18:37:31.18	-37.3	-43.9	3.4	15227149	92	4452
18:37:31.29	-37.3	-43.6	3.3	15227149	92	4307
18:37:31.40	-37.4	-43.6	3.3	15185668	92	4265
18:37:31.51	-37.5	-45.3	3.6	15185668	92	5125
18:37:31.63	-37.4	-45.3	3.6	15185668	92	5108
18:37:31.74	-37.4	-45.2	3.6	15185668	92	5105
18:37:31.85	-37.5	-44.8	3.6	15185668	92	4818
18:37:31.96	-37.4	-44.2	3.4	15185668	92	4569
18:37:32.07	-37.4	-44.0	3.4	15175857	92	4440
18:37:32.19	-37.4	-43.8	3.4	15175857	92	4335
18:37:32.30	-37.5	-43.8	3.3	15175857	92	4291
18:37:32.41	-37.4	-45.1	3.6	15175857	92	5063
18:37:32.52	-37.4	-45.1	3.6	15175857	92	5086
18:37:32.63	-37.4	-45.0	3.6	15175857	92	5011
18:37:32.74	-37.4	-44.5	3.5	15175857	92	4724
18:37:32.86	-37.3	-44.2	3.4	15191329	92	4573
18:37:32.97	-37.3	-43.8	3.3	15191329	92	4392
18:37:33.08	-37.3	-43.5	3.3	15191329	92	4267
18:37:33.19	-37.3	-43.5	3.3	15191329	92	4266
18:37:33.30	-37.3	-45.0	3.6	15191329	92	5050
18:37:33.41	-37.2	-44.9	3.6	15191329	92	5046
18:37:33.53	-37.3	-44.7	3.5	15216201	92	4862
18:37:33.64	-37.4	-44.5	3.5	15216201	92	4703
18:37:33.75	-37.4	-44.2	3.4	15216201	92	4545
18:37:33.86	-37.4	-44.0	3.3	15216201	92	4439
18:37:33.97	-37.4	-43.9	3.3	15216201	92	4362
18:37:34.08	-37.5	-45.3	3.6	15216201	92	5150
18:37:34.20	-37.4	-45.1	3.6	15231567	92	5079
18:37:34.31	-37.4	-45.2	3.6	15231567	92	5144
18:37:34.42	-37.4	-44.7	3.5	15231567	92	4806
18:37:34.53	-37.4	-44.3	3.4	15231567	92	4644
18:37:34.64	-37.4	-44.0	3.4	15231567	92	4481
18:37:34.76	-37.3	-43.8	3.3	15231567	92	4372
18:37:34.87	-37.3	-43.6	3.3	15233833	92	4303
18:37:34.98	-37.3	-45.1	3.6	15233833	92	5066
18:37:35.09	-37.3	-45.0	3.6	15233833	92	5046
18:37:35.20	-37.3	-44.9	3.6	15233833	92	5007
18:37:35.31	-37.2	-44.2	3.5	15233833	92	4618
18:37:35.42	-37.2	-43.8	3.4	15233833	92	4452
18:37:35.54	-37.2	-43.6	3.4	15233833	92	4356
18:37:35.65	-37.2	-43.5	3.3	15173034	92	4292
18:37:35.76	-37.3	-43.7	3.3	15173034	92	4315
18:37:35.87	-37.4	-45.2	3.6	15173034	92	5075
18:37:35.98	-37.5	-45.3	3.6	15173034	92	5154
18:37:36.09	-37.4	-44.9	3.5	15173034	92	4930
18:37:36.21	-37.4	-44.5	3.5	15173034	92	4679
18:37:36.32	-37.4	-44.1	3.4	15182174	92	4485
18:37:36.43	-37.4	-43.8	3.3	15182174	92	4359
18:37:36.54	-37.4	-43.7	3.3	15182174	92	4311
18:37:36.65	-37.4	-45.2	3.5	15182174	92	5106
18:37:36.76	-37.4	-45.2	3.6	15182174	92	5113
18:37:36.87	-37.4	-45.1	3.6	15182174	92	5045
18:37:36.99	-37.4	-44.6	3.5	15189689	92	4778
18:37:37.10	-37.4	-44.3	3.4	15189689	92	4630
18:37:37.21	-37.4	-44.1	3.4	15189689	92	4467
18:37:37.32	-37.4	-43.8	3.3	15189689	92	4337
18:37:37.43	-37.3	-43.7	3.3	15189689	92	4321
18:37:37.54	-37.3	-45.2	3.6	15189689	92	5142
18:37:37.66	-37.4	-45.2	3.6	15189689	92	5105
18:37:37.77	-37.4	-44.8	3.5	15223907	92	4856
18:37:37.88	-37.4	-44.4	3.5	15223907	92	4670
18:37:37.99	-37.4	-44.1	3.4	15223907	92	4511
18:37:38.10	-37.5	-44.0	3.4	15223907	92	4415
18:37:38.21	-37.4	-43.5	3.3	15223907	92	4231
18:37:38.33	-37.4	-45.2	3.6	15223907	92	5095
