#Pass ID: 20260126_020547_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#almurnet v.1.7.20251203
#Start time: 2026-01-26 02:05:47

#Version: 2.2.20231116
#Station: R2.0S_Moscow
#Location: 37.707566 lon 55.798166 lat
#TLE: 1 43010U 17072A   26025.50461972  .00000046  00000+0  43592-4 0  9990
#TLE: 2 43010  98.9962 357.4844 0002523  89.7890 270.3575 14.19699798424744

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-26 02:05:47.67	15.23	2.02	-42.9	-54.6	3.8	8.46e-01	0	52	0	0	57	13782
2026-01-26 02:05:48.67	15.22	2.09	-43.0	-54.6	3.8	8.46e-01	0	52	104	0	57	13794
2026-01-26 02:05:49.68	15.21	2.15	-42.9	-54.6	3.8	8.46e-01	0	52	104	0	57	13762
2026-01-26 02:05:50.69	15.20	2.22	-42.9	-54.6	3.8	8.46e-01	0	52	104	0	57	13785
2026-01-26 02:05:51.70	15.19	2.28	-42.9	-54.6	3.8	8.45e-01	0	52	104	0	57	13788
2026-01-26 02:05:52.71	15.18	2.35	-42.9	-54.6	3.8	8.45e-01	0	52	104	0	57	13766
2026-01-26 02:05:53.72	15.17	2.41	-42.9	-54.6	3.8	8.46e-01	0	52	104	0	57	13772
2026-01-26 02:05:54.73	15.16	2.48	-42.9	-54.6	3.8	8.46e-01	0	52	104	0	57	13752
2026-01-26 02:05:55.74	15.15	2.54	-42.9	-54.5	3.8	8.45e-01	0	53	104	0	57	13717
2026-01-26 02:05:56.75	15.14	2.61	-42.9	-54.6	3.8	8.46e-01	0	53	104	0	57	13755
2026-01-26 02:05:57.76	15.13	2.67	-42.9	-54.6	3.8	8.45e-01	0	53	104	0	57	13824
2026-01-26 02:05:58.77	15.12	2.74	-42.9	-54.6	3.8	8.47e-01	0	53	104	0	57	13734
2026-01-26 02:05:59.78	15.11	2.81	-42.9	-54.6	3.8	8.47e-01	0	53	104	0	57	13767
2026-01-26 02:06:00.79	15.10	2.87	-42.9	-54.6	3.8	8.47e-01	0	53	104	0	57	13765
2026-01-26 02:06:01.80	15.09	2.94	-42.9	-54.5	3.8	8.46e-01	0	53	104	0	57	13715
2026-01-26 02:06:02.81	15.08	3.00	-42.9	-54.6	3.8	8.46e-01	0	53	104	0	57	13772
2026-01-26 02:06:03.83	15.06	3.07	-42.9	-54.5	3.8	8.46e-01	0	53	104	0	57	13715
2026-01-26 02:06:04.84	15.05	3.14	-42.9	-54.6	3.8	8.45e-01	0	53	104	0	57	13732
2026-01-26 02:06:05.85	15.04	3.21	-42.9	-54.5	3.8	8.46e-01	0	53	104	0	57	13701
2026-01-26 02:06:06.86	15.03	3.27	-42.9	-54.6	3.8	8.45e-01	0	53	104	0	57	13775
2026-01-26 02:06:07.87	15.02	3.34	-42.9	-54.6	3.8	8.47e-01	0	53	104	0	57	13744
2026-01-26 02:06:08.88	15.01	3.41	-42.9	-54.5	3.8	8.46e-01	0	54	104	0	57	13692
2026-01-26 02:06:09.89	14.99	3.48	-42.9	-54.5	3.8	8.47e-01	0	53	104	0	57	13710
2026-01-26 02:06:10.90	14.98	3.54	-42.9	-54.6	3.8	8.46e-01	0	54	104	0	57	13739
2026-01-26 02:06:11.91	14.97	3.61	-42.9	-54.5	3.8	8.45e-01	0	54	104	0	57	13720
2026-01-26 02:06:12.92	14.96	3.68	-42.9	-54.5	3.8	8.47e-01	0	54	104	0	57	13713
2026-01-26 02:06:13.93	14.95	3.75	-42.9	-54.5	3.8	8.46e-01	0	54	104	0	57	13713
2026-01-26 02:06:14.94	14.94	3.82	-42.9	-54.5	3.8	8.46e-01	0	54	104	0	57	13655
2026-01-26 02:06:15.95	14.92	3.88	-42.9	-54.5	3.8	8.46e-01	0	54	104	0	57	13671
2026-01-26 02:06:16.96	14.91	3.95	-42.9	-54.6	3.8	8.45e-01	0	54	104	0	57	13774
2026-01-26 02:06:17.97	14.90	4.02	-42.9	-54.6	3.8	8.47e-01	0	54	104	0	57	13741
2026-01-26 02:06:18.98	14.89	4.09	-42.9	-54.6	3.8	8.46e-01	0	54	104	0	57	13733
2026-01-26 02:06:20.00	14.87	4.16	-42.9	-54.5	3.8	8.46e-01	0	54	104	0	57	13716
2026-01-26 02:06:21.01	14.86	4.23	-42.9	-54.5	3.8	8.45e-01	0	54	104	0	57	13720
2026-01-26 02:06:22.02	14.85	4.30	-42.9	-54.5	3.8	8.46e-01	0	55	104	0	57	13707
2026-01-26 02:06:23.03	14.84	4.37	-42.9	-54.5	3.8	8.47e-01	0	55	104	0	57	13724
2026-01-26 02:06:24.04	14.82	4.44	-42.9	-54.5	3.8	8.46e-01	0	55	104	0	57	13714
2026-01-26 02:06:25.05	14.81	4.51	-42.9	-54.5	3.8	8.47e-01	0	54	104	0	57	13703
2026-01-26 02:06:26.06	14.80	4.58	-42.9	-54.5	3.8	8.46e-01	0	55	104	0	57	13674
2026-01-26 02:06:27.07	14.78	4.65	-42.9	-54.4	3.8	8.46e-01	0	55	104	0	57	13547
2026-01-26 02:06:28.08	14.77	4.72	-42.9	-54.5	3.8	8.46e-01	0	55	104	0	57	13698
2026-01-26 02:06:29.09	14.76	4.79	-42.9	-54.4	3.8	8.47e-01	0	55	104	0	57	13534
2026-01-26 02:06:30.10	14.75	4.86	-42.9	-54.4	3.8	8.46e-01	0	55	104	0	57	13504
2026-01-26 02:06:31.11	14.73	4.94	-42.9	-54.5	3.8	8.47e-01	0	55	104	0	57	13657
