#Pass ID: 20260126_102040_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#almurnet v.1.7.20240730
#Start time: 2026-01-26 10:20:41

#Version: 2.2.20231116
#Station: R2M6_AANII_01
#Location: 30.233357 lon 59.946436 lat
#TLE: 1 43010U 17072A   26025.85700374 -.00000071  00000+0 -11715-4 0  9992
#TLE: 2 43010  98.9962 357.8423 0002518  90.2035 269.9429 14.19699460424796

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-26 10:20:41.36	96.92	7.05	-31.0	-41.5	3.8	8.45e-01	0	41	0	0	23	12146
2026-01-26 10:20:42.36	96.83	7.11	-30.9	-41.4	3.8	8.46e-01	0	41	104	0	23	12034
2026-01-26 10:20:43.36	96.73	7.17	-30.8	-41.2	3.8	8.46e-01	0	41	104	0	23	11900
2026-01-26 10:20:44.37	96.63	7.24	-30.7	-41.5	3.8	8.45e-01	0	41	104	0	22	12418
2026-01-26 10:20:45.37	96.54	7.30	-30.6	-41.3	3.8	8.47e-01	0	42	104	0	22	12289
2026-01-26 10:20:46.37	96.44	7.36	-30.5	-41.2	3.8	8.46e-01	0	42	104	0	22	12244
2026-01-26 10:20:47.38	96.34	7.43	-30.5	-41.1	3.8	8.46e-01	0	42	104	0	22	12197
2026-01-26 10:20:48.39	96.24	7.49	-30.5	-41.1	3.8	8.47e-01	0	42	104	0	22	12198
2026-01-26 10:20:49.38	96.14	7.55	-30.5	-41.1	3.8	8.47e-01	0	42	104	0	22	12159
2026-01-26 10:20:50.39	96.04	7.62	-30.5	-41.1	3.8	8.47e-01	0	42	104	0	22	12139
2026-01-26 10:20:51.39	95.94	7.68	-30.5	-41.1	3.8	8.45e-01	0	42	104	0	22	12213
2026-01-26 10:20:52.39	95.84	7.74	-30.6	-41.2	3.8	8.45e-01	0	42	104	0	22	12224
2026-01-26 10:20:53.40	95.74	7.81	-30.6	-41.3	3.8	8.45e-01	0	42	104	0	22	12290
2026-01-26 10:20:54.41	95.64	7.87	-30.6	-41.3	3.8	8.46e-01	0	42	104	0	22	12325
2026-01-26 10:20:55.42	95.53	7.94	-30.7	-41.4	3.8	8.46e-01	0	42	104	0	22	12373
2026-01-26 10:20:56.42	95.43	8.00	-30.7	-41.5	3.8	8.46e-01	0	42	104	0	22	12450
2026-01-26 10:20:57.43	95.33	8.07	-30.7	-41.5	3.8	8.45e-01	0	42	104	0	22	12432
2026-01-26 10:20:58.44	95.22	8.13	-30.7	-41.5	3.8	8.46e-01	0	42	104	0	22	12457
2026-01-26 10:20:59.44	95.12	8.19	-30.7	-41.5	3.8	8.46e-01	0	42	104	0	22	12481
2026-01-26 10:21:00.44	95.01	8.26	-30.8	-41.6	3.8	8.46e-01	0	42	104	0	22	12498
2026-01-26 10:21:01.45	94.91	8.32	-30.8	-41.7	3.8	8.47e-01	0	42	104	0	22	12599
2026-01-26 10:21:02.46	94.80	8.39	-30.8	-41.7	3.8	8.45e-01	0	42	104	0	22	12547
2026-01-26 10:21:03.46	94.70	8.45	-30.9	-41.5	3.8	8.45e-01	0	42	104	0	22	12280
2026-01-26 10:21:04.46	94.59	8.52	-30.8	-41.0	3.8	8.47e-01	0	42	104	0	22	11637
2026-01-26 10:21:05.46	94.48	8.58	-30.8	-40.8	3.8	8.45e-01	0	42	104	0	22	11351
2026-01-26 10:21:06.46	94.38	8.64	-30.9	-41.1	3.8	8.46e-01	0	42	104	0	22	11621
2026-01-26 10:21:07.47	94.27	8.71	-31.0	-41.6	3.8	8.45e-01	0	42	104	0	22	12220
2026-01-26 10:21:08.47	94.16	8.77	-31.0	-41.7	3.8	8.46e-01	0	42	104	0	22	12342
2026-01-26 10:21:09.48	94.05	8.84	-31.0	-41.5	3.8	8.46e-01	0	42	104	0	22	12056
2026-01-26 10:21:10.49	93.94	8.90	-31.1	-41.2	3.8	8.47e-01	0	42	104	0	22	11547
2026-01-26 10:21:11.49	93.83	8.97	-31.0	-40.3	3.8	8.46e-01	0	42	104	0	22	10547
2026-01-26 10:21:12.49	93.72	9.03	-30.9	-39.3	4.1	8.43e-01	0	42	104	0	22	9483
2026-01-26 10:21:13.50	93.61	9.10	-30.9	-38.7	4.2	8.39e-01	0	42	0	0	22	8868
2026-01-26 10:21:14.50	93.50	9.17	-31.0	-39.4	4.1	8.37e-01	0	42	0	0	22	9490
2026-01-26 10:21:15.50	93.39	9.23	-31.1	-39.2	4.2	8.40e-01	0	42	0	0	22	9186
2026-01-26 10:21:16.50	93.28	9.30	-30.6	-36.1	5.5	8.02e-01	0	42	0	0	22	6719
2026-01-26 10:21:17.51	93.16	9.36	-29.8	-33.2	7.9	1.21e-01	0	42	0	5242880	21	5298
2026-01-26 10:21:18.51	93.05	9.43	-29.2	-32.2	9.5	2.38e-02	0	43	0	10485760	19	5064
2026-01-26 10:21:19.52	92.93	9.49	-29.0	-31.3	10.4	7.77e-03	0	43	0	16777216	19	4736
2026-01-26 10:21:20.53	92.82	9.56	-28.4	-30.3	11.5	1.88e-03	0	43	0	22020096	18	4470
2026-01-26 10:21:21.53	92.70	9.62	-28.2	-30.2	12.0	4.42e-04	0	42	0	27262976	17	4540
2026-01-26 10:21:22.53	92.59	9.69	-28.4	-30.7	11.7	6.51e-04	0	43	0	33554432	17	4702
2026-01-26 10:21:23.53	92.47	9.76	-28.4	-30.6	11.8	1.49e-03	0	43	0	38797312	17	4660
2026-01-26 10:21:24.53	92.36	9.82	-27.9	-29.6	12.5	1.73e-04	0	43	0	44040192	17	4342
2026-01-26 10:21:25.53	92.24	9.89	-28.0	-29.6	12.5	1.48e-04	0	43	0	50331648	17	4356
2026-01-26 10:21:26.54	92.12	9.95	-27.9	-29.5	12.6	1.53e-04	0	43	0	55574528	17	4326
2026-01-26 10:21:27.54	92.00	10.02	-27.7	-29.4	13.0	5.95e-05	0	43	0	61865984	16	4399
2026-01-26 10:21:28.54	91.89	10.08	-27.6	-29.3	13.2	5.14e-05	0	43	0	67108864	16	4346
2026-01-26 10:21:29.55	91.77	10.15	-27.9	-30.0	12.8	5.60e-05	0	43	0	72351744	16	4571
2026-01-26 10:21:30.54	91.65	10.22	-27.9	-29.9	12.8	2.43e-04	0	43	0	78643200	16	4528
2026-01-26 10:21:31.54	91.53	10.28	-27.8	-29.8	12.9	4.00e-05	0	43	0	83886080	16	4490
2026-01-26 10:21:32.54	91.41	10.35	-27.6	-29.3	13.3	2.74e-05	0	42	0	89128960	16	4342
2026-01-26 10:21:33.54	91.29	10.41	-27.6	-29.1	13.3	3.89e-05	0	43	0	95420416	16	4300
2026-01-26 10:21:34.55	91.16	10.48	-26.9	-28.1	14.0	6.80e-06	0	43	0	100663296	15	4140
2026-01-26 10:21:35.55	91.04	10.55	-26.7	-28.1	14.4	1.10e-06	0	43	0	105906176	14	4230
2026-01-26 10:21:36.55	90.92	10.61	-26.6	-28.0	14.5	1.10e-06	0	43	0	112197632	14	4214
2026-01-26 10:21:37.55	90.80	10.68	-26.7	-28.2	14.4	4.50e-06	0	43	0	117440512	14	4252
2026-01-26 10:21:38.55	90.67	10.75	-26.9	-28.5	14.2	1.10e-06	0	43	0	123731968	14	4353
2026-01-26 10:21:39.56	90.55	10.81	-26.8	-28.2	14.3	3.40e-06	0	43	0	128974848	14	4273
2026-01-26 10:21:40.57	90.42	10.88	-26.7	-28.1	14.4	2.20e-06	0	43	0	135266304	14	4226
2026-01-26 10:21:41.57	90.29	10.95	-26.5	-27.8	14.6	2.20e-06	0	43	0	140509184	14	4140
2026-01-26 10:21:42.57	90.17	11.01	-26.5	-27.8	14.7	0.00e+00	0	43	0	145752064	14	4143
2026-01-26 10:21:43.58	90.04	11.08	-26.8	-28.4	14.3	3.40e-06	0	43	0	152043520	14	4308
2026-01-26 10:21:44.59	89.91	11.15	-26.6	-27.8	14.7	3.40e-06	0	43	0	157286400	14	4136
2026-01-26 10:21:45.59	89.78	11.22	-26.1	-27.2	15.3	0.00e+00	0	43	0	162529280	13	4103
2026-01-26 10:21:46.60	89.65	11.28	-26.1	-27.1	15.3	0.00e+00	0	43	0	168820736	13	4080
2026-01-26 10:21:47.60	89.52	11.35	-26.0	-27.1	15.3	0.00e+00	0	43	0	174063616	13	4076
2026-01-26 10:21:48.60	89.39	11.42	-26.0	-27.1	15.4	0.00e+00	0	43	0	179306496	13	4061
2026-01-26 10:21:49.60	89.26	11.48	-26.0	-26.9	15.4	0.00e+00	0	43	0	185597952	13	4025
2026-01-26 10:21:50.59	89.13	11.55	-25.9	-26.8	15.5	0.00e+00	0	43	0	190840832	13	4004
2026-01-26 10:21:51.59	89.00	11.62	-25.8	-26.7	15.6	0.00e+00	0	43	0	197132288	13	3955
2026-01-26 10:21:52.59	88.87	11.68	-26.2	-27.4	15.2	0.00e+00	0	43	0	202375168	13	4147
2026-01-26 10:21:53.59	88.74	11.75	-26.2	-27.5	15.2	0.00e+00	0	43	0	207618048	13	4164
2026-01-26 10:21:54.59	88.60	11.82	-26.3	-27.6	15.1	0.00e+00	0	43	0	213909504	13	4211
2026-01-26 10:21:55.59	88.47	11.88	-26.2	-27.5	15.2	0.00e+00	0	43	0	219152384	13	4182
2026-01-26 10:21:56.60	88.33	11.95	-26.2	-27.4	15.2	0.00e+00	0	43	0	224395264	13	4143
2026-01-26 10:21:57.60	88.20	12.02	-26.3	-27.6	15.1	0.00e+00	0	43	0	230686720	13	4199
2026-01-26 10:21:58.60	88.06	12.09	-26.3	-27.7	15.1	0.00e+00	0	43	0	235929600	13	4222
