#Pass ID: 20260126_000540_ZKG05
#Satellite: ZKG05
#Configuration: ZKG05
#almurnet v.1.7.20251203
#Start time: 2026-01-26 00:05:40

#Version: 2.2.20231116
#Station: R3.2S_Murmansk
#Location: 33.079688 lon 68.888172 lat
#TLE: 1 65263U 25180E   26025.53288388  .00001444  00000+0  77880-4 0  9994
#TLE: 2 65263  97.4774 154.6216 0001647  84.9743 275.1678 15.16338307 24100

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-26 00:05:40.44	205.65	2.01	-54.3	-56.4	6.2	0.00e+00	0	50	0	0	79	19048
2026-01-26 00:05:41.44	205.74	2.08	-54.2	-56.4	6.2	0.00e+00	0	50	104	0	80	18006
2026-01-26 00:05:42.44	205.82	2.14	-54.2	-56.3	6.2	0.00e+00	0	50	104	0	80	17900
2026-01-26 00:05:43.45	205.91	2.20	-54.3	-56.4	6.2	0.00e+00	0	50	104	0	80	17998
2026-01-26 00:05:44.46	206.00	2.26	-54.4	-56.5	6.2	0.00e+00	0	50	104	0	80	18259
2026-01-26 00:05:45.46	206.08	2.33	-54.5	-56.5	6.2	0.00e+00	0	50	104	0	80	18371
2026-01-26 00:05:46.47	206.17	2.39	-54.5	-56.6	6.2	0.00e+00	0	50	104	0	80	18453
2026-01-26 00:05:47.47	206.26	2.45	-54.5	-56.6	6.2	0.00e+00	0	50	104	0	80	18554
2026-01-26 00:05:48.48	206.35	2.52	-54.5	-56.6	6.2	0.00e+00	0	50	104	0	80	18570
2026-01-26 00:05:49.49	206.44	2.58	-54.5	-56.6	6.2	0.00e+00	0	50	104	0	80	18530
2026-01-26 00:05:50.50	206.53	2.64	-54.5	-56.6	6.2	0.00e+00	0	51	104	0	80	18517
2026-01-26 00:05:51.51	206.62	2.71	-54.5	-56.6	6.2	0.00e+00	0	50	104	0	80	18457
2026-01-26 00:05:52.52	206.71	2.77	-54.5	-56.5	6.2	0.00e+00	0	51	104	0	80	18335
2026-01-26 00:05:53.53	206.80	2.84	-54.4	-56.5	6.2	0.00e+00	0	51	104	0	80	18294
2026-01-26 00:05:54.54	206.89	2.90	-54.4	-56.5	6.2	0.00e+00	0	51	104	0	80	18203
2026-01-26 00:05:55.55	206.98	2.96	-54.4	-56.4	6.2	0.00e+00	0	51	104	0	80	18156
2026-01-26 00:05:56.56	207.07	3.03	-54.3	-56.4	6.2	0.00e+00	0	51	104	0	80	18059
2026-01-26 00:05:57.57	207.17	3.09	-54.3	-56.4	6.2	0.00e+00	0	51	104	0	80	18006
2026-01-26 00:05:58.57	207.26	3.16	-54.2	-56.3	6.2	0.00e+00	0	51	104	0	80	17799
2026-01-26 00:05:59.58	207.35	3.22	-54.1	-56.2	6.2	0.00e+00	0	51	104	0	80	17664
2026-01-26 00:06:00.59	207.45	3.29	-54.0	-56.1	6.2	0.00e+00	0	51	104	0	80	17474
2026-01-26 00:06:01.59	207.54	3.35	-54.0	-56.1	6.2	0.00e+00	0	51	104	0	79	18470
2026-01-26 00:06:02.61	207.64	3.42	-53.9	-56.0	6.2	0.00e+00	0	51	104	0	79	18278
2026-01-26 00:06:03.61	207.73	3.48	-53.8	-55.8	6.2	0.00e+00	0	51	104	0	79	17966
2026-01-26 00:06:04.62	207.83	3.55	-53.6	-55.7	6.2	0.00e+00	0	51	104	0	79	17602
2026-01-26 00:06:05.63	207.93	3.62	-53.2	-55.3	6.2	0.00e+00	0	51	104	0	78	17904
2026-01-26 00:06:06.64	208.03	3.68	-52.9	-55.0	6.2	0.00e+00	0	51	104	0	77	18240
2026-01-26 00:06:07.65	208.12	3.75	-52.8	-54.9	6.2	0.00e+00	0	51	104	0	77	18148
2026-01-26 00:06:08.65	208.22	3.81	-52.8	-54.9	6.2	0.00e+00	0	51	104	0	77	18156
2026-01-26 00:06:09.65	208.32	3.88	-52.8	-54.9	6.2	0.00e+00	0	52	104	0	77	18123
2026-01-26 00:06:10.66	208.42	3.95	-52.8	-54.9	6.2	0.00e+00	0	52	104	0	77	18109
2026-01-26 00:06:11.67	208.52	4.01	-52.8	-54.9	6.2	0.00e+00	0	52	104	0	77	18145
2026-01-26 00:06:12.68	208.62	4.08	-52.8	-54.9	6.2	0.00e+00	0	52	104	0	77	18100
2026-01-26 00:06:13.69	208.72	4.15	-52.8	-54.9	6.2	0.00e+00	0	52	104	0	77	18052
2026-01-26 00:06:14.69	208.82	4.22	-52.8	-54.9	6.2	0.00e+00	0	52	104	0	77	18147
2026-01-26 00:06:15.70	208.93	4.28	-52.8	-54.9	6.2	0.00e+00	0	52	104	0	77	18139
2026-01-26 00:06:16.71	209.03	4.35	-52.8	-54.9	6.2	0.00e+00	0	52	104	0	77	18046
2026-01-26 00:06:17.72	209.13	4.42	-52.8	-54.9	6.2	0.00e+00	0	52	104	0	77	18051
2026-01-26 00:06:18.73	209.24	4.49	-52.8	-54.9	6.2	0.00e+00	0	52	104	0	77	18079
2026-01-26 00:06:19.74	209.34	4.55	-52.8	-54.9	6.2	0.00e+00	0	52	104	0	77	18086
2026-01-26 00:06:20.74	209.45	4.62	-52.8	-54.9	6.2	0.00e+00	0	52	104	0	77	18070
2026-01-26 00:06:21.75	209.55	4.69	-52.8	-54.9	6.2	0.00e+00	0	52	104	0	77	18066
2026-01-26 00:06:22.75	209.66	4.76	-52.8	-54.9	6.2	0.00e+00	0	52	104	0	77	18105
2026-01-26 00:06:23.77	209.77	4.83	-52.8	-54.9	6.2	0.00e+00	0	52	104	0	77	18064
2026-01-26 00:06:24.77	209.87	4.90	-52.8	-54.9	6.2	0.00e+00	0	52	104	0	77	18051
2026-01-26 00:06:25.78	209.98	4.97	-52.8	-54.9	6.2	0.00e+00	0	52	104	0	77	18083
2026-01-26 00:06:26.78	210.09	5.03	-52.8	-54.9	6.2	0.00e+00	0	52	104	0	77	18052
2026-01-26 00:06:27.79	210.20	5.10	-52.8	-54.9	6.2	0.00e+00	0	52	104	0	77	18119
2026-01-26 00:06:28.80	210.31	5.17	-52.8	-54.8	6.2	0.00e+00	0	52	104	0	77	17951
2026-01-26 00:06:29.81	210.42	5.24	-52.9	-55.0	6.2	0.00e+00	0	52	104	0	77	18271
2026-01-26 00:06:30.81	210.53	5.31	-52.9	-54.9	6.2	0.00e+00	0	52	104	0	77	18165
2026-01-26 00:06:31.82	210.65	5.38	-52.8	-54.9	6.2	0.00e+00	0	53	104	0	77	18049
2026-01-26 00:06:32.83	210.76	5.45	-52.7	-54.8	6.2	0.00e+00	0	52	104	0	77	17939
2026-01-26 00:06:33.84	210.87	5.52	-52.9	-55.0	6.2	0.00e+00	0	53	104	0	77	18231
2026-01-26 00:06:34.84	210.99	5.59	-52.9	-54.9	6.2	0.00e+00	0	53	104	0	77	18175
2026-01-26 00:06:35.85	211.10	5.66	-52.8	-54.9	6.2	0.00e+00	0	53	104	0	77	18042
2026-01-26 00:06:36.86	211.22	5.74	-52.7	-54.8	6.2	0.00e+00	0	53	104	0	77	17937
2026-01-26 00:06:37.87	211.33	5.81	-52.9	-55.0	6.2	0.00e+00	0	53	104	0	77	18271
2026-01-26 00:06:38.88	211.45	5.88	-52.9	-55.0	6.2	0.00e+00	0	53	104	0	77	18254
2026-01-26 00:06:39.89	211.57	5.95	-52.8	-54.9	6.2	0.00e+00	0	53	104	0	77	18040
2026-01-26 00:06:40.90	211.69	6.02	-52.8	-54.8	6.2	0.00e+00	0	53	104	0	77	17925
2026-01-26 00:06:41.91	211.80	6.09	-52.9	-55.0	6.2	0.00e+00	0	53	104	0	77	18286
2026-01-26 00:06:42.91	211.92	6.16	-52.9	-55.0	6.2	0.00e+00	0	53	104	0	77	18250
2026-01-26 00:06:43.92	212.04	6.24	-52.8	-54.9	6.2	0.00e+00	0	53	104	0	77	18141
2026-01-26 00:06:44.93	212.17	6.31	-52.8	-54.9	6.2	0.00e+00	0	53	104	0	77	18012
2026-01-26 00:06:45.93	212.29	6.38	-52.9	-55.0	6.2	0.00e+00	0	53	104	0	77	18342
2026-01-26 00:06:46.94	212.41	6.45	-52.9	-55.0	6.2	0.00e+00	0	53	104	0	77	18335
2026-01-26 00:06:47.95	212.53	6.53	-52.9	-55.0	6.2	0.00e+00	0	53	104	0	77	18182
2026-01-26 00:06:48.96	212.66	6.60	-52.8	-54.9	6.2	0.00e+00	0	53	104	0	77	18089
2026-01-26 00:06:49.96	212.78	6.67	-52.9	-55.1	6.2	0.00e+00	0	53	104	0	77	18435
2026-01-26 00:06:50.97	212.91	6.74	-52.9	-55.0	6.2	0.00e+00	0	53	104	0	77	18330
2026-01-26 00:06:51.98	213.03	6.82	-52.9	-55.0	6.2	0.00e+00	0	53	104	0	77	18225
2026-01-26 00:06:52.99	213.16	6.89	-52.9	-55.0	6.2	0.00e+00	0	53	104	0	77	18191
2026-01-26 00:06:54.00	213.29	6.97	-52.9	-55.1	6.2	0.00e+00	0	53	104	0	77	18444
2026-01-26 00:06:55.01	213.42	7.04	-53.0	-55.0	6.2	0.00e+00	0	53	104	0	77	18380
2026-01-26 00:06:56.01	213.54	7.11	-52.9	-55.0	6.2	0.00e+00	0	53	104	0	77	18319
2026-01-26 00:06:57.02	213.67	7.19	-52.9	-55.0	6.2	0.00e+00	0	53	104	0	77	18186
2026-01-26 00:06:58.03	213.80	7.26	-52.9	-55.1	6.2	0.00e+00	0	53	104	0	77	18476
2026-01-26 00:06:59.03	213.94	7.34	-53.0	-55.1	6.2	0.00e+00	0	53	104	0	77	18492
