#Pass ID: 20260126_210020_JL1KF02B07
#Satellite: JL1KF02B07
#Configuration: 01B_900M
#almurnet v.1.7.20251203
#Start time: 2026-01-26 21:00:21

#Version: 2.2.20260125
#Station: R3.2S_Murmansk_2ch
#Location: 33.079688 lon 68.888172 lat
#TLE: 1 65939U 25226B   26025.87153421  .00007226  00000+0  45653-3 0  9997
#TLE: 2 65939  97.6523 104.8567 0017782 261.5678  98.3535 15.09229066 16108

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-26 21:00:21.01	212.70	2.02	-48.0	-50.6	6.3	0.00e+00	0	44	0	0	67	19488
2026-01-26 21:00:22.01	212.79	2.08	-47.3	-49.8	6.2	0.00e+00	0	44	104	0	66	19005
2026-01-26 21:00:23.02	212.88	2.14	-46.9	-49.4	6.2	0.00e+00	0	44	104	0	65	19202
2026-01-26 21:00:24.03	212.98	2.20	-46.9	-49.4	6.2	0.00e+00	0	44	104	0	65	19171
2026-01-26 21:00:25.04	213.07	2.26	-46.9	-49.4	6.2	0.00e+00	0	44	104	0	65	19205
2026-01-26 21:00:26.05	213.17	2.32	-46.9	-49.4	6.2	0.00e+00	0	44	104	0	65	19201
2026-01-26 21:00:27.07	213.26	2.38	-46.8	-49.4	6.2	0.00e+00	0	44	104	0	65	19158
2026-01-26 21:00:28.08	213.36	2.44	-46.9	-49.4	6.2	0.00e+00	0	44	104	0	65	19137
2026-01-26 21:00:29.09	213.45	2.50	-46.8	-49.4	6.2	0.00e+00	0	44	104	0	65	19115
2026-01-26 21:00:30.17	213.56	2.56	-46.8	-49.4	6.2	0.00e+00	0	44	104	0	65	19085
2026-01-26 21:00:31.04	213.64	2.62	-46.8	-49.4	6.2	0.00e+00	0	44	104	0	65	19111
2026-01-26 21:00:32.20	213.75	2.69	-46.8	-49.4	6.2	0.00e+00	0	44	104	0	65	19106
2026-01-26 21:00:33.06	213.84	2.74	-46.8	-49.4	6.2	0.00e+00	0	45	104	0	65	19106
2026-01-26 21:00:34.22	213.95	2.81	-46.8	-49.4	6.2	0.00e+00	0	45	104	0	65	19089
2026-01-26 21:00:35.08	214.03	2.86	-46.8	-49.4	6.2	0.00e+00	0	45	104	0	65	19085
2026-01-26 21:00:36.24	214.15	2.93	-46.8	-49.4	6.2	0.00e+00	0	45	104	0	65	19075
2026-01-26 21:00:37.10	214.23	2.98	-46.8	-49.3	6.2	0.00e+00	0	45	104	0	65	19026
2026-01-26 21:00:38.26	214.35	3.05	-46.8	-49.4	6.2	0.00e+00	0	45	104	0	65	19091
2026-01-26 21:00:39.12	214.43	3.11	-46.8	-49.4	6.2	0.00e+00	0	45	104	0	65	19094
2026-01-26 21:00:40.28	214.55	3.18	-46.8	-49.4	6.2	0.00e+00	0	45	104	0	65	19095
2026-01-26 21:00:41.14	214.64	3.23	-46.8	-49.3	6.2	0.00e+00	0	45	104	0	65	18995
2026-01-26 21:00:42.30	214.75	3.30	-46.8	-49.4	6.2	0.00e+00	0	45	104	0	65	19039
2026-01-26 21:00:43.17	214.84	3.35	-46.8	-49.4	6.2	0.00e+00	0	45	104	0	65	19070
2026-01-26 21:00:44.32	214.96	3.42	-46.8	-49.3	6.2	0.00e+00	0	45	104	0	65	19020
2026-01-26 21:00:45.19	215.05	3.48	-46.8	-49.4	6.2	0.00e+00	0	45	104	0	65	19082
2026-01-26 21:00:46.34	215.17	3.55	-46.8	-49.4	6.2	0.00e+00	0	45	104	0	65	19064
2026-01-26 21:00:47.21	215.26	3.60	-46.8	-49.3	6.2	0.00e+00	0	45	104	0	65	19012
2026-01-26 21:00:48.36	215.38	3.67	-46.8	-49.3	6.2	0.00e+00	0	45	104	0	65	19006
2026-01-26 21:00:49.23	215.47	3.73	-46.8	-49.3	6.2	0.00e+00	0	45	104	0	65	19001
2026-01-26 21:00:50.38	215.59	3.80	-46.8	-49.4	6.2	0.00e+00	0	45	104	0	65	19047
2026-01-26 21:00:51.25	215.68	3.85	-46.8	-49.4	6.2	0.00e+00	0	45	104	0	65	19071
2026-01-26 21:00:52.40	215.80	3.93	-46.8	-49.4	6.2	0.00e+00	0	45	104	0	65	19037
2026-01-26 21:00:53.27	215.90	3.98	-46.8	-49.3	6.2	0.00e+00	0	45	104	0	65	19002
