#Pass ID: 20260126_061339_METEOR-M2 3
#Satellite: METEOR-M2 3
#Configuration: METEOR-M2 3
#Start time: 2026-01-26 06:13:44.838132

#LorettStation: 1.0.0 05.05.2024
#Station: planumMaritime01
#Location: 37.49445 lon 55.92918 lat
#TLE: 1 57166U 23091A   26025.32489204  .00000020  00000+0  27725-4 0  9995
#TLE: 2 57166  98.6312  83.0892 0003344 212.0394 148.0582 14.24032443134183

#Time	Az	El	Level	SNR
2026-01-26 06:13:47.007914	33.8	10.2	-78.4	0.0
2026-01-26 06:13:48.136035	33.9	10.2	-77.1	0.0
2026-01-26 06:13:49.269554	34.0	10.3	-77.5	0.0
2026-01-26 06:13:50.402965	34.2	10.4	-76.6	0.0
2026-01-26 06:13:51.536818	34.3	10.5	-76.3	0.0
2026-01-26 06:13:52.672787	34.4	10.6	-74.2	0.0
2026-01-26 06:13:53.807378	34.5	10.6	-69.7	0.0
2026-01-26 06:13:54.940563	34.6	10.7	-70.0	0.0
2026-01-26 06:13:56.075568	34.8	10.8	-68.1	0.0
2026-01-26 06:13:57.209595	34.9	10.9	-63.2	0.0
2026-01-26 06:13:58.342163	35.0	11.0	-65.2	0.0
2026-01-26 06:13:59.478153	35.2	11.1	-64.0	0.0
2026-01-26 06:14:00.611414	35.3	11.1	-64.1	0.0
2026-01-26 06:14:01.744837	35.4	11.2	-65.0	0.0
2026-01-26 06:14:02.878175	35.5	11.3	-63.5	0.0
2026-01-26 06:14:04.011139	35.7	11.4	-64.1	0.0
2026-01-26 06:14:05.146612	35.8	11.5	-66.4	0.0
2026-01-26 06:14:06.281772	35.9	11.6	-64.5	0.0
2026-01-26 06:14:07.418547	36.1	11.6	-62.1	0.0
2026-01-26 06:14:08.557856	36.2	11.7	-61.2	0.0
2026-01-26 06:14:09.693043	36.3	11.8	-58.6	0.0
2026-01-26 06:14:10.827905	36.5	11.9	-58.0	0.0
2026-01-26 06:14:11.964490	36.6	12.0	-58.4	0.0
2026-01-26 06:14:13.101551	36.7	12.1	-60.3	0.0
2026-01-26 06:14:14.236154	36.9	12.1	-59.3	0.0
2026-01-26 06:14:15.371976	37.0	12.2	-62.9	0.0
2026-01-26 06:14:16.509546	37.1	12.3	-59.6	0.0
2026-01-26 06:14:17.649756	37.3	12.4	-59.6	0.0
2026-01-26 06:14:18.785974	37.4	12.5	-64.3	0.0
2026-01-26 06:14:19.923616	37.6	12.6	-59.7	0.0
2026-01-26 06:14:21.061354	37.7	12.7	-57.4	0.0
2026-01-26 06:14:22.195195	37.8	12.7	-58.1	0.0
2026-01-26 06:14:23.333543	38.0	12.8	-58.8	0.0
2026-01-26 06:14:24.471449	38.1	12.9	-63.8	0.0
2026-01-26 06:14:25.607770	38.3	13.0	-59.8	0.0
2026-01-26 06:14:26.746672	38.4	13.1	-58.6	0.0
