#Pass ID: 20260127_123532_2024-095A
#Satellite: 2024-095A
#Configuration: WH1_900M
#almurnet v.1.7.20251203
#Start time: 2026-01-27 12:39:15

#Version: 2.2.20231116
#Station: R3.2S_Murmansk
#Location: 33.079688 lon 68.888172 lat
#TLE: 1 59810U 24095A   26027.31094692  .00009034  00000+0  53675-3 0  9998
#TLE: 2 59810  97.5461 108.2138 0001383 248.5076 111.6006 15.11518484 92865

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-27 12:39:15.11	349.99	16.03	-53.3	-68.2	3.8	1.49e+00	0	42	0	0	77	20995
2026-01-27 12:39:16.12	349.68	16.08	-55.0	-57.2	6.2	0.00e+00	0	44	104	0	81	18630
2026-01-27 12:39:17.12	349.39	16.12	-55.0	-57.2	6.2	0.00e+00	0	44	104	0	81	18707
2026-01-27 12:39:18.13	349.08	16.16	-55.1	-57.2	6.2	0.00e+00	0	44	104	0	81	18718
2026-01-27 12:39:19.13	348.78	16.20	-55.1	-57.2	6.2	0.00e+00	0	44	104	0	81	18733
2026-01-27 12:39:20.14	348.48	16.25	-55.1	-57.2	6.2	0.00e+00	0	44	104	0	81	18779
2026-01-27 12:39:21.15	348.17	16.29	-55.1	-57.3	6.2	0.00e+00	0	44	104	0	81	18834
2026-01-27 12:39:22.16	347.86	16.33	-55.1	-57.3	6.2	0.00e+00	0	44	104	0	81	18838
2026-01-27 12:39:23.16	347.56	16.36	-55.1	-57.3	6.2	0.00e+00	0	44	104	0	81	18905
2026-01-27 12:39:24.17	347.25	16.40	-55.2	-57.3	6.2	0.00e+00	0	44	104	0	81	18876
2026-01-27 12:39:25.17	346.94	16.44	-55.2	-57.3	6.2	0.00e+00	0	44	104	0	81	18875
2026-01-27 12:39:26.18	346.63	16.48	-55.2	-57.3	6.2	0.00e+00	0	44	104	0	81	18942
2026-01-27 12:39:27.19	346.32	16.51	-55.2	-57.3	6.2	0.00e+00	0	44	104	0	81	18973
2026-01-27 12:39:28.20	346.01	16.55	-55.2	-57.3	6.2	0.00e+00	0	44	104	0	81	18957
2026-01-27 12:39:29.21	345.70	16.59	-55.2	-57.3	6.2	0.00e+00	0	44	104	0	81	18986
2026-01-27 12:39:30.21	345.39	16.62	-55.2	-57.3	6.2	0.00e+00	0	44	104	0	81	18999
2026-01-27 12:39:31.22	345.07	16.65	-55.2	-57.3	6.2	0.00e+00	0	44	104	0	81	19011
2026-01-27 12:39:32.23	344.75	16.69	-55.2	-57.4	6.2	0.00e+00	0	44	104	0	81	19096
2026-01-27 12:39:33.24	344.44	16.72	-55.2	-57.3	6.2	0.00e+00	0	44	104	0	81	18989
2026-01-27 12:39:34.24	344.12	16.75	-55.2	-57.4	6.2	0.00e+00	0	44	104	0	81	19102
2026-01-27 12:39:35.25	343.81	16.78	-55.2	-57.3	6.2	0.00e+00	0	44	104	0	81	18992
2026-01-27 12:39:36.26	343.49	16.81	-55.2	-57.3	6.2	0.00e+00	0	44	104	0	81	19017
