#Pass ID: 20260127_183709_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#almurnet v.1.7.20251203
#Start time: 2026-01-27 18:37:10

#Version: 2.2.20231116
#Station: R4.6S_Anadyr
#Location: 177.4865 lon 64.73178 lat
#TLE: 1 43010U 17072A   26026.91415486  .00000072  00000+0  55983-4 0  9991
#TLE: 2 43010  98.9962 358.9161 0002508  89.0320 271.1142 14.19700283424949

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-27 18:37:10.36	27.08	0.03	-48.9	-66.6	3.4	3.02e+01	0	30	0	0	60	82692
2026-01-27 18:37:11.36	27.04	0.09	-48.6	-60.8	3.6	8.46e-01	0	31	104	0	60	39447
2026-01-27 18:37:12.37	26.99	0.15	-48.6	-60.7	3.5	8.45e-01	0	31	104	0	60	39267
2026-01-27 18:37:13.38	26.95	0.20	-48.6	-60.7	3.6	8.45e-01	0	31	104	0	60	39197
2026-01-27 18:37:14.39	26.91	0.26	-48.6	-60.7	3.6	8.46e-01	0	31	104	0	60	39329
2026-01-27 18:37:15.41	26.87	0.32	-48.6	-60.7	3.6	8.45e-01	0	31	104	0	60	39363
2026-01-27 18:37:16.42	26.83	0.38	-48.6	-60.8	3.6	8.45e-01	0	31	104	0	60	39477
2026-01-27 18:37:17.42	26.79	0.44	-48.6	-60.8	3.6	8.45e-01	0	31	104	0	60	39603
2026-01-27 18:37:18.43	26.74	0.49	-48.6	-60.8	3.6	8.44e-01	0	31	104	0	60	39626
2026-01-27 18:37:19.45	26.70	0.55	-48.7	-60.9	3.6	8.45e-01	0	31	104	0	60	39875
2026-01-27 18:37:20.46	26.66	0.61	-48.7	-60.9	3.6	8.45e-01	0	31	104	0	60	39863
2026-01-27 18:37:21.47	26.62	0.67	-48.7	-60.8	3.6	8.47e-01	0	31	104	0	60	39519
2026-01-27 18:37:22.48	26.57	0.73	-48.7	-60.8	3.6	8.44e-01	0	31	104	0	60	39569
2026-01-27 18:37:23.49	26.53	0.79	-48.6	-60.7	3.6	8.45e-01	0	31	104	0	60	39256
2026-01-27 18:37:24.50	26.49	0.84	-48.5	-60.7	3.6	8.46e-01	0	31	104	0	60	39114
2026-01-27 18:37:25.51	26.44	0.90	-48.5	-60.7	3.6	8.46e-01	0	31	104	0	60	38982
