#Pass ID: 20260127_155421_FENGYUN 3G
#Satellite: FENGYUN 3G
#Configuration: FENGYUN 3G
#almurnet v.1.7.20251203
#Start time: 2026-01-27 15:54:20

#Version: 2.0.20230620
#Station: T1
#Location: 37.570604 lon 55.790049 lat
#TLE: 1 56232U 23055A   26026.81668957  .00042566  00000+0  63804-3 0  9995
#TLE: 2 56232  49.9949 354.9274 0004068  91.1881 268.9553 15.54453119158037

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-27 15:54:20.70	198.30	4.98	-50.4	-69.5	3.8	8.48e-01	0	38	0	0	72	32437
2026-01-27 15:54:21.69	198.14	5.04	-50.7	-69.6	3.8	8.38e-01	0	38	104	0	73	30887
2026-01-27 15:54:22.68	197.98	5.10	-50.7	-69.6	3.8	8.46e-01	0	38	104	0	73	31023
2026-01-27 15:54:23.68	197.82	5.16	-50.5	-69.6	3.8	8.46e-01	0	38	104	0	73	31023
2026-01-27 15:54:24.67	197.66	5.21	-50.7	-69.6	3.8	8.46e-01	0	38	104	0	72	32845
2026-01-27 15:54:25.66	197.50	5.27	-50.7	-69.6	3.8	8.48e-01	0	38	104	0	72	32756
2026-01-27 15:54:26.66	197.34	5.33	-50.4	-69.6	3.8	8.47e-01	0	38	104	0	72	32755
2026-01-27 15:54:27.65	197.18	5.39	-50.6	-69.6	3.8	8.47e-01	0	38	104	0	72	32709
2026-01-27 15:54:28.64	197.01	5.45	-50.6	-69.6	3.8	8.47e-01	0	38	104	0	72	32754
2026-01-27 15:54:29.63	196.85	5.51	-50.5	-69.5	3.8	8.47e-01	0	38	104	0	72	32508
2026-01-27 15:54:30.63	196.68	5.57	-50.6	-69.5	3.8	8.47e-01	0	38	104	0	72	32532
2026-01-27 15:54:31.62	196.51	5.63	-50.3	-69.5	3.8	8.47e-01	0	38	104	0	72	32418
2026-01-27 15:54:32.61	196.35	5.69	-50.6	-69.5	3.8	8.47e-01	0	38	104	0	72	32325
2026-01-27 15:54:33.60	196.18	5.75	-50.4	-69.5	3.8	8.47e-01	0	38	104	0	72	32263
2026-01-27 15:54:34.60	196.01	5.81	-50.4	-69.4	3.8	8.46e-01	0	38	104	0	72	32123
2026-01-27 15:54:35.59	195.84	5.87	-50.4	-69.5	3.8	8.46e-01	0	38	104	0	72	32220
2026-01-27 15:54:36.58	195.66	5.93	-50.5	-69.4	3.8	8.46e-01	0	38	104	0	72	32091
2026-01-27 15:54:37.58	195.49	5.99	-50.4	-69.4	3.8	8.47e-01	0	39	104	0	72	31898
2026-01-27 15:54:38.57	195.32	6.05	-50.4	-69.4	3.8	8.47e-01	0	39	104	0	72	31880
2026-01-27 15:54:39.56	195.14	6.11	-50.1	-69.4	3.8	8.46e-01	0	39	104	0	71	33858
2026-01-27 15:54:40.56	194.96	6.17	-50.0	-69.4	3.8	8.46e-01	0	39	104	0	71	33724
2026-01-27 15:54:41.55	194.79	6.23	-50.0	-69.3	3.8	8.48e-01	0	39	104	0	71	33590
2026-01-27 15:54:42.54	194.61	6.29	-49.5	-69.3	3.8	8.46e-01	0	39	104	0	70	35400
2026-01-27 15:54:43.53	194.43	6.35	-49.2	-69.2	3.8	8.46e-01	0	39	104	0	70	35029
2026-01-27 15:54:44.53	194.25	6.41	-49.4	-69.2	3.8	8.47e-01	0	39	104	0	70	34884
2026-01-27 15:54:45.52	194.07	6.47	-49.2	-69.1	3.8	8.47e-01	0	39	104	0	70	34498
2026-01-27 15:54:46.51	193.89	6.53	-49.0	-68.9	3.8	8.47e-01	0	39	104	0	69	36005
2026-01-27 15:54:47.51	193.70	6.59	-49.0	-68.9	3.8	8.47e-01	0	39	104	0	69	36058
2026-01-27 15:54:48.50	193.52	6.65	-49.0	-68.9	3.8	8.46e-01	0	39	104	0	69	36052
2026-01-27 15:54:49.49	193.33	6.71	-49.0	-69.0	3.8	8.46e-01	0	39	104	0	69	36133
2026-01-27 15:54:50.48	193.15	6.77	-49.0	-68.9	3.8	8.47e-01	0	39	104	0	69	36082
2026-01-27 15:54:51.48	192.96	6.83	-49.0	-68.9	3.8	8.47e-01	0	39	104	0	69	35930
