#Pass ID: 20260128_163612_FENGYUN 3G
#Satellite: FENGYUN 3G
#Configuration: FENGYUN 3G
#almurnet v.1.7.20251203
#Start time: 2026-01-28 16:36:13

#Version: 2.2.20231116
#Station: R2.0S_Moscow
#Location: 37.707566 lon 55.798166 lat
#TLE: 1 56232U 23055A   26027.33093889  .00044881  00000+0  67100-3 0  9994
#TLE: 2 56232  49.9947 352.2708 0004101  93.7831 266.3606 15.54500775158110

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-28 16:36:13.67	231.29	2.06	-44.1	-62.6	3.8	8.45e-01	0	49	0	0	60	29041
2026-01-28 16:36:14.67	231.22	2.12	-44.1	-62.6	3.8	8.44e-01	0	49	104	0	60	29079
2026-01-28 16:36:15.68	231.14	2.18	-44.1	-62.6	3.8	8.46e-01	0	49	104	0	60	29036
2026-01-28 16:36:16.69	231.06	2.25	-44.1	-62.6	3.8	8.46e-01	0	49	104	0	60	29114
2026-01-28 16:36:17.70	230.98	2.31	-44.1	-62.5	3.8	8.46e-01	0	50	104	0	60	29009
2026-01-28 16:36:18.71	230.89	2.38	-44.1	-62.6	3.8	8.47e-01	0	50	104	0	60	29021
2026-01-28 16:36:19.73	230.81	2.45	-44.1	-62.5	3.8	8.46e-01	0	50	104	0	60	28973
2026-01-28 16:36:20.74	230.73	2.51	-44.1	-62.5	3.8	8.46e-01	0	50	104	0	60	28979
2026-01-28 16:36:21.75	230.65	2.58	-44.1	-62.5	3.8	8.46e-01	0	50	104	0	60	28985
2026-01-28 16:36:22.76	230.56	2.64	-44.1	-62.6	3.8	8.46e-01	0	50	104	0	60	29047
2026-01-28 16:36:23.77	230.48	2.71	-44.1	-62.6	3.8	8.46e-01	0	50	104	0	60	29049
2026-01-28 16:36:24.78	230.40	2.78	-44.2	-62.5	3.7	8.46e-01	0	50	104	0	59	30700
2026-01-28 16:36:25.79	230.31	2.84	-44.2	-62.6	3.8	8.46e-01	0	50	104	0	59	30744
2026-01-28 16:36:26.80	230.23	2.91	-44.2	-62.5	3.8	8.46e-01	0	50	104	0	59	30700
2026-01-28 16:36:27.81	230.14	2.98	-44.1	-62.5	3.8	8.45e-01	0	50	104	0	59	30720
2026-01-28 16:36:28.82	230.05	3.04	-44.1	-62.5	3.8	8.47e-01	0	50	104	0	59	30707
2026-01-28 16:36:29.83	229.97	3.11	-44.2	-62.5	3.8	8.47e-01	0	51	104	0	59	30700
2026-01-28 16:36:30.84	229.88	3.18	-44.2	-62.6	3.8	8.47e-01	0	50	104	0	59	30746
2026-01-28 16:36:31.85	229.79	3.24	-44.2	-62.6	3.8	8.45e-01	0	51	104	0	59	30751
2026-01-28 16:36:32.86	229.70	3.31	-44.1	-62.5	3.8	8.45e-01	0	50	104	0	59	30730
2026-01-28 16:36:33.87	229.61	3.38	-44.2	-62.5	3.8	8.45e-01	0	51	104	0	59	30670
2026-01-28 16:36:34.88	229.52	3.45	-44.2	-62.6	3.8	8.45e-01	0	51	104	0	59	30755
2026-01-28 16:36:35.89	229.43	3.52	-44.2	-62.5	3.8	8.47e-01	0	51	104	0	59	30692
2026-01-28 16:36:36.90	229.34	3.59	-44.1	-62.6	3.8	8.47e-01	0	51	104	0	59	30737
2026-01-28 16:36:37.91	229.25	3.66	-44.1	-62.5	3.8	8.47e-01	0	51	104	0	59	30722
2026-01-28 16:36:38.92	229.16	3.72	-44.2	-62.6	3.8	8.47e-01	0	51	104	0	59	30757
2026-01-28 16:36:39.93	229.06	3.79	-44.2	-62.6	3.8	8.47e-01	0	51	104	0	59	30764
2026-01-28 16:36:40.94	228.97	3.86	-44.1	-62.5	3.8	8.47e-01	0	51	104	0	59	30695
2026-01-28 16:36:41.95	228.87	3.93	-44.1	-62.5	3.8	8.46e-01	0	51	104	0	59	30730
2026-01-28 16:36:42.96	228.78	4.00	-44.1	-62.5	3.8	8.45e-01	0	51	104	0	59	30649
2026-01-28 16:36:43.97	228.68	4.07	-44.1	-62.5	3.8	8.45e-01	0	51	104	0	59	30704
2026-01-28 16:36:44.98	228.59	4.14	-44.2	-62.6	3.8	8.46e-01	0	51	104	0	59	30762
2026-01-28 16:36:45.99	228.49	4.21	-44.2	-62.5	3.8	8.47e-01	0	51	104	0	59	30708
2026-01-28 16:36:47.00	228.39	4.29	-44.1	-62.6	3.8	8.47e-01	0	52	104	0	59	30746
2026-01-28 16:36:48.01	228.29	4.36	-44.1	-62.6	3.8	8.45e-01	0	52	104	0	59	30744
2026-01-28 16:36:49.02	228.19	4.43	-44.1	-62.5	3.8	8.45e-01	0	52	104	0	59	30709
2026-01-28 16:36:50.03	228.09	4.50	-44.2	-62.5	3.8	8.45e-01	0	52	104	0	59	30653
2026-01-28 16:36:51.04	227.99	4.57	-44.1	-62.5	3.8	8.46e-01	0	52	104	0	59	30606
2026-01-28 16:36:52.05	227.89	4.64	-44.1	-62.5	3.8	8.46e-01	0	52	104	0	59	30688
2026-01-28 16:36:53.06	227.79	4.72	-44.1	-62.6	3.8	8.46e-01	0	52	104	0	59	30787
2026-01-28 16:36:54.07	227.69	4.79	-44.1	-62.5	3.8	8.46e-01	0	52	104	0	59	30716
2026-01-28 16:36:55.08	227.58	4.86	-44.1	-62.5	3.8	8.46e-01	0	52	104	0	59	30557
2026-01-28 16:36:56.09	227.48	4.93	-44.1	-62.5	3.8	8.46e-01	0	52	104	0	59	30723
2026-01-28 16:36:57.10	227.37	5.01	-44.1	-62.5	3.8	8.46e-01	0	52	104	0	59	30617
2026-01-28 16:36:58.11	227.27	5.08	-44.1	-62.6	3.8	8.46e-01	0	52	104	0	59	30749
2026-01-28 16:36:59.12	227.16	5.15	-44.2	-62.5	3.8	8.47e-01	0	52	104	0	59	30690
2026-01-28 16:37:00.12	227.05	5.23	-44.2	-62.6	3.8	8.47e-01	0	52	104	0	59	30761
2026-01-28 16:37:01.11	226.95	5.30	-44.1	-62.5	3.8	8.45e-01	0	52	104	0	59	30715
2026-01-28 16:37:02.12	226.84	5.37	-44.1	-62.5	3.8	8.46e-01	0	52	104	0	59	30701
2026-01-28 16:37:03.13	226.73	5.45	-44.2	-62.5	3.8	8.46e-01	0	52	104	0	59	30653
2026-01-28 16:37:04.14	226.62	5.52	-44.1	-62.5	3.8	8.47e-01	0	52	104	0	59	30650
2026-01-28 16:37:05.15	226.50	5.60	-44.1	-62.5	3.8	8.46e-01	0	52	104	0	59	30652
2026-01-28 16:37:06.16	226.39	5.67	-44.1	-62.5	3.8	8.46e-01	0	53	104	0	59	30687
2026-01-28 16:37:07.17	226.28	5.75	-44.1	-62.5	3.8	8.46e-01	0	52	104	0	59	30699
2026-01-28 16:37:08.18	226.17	5.83	-44.1	-62.5	3.8	8.46e-01	0	53	104	0	59	30678
2026-01-28 16:37:09.19	226.05	5.90	-44.1	-62.5	3.8	8.46e-01	0	53	104	0	59	30724
2026-01-28 16:37:10.20	225.93	5.98	-44.1	-62.5	3.8	8.46e-01	0	53	104	0	59	30673
2026-01-28 16:37:11.20	225.82	6.05	-44.1	-62.5	3.8	8.46e-01	0	53	104	0	59	30726
2026-01-28 16:37:12.21	225.70	6.13	-44.1	-62.5	3.8	8.46e-01	0	53	104	0	59	30715
2026-01-28 16:37:13.23	225.58	6.21	-44.1	-62.5	3.8	8.46e-01	0	53	104	0	59	30681
2026-01-28 16:37:14.23	225.46	6.29	-44.1	-62.5	3.8	8.46e-01	0	53	104	0	59	30596
2026-01-28 16:37:15.24	225.34	6.36	-44.1	-62.5	3.8	8.46e-01	0	53	104	0	59	30719
2026-01-28 16:37:16.26	225.22	6.44	-44.1	-62.5	3.8	8.46e-01	0	53	104	0	59	30658
2026-01-28 16:37:17.26	225.10	6.52	-44.1	-62.5	3.8	8.46e-01	0	53	104	0	59	30633
2026-01-28 16:37:18.28	224.98	6.60	-44.1	-62.5	3.8	8.45e-01	0	53	104	0	59	30649
2026-01-28 16:37:19.28	224.85	6.68	-44.1	-62.6	3.8	8.46e-01	0	53	104	0	59	30745
2026-01-28 16:37:20.30	224.73	6.76	-44.2	-62.5	3.8	8.46e-01	0	53	104	0	59	30661
2026-01-28 16:37:21.31	224.60	6.84	-44.1	-62.5	3.8	8.47e-01	0	53	104	0	59	30668
2026-01-28 16:37:22.32	224.47	6.92	-44.1	-62.5	3.8	8.47e-01	0	53	104	0	59	30657
2026-01-28 16:37:23.33	224.35	7.00	-44.1	-62.6	3.8	8.47e-01	0	53	104	0	59	30754
2026-01-28 16:37:24.34	224.22	7.08	-44.1	-62.5	3.8	8.47e-01	0	53	104	0	59	30653
2026-01-28 16:37:25.35	224.09	7.16	-44.2	-62.5	3.8	8.46e-01	0	53	104	0	59	30633
2026-01-28 16:37:26.36	223.96	7.24	-44.1	-62.6	3.8	8.46e-01	0	53	104	0	59	30742
2026-01-28 16:37:27.37	223.82	7.32	-44.1	-62.5	3.8	8.45e-01	0	53	104	0	59	30729
2026-01-28 16:37:28.38	223.69	7.40	-44.1	-62.5	3.8	8.47e-01	0	54	104	0	59	30649
2026-01-28 16:37:29.39	223.56	7.48	-44.1	-62.5	3.8	8.47e-01	0	54	104	0	59	30634
2026-01-28 16:37:30.40	223.42	7.56	-44.1	-62.5	3.8	8.47e-01	0	53	104	0	59	30683
2026-01-28 16:37:31.41	223.29	7.65	-44.1	-62.5	3.8	8.46e-01	0	54	104	0	59	30635
2026-01-28 16:37:32.42	223.15	7.73	-44.1	-62.5	3.8	8.46e-01	0	54	104	0	59	30647
2026-01-28 16:37:33.43	223.01	7.81	-44.1	-62.5	3.8	8.46e-01	0	54	104	0	59	30534
2026-01-28 16:37:34.44	222.87	7.90	-44.1	-62.5	3.8	8.46e-01	0	54	104	0	59	30684
2026-01-28 16:37:35.45	222.73	7.98	-44.1	-62.5	3.8	8.45e-01	0	54	104	0	59	30614
2026-01-28 16:37:36.46	222.59	8.06	-44.2	-62.6	3.8	8.45e-01	0	54	104	0	59	30969
2026-01-28 16:37:37.47	222.45	8.15	-44.3	-62.7	3.8	8.45e-01	0	54	104	0	59	31295
2026-01-28 16:37:38.48	222.30	8.23	-44.2	-62.6	3.8	8.46e-01	0	54	104	0	59	30911
2026-01-28 16:37:39.49	222.16	8.31	-44.1	-62.5	3.8	8.46e-01	0	54	104	0	59	30523
2026-01-28 16:37:40.50	222.01	8.40	-44.2	-62.6	3.8	8.47e-01	0	54	104	0	59	30840
2026-01-28 16:37:41.51	221.86	8.48	-44.2	-62.6	3.8	8.45e-01	0	54	104	0	59	30869
2026-01-28 16:37:42.52	221.71	8.57	-44.2	-62.6	3.8	8.45e-01	0	54	104	0	59	31079
2026-01-28 16:37:43.53	221.56	8.66	-44.1	-62.5	3.8	8.47e-01	0	54	104	0	59	30724
2026-01-28 16:37:44.54	221.41	8.74	-44.2	-62.6	3.8	8.47e-01	0	54	104	0	59	30875
2026-01-28 16:37:45.55	221.26	8.83	-44.2	-62.6	3.8	8.47e-01	0	54	104	0	59	30951
2026-01-28 16:37:46.56	221.11	8.92	-44.2	-62.6	3.8	8.47e-01	0	54	104	0	59	31047
2026-01-28 16:37:47.57	220.95	9.00	-44.2	-62.6	3.8	8.46e-01	0	54	104	0	59	30865
2026-01-28 16:37:48.58	220.79	9.09	-44.2	-62.6	3.8	8.47e-01	0	54	104	0	59	31003
2026-01-28 16:37:49.59	220.64	9.18	-44.3	-62.7	3.8	8.47e-01	0	54	104	0	59	31107
2026-01-28 16:37:50.60	220.48	9.26	-44.2	-62.6	3.8	8.46e-01	0	54	104	0	59	30949
2026-01-28 16:37:51.60	220.32	9.35	-44.2	-62.6	3.8	8.45e-01	0	54	104	0	59	30995
2026-01-28 16:37:52.62	220.16	9.44	-44.2	-62.6	3.8	8.45e-01	0	54	104	0	59	30926
2026-01-28 16:37:53.63	219.99	9.53	-44.3	-62.7	3.8	8.46e-01	0	55	104	0	59	31159
2026-01-28 16:37:54.64	219.83	9.62	-44.3	-62.7	3.8	8.48e-01	0	55	104	0	59	31172
2026-01-28 16:37:55.65	219.66	9.71	-44.3	-62.7	3.8	8.48e-01	0	54	104	0	59	31141
2026-01-28 16:37:56.66	219.50	9.80	-44.3	-62.6	3.8	8.46e-01	0	54	104	0	59	31082
2026-01-28 16:37:57.67	219.33	9.89	-44.3	-62.7	3.8	8.47e-01	0	55	104	0	59	31246
2026-01-28 16:37:58.68	219.16	9.98	-44.3	-62.7	3.8	8.45e-01	0	54	104	0	59	31106
2026-01-28 16:37:59.69	218.99	10.07	-44.3	-62.7	3.8	8.45e-01	0	55	104	0	59	31169
2026-01-28 16:38:00.70	218.81	10.16	-44.3	-62.7	3.8	8.46e-01	0	55	104	0	59	31098
2026-01-28 16:38:01.70	218.64	10.25	-44.4	-62.7	3.8	8.46e-01	0	55	104	0	59	31443
2026-01-28 16:38:02.71	218.47	10.34	-44.3	-62.7	3.8	8.46e-01	0	54	104	0	59	31253
2026-01-28 16:38:03.72	218.29	10.43	-44.3	-62.7	3.8	8.46e-01	0	55	104	0	59	31277
2026-01-28 16:38:04.73	218.11	10.53	-44.3	-62.7	3.8	8.46e-01	0	55	104	0	59	31237
2026-01-28 16:38:05.74	217.93	10.62	-44.4	-62.7	3.8	8.46e-01	0	55	104	0	59	31438
2026-01-28 16:38:06.75	217.75	10.71	-44.3	-62.7	3.8	8.47e-01	0	55	104	0	59	31271
2026-01-28 16:38:07.76	217.56	10.81	-44.3	-62.7	3.8	8.46e-01	0	55	104	0	59	31397
