#Pass ID: 20260128_023049_AQUA
#Satellite: AQUA
#Configuration: AQUA
#almurnet v.1.7.20240730
#Start time: 2026-01-28 02:30:50

#Version: 2.2.20231116
#Station: R2M6_AANII_01
#Location: 30.233357 lon 59.946436 lat
#TLE: 1 27424U 02022A   26027.49103455  .00001862  00000+0  38220-3 0  9997
#TLE: 2 27424  98.4102 354.1298 0001846  63.8060  46.9979 14.61867034262711

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-28 02:30:50.67	14.16	7.07	-32.2	-39.3	4.9	7.14e-01	0	40	0	0	25	8202
2026-01-28 02:30:51.67	14.13	7.15	-32.3	-39.7	4.9	7.14e-01	0	40	104	0	25	8447
2026-01-28 02:30:52.68	14.10	7.23	-32.3	-38.8	10.8	6.13e-01	0	40	0	0	25	7674
2026-01-28 02:30:53.68	14.07	7.31	-32.3	-38.7	11.4	6.08e-01	0	40	0	1572864	25	7554
2026-01-28 02:30:54.69	14.04	7.39	-32.0	-38.1	12.2	6.07e-01	0	40	0	3670016	24	7268
2026-01-28 02:30:55.69	14.01	7.48	-31.9	-37.8	12.6	6.06e-01	0	40	0	5242880	24	7075
2026-01-28 02:30:56.69	13.98	7.56	-31.8	-37.2	12.8	6.05e-01	0	41	0	7340032	24	6725
2026-01-28 02:30:57.70	13.95	7.64	-31.8	-37.2	13.4	6.05e-01	0	41	0	9437184	24	6704
2026-01-28 02:30:58.70	13.92	7.72	-31.8	-37.0	13.4	6.05e-01	0	40	0	11010048	24	6594
2026-01-28 02:30:59.70	13.89	7.81	-31.6	-36.4	13.8	6.03e-01	0	41	0	13107200	24	6290
2026-01-28 02:31:00.70	13.86	7.89	-31.3	-36.1	14.4	6.03e-01	0	41	0	14680064	23	6203
2026-01-28 02:31:01.71	13.83	7.97	-31.1	-35.3	15.0	6.00e-01	0	41	0	16777216	23	5819
2026-01-28 02:31:02.71	13.80	8.06	-31.0	-35.3	15.8	6.03e-01	0	41	0	18350080	22	5942
2026-01-28 02:31:03.72	13.77	8.14	-30.8	-34.7	16.4	6.01e-01	0	41	0	20447232	22	5651
2026-01-28 02:31:04.72	13.74	8.23	-30.6	-34.3	16.6	6.04e-01	0	41	0	22544384	22	5468
2026-01-28 02:31:05.72	13.70	8.31	-30.5	-34.4	17.0	6.02e-01	0	41	0	24117248	21	5646
2026-01-28 02:31:06.73	13.67	8.40	-30.4	-34.2	17.2	6.02e-01	0	41	0	26214400	21	5545
2026-01-28 02:31:07.72	13.64	8.48	-30.4	-34.3	17.1	6.00e-01	0	41	0	28311552	21	5581
2026-01-28 02:31:08.73	13.61	8.57	-30.5	-34.3	17.0	6.04e-01	0	41	0	29884416	21	5616
2026-01-28 02:31:09.73	13.58	8.66	-30.5	-34.3	17.2	6.02e-01	0	41	0	31981568	21	5582
2026-01-28 02:31:10.74	13.54	8.74	-30.3	-33.9	17.5	5.98e-01	0	41	0	33554432	21	5420
2026-01-28 02:31:11.74	13.51	8.83	-30.4	-34.0	17.4	6.03e-01	0	41	0	35651584	21	5451
2026-01-28 02:31:12.75	13.48	8.92	-30.3	-33.9	17.6	6.04e-01	0	41	0	37224448	21	5423
2026-01-28 02:31:13.75	13.44	9.00	-30.4	-34.1	17.4	6.03e-01	0	41	0	39321600	21	5488
2026-01-28 02:31:14.75	13.41	9.09	-30.3	-33.9	17.5	6.00e-01	0	41	0	41418752	21	5421
2026-01-28 02:31:15.75	13.38	9.18	-30.3	-33.9	17.6	6.00e-01	0	41	0	42991616	21	5405
2026-01-28 02:31:16.75	13.34	9.27	-30.3	-33.7	17.7	6.01e-01	0	41	0	45088768	21	5330
2026-01-28 02:31:17.76	13.31	9.36	-30.3	-33.7	17.6	6.01e-01	0	41	0	46661632	21	5347
2026-01-28 02:31:18.76	13.27	9.45	-30.2	-33.6	17.8	6.02e-01	0	41	0	48758784	21	5302
