#Pass ID: 20260128_094000_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#almurnet v.1.7.20240730
#Start time: 2026-01-28 09:40:03

#Version: 2.2.20231116
#Station: R3.2S-Naryan-Mar
#Location: 53.008057 lon 67.646978 lat
#TLE: 1 43010U 17072A   26027.90082829  .00000305  00000+0  16579-3 0  9998
#TLE: 2 43010  98.9960 359.9183 0002511  88.1058 272.0405 14.19701796425082

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-28 09:40:03.16	136.69	0.17	-59.6	-73.3	3.3	8.40e-01	0	45	0	0	60	181211
2026-01-28 09:40:04.16	136.68	0.23	-59.3	-74.5	3.6	8.45e-01	0	45	104	0	60	208106
2026-01-28 09:40:05.17	136.67	0.29	-59.3	-74.8	3.6	8.45e-01	0	45	104	0	60	215040
2026-01-28 09:40:06.17	136.65	0.35	-59.5	-74.2	3.6	8.45e-01	0	45	104	0	60	201956
2026-01-28 09:40:07.18	136.64	0.41	-60.2	-74.8	3.6	8.45e-01	0	45	104	0	60	215611
2026-01-28 09:40:08.19	136.63	0.48	-61.2	-75.3	3.6	8.45e-01	0	45	104	0	60	227614
2026-01-28 09:40:09.19	136.61	0.54	-61.6	-75.2	3.6	8.44e-01	0	45	104	0	60	224565
2026-01-28 09:40:10.19	136.60	0.60	-61.6	-75.1	3.6	8.46e-01	0	45	104	0	60	223931
2026-01-28 09:40:11.20	136.58	0.66	-61.5	-75.3	3.6	8.45e-01	0	45	104	0	60	226937
2026-01-28 09:40:12.20	136.57	0.72	-60.8	-74.7	3.6	8.46e-01	0	45	104	0	60	211690
2026-01-28 09:40:13.21	136.56	0.78	-59.8	-74.2	3.6	8.45e-01	0	45	104	0	60	200445
2026-01-28 09:40:14.22	136.54	0.84	-59.5	-73.7	3.6	8.45e-01	0	45	104	0	60	190687
2026-01-28 09:40:15.22	136.53	0.91	-59.5	-73.3	3.6	8.46e-01	0	45	104	0	60	180875
2026-01-28 09:40:16.23	136.51	0.97	-59.4	-73.1	3.6	8.44e-01	0	45	104	0	60	177604
2026-01-28 09:40:17.24	136.50	1.03	-58.5	-72.8	3.6	8.45e-01	0	45	104	0	60	171470
2026-01-28 09:40:18.24	136.48	1.09	-56.8	-71.8	3.6	8.45e-01	0	45	104	0	60	152256
2026-01-28 09:40:19.25	136.47	1.15	-56.8	-72.0	3.6	8.46e-01	0	45	104	0	60	156736
2026-01-28 09:40:20.25	136.46	1.22	-56.9	-72.0	3.6	8.45e-01	0	45	104	0	60	155576
2026-01-28 09:40:21.27	136.44	1.28	-56.9	-71.8	3.6	8.45e-01	0	45	104	0	60	152836
