#Pass ID: 20260128_111615_TY-40
#Satellite: TY-40
#Configuration: TY-39
#almurnet v.1.7.20240730
#Start time: 2026-01-28 11:16:20

#Version: 2.2.20231116
#Station: R3.2S-Naryan-Mar
#Location: 53.008057 lon 67.646978 lat
#TLE: 1 56846U 23081A   26027.60022461  .00005238  00000+0  23320-3 0  9991
#TLE: 2 56846  97.3872 100.2896 0001467  75.3792 284.7607 15.21884924146621

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-28 11:16:20.17	31.74	0.26	-59.7	-77.3	3.5	1.51e+00	0	43	0	0	60	287858
2026-01-28 11:16:21.17	31.63	0.31	-56.8	-60.4	3.5	0.00e+00	0	45	104	0	60	124155
2026-01-28 11:16:22.17	31.53	0.36	-57.0	-60.9	3.6	0.00e+00	0	45	104	0	60	130686
2026-01-28 11:16:23.18	31.42	0.41	-56.6	-60.5	3.6	0.00e+00	0	45	104	0	60	125404
2026-01-28 11:16:24.19	31.31	0.46	-56.0	-60.0	3.5	0.00e+00	0	45	104	0	60	118706
2026-01-28 11:16:25.19	31.21	0.51	-55.2	-59.2	3.6	0.00e+00	0	45	104	0	60	107647
2026-01-28 11:16:26.20	31.10	0.57	-52.9	-58.1	3.5	0.00e+00	0	45	104	0	60	94779
2026-01-28 11:16:27.21	30.99	0.62	-53.3	-57.8	3.6	0.00e+00	0	45	104	0	60	92265
2026-01-28 11:16:28.21	30.88	0.67	-54.6	-58.6	3.6	0.00e+00	0	45	104	0	60	100432
2026-01-28 11:16:29.22	30.77	0.72	-51.4	-56.6	3.6	0.00e+00	0	45	104	0	60	79908
2026-01-28 11:16:30.23	30.66	0.77	-51.3	-55.8	3.6	0.00e+00	0	45	104	0	60	72712
2026-01-28 11:16:31.24	30.55	0.82	-47.6	-53.6	3.6	0.00e+00	0	46	104	0	60	56434
2026-01-28 11:16:32.24	30.44	0.87	-51.3	-55.7	3.6	0.00e+00	0	46	104	0	60	72460
2026-01-28 11:16:33.25	30.32	0.93	-50.1	-56.0	3.6	0.00e+00	0	45	104	0	60	74901
2026-01-28 11:16:34.26	30.21	0.98	-51.3	-56.8	3.6	0.00e+00	0	46	104	0	60	81929
2026-01-28 11:16:35.26	30.10	1.03	-51.4	-56.8	3.6	0.00e+00	0	46	104	0	60	81640
2026-01-28 11:16:36.27	29.99	1.08	-51.3	-56.8	3.6	0.00e+00	0	46	104	0	60	82025
2026-01-28 11:16:37.28	29.87	1.13	-51.4	-56.8	3.6	0.00e+00	0	46	104	0	60	81975
2026-01-28 11:16:38.28	29.76	1.19	-51.3	-56.7	3.6	0.00e+00	0	46	104	0	60	80838
2026-01-28 11:16:39.28	29.64	1.24	-51.3	-56.7	3.6	0.00e+00	0	46	104	0	60	80909
2026-01-28 11:16:40.29	29.53	1.29	-51.4	-56.7	3.6	0.00e+00	0	46	104	0	60	81130
2026-01-28 11:16:41.30	29.41	1.34	-51.3	-56.7	3.6	0.00e+00	0	46	104	0	60	80824
2026-01-28 11:16:42.30	29.30	1.39	-51.4	-56.7	3.6	0.00e+00	0	46	104	0	60	81262
2026-01-28 11:16:43.31	29.18	1.44	-51.5	-56.7	3.6	0.00e+00	0	46	104	0	60	81080
2026-01-28 11:16:44.32	29.06	1.50	-51.6	-56.8	3.6	0.00e+00	0	46	104	0	60	81952
2026-01-28 11:16:45.33	28.94	1.55	-51.6	-56.8	3.6	0.00e+00	0	46	104	0	60	82088
2026-01-28 11:16:46.33	28.82	1.60	-51.6	-56.8	3.6	0.00e+00	0	46	104	0	60	81654
2026-01-28 11:16:47.33	28.71	1.65	-51.5	-56.8	3.6	0.00e+00	0	46	104	0	60	81631
2026-01-28 11:16:48.33	28.59	1.70	-51.5	-56.8	3.6	0.00e+00	0	46	104	0	60	81711
