#Pass ID: 20260128_120712_AQUA
#Satellite: AQUA
#Configuration: AQUA
#almurnet v.1.7.20240730
#Start time: 2026-01-28 12:07:14

#Version: 2.2.20231116
#Station: R3.2S-Naryan-Mar
#Location: 53.008057 lon 67.646978 lat
#TLE: 1 27424U 02022A   26027.63960626  .00001831  00000+0  37607-3 0  9998
#TLE: 2 27424  98.4102 354.2809 0001844  63.7090 108.5242 14.61867354262735

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-28 12:07:14.32	206.71	0.07	-59.1	-74.6	3.5	1.52e+00	0	44	0	0	60	205325
2026-01-28 12:07:15.33	206.77	0.13	-54.9	-77.3	3.5	3.04e+01	0	45	104	0	60	279581
2026-01-28 12:07:16.34	206.84	0.19	-56.3	-77.5	3.5	3.04e+01	0	45	104	0	60	286177
2026-01-28 12:07:17.35	206.91	0.24	-56.7	-77.2	3.5	3.04e+01	0	45	104	0	60	274705
2026-01-28 12:07:18.35	206.98	0.30	-57.0	-77.3	3.5	3.04e+01	0	45	104	0	60	277596
2026-01-28 12:07:19.36	207.05	0.35	-57.3	-77.5	3.5	3.04e+01	0	45	104	0	60	286207
2026-01-28 12:07:20.37	207.12	0.41	-57.2	-77.5	3.5	3.04e+01	0	45	104	0	60	286690
2026-01-28 12:07:21.38	207.19	0.46	-57.8	-77.5	3.5	3.04e+01	0	45	104	0	60	285190
2026-01-28 12:07:22.38	207.26	0.52	-57.9	-77.6	3.5	3.04e+01	0	45	104	0	60	287302
2026-01-28 12:07:23.39	207.33	0.57	-57.6	-77.5	3.5	3.04e+01	0	45	104	0	60	283854
2026-01-28 12:07:24.39	207.40	0.63	-57.3	-77.5	3.5	3.04e+01	0	45	104	0	60	285017
2026-01-28 12:07:25.40	207.47	0.69	-57.2	-77.2	3.5	3.04e+01	0	45	104	0	60	274470
2026-01-28 12:07:26.41	207.54	0.74	-56.5	-77.0	3.5	3.04e+01	0	45	104	0	60	269641
2026-01-28 12:07:27.42	207.61	0.80	-56.0	-76.3	3.5	3.04e+01	0	45	104	0	60	247437
2026-01-28 12:07:28.42	207.68	0.85	-56.2	-76.3	3.5	3.04e+01	0	45	104	0	60	248547
2026-01-28 12:07:29.43	207.75	0.91	-56.0	-76.0	3.5	3.04e+01	0	45	104	0	60	240309
2026-01-28 12:07:30.44	207.82	0.97	-55.2	-75.4	3.5	3.04e+01	0	45	104	0	60	224084
2026-01-28 12:07:31.45	207.90	1.02	-55.0	-75.1	3.5	3.04e+01	0	45	104	0	60	216500
2026-01-28 12:07:32.46	207.97	1.08	-54.7	-75.1	3.5	3.04e+01	0	45	104	0	60	215860
2026-01-28 12:07:33.46	208.04	1.14	-54.7	-75.1	3.5	3.04e+01	0	45	104	0	60	216307
2026-01-28 12:07:34.47	208.11	1.19	-54.6	-75.0	3.5	3.04e+01	0	45	104	0	60	213325
2026-01-28 12:07:35.48	208.19	1.25	-54.7	-74.9	3.5	3.04e+01	0	45	104	0	60	212598
2026-01-28 12:07:36.49	208.26	1.31	-54.6	-75.0	3.5	3.04e+01	0	45	104	0	60	212917
2026-01-28 12:07:37.49	208.33	1.37	-54.6	-74.9	3.5	3.04e+01	0	45	104	0	60	210332
2026-01-28 12:07:38.50	208.41	1.42	-54.6	-74.8	3.5	3.04e+01	0	45	104	0	60	209942
2026-01-28 12:07:39.51	208.48	1.48	-54.6	-74.8	3.5	3.04e+01	0	45	104	0	60	209759
2026-01-28 12:07:40.51	208.56	1.54	-54.6	-74.8	3.5	3.04e+01	0	45	104	0	60	208258
2026-01-28 12:07:41.52	208.63	1.59	-54.6	-74.8	3.5	3.04e+01	0	45	104	0	60	208917
2026-01-28 12:07:42.52	208.71	1.65	-54.6	-74.8	3.5	3.04e+01	0	45	104	0	60	209838
2026-01-28 12:07:43.53	208.78	1.71	-54.6	-74.8	3.5	3.04e+01	0	45	104	0	60	207937
2026-01-28 12:07:44.53	208.86	1.77	-54.6	-74.9	3.5	3.04e+01	0	45	104	0	60	210632
2026-01-28 12:07:45.54	208.93	1.82	-54.5	-74.8	3.5	3.04e+01	0	45	104	0	60	209100
2026-01-28 12:07:46.55	209.01	1.88	-54.5	-74.9	3.5	3.04e+01	0	45	104	0	60	210311
2026-01-28 12:07:47.56	209.09	1.94	-54.5	-74.7	3.5	3.04e+01	0	45	104	0	60	207337
2026-01-28 12:07:48.57	209.17	2.00	-54.5	-74.8	3.5	3.04e+01	0	45	104	0	60	208105
2026-01-28 12:07:49.58	209.24	2.06	-54.5	-74.8	3.6	3.04e+01	0	45	104	0	60	209591
2026-01-28 12:07:50.58	209.32	2.12	-54.5	-74.7	3.5	3.04e+01	0	45	104	0	60	207024
2026-01-28 12:07:51.59	209.40	2.17	-54.5	-74.8	3.5	3.04e+01	0	45	104	0	60	209316
2026-01-28 12:07:52.60	209.48	2.23	-54.5	-74.7	3.5	3.04e+01	0	45	104	0	60	207231
2026-01-28 12:07:53.61	209.56	2.29	-54.5	-74.8	3.5	3.04e+01	0	45	104	0	60	208739
2026-01-28 12:07:54.61	209.64	2.35	-54.5	-74.9	3.5	3.04e+01	0	45	104	0	60	211159
2026-01-28 12:07:55.62	209.72	2.41	-54.5	-74.8	3.5	3.04e+01	0	45	104	0	60	207951
2026-01-28 12:07:56.63	209.80	2.47	-54.5	-74.7	3.5	3.04e+01	0	45	104	0	60	206652
2026-01-28 12:07:57.64	209.88	2.53	-54.5	-74.7	3.5	3.04e+01	0	45	104	0	60	206013
2026-01-28 12:07:58.64	209.96	2.59	-54.4	-74.8	3.5	3.04e+01	0	46	104	0	60	207895
2026-01-28 12:07:59.64	210.04	2.64	-54.5	-74.8	3.5	3.04e+01	0	45	104	0	60	208162
2026-01-28 12:08:00.65	210.12	2.70	-54.4	-74.7	3.5	3.04e+01	0	45	104	0	60	206570
