#Pass ID: 20260128_215343_JL1KF02B02
#Satellite: JL1KF02B02
#Configuration: 01B_900M
#almurnet v.1.7.20251203
#Start time: 2026-01-28 21:53:43

#Version: 2.2.20231116
#Station: R3.2S_Murmansk
#Location: 33.079688 lon 68.888172 lat
#TLE: 1 61193U 24169E   26027.77639749  .00007697  00000+0  47839-3 0  9993
#TLE: 2 61193  97.5622 119.4851 0013901  93.9222 266.3597 15.09851074 74653

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-28 21:53:43.66	214.33	2.02	-54.1	-56.2	6.2	0.00e+00	0	43	0	0	79	18648
2026-01-28 21:53:44.62	214.42	2.08	-54.1	-56.2	6.2	0.00e+00	0	43	104	0	79	18779
2026-01-28 21:53:45.60	214.52	2.13	-54.1	-56.1	6.2	0.00e+00	0	43	104	0	79	18572
2026-01-28 21:53:46.57	214.61	2.19	-54.0	-56.1	6.2	0.00e+00	0	43	104	0	79	18555
2026-01-28 21:53:47.54	214.70	2.25	-54.1	-56.2	6.2	0.00e+00	0	43	104	0	79	18638
2026-01-28 21:53:48.51	214.80	2.30	-54.1	-56.2	6.2	0.00e+00	0	43	104	0	79	18732
2026-01-28 21:53:49.48	214.90	2.36	-54.1	-56.2	6.2	0.00e+00	0	43	104	0	79	18687
2026-01-28 21:53:50.45	214.99	2.42	-54.1	-56.2	6.2	0.00e+00	0	43	104	0	79	18632
2026-01-28 21:53:51.42	215.09	2.48	-54.1	-56.1	6.2	0.00e+00	0	43	104	0	79	18591
2026-01-28 21:53:52.40	215.19	2.53	-54.1	-56.1	6.2	0.00e+00	0	43	104	0	79	18582
2026-01-28 21:53:53.37	215.29	2.59	-54.1	-56.1	6.2	0.00e+00	0	43	104	0	79	18586
2026-01-28 21:53:54.35	215.39	2.65	-54.1	-56.2	6.2	0.00e+00	0	43	104	0	79	18613
2026-01-28 21:53:55.32	215.48	2.71	-54.1	-56.1	6.2	0.00e+00	0	43	104	0	79	18588
2026-01-28 21:53:56.29	215.58	2.77	-54.1	-56.1	6.2	0.00e+00	0	43	104	0	79	18587
2026-01-28 21:53:57.26	215.68	2.83	-54.0	-56.2	6.2	0.00e+00	0	43	104	0	79	18618
2026-01-28 21:53:58.23	215.78	2.88	-54.0	-56.1	6.2	0.00e+00	0	43	104	0	79	18527
2026-01-28 21:53:59.20	215.88	2.94	-54.0	-56.1	6.2	0.00e+00	0	43	104	0	79	18517
2026-01-28 21:54:00.18	215.99	3.00	-54.0	-56.1	6.2	0.00e+00	0	43	104	0	79	18510
2026-01-28 21:54:01.14	216.09	3.06	-54.2	-56.3	6.2	0.00e+00	0	43	104	0	79	18902
2026-01-28 21:54:02.12	216.19	3.12	-54.2	-56.3	6.2	0.00e+00	0	43	104	0	79	18940
2026-01-28 21:54:03.08	216.29	3.18	-54.3	-56.3	6.2	0.00e+00	0	44	104	0	79	19009
2026-01-28 21:54:04.05	216.39	3.23	-54.3	-56.4	6.2	0.00e+00	0	43	104	0	79	19105
2026-01-28 21:54:05.02	216.50	3.29	-54.3	-56.3	6.2	0.00e+00	0	43	104	0	79	19007
2026-01-28 21:54:05.99	216.60	3.35	-54.3	-56.3	6.2	0.00e+00	0	43	104	0	79	19009
2026-01-28 21:54:06.97	216.71	3.41	-54.2	-56.3	6.2	0.00e+00	0	43	104	0	79	18951
2026-01-28 21:54:07.93	216.81	3.47	-54.2	-56.3	6.2	0.00e+00	0	43	104	0	79	18851
2026-01-28 21:54:08.91	216.92	3.53	-54.2	-56.3	6.2	0.00e+00	0	43	104	0	79	18925
2026-01-28 21:54:09.88	217.02	3.59	-54.2	-56.3	6.2	0.00e+00	0	43	104	0	79	18893
