#Pass ID: 20260128_215343_JL1KF02B02
#Satellite: JL1KF02B02
#Configuration: 01B_900M
#almurnet v.1.7.20251203
#Start time: 2026-01-28 21:53:44

#Version: 2.2.20231116
#Station: R3.2S_Murmansk_2ch
#Location: 33.079688 lon 68.888172 lat
#TLE: 1 61193U 24169E   26027.77639749  .00007697  00000+0  47839-3 0  9993
#TLE: 2 61193  97.5622 119.4851 0013901  93.9222 266.3597 15.09851074 74653

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-28 21:53:44.35	214.39	2.06	-47.6	-50.2	6.3	0.00e+00	0	44	0	0	66	19731
2026-01-28 21:53:45.33	214.49	2.12	-47.6	-50.1	6.2	0.00e+00	0	44	104	0	66	19617
2026-01-28 21:53:46.30	214.58	2.17	-47.6	-50.1	6.2	0.00e+00	0	44	104	0	66	19598
2026-01-28 21:53:47.26	214.68	2.23	-47.6	-50.2	6.2	0.00e+00	0	44	104	0	66	19727
2026-01-28 21:53:48.23	214.77	2.29	-47.6	-50.2	6.2	0.00e+00	0	44	104	0	66	19746
2026-01-28 21:53:49.20	214.87	2.35	-47.6	-50.2	6.2	0.00e+00	0	44	104	0	66	19734
2026-01-28 21:53:50.18	214.97	2.40	-47.6	-50.1	6.2	0.00e+00	0	44	104	0	66	19671
2026-01-28 21:53:51.14	215.06	2.46	-47.6	-50.1	6.2	0.00e+00	0	44	104	0	66	19630
2026-01-28 21:53:52.11	215.16	2.52	-47.6	-50.1	6.2	0.00e+00	0	44	104	0	66	19598
2026-01-28 21:53:53.08	215.26	2.58	-47.6	-50.1	6.2	0.00e+00	0	44	104	0	66	19603
2026-01-28 21:53:54.05	215.35	2.63	-47.6	-50.1	6.2	0.00e+00	0	44	104	0	66	19629
2026-01-28 21:53:55.02	215.45	2.69	-47.6	-50.1	6.2	0.00e+00	0	44	104	0	66	19608
2026-01-28 21:53:55.98	215.55	2.75	-47.5	-50.1	6.2	0.00e+00	0	44	104	0	66	19570
2026-01-28 21:53:56.96	215.65	2.81	-47.5	-50.1	6.2	0.00e+00	0	45	104	0	66	19527
2026-01-28 21:53:57.93	215.75	2.87	-47.5	-50.1	6.2	0.00e+00	0	44	104	0	66	19554
2026-01-28 21:53:58.90	215.85	2.92	-47.5	-50.1	6.2	0.00e+00	0	44	104	0	66	19555
2026-01-28 21:53:59.87	215.95	2.98	-47.6	-50.1	6.2	0.00e+00	0	44	104	0	66	19655
2026-01-28 21:54:00.84	216.05	3.04	-47.9	-50.4	6.2	0.00e+00	0	44	104	0	66	20215
2026-01-28 21:54:01.81	216.16	3.10	-47.9	-50.5	6.2	0.00e+00	0	45	104	0	66	20501
2026-01-28 21:54:02.78	216.26	3.16	-48.0	-50.5	6.2	0.00e+00	0	45	104	0	66	20559
2026-01-28 21:54:03.75	216.36	3.22	-48.0	-50.6	6.2	0.00e+00	0	45	104	0	66	20689
2026-01-28 21:54:04.72	216.46	3.28	-48.0	-50.6	6.2	0.00e+00	0	44	104	0	66	20676
2026-01-28 21:54:05.68	216.57	3.33	-48.0	-50.6	6.2	0.00e+00	0	44	104	0	66	20663
2026-01-28 21:54:06.66	216.67	3.39	-48.0	-50.6	6.2	0.00e+00	0	45	104	0	66	20667
2026-01-28 21:54:07.62	216.78	3.45	-48.0	-50.5	6.2	0.00e+00	0	45	104	0	66	20590
2026-01-28 21:54:08.59	216.88	3.51	-48.0	-50.5	6.2	0.00e+00	0	45	104	0	66	20497
2026-01-28 21:54:09.56	216.99	3.57	-47.9	-50.4	6.2	0.00e+00	0	45	104	0	66	20382
2026-01-28 21:54:10.53	217.09	3.63	-47.9	-50.4	6.2	0.00e+00	0	45	104	0	66	20353
2026-01-28 21:54:11.50	217.20	3.69	-47.8	-50.3	6.2	0.00e+00	0	45	104	0	66	20144
2026-01-28 21:54:12.47	217.31	3.75	-47.8	-50.3	6.2	0.00e+00	0	45	104	0	66	20113
2026-01-28 21:54:13.44	217.42	3.81	-47.7	-50.3	6.2	0.00e+00	0	45	104	0	66	19976
2026-01-28 21:54:14.42	217.53	3.87	-47.7	-50.2	6.2	0.00e+00	0	45	104	0	66	19766
2026-01-28 21:54:15.39	217.64	3.93	-47.6	-50.1	6.2	0.00e+00	0	45	104	0	66	19668
2026-01-28 21:54:16.36	217.74	3.99	-47.5	-50.1	6.2	0.00e+00	0	45	104	0	66	19533
2026-01-28 21:54:17.33	217.85	4.05	-47.4	-50.0	6.2	0.00e+00	0	45	104	0	66	19339
2026-01-28 21:54:18.30	217.97	4.11	-47.3	-49.9	6.2	0.00e+00	0	45	104	0	66	19075
2026-01-28 21:54:19.26	218.08	4.17	-47.2	-49.7	6.2	0.00e+00	0	45	104	0	66	18789
2026-01-28 21:54:20.23	218.19	4.23	-47.0	-49.6	6.2	0.00e+00	0	45	104	0	66	18451
2026-01-28 21:54:21.21	218.30	4.29	-46.8	-49.3	6.2	0.00e+00	0	45	104	0	65	18996
2026-01-28 21:54:22.17	218.41	4.35	-46.4	-48.9	6.2	0.00e+00	0	45	104	0	64	19225
2026-01-28 21:54:23.14	218.53	4.41	-46.1	-48.7	6.2	0.00e+00	0	45	104	0	64	18647
2026-01-28 21:54:24.11	218.64	4.47	-46.1	-48.6	6.2	0.00e+00	0	45	104	0	64	18588
2026-01-28 21:54:25.08	218.75	4.53	-46.1	-48.7	6.2	0.00e+00	0	45	104	0	64	18616
2026-01-28 21:54:26.06	218.87	4.60	-46.1	-48.6	6.2	0.00e+00	0	45	104	0	64	18542
2026-01-28 21:54:27.03	218.99	4.66	-46.1	-48.6	6.2	0.00e+00	0	45	104	0	64	18587
2026-01-28 21:54:27.99	219.10	4.72	-46.1	-48.6	6.2	0.00e+00	0	45	104	0	64	18602
2026-01-28 21:54:28.96	219.22	4.78	-46.1	-48.6	6.2	0.00e+00	0	45	104	0	64	18559
2026-01-28 21:54:29.93	219.34	4.84	-46.1	-48.6	6.2	0.00e+00	0	45	104	0	64	18520
2026-01-28 21:54:30.90	219.45	4.90	-46.0	-48.6	6.2	0.00e+00	0	45	104	0	64	18503
2026-01-28 21:54:31.87	219.57	4.96	-46.1	-48.6	6.2	0.00e+00	0	45	104	0	64	18550
2026-01-28 21:54:32.84	219.69	5.02	-46.1	-48.6	6.2	0.00e+00	0	45	104	0	64	18555
2026-01-28 21:54:33.81	219.81	5.09	-46.1	-48.7	6.2	0.00e+00	0	45	104	0	64	18662
