#Pass ID: 20260128_001459_SUOMI NPP
#Satellite: SUOMI NPP
#Configuration: NPP
#almurnet v.1.7.20251203
#Start time: 2026-01-28 00:15:00

#Version: 2.2.20231116
#Station: R4.6S_Anadyr
#Location: 177.4865 lon 64.73178 lat
#TLE: 1 37849U 11061A   26027.57994159  .00000179  00000+0  10588-3 0  9997
#TLE: 2 37849  98.7823 329.5210 0002100  42.0127 318.1210 14.19530762738496

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-28 00:15:00.61	155.09	0.06	-48.8	-61.3	3.4	1.52e+00	0	30	0	0	60	40887
2026-01-28 00:15:01.61	155.10	0.12	-48.8	-64.0	3.6	1.51e+00	0	31	104	0	60	57319
2026-01-28 00:15:02.62	155.10	0.18	-48.8	-64.1	3.6	1.51e+00	0	31	104	0	60	57664
2026-01-28 00:15:03.63	155.10	0.25	-48.8	-64.0	3.6	1.51e+00	0	31	104	0	60	57437
2026-01-28 00:15:04.64	155.10	0.31	-48.8	-64.0	3.6	1.51e+00	0	31	104	0	60	57571
2026-01-28 00:15:05.65	155.11	0.37	-48.7	-64.1	3.6	1.51e+00	0	31	104	0	60	57704
2026-01-28 00:15:06.66	155.11	0.43	-48.9	-64.1	3.6	1.51e+00	0	31	104	0	60	57723
2026-01-28 00:15:07.67	155.11	0.49	-48.9	-64.1	3.6	1.51e+00	0	31	104	0	60	57748
2026-01-28 00:15:08.68	155.11	0.55	-48.9	-64.2	3.5	1.51e+00	0	31	104	0	60	58286
2026-01-28 00:15:09.69	155.11	0.61	-48.9	-64.1	3.6	1.51e+00	0	31	104	0	60	58234
2026-01-28 00:15:10.70	155.12	0.68	-48.9	-64.2	3.6	1.51e+00	0	31	104	0	60	58535
2026-01-28 00:15:11.71	155.12	0.74	-48.9	-64.1	3.6	1.51e+00	0	31	104	0	60	58232
2026-01-28 00:15:12.72	155.12	0.80	-48.9	-64.1	3.6	1.51e+00	0	31	104	0	60	58173
2026-01-28 00:15:13.73	155.12	0.86	-48.8	-64.1	3.6	1.51e+00	0	31	104	0	60	57745
2026-01-28 00:15:14.74	155.13	0.93	-48.7	-64.0	3.5	1.51e+00	0	31	104	0	60	57202
2026-01-28 00:15:15.75	155.13	0.99	-48.7	-64.0	3.6	1.51e+00	0	31	104	0	60	57086
2026-01-28 00:15:16.76	155.13	1.05	-48.6	-63.9	3.6	1.51e+00	0	31	104	0	60	56395
2026-01-28 00:15:17.77	155.13	1.11	-48.5	-63.8	3.6	1.51e+00	0	31	104	0	60	55700
2026-01-28 00:15:18.78	155.14	1.18	-48.4	-63.7	3.6	1.51e+00	0	31	104	0	60	55058
2026-01-28 00:15:19.79	155.14	1.24	-48.3	-63.5	3.5	1.51e+00	0	31	104	0	60	54014
2026-01-28 00:15:20.80	155.14	1.30	-47.1	-62.3	3.6	1.51e+00	0	31	104	0	60	47216
2026-01-28 00:15:21.81	155.14	1.37	-47.1	-62.4	3.6	1.51e+00	0	31	104	0	60	47619
2026-01-28 00:15:22.82	155.14	1.43	-46.5	-61.7	3.6	1.51e+00	0	31	104	0	60	43799
2026-01-28 00:15:23.83	155.15	1.49	-46.4	-61.6	3.6	1.51e+00	0	31	104	0	60	43451
2026-01-28 00:15:24.84	155.15	1.56	-46.3	-61.5	3.6	1.51e+00	0	31	104	0	60	43145
2026-01-28 00:15:25.85	155.15	1.62	-46.3	-61.6	3.6	1.51e+00	0	31	104	0	60	43277
2026-01-28 00:15:26.86	155.15	1.69	-46.3	-61.6	3.6	1.51e+00	0	31	104	0	60	43257
2026-01-28 00:15:27.87	155.16	1.75	-46.3	-61.6	3.6	1.51e+00	0	31	104	0	60	43404
