#Pass ID: 20260128_084141_KOSAR1-5
#Satellite: KOSAR1-5
#Configuration: KOSAR1-5
#almurnet v.1.7.20251203
#Start time: 2026-01-28 08:41:45

#Version: 2.2.20231116
#Station: R4.6S_Anadyr
#Location: 177.4865 lon 64.73178 lat
#TLE: 1 67264U 25313S   26027.76143924  .00010916  00000+0  50329-3 0  9990
#TLE: 2 67264  97.4176 104.7207 0016474 138.6036 221.6451 15.20309833  4594

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-28 08:41:45.52	136.27	0.27	-49.0	-50.5	5.7	0.00e+00	0	30	0	0	60	41032
2026-01-28 08:41:46.52	136.23	0.33	-45.5	-60.2	3.6	1.51e+00	0	31	104	0	60	41716
2026-01-28 08:41:47.53	136.20	0.39	-45.5	-60.3	3.6	1.51e+00	0	31	104	0	60	41799
2026-01-28 08:41:48.54	136.16	0.46	-45.6	-60.3	3.6	1.51e+00	0	31	104	0	60	41885
2026-01-28 08:41:49.55	136.12	0.52	-45.6	-60.3	3.6	1.51e+00	0	31	104	0	60	42008
2026-01-28 08:41:50.56	136.09	0.59	-45.6	-60.3	3.6	1.51e+00	0	31	104	0	60	41788
2026-01-28 08:41:51.57	136.05	0.65	-45.7	-60.4	3.6	1.51e+00	0	31	104	0	60	42485
2026-01-28 08:41:52.58	136.01	0.72	-45.7	-60.3	3.6	1.51e+00	0	31	104	0	60	42083
2026-01-28 08:41:53.59	135.98	0.78	-45.6	-60.4	3.6	1.51e+00	0	31	104	0	60	42389
2026-01-28 08:41:54.60	135.94	0.85	-45.6	-60.3	3.6	1.51e+00	0	31	104	0	60	42019
2026-01-28 08:41:55.61	135.90	0.91	-45.7	-60.4	3.5	1.51e+00	0	31	104	0	60	42242
2026-01-28 08:41:56.62	135.86	0.98	-45.6	-60.3	3.6	1.51e+00	0	31	104	0	60	42034
2026-01-28 08:41:57.62	135.82	1.04	-45.6	-60.3	3.6	1.51e+00	0	31	104	0	60	41931
2026-01-28 08:41:58.64	135.78	1.11	-45.6	-60.2	3.6	1.51e+00	0	31	104	0	60	41696
2026-01-28 08:41:59.65	135.74	1.18	-45.6	-60.3	3.6	1.51e+00	0	31	104	0	60	42217
2026-01-28 08:42:00.66	135.71	1.24	-45.4	-60.1	3.6	1.51e+00	0	31	104	0	60	41014
2026-01-28 08:42:01.67	135.67	1.31	-45.4	-60.1	3.6	1.51e+00	0	31	104	0	60	41076
2026-01-28 08:42:02.68	135.63	1.38	-45.3	-60.0	3.6	1.51e+00	0	31	104	0	60	40651
2026-01-28 08:42:03.69	135.59	1.44	-45.2	-60.0	3.6	1.51e+00	0	31	104	0	60	40436
2026-01-28 08:42:04.70	135.55	1.51	-45.0	-59.8	3.6	1.51e+00	0	31	104	0	60	39588
2026-01-28 08:42:05.71	135.51	1.58	-45.0	-59.7	3.6	1.51e+00	0	31	104	0	60	39079
2026-01-28 08:42:06.72	135.46	1.64	-44.7	-59.5	3.6	1.51e+00	0	31	104	0	60	38245
2026-01-28 08:42:07.73	135.42	1.71	-44.4	-59.2	3.6	1.51e+00	0	31	104	0	60	37177
2026-01-28 08:42:08.74	135.38	1.78	-44.4	-59.2	3.6	1.51e+00	0	31	104	0	60	36953
2026-01-28 08:42:09.75	135.34	1.85	-44.4	-59.1	3.6	1.51e+00	0	31	104	0	60	36774
2026-01-28 08:42:10.76	135.30	1.92	-44.4	-59.2	3.6	1.51e+00	0	31	104	0	60	36793
2026-01-28 08:42:11.76	135.26	1.98	-44.4	-59.2	3.6	1.51e+00	0	31	104	0	60	36989
2026-01-28 08:42:12.77	135.22	2.05	-44.4	-59.2	3.6	1.51e+00	0	31	104	0	60	37112
2026-01-28 08:42:13.78	135.17	2.12	-44.4	-59.1	3.6	1.51e+00	0	31	104	0	60	36764
2026-01-28 08:42:14.79	135.13	2.19	-44.4	-59.2	3.6	1.51e+00	0	31	104	0	60	36780
2026-01-28 08:42:15.80	135.09	2.26	-44.4	-59.2	3.6	1.51e+00	0	32	104	0	60	36967
2026-01-28 08:42:16.81	135.04	2.33	-44.4	-59.1	3.6	1.51e+00	0	31	104	0	60	36761
2026-01-28 08:42:17.82	135.00	2.40	-44.4	-59.2	3.6	1.51e+00	0	31	104	0	60	36905
2026-01-28 08:42:18.83	134.96	2.47	-44.4	-59.2	3.6	1.51e+00	0	31	104	0	60	36918
2026-01-28 08:42:19.84	134.91	2.54	-44.4	-59.2	3.6	1.51e+00	0	31	104	0	60	36863
2026-01-28 08:42:20.85	134.87	2.61	-44.4	-59.2	3.6	1.51e+00	0	31	104	0	60	36879
2026-01-28 08:42:21.86	134.82	2.68	-44.4	-59.1	3.6	1.51e+00	0	32	104	0	60	36762
2026-01-28 08:42:22.87	134.78	2.75	-44.4	-59.2	3.6	1.51e+00	0	31	104	0	60	36889
2026-01-28 08:42:23.88	134.73	2.82	-44.4	-59.2	3.6	1.51e+00	0	32	104	0	60	36847
2026-01-28 08:42:24.89	134.69	2.89	-44.4	-59.2	3.6	1.51e+00	0	32	104	0	60	36848
2026-01-28 08:42:25.90	134.64	2.97	-44.4	-59.1	3.6	1.51e+00	0	32	104	0	60	36770
