#Pass ID: 20260128_222557_TY-39
#Satellite: TY-39
#Configuration: TY-39
#almurnet v.1.7.20251203
#Start time: 2026-01-28 22:26:01

#Version: 2.2.20231116
#Station: R4.6S_Anadyr
#Location: 177.4865 lon 64.73178 lat
#TLE: 1 51832U 22019J   26027.86422561  .00002582  00000-0  12388-3 0  9996
#TLE: 2 51832  97.3621  94.2395 0008889  11.0507 349.0921 15.19733422216484

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-28 22:26:01.62	18.51	0.26	-49.1	-66.8	3.5	3.03e+01	0	28	0	0	60	84545
2026-01-28 22:26:02.63	18.54	0.32	-49.0	-51.4	3.6	0.00e+00	0	30	104	0	60	45727
2026-01-28 22:26:03.64	18.57	0.39	-49.1	-51.5	3.6	0.00e+00	0	30	104	0	60	46281
2026-01-28 22:26:04.65	18.59	0.45	-49.1	-51.5	3.6	0.00e+00	0	30	104	0	60	46202
2026-01-28 22:26:05.66	18.62	0.52	-49.1	-51.5	3.6	0.00e+00	0	30	104	0	60	46141
2026-01-28 22:26:06.67	18.65	0.58	-49.1	-51.6	3.6	0.00e+00	0	30	104	0	60	46552
2026-01-28 22:26:07.68	18.68	0.65	-49.1	-51.6	3.6	0.00e+00	0	30	104	0	60	46408
2026-01-28 22:26:08.69	18.71	0.71	-48.9	-51.4	3.6	0.00e+00	0	30	104	0	60	45468
2026-01-28 22:26:09.70	18.74	0.78	-49.0	-51.5	3.6	0.00e+00	0	30	104	0	60	45988
2026-01-28 22:26:10.71	18.77	0.84	-49.0	-51.5	3.6	0.00e+00	0	30	104	0	60	46125
2026-01-28 22:26:11.72	18.80	0.91	-49.0	-51.4	3.6	0.00e+00	0	30	104	0	60	45612
2026-01-28 22:26:12.73	18.83	0.98	-48.9	-51.4	3.6	0.00e+00	0	30	104	0	60	45483
2026-01-28 22:26:13.73	18.86	1.04	-48.8	-51.3	3.5	0.00e+00	0	30	104	0	60	44975
2026-01-28 22:26:14.74	18.89	1.11	-48.8	-51.3	3.6	0.00e+00	0	30	104	0	60	44846
2026-01-28 22:26:15.75	18.92	1.17	-48.6	-51.1	3.6	0.00e+00	0	30	104	0	60	43748
2026-01-28 22:26:16.77	18.95	1.24	-48.2	-50.8	3.6	0.00e+00	0	31	104	0	60	42233
2026-01-28 22:26:17.77	18.98	1.31	-48.3	-50.8	3.6	0.00e+00	0	30	104	0	60	42661
2026-01-28 22:26:18.78	19.01	1.38	-48.3	-50.8	3.6	0.00e+00	0	30	104	0	60	42483
2026-01-28 22:26:19.79	19.05	1.44	-48.1	-50.6	3.6	0.00e+00	0	30	104	0	60	41529
2026-01-28 22:26:20.80	19.08	1.51	-48.0	-50.4	3.5	0.00e+00	0	31	104	0	60	40633
2026-01-28 22:26:21.81	19.11	1.58	-47.8	-50.2	3.5	0.00e+00	0	31	104	0	60	39834
2026-01-28 22:26:22.82	19.14	1.65	-47.7	-50.2	3.6	0.00e+00	0	31	104	0	60	39682
2026-01-28 22:26:23.83	19.17	1.71	-47.7	-50.2	3.6	0.00e+00	0	31	104	0	60	39607
2026-01-28 22:26:24.84	19.20	1.78	-47.7	-50.2	3.6	0.00e+00	0	31	104	0	60	39594
2026-01-28 22:26:25.85	19.23	1.85	-47.7	-50.2	3.6	0.00e+00	0	31	104	0	60	39613
2026-01-28 22:26:26.86	19.27	1.92	-47.7	-50.2	3.6	0.00e+00	0	31	104	0	60	39694
2026-01-28 22:26:27.87	19.30	1.99	-47.7	-50.2	3.6	0.00e+00	0	31	104	0	60	39619
2026-01-28 22:26:28.88	19.33	2.06	-47.7	-50.2	3.6	0.00e+00	0	31	104	0	60	39695
2026-01-28 22:26:29.89	19.36	2.13	-47.7	-50.2	3.6	0.00e+00	0	31	104	0	60	39595
2026-01-28 22:26:30.90	19.40	2.20	-47.7	-50.2	3.6	0.00e+00	0	31	104	0	60	39586
2026-01-28 22:26:31.91	19.43	2.27	-47.7	-50.2	3.6	0.00e+00	0	31	104	0	60	39548
2026-01-28 22:26:32.92	19.46	2.34	-47.7	-50.1	3.6	0.00e+00	0	31	104	0	60	39397
2026-01-28 22:26:33.93	19.50	2.41	-47.7	-50.2	3.6	0.00e+00	0	31	104	0	60	39408
2026-01-28 22:26:34.94	19.53	2.48	-47.7	-50.2	3.6	0.00e+00	0	31	104	0	60	39660
2026-01-28 22:26:35.95	19.56	2.55	-47.7	-50.2	3.6	0.00e+00	0	31	104	0	60	39495
2026-01-28 22:26:36.96	19.60	2.62	-47.7	-50.2	3.6	0.00e+00	0	31	104	0	60	39509
2026-01-28 22:26:37.97	19.63	2.69	-47.7	-50.2	3.6	0.00e+00	0	31	104	0	60	39475
2026-01-28 22:26:38.98	19.67	2.76	-47.7	-50.2	3.6	0.00e+00	0	31	104	0	60	39603
2026-01-28 22:26:39.99	19.70	2.83	-47.7	-50.2	3.6	0.00e+00	0	31	104	0	60	39618
2026-01-28 22:26:41.00	19.74	2.91	-47.7	-50.2	3.6	0.00e+00	0	31	104	0	60	39631
2026-01-28 22:26:42.01	19.77	2.98	-47.7	-50.2	3.6	0.00e+00	0	31	104	0	60	39523
2026-01-28 22:26:43.02	19.81	3.05	-47.7	-50.2	3.6	0.00e+00	0	31	104	0	60	39571
2026-01-28 22:26:44.03	19.84	3.12	-47.7	-50.2	3.6	0.00e+00	0	31	104	0	60	39658
2026-01-28 22:26:45.04	19.88	3.20	-47.7	-50.2	3.6	0.00e+00	0	31	104	0	60	39516
2026-01-28 22:26:46.05	19.91	3.27	-47.7	-50.2	3.6	0.00e+00	0	31	104	0	60	39496
2026-01-28 22:26:47.06	19.95	3.34	-47.7	-50.2	3.6	0.00e+00	0	31	104	0	60	39413
2026-01-28 22:26:48.07	19.98	3.42	-47.7	-50.2	3.6	0.00e+00	0	31	104	0	60	39624
2026-01-28 22:26:49.08	20.02	3.49	-47.7	-50.2	3.6	0.00e+00	0	31	104	0	60	39511
2026-01-28 22:26:50.09	20.06	3.57	-47.7	-50.1	3.6	0.00e+00	0	31	104	0	60	39348
2026-01-28 22:26:51.10	20.09	3.64	-47.7	-50.2	3.6	0.00e+00	0	31	104	0	60	39434
