#Pass ID: 20260128_125956_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#almurnet v.1.7.20251203
#Start time: 2026-01-28 12:59:58

#Version: 2.0.20230620
#Station: T1
#Location: 37.570604 lon 55.790049 lat
#TLE: 1 43010U 17072A   26027.90082829  .00000305  00000+0  16579-3 0  9998
#TLE: 2 43010  98.9960 359.9183 0002511  88.1058 272.0405 14.19701796425082

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-28 12:59:58.33	192.27	5.17	-49.9	-62.3	3.8	8.47e-01	0	40	0	0	70	15820
2026-01-28 12:59:59.32	192.33	5.23	-50.2	-62.3	3.8	8.46e-01	0	40	104	0	71	15023
2026-01-28 13:00:00.31	192.39	5.30	-50.3	-62.3	3.8	8.47e-01	0	40	104	0	71	15014
2026-01-28 13:00:01.31	192.44	5.37	-50.2	-62.3	3.8	8.47e-01	0	40	104	0	71	15010
2026-01-28 13:00:02.30	192.50	5.43	-50.2	-62.3	3.8	8.47e-01	0	40	104	0	70	15921
2026-01-28 13:00:03.29	192.56	5.50	-50.2	-62.3	3.8	8.47e-01	0	40	104	0	70	15889
2026-01-28 13:00:04.29	192.62	5.57	-50.1	-62.3	3.8	8.46e-01	0	40	104	0	70	15799
2026-01-28 13:00:05.28	192.68	5.63	-50.1	-62.3	3.8	8.46e-01	0	40	104	0	70	15832
2026-01-28 13:00:06.27	192.74	5.70	-50.1	-62.2	3.8	8.46e-01	0	40	104	0	70	15714
2026-01-28 13:00:07.26	192.80	5.77	-50.0	-62.2	3.8	8.47e-01	0	40	104	0	70	15634
2026-01-28 13:00:08.26	192.86	5.84	-49.9	-62.1	3.8	8.47e-01	0	40	104	0	70	15517
2026-01-28 13:00:09.25	192.92	5.91	-50.0	-62.1	3.8	8.46e-01	0	40	104	0	70	15479
2026-01-28 13:00:10.24	192.98	5.97	-49.6	-62.0	3.8	8.46e-01	0	40	104	0	70	15365
2026-01-28 13:00:11.24	193.04	6.04	-49.7	-62.0	3.8	8.46e-01	0	40	104	0	70	15283
2026-01-28 13:00:12.23	193.10	6.11	-49.9	-61.9	3.8	8.46e-01	0	41	104	0	70	15154
2026-01-28 13:00:13.22	193.16	6.18	-49.6	-61.9	3.8	8.47e-01	0	41	104	0	70	15067
2026-01-28 13:00:14.22	193.23	6.25	-49.4	-61.8	3.8	8.46e-01	0	40	104	0	69	15883
2026-01-28 13:00:15.21	193.29	6.32	-47.5	-61.8	3.8	8.47e-01	0	41	104	0	69	15872
2026-01-28 13:00:16.20	193.35	6.39	-47.2	-61.4	3.8	8.47e-01	0	41	104	0	68	15960
2026-01-28 13:00:17.20	193.41	6.46	-49.0	-61.1	3.8	8.47e-01	0	41	104	0	68	15426
2026-01-28 13:00:18.19	193.47	6.53	-48.7	-61.5	3.8	8.47e-01	0	41	104	0	68	16205
2026-01-28 13:00:19.18	193.54	6.60	-48.7	-61.5	3.8	8.47e-01	0	41	104	0	68	16243
2026-01-28 13:00:20.18	193.60	6.67	-48.7	-61.6	3.8	8.47e-01	0	41	104	0	68	16354
2026-01-28 13:00:21.17	193.66	6.74	-48.8	-61.6	3.8	8.46e-01	0	41	104	0	68	16399
2026-01-28 13:00:22.16	193.73	6.80	-48.7	-61.6	3.8	8.46e-01	0	41	104	0	68	16324
2026-01-28 13:00:23.15	193.79	6.88	-48.7	-61.3	3.8	8.47e-01	0	41	104	0	68	15911
2026-01-28 13:00:24.15	193.86	6.95	-48.5	-60.7	3.8	8.47e-01	0	41	104	0	67	15583
2026-01-28 13:00:25.14	193.92	7.02	-48.4	-59.8	3.7	8.46e-01	0	41	104	0	67	14105
2026-01-28 13:00:26.13	193.99	7.09	-48.3	-58.8	3.8	8.45e-01	0	41	104	0	67	12581
2026-01-28 13:00:27.13	194.05	7.16	-48.2	-57.7	4.2	8.39e-01	0	41	0	0	67	11098
2026-01-28 13:00:28.12	194.12	7.23	-48.0	-56.9	4.5	8.27e-01	0	41	0	0	66	10700
2026-01-28 13:00:29.11	194.18	7.30	-47.9	-56.5	4.7	8.13e-01	0	41	0	0	66	10271
2026-01-28 13:00:30.11	194.25	7.37	-48.0	-56.7	4.6	8.14e-01	0	41	0	0	66	10469
2026-01-28 13:00:31.10	194.32	7.44	-48.1	-57.3	4.3	8.27e-01	0	41	0	0	66	11286
2026-01-28 13:00:32.09	194.38	7.52	-48.1	-57.6	4.3	8.37e-01	0	41	0	0	66	11681
2026-01-28 13:00:33.08	194.45	7.59	-47.9	-56.4	4.7	8.25e-01	0	41	0	0	66	10086
2026-01-28 13:00:34.08	194.52	7.66	-47.2	-53.7	6.5	6.28e-01	0	41	0	1048576	65	7834
2026-01-28 13:00:35.07	194.59	7.73	-46.1	-50.9	9.2	5.17e-02	0	41	0	7340032	63	6395
2026-01-28 13:00:36.06	194.65	7.80	-44.6	-48.2	12.1	2.30e-03	0	41	0	12582912	60	5545
2026-01-28 13:00:37.06	194.72	7.88	-43.4	-46.3	13.9	1.94e-05	0	41	0	18874368	58	5034
2026-01-28 13:00:38.05	194.79	7.95	-41.9	-44.4	15.6	0.00e+00	0	41	0	24117248	55	4795
2026-01-28 13:00:39.04	194.86	8.02	-40.8	-43.1	16.9	0.00e+00	0	41	0	29360128	53	4620
2026-01-28 13:00:40.04	194.93	8.10	-40.0	-42.1	17.8	0.00e+00	0	41	0	35651584	52	4373
2026-01-28 13:00:41.03	195.00	8.17	-39.5	-41.5	18.5	0.00e+00	0	41	0	40894464	50	4586
2026-01-28 13:00:42.02	195.07	8.24	-39.2	-41.2	18.8	0.00e+00	0	42	0	46137344	50	4415
2026-01-28 13:00:43.02	195.14	8.32	-39.2	-41.3	18.7	0.00e+00	0	41	0	51380224	50	4463
2026-01-28 13:00:44.01	195.21	8.39	-39.3	-41.4	18.6	0.00e+00	0	41	0	57671680	50	4513
2026-01-28 13:00:45.00	195.28	8.46	-39.8	-41.9	18.1	0.00e+00	0	42	0	62914560	50	4813
2026-01-28 13:00:45.99	195.35	8.54	-40.3	-42.5	17.6	0.00e+00	0	41	0	69206016	51	4847
2026-01-28 13:00:46.99	195.43	8.61	-41.1	-43.4	16.7	0.00e+00	0	41	0	74448896	52	5062
2026-01-28 13:00:47.98	195.50	8.69	-41.8	-44.3	15.8	0.00e+00	0	42	0	79691776	54	5015
2026-01-28 13:00:48.97	195.57	8.76	-42.9	-45.7	14.6	0.00e+00	0	41	0	84934656	56	5238
2026-01-28 13:00:49.96	195.64	8.84	-44.0	-47.2	13.0	1.60e-05	0	42	0	91226112	58	5557
2026-01-28 13:00:50.96	195.72	8.91	-44.8	-48.5	11.7	2.70e-04	0	41	0	96468992	60	5740
2026-01-28 13:00:51.95	195.79	8.99	-45.7	-50.0	10.2	4.80e-03	0	41	0	101711872	62	6088
2026-01-28 13:00:52.94	195.87	9.06	-46.4	-51.4	8.7	2.24e-02	0	42	0	108003328	63	6775
2026-01-28 13:00:53.94	195.94	9.14	-46.6	-51.7	8.4	5.15e-02	0	42	0	113246208	63	7032
2026-01-28 13:00:54.93	196.02	9.21	-42.9	-45.5	14.8	3.31e-04	0	42	0	118489088	57	4851
2026-01-28 13:00:55.92	196.09	9.29	-47.6	-55.0	5.5	3.86e-02	0	42	0	124780544	65	9101
2026-01-28 13:00:56.92	196.17	9.37	-46.2	-50.6	9.5	5.08e-02	0	42	0	128974848	63	6194
2026-01-28 13:00:57.91	196.24	9.44	-43.7	-46.6	13.8	1.14e-05	0	42	0	134217728	57	5470
2026-01-28 13:00:58.90	196.32	9.52	-43.1	-45.8	14.5	3.40e-06	0	42	0	139460608	57	5026
2026-01-28 13:00:59.90	196.40	9.60	-42.6	-45.2	15.1	0.00e+00	0	42	0	145752064	56	4958
2026-01-28 13:01:00.89	196.47	9.67	-41.5	-43.8	16.3	0.00e+00	0	42	0	150994944	55	4484
2026-01-28 13:01:01.88	196.55	9.75	-40.7	-42.9	17.2	0.00e+00	0	42	0	156237824	53	4540
2026-01-28 13:01:02.87	196.63	9.83	-40.3	-42.4	17.6	0.00e+00	0	42	0	162529280	52	4542
2026-01-28 13:01:03.87	196.71	9.91	-40.2	-42.4	17.7	0.00e+00	0	42	0	167772160	52	4504
2026-01-28 13:01:04.86	196.78	9.98	-40.1	-42.2	17.9	0.00e+00	0	42	0	173015040	51	4669
2026-01-28 13:01:05.85	196.86	10.06	-39.9	-42.0	18.1	0.00e+00	0	42	0	179306496	51	4566
2026-01-28 13:01:06.85	196.94	10.14	-39.7	-41.7	18.3	0.00e+00	0	42	0	184549376	51	4431
2026-01-28 13:01:07.84	197.02	10.22	-39.2	-41.2	18.8	0.00e+00	0	42	0	189792256	50	4422
2026-01-28 13:01:08.83	197.10	10.30	-39.1	-41.1	18.9	0.00e+00	0	42	0	195035136	49	4625
2026-01-28 13:01:09.82	197.18	10.38	-39.3	-41.3	18.8	0.00e+00	0	42	0	201326592	49	4731
2026-01-28 13:01:10.82	197.27	10.46	-39.2	-41.2	18.8	0.00e+00	0	42	0	206569472	49	4703
2026-01-28 13:01:11.81	197.35	10.54	-39.1	-41.2	18.9	0.00e+00	0	42	0	212860928	49	4658
2026-01-28 13:01:12.80	197.43	10.62	-39.1	-41.2	18.9	0.00e+00	0	42	0	218103808	49	4659
2026-01-28 13:01:13.80	197.51	10.70	-38.9	-40.9	19.2	0.00e+00	0	42	0	223346688	49	4511
2026-01-28 13:01:14.79	197.59	10.78	-39.0	-41.0	19.1	0.00e+00	0	42	0	229638144	49	4556
2026-01-28 13:01:15.78	197.68	10.85	-38.9	-40.9	19.1	0.00e+00	0	42	0	234881024	49	4525
2026-01-28 13:01:16.78	197.76	10.94	-38.9	-40.9	19.1	0.00e+00	0	42	0	240123904	49	4534
2026-01-28 13:01:17.77	197.85	11.02	-38.8	-40.7	19.3	0.00e+00	0	42	0	245366784	49	4435
2026-01-28 13:01:18.76	197.93	11.10	-38.8	-40.7	19.3	0.00e+00	0	42	0	251658240	49	4427
2026-01-28 13:01:19.75	198.01	11.18	-38.8	-40.7	19.3	0.00e+00	0	42	0	256901120	48	4704
2026-01-28 13:01:20.75	198.10	11.26	-38.7	-40.6	19.4	0.00e+00	0	42	0	263192576	48	4634
2026-01-28 13:01:21.74	198.19	11.34	-38.6	-40.6	19.5	0.00e+00	0	42	0	268435456	48	4599
2026-01-28 13:01:22.73	198.27	11.42	-38.5	-40.5	19.6	0.00e+00	0	42	0	273678336	48	4549
2026-01-28 13:01:23.73	198.36	11.50	-38.5	-40.5	19.6	0.00e+00	0	42	0	278921216	48	4560
