#Pass ID: 20260128_191430_TERRA
#Satellite: TERRA
#Configuration: TERRA
#Start time: 2026-01-28 19:14:23

#Time	Level	Level2	SNR	BER	Gain	Gain2
19:14:23.10	-35.3	-39.6	-0.8	15630615	88	2887
19:14:23.20	-34.9	-52.7	0.8	0	64	13630
19:14:23.31	-35.1	-46.5	0.8	14860717	77	6534
19:14:23.42	-35.3	-42.0	0.7	14860717	87	3788
19:14:23.54	-35.0	-40.3	0.4	14860717	88	3260
19:14:23.65	-35.0	-39.2	-0.6	14860717	88	2868
19:14:23.76	-35.0	-39.0	-0.8	14860717	88	2799
19:14:23.87	-35.0	-39.0	-0.8	15492607	88	2779
19:14:23.98	-35.0	-39.0	-0.8	15492607	88	2785
19:14:24.09	-35.3	-41.4	0.8	15492607	88	3562
19:14:24.21	-35.3	-41.5	0.8	15492607	88	3575
19:14:24.32	-35.3	-41.4	0.8	15480735	88	3543
19:14:24.43	-35.3	-40.6	0.0	15480735	88	3241
19:14:24.54	-35.3	-39.9	-0.6	15480735	88	2985
19:14:24.65	-35.3	-39.6	-0.9	15480735	88	2892
19:14:24.76	-35.3	-39.6	-0.8	15480735	88	2891
19:14:24.88	-35.3	-39.6	-0.8	15600296	88	2900
19:14:24.99	-35.3	-41.4	0.8	15600296	88	3549
19:14:25.10	-35.3	-41.4	0.7	15600296	88	3576
19:14:25.21	-35.3	-40.8	0.2	15600296	88	3309
19:14:25.32	-35.3	-40.0	-0.4	15485198	88	3030
19:14:25.43	-35.3	-39.6	-0.8	15485198	88	2874
19:14:25.55	-35.3	-39.7	-0.8	15485198	88	2901
19:14:25.66	-35.3	-39.6	-0.8	15485198	88	2875
19:14:25.77	-35.3	-41.5	0.8	15485198	88	3578
19:14:25.88	-35.3	-41.4	0.8	15603263	88	3550
19:14:25.99	-35.3	-41.5	0.8	15603263	88	3561
19:14:26.10	-35.1	-40.1	0.0	15603263	88	3144
19:14:26.22	-35.1	-39.5	-0.6	15603263	88	2914
19:14:26.33	-35.1	-39.2	-0.9	15481117	88	2824
19:14:26.44	-35.1	-39.3	-0.8	15481117	88	2835
19:14:26.55	-35.1	-39.2	-0.8	15481117	88	2829
19:14:26.66	-35.4	-41.1	0.8	15481117	89	3396
19:14:26.77	-35.3	-41.0	0.8	15481117	89	3388
19:14:26.89	-35.0	-40.4	0.4	15513259	89	3263
19:14:27.00	-35.0	-39.7	-0.1	15513259	88	3039
19:14:27.11	-35.0	-39.1	-0.7	15513259	88	2813
