#Pass ID: 20260129_092901_AQUA
#Satellite: AQUA
#Configuration: AQUA
#almurnet v.1.7.20240730
#Start time: 2026-01-29 09:29:03

#Version: 2.2.20231116
#Station: R3.2S-Naryan-Mar
#Location: 53.008057 lon 67.646978 lat
#TLE: 1 27424U 02022A   26027.96263068  .00001625  00000+0  33481-3 0  9997
#TLE: 2 27424  98.4102 354.6095 0001839  63.4368   7.7786 14.61867353262782

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-29 09:29:03.63	139.10	0.11	-59.5	-77.0	3.5	1.51e+00	0	43	0	0	60	278166
2026-01-29 09:29:04.64	139.09	0.18	-54.6	-75.3	3.6	3.01e+01	0	44	104	0	60	220612
2026-01-29 09:29:05.65	139.07	0.24	-55.5	-75.7	3.6	3.01e+01	0	44	104	0	60	233198
2026-01-29 09:29:06.65	139.06	0.30	-56.8	-77.4	3.5	3.01e+01	0	44	104	0	60	283228
2026-01-29 09:29:07.66	139.04	0.36	-57.2	-78.0	3.5	3.01e+01	0	44	104	0	60	302917
2026-01-29 09:29:08.67	139.03	0.43	-58.3	-78.6	3.5	3.01e+01	0	44	104	0	60	323621
2026-01-29 09:29:09.68	139.01	0.49	-58.0	-78.6	3.5	3.01e+01	0	44	104	0	60	323387
2026-01-29 09:29:10.69	138.99	0.55	-58.1	-78.6	3.5	3.01e+01	0	44	104	0	60	322311
2026-01-29 09:29:11.69	138.98	0.62	-58.7	-78.7	3.5	3.01e+01	0	44	104	0	60	329443
2026-01-29 09:29:12.70	138.96	0.68	-58.6	-78.5	3.5	3.01e+01	0	44	104	0	60	318415
2026-01-29 09:29:13.71	138.95	0.74	-58.6	-78.6	3.5	3.01e+01	0	44	104	0	60	323193
2026-01-29 09:29:14.72	138.93	0.81	-58.7	-78.7	3.5	3.01e+01	0	44	104	0	60	327096
2026-01-29 09:29:15.73	138.91	0.87	-58.6	-78.5	3.5	3.01e+01	0	44	104	0	60	321617
2026-01-29 09:29:16.74	138.90	0.93	-58.5	-78.5	3.5	3.01e+01	0	44	104	0	60	320313
2026-01-29 09:29:17.74	138.88	1.00	-57.9	-78.1	3.5	3.01e+01	0	44	104	0	60	305269
2026-01-29 09:29:18.75	138.86	1.06	-57.6	-77.9	3.5	3.01e+01	0	44	104	0	60	297960
2026-01-29 09:29:19.76	138.85	1.13	-57.7	-77.6	3.5	3.01e+01	0	44	104	0	60	289543
2026-01-29 09:29:20.77	138.83	1.19	-56.8	-77.3	3.5	3.01e+01	0	44	104	0	60	278281
2026-01-29 09:29:21.77	138.81	1.26	-56.0	-76.6	3.5	3.01e+01	0	44	104	0	60	256890
2026-01-29 09:29:22.78	138.80	1.32	-55.6	-75.9	3.5	3.01e+01	0	44	104	0	60	236987
2026-01-29 09:29:23.79	138.78	1.39	-55.6	-75.8	3.5	3.01e+01	0	44	104	0	60	235587
2026-01-29 09:29:24.80	138.76	1.45	-55.6	-75.8	3.5	3.01e+01	0	44	104	0	60	233576
2026-01-29 09:29:25.80	138.74	1.52	-55.5	-75.7	3.5	3.01e+01	0	44	104	0	60	231012
2026-01-29 09:29:26.81	138.73	1.58	-55.5	-75.6	3.5	3.01e+01	0	44	104	0	60	229026
2026-01-29 09:29:27.82	138.71	1.65	-55.5	-75.6	3.5	3.01e+01	0	44	104	0	60	228900
2026-01-29 09:29:28.83	138.69	1.71	-55.5	-75.6	3.5	3.01e+01	0	44	104	0	60	229665
2026-01-29 09:29:29.83	138.67	1.78	-55.4	-75.6	3.5	3.01e+01	0	44	104	0	60	228688
2026-01-29 09:29:30.84	138.66	1.85	-55.4	-75.7	3.5	3.01e+01	0	45	104	0	60	231545
2026-01-29 09:29:31.85	138.64	1.91	-55.4	-75.8	3.5	3.01e+01	0	45	104	0	60	234543
2026-01-29 09:29:32.85	138.62	1.98	-55.4	-75.7	3.5	3.01e+01	0	45	104	0	60	232257
2026-01-29 09:29:33.86	138.60	2.04	-55.4	-75.8	3.5	3.01e+01	0	44	104	0	60	233996
2026-01-29 09:29:34.87	138.58	2.11	-55.4	-75.7	3.5	3.01e+01	0	44	104	0	60	232029
2026-01-29 09:29:35.88	138.56	2.18	-55.4	-75.8	3.5	3.01e+01	0	45	104	0	60	233459
2026-01-29 09:29:36.89	138.55	2.25	-55.4	-75.8	3.5	3.01e+01	0	45	104	0	60	234164
2026-01-29 09:29:37.89	138.53	2.31	-55.4	-75.7	3.5	3.01e+01	0	45	104	0	60	232678
2026-01-29 09:29:38.90	138.51	2.38	-55.3	-75.7	3.5	3.01e+01	0	45	104	0	60	231376
2026-01-29 09:29:39.91	138.49	2.45	-55.3	-75.7	3.5	3.01e+01	0	45	104	0	60	232339
