#Pass ID: 20260129_074502_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#almurnet v.1.7.20251203
#Start time: 2026-01-29 07:45:02

#Version: 2.2.20231116
#Station: R3.2S_Murmansk
#Location: 33.079688 lon 68.888172 lat
#TLE: 1 43010U 17072A   26028.95797775  .00000451  00000+0  23492-3 0  9991
#TLE: 2 43010  98.9958   0.9922 0002505  85.7480 274.3981 14.19703224425237

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-29 07:45:02.15	70.58	1.98	-52.3	-64.2	3.8	8.46e-01	0	40	0	0	76	13989
2026-01-29 07:45:03.17	70.52	2.04	-51.8	-63.8	3.8	8.47e-01	0	40	104	0	74	14889
2026-01-29 07:45:04.17	70.46	2.10	-51.8	-63.7	3.8	8.46e-01	0	40	104	0	74	14799
2026-01-29 07:45:05.18	70.39	2.16	-51.8	-63.7	3.8	8.45e-01	0	40	104	0	74	14818
2026-01-29 07:45:06.19	70.33	2.21	-51.8	-63.7	3.8	8.46e-01	0	40	104	0	74	14777
2026-01-29 07:45:07.20	70.27	2.27	-51.8	-63.7	3.8	8.46e-01	0	40	104	0	74	14779
2026-01-29 07:45:08.20	70.20	2.33	-51.8	-63.7	3.8	8.47e-01	0	40	104	0	74	14742
2026-01-29 07:45:09.21	70.14	2.39	-51.8	-63.7	3.8	8.48e-01	0	40	104	0	74	14710
2026-01-29 07:45:10.22	70.08	2.45	-51.8	-63.7	3.8	8.46e-01	0	40	104	0	74	14805
2026-01-29 07:45:11.23	70.01	2.51	-51.8	-63.7	3.8	8.46e-01	0	40	104	0	74	14770
2026-01-29 07:45:12.23	69.95	2.56	-51.8	-63.7	3.8	8.45e-01	0	40	104	0	74	14756
2026-01-29 07:45:13.24	69.88	2.62	-51.8	-63.7	3.8	8.46e-01	0	40	104	0	74	14774
2026-01-29 07:45:14.25	69.82	2.68	-51.8	-63.6	3.8	8.47e-01	0	40	104	0	74	14698
2026-01-29 07:45:15.25	69.75	2.74	-51.8	-63.6	3.8	8.46e-01	0	40	104	0	74	14638
2026-01-29 07:45:16.26	69.69	2.80	-51.8	-63.5	3.8	8.46e-01	0	40	104	0	74	14507
2026-01-29 07:45:17.27	69.62	2.86	-51.7	-63.5	3.8	8.46e-01	0	40	104	0	74	14443
