#Pass ID: 20260129_212434_JL1KF02B01
#Satellite: JL1KF02B01
#Configuration: 01B_900M
#almurnet v.1.7.20251203
#Start time: 2026-01-29 21:24:34

#Version: 2.2.20231116
#Station: R3.2S_Murmansk_2ch
#Location: 33.079688 lon 68.888172 lat
#TLE: 1 61191U 24169C   26028.95513050  .00007507  00000+0  46820-3 0  9997
#TLE: 2 61191  97.5609 120.3307 0014645  79.9682 280.3199 15.09725114 74821

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-29 21:24:34.57	200.36	2.02	-47.8	-50.4	6.2	0.00e+00	0	43	0	0	67	19056
2026-01-29 21:24:35.57	200.43	2.08	-47.8	-50.3	6.2	0.00e+00	0	43	104	0	67	19002
2026-01-29 21:24:36.58	200.51	2.15	-47.8	-50.3	6.2	0.00e+00	0	43	104	0	67	18957
2026-01-29 21:24:37.59	200.59	2.21	-47.8	-50.3	6.2	0.00e+00	0	43	104	0	67	19006
2026-01-29 21:24:38.60	200.66	2.27	-47.8	-50.3	6.2	0.00e+00	0	43	104	0	67	19025
2026-01-29 21:24:39.60	200.74	2.34	-47.8	-50.3	6.2	0.00e+00	0	43	104	0	67	18935
2026-01-29 21:24:40.61	200.82	2.40	-47.8	-50.3	6.2	0.00e+00	0	43	104	0	67	18971
2026-01-29 21:24:41.62	200.90	2.47	-47.8	-50.3	6.2	0.00e+00	0	43	104	0	67	18974
2026-01-29 21:24:42.63	200.98	2.53	-47.9	-50.4	6.2	0.00e+00	0	43	104	0	67	19175
2026-01-29 21:24:43.64	201.06	2.60	-48.0	-50.6	6.2	0.00e+00	0	43	104	0	67	19492
2026-01-29 21:24:44.65	201.14	2.66	-48.1	-50.6	6.2	0.00e+00	0	43	104	0	67	19678
2026-01-29 21:24:45.66	201.22	2.73	-48.1	-50.7	6.2	0.00e+00	0	43	104	0	67	19771
2026-01-29 21:24:46.67	201.30	2.79	-48.1	-50.7	6.2	0.00e+00	0	43	104	0	67	19784
2026-01-29 21:24:47.68	201.38	2.86	-48.1	-50.7	6.2	0.00e+00	0	43	104	0	67	19710
2026-01-29 21:24:48.69	201.46	2.92	-48.1	-50.6	6.2	0.00e+00	0	43	104	0	67	19670
