#Pass ID: 20260130_023016_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#almurnet v.1.7.20251203
#Start time: 2026-01-30 02:30:16

#Version: 2.2.20231116
#Station: R2.0S_Moscow
#Location: 37.707566 lon 55.798166 lat
#TLE: 1 43010U 17072A   26028.95797775  .00000451  00000+0  23492-3 0  9991
#TLE: 2 43010  98.9958   0.9922 0002505  85.7480 274.3981 14.19703224425237

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-30 02:30:16.32	13.73	2.01	-40.8	-52.3	3.8	8.45e-01	0	51	0	0	53	13396
2026-01-30 02:30:17.32	13.70	2.07	-40.8	-52.3	3.8	8.45e-01	0	51	104	0	53	13355
2026-01-30 02:30:18.33	13.67	2.13	-40.8	-52.3	3.8	8.46e-01	0	52	104	0	53	13334
2026-01-30 02:30:19.35	13.64	2.20	-40.8	-52.3	3.8	8.47e-01	0	52	104	0	53	13373
2026-01-30 02:30:20.36	13.62	2.26	-40.8	-52.3	3.8	8.45e-01	0	52	104	0	53	13373
2026-01-30 02:30:21.36	13.59	2.32	-40.8	-52.3	3.8	8.47e-01	0	52	104	0	53	13377
2026-01-30 02:30:22.37	13.56	2.39	-40.8	-52.3	3.8	8.46e-01	0	52	104	0	53	13384
2026-01-30 02:30:23.38	13.53	2.45	-40.8	-52.3	3.8	8.46e-01	0	52	104	0	53	13358
2026-01-30 02:30:24.39	13.50	2.51	-40.8	-52.3	3.8	8.46e-01	0	52	104	0	53	13336
2026-01-30 02:30:25.40	13.47	2.58	-40.8	-52.4	3.8	8.45e-01	0	52	104	0	53	13415
2026-01-30 02:30:26.41	13.45	2.64	-40.8	-52.3	3.8	8.46e-01	0	52	104	0	53	13407
2026-01-30 02:30:27.43	13.42	2.71	-40.8	-52.3	3.8	8.47e-01	0	52	104	0	53	13353
2026-01-30 02:30:28.44	13.39	2.77	-40.8	-52.3	3.8	8.46e-01	0	52	104	0	53	13371
2026-01-30 02:30:29.45	13.36	2.84	-40.8	-52.3	3.8	8.47e-01	0	52	104	0	53	13375
2026-01-30 02:30:30.46	13.33	2.90	-40.8	-52.3	3.8	8.46e-01	0	53	104	0	53	13392
2026-01-30 02:30:31.47	13.30	2.97	-40.8	-52.3	3.8	8.46e-01	0	53	104	0	53	13375
2026-01-30 02:30:32.48	13.27	3.03	-40.8	-52.3	3.8	8.47e-01	0	53	104	0	53	13325
2026-01-30 02:30:33.49	13.24	3.10	-40.8	-52.3	3.8	8.46e-01	0	53	104	0	53	13329
2026-01-30 02:30:34.50	13.21	3.16	-40.8	-52.3	3.8	8.47e-01	0	53	104	0	53	13288
2026-01-30 02:30:35.51	13.18	3.23	-40.8	-52.2	3.8	8.46e-01	0	53	104	0	53	13247
2026-01-30 02:30:36.52	13.15	3.30	-40.8	-52.2	3.8	8.47e-01	0	53	104	0	53	13172
2026-01-30 02:30:37.52	13.12	3.36	-40.7	-52.2	3.8	8.46e-01	0	53	104	0	53	13133
2026-01-30 02:30:38.54	13.09	3.43	-40.7	-52.2	3.8	8.46e-01	0	53	104	0	53	13112
2026-01-30 02:30:39.54	13.06	3.49	-40.7	-52.1	3.8	8.47e-01	0	53	104	0	53	13021
2026-01-30 02:30:40.55	13.03	3.56	-40.7	-52.1	3.8	8.46e-01	0	53	104	0	53	13059
2026-01-30 02:30:41.56	13.00	3.63	-40.7	-52.0	3.8	8.46e-01	0	53	104	0	53	12880
2026-01-30 02:30:42.58	12.97	3.70	-40.7	-52.0	3.8	8.46e-01	0	53	104	0	53	12908
2026-01-30 02:30:43.59	12.94	3.76	-40.7	-51.9	3.8	8.47e-01	0	54	104	0	53	12671
2026-01-30 02:30:44.60	12.91	3.83	-40.7	-51.8	3.8	8.46e-01	0	53	104	0	53	12615
2026-01-30 02:30:45.61	12.87	3.90	-40.7	-51.8	3.8	8.46e-01	0	53	104	0	53	12587
2026-01-30 02:30:46.62	12.84	3.96	-40.7	-51.6	3.8	8.47e-01	0	54	104	0	53	12327
2026-01-30 02:30:47.63	12.81	4.03	-40.7	-51.4	3.8	8.46e-01	0	54	104	0	53	11965
2026-01-30 02:30:48.64	12.78	4.10	-40.7	-51.4	3.8	8.46e-01	0	54	104	0	53	12068
2026-01-30 02:30:49.65	12.75	4.17	-40.7	-51.3	3.8	8.47e-01	0	54	104	0	53	11900
2026-01-30 02:30:50.66	12.71	4.24	-40.6	-51.2	3.8	8.46e-01	0	54	104	0	53	11795
2026-01-30 02:30:51.67	12.68	4.30	-40.7	-51.4	3.8	8.45e-01	0	54	104	0	53	12039
2026-01-30 02:30:52.68	12.65	4.37	-40.7	-51.6	3.8	8.46e-01	0	54	104	0	53	12357
2026-01-30 02:30:53.69	12.62	4.44	-40.7	-51.3	3.8	8.45e-01	0	54	104	0	53	11911
2026-01-30 02:30:54.70	12.58	4.51	-40.7	-51.3	3.8	8.46e-01	0	54	104	0	53	11894
2026-01-30 02:30:55.71	12.55	4.58	-40.7	-51.3	3.8	8.45e-01	0	54	104	0	53	11939
2026-01-30 02:30:56.72	12.52	4.65	-40.6	-51.3	3.8	8.46e-01	0	54	104	0	53	11831
2026-01-30 02:30:57.73	12.48	4.72	-40.6	-51.1	3.8	8.46e-01	0	54	104	0	53	11670
2026-01-30 02:30:58.74	12.45	4.79	-40.6	-51.1	3.8	8.46e-01	0	54	104	0	53	11676
2026-01-30 02:30:59.75	12.41	4.86	-40.6	-50.8	3.8	8.45e-01	0	54	104	0	53	11276
2026-01-30 02:31:00.76	12.38	4.93	-40.6	-50.8	3.8	8.45e-01	0	54	104	0	53	11237
2026-01-30 02:31:01.77	12.35	5.00	-40.6	-50.6	3.8	8.45e-01	0	54	104	0	53	10926
2026-01-30 02:31:02.78	12.31	5.07	-40.5	-50.4	3.8	8.47e-01	0	55	104	0	53	10751
2026-01-30 02:31:03.79	12.28	5.14	-40.6	-50.5	3.8	8.45e-01	0	55	104	0	53	10902
2026-01-30 02:31:04.80	12.24	5.21	-40.5	-50.2	3.9	8.46e-01	0	54	104	0	53	10443
2026-01-30 02:31:05.81	12.21	5.28	-40.5	-50.2	3.9	8.44e-01	0	55	104	0	53	10498
2026-01-30 02:31:06.82	12.17	5.35	-40.5	-50.4	3.8	8.46e-01	0	55	104	0	53	10719
2026-01-30 02:31:07.83	12.14	5.42	-40.5	-50.4	3.8	8.45e-01	0	55	104	0	53	10714
2026-01-30 02:31:08.85	12.10	5.49	-40.5	-50.3	3.8	8.44e-01	0	55	104	0	53	10637
2026-01-30 02:31:09.85	12.06	5.56	-40.5	-50.1	3.8	8.45e-01	0	55	104	0	53	10343
2026-01-30 02:31:10.87	12.03	5.63	-40.5	-50.1	3.8	8.45e-01	0	55	104	0	53	10310
2026-01-30 02:31:11.87	11.99	5.70	-40.4	-49.7	3.8	8.44e-01	0	55	104	0	52	10474
2026-01-30 02:31:12.89	11.96	5.78	-40.4	-49.4	4.1	8.42e-01	0	55	0	0	52	10150
2026-01-30 02:31:13.90	11.92	5.85	-40.3	-48.8	4.2	8.40e-01	0	55	0	0	52	9475
2026-01-30 02:31:14.91	11.88	5.92	-40.3	-48.6	4.2	8.37e-01	0	55	0	0	52	9184
2026-01-30 02:31:15.92	11.84	5.99	-40.2	-48.0	4.4	8.27e-01	0	55	0	0	52	8641
2026-01-30 02:31:16.93	11.81	6.07	-40.1	-47.5	4.6	8.18e-01	0	55	0	0	52	8113
2026-01-30 02:31:17.94	11.77	6.14	-40.0	-47.1	4.8	8.00e-01	0	55	0	0	52	7762
2026-01-30 02:31:18.95	11.73	6.21	-40.0	-47.0	4.9	7.78e-01	0	55	0	0	51	8084
2026-01-30 02:31:19.96	11.69	6.29	-40.0	-46.8	5.0	7.67e-01	0	55	0	0	51	7915
2026-01-30 02:31:20.97	11.66	6.36	-40.0	-46.6	5.1	7.56e-01	0	55	0	0	51	7754
2026-01-30 02:31:21.98	11.62	6.43	-39.9	-46.5	5.2	7.42e-01	0	55	0	0	51	7645
2026-01-30 02:31:22.99	11.58	6.51	-39.9	-46.4	5.2	7.44e-01	0	55	0	0	51	7597
2026-01-30 02:31:24.00	11.54	6.58	-39.9	-46.6	5.2	7.50e-01	0	56	0	0	51	7736
