#Pass ID: 20260130_041246_FENGYUN 3E
#Satellite: FENGYUN 3E
#Configuration: FENGYUN 3E
#almurnet v.1.7.20240730
#Start time: 2026-01-30 04:21:37

#Version: 2.2.20231116
#Station: R2M6_AANII_01
#Location: 30.233357 lon 59.946436 lat
#TLE: 1 49008U 21062A   26028.95833242 -.00000015  00000+0  13843-4 0  9995
#TLE: 2 49008  98.7500  33.9242 0002547 112.2873 247.8573 14.19887818236829

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-30 04:21:37.31	178.71	28.29	-33.9	-44.9	3.8	8.46e-01	0	43	0	0	28	12740
2026-01-30 04:21:38.31	178.81	28.12	-34.4	-43.8	3.8	8.46e-01	0	43	104	0	29	10528
2026-01-30 04:21:39.31	178.90	27.95	-34.5	-43.8	3.8	8.46e-01	0	44	104	0	29	10592
2026-01-30 04:21:40.32	178.99	27.77	-34.5	-43.9	3.8	8.47e-01	0	43	104	0	29	10618
2026-01-30 04:21:41.32	179.09	27.60	-34.5	-43.9	3.8	8.46e-01	0	44	104	0	29	10604
2026-01-30 04:21:42.32	179.18	27.43	-34.5	-43.8	3.8	8.47e-01	0	44	104	0	29	10570
2026-01-30 04:21:43.33	179.27	27.27	-34.5	-43.8	3.8	8.46e-01	0	43	104	0	29	10592
2026-01-30 04:21:44.33	179.36	27.10	-34.4	-43.8	3.8	8.46e-01	0	44	104	0	29	10529
2026-01-30 04:21:45.33	179.45	26.93	-34.4	-43.7	3.8	8.45e-01	0	44	104	0	29	10527
2026-01-30 04:21:46.34	179.54	26.77	-34.4	-43.6	3.8	8.46e-01	0	44	104	0	29	10463
2026-01-30 04:21:47.34	179.62	26.60	-34.4	-43.6	3.8	8.46e-01	0	43	104	0	29	10483
2026-01-30 04:21:48.35	179.71	26.44	-34.3	-43.6	3.8	8.45e-01	0	44	104	0	29	10431
2026-01-30 04:21:49.36	179.79	26.27	-34.3	-43.6	3.8	8.46e-01	0	44	104	0	29	10406
2026-01-30 04:21:50.36	179.88	26.11	-34.3	-43.5	3.8	8.46e-01	0	44	104	0	29	10410
2026-01-30 04:21:51.35	179.96	25.95	-34.3	-43.5	3.8	8.47e-01	0	44	104	0	29	10393
2026-01-30 04:21:52.35	180.04	25.80	-34.4	-43.6	3.8	8.46e-01	0	43	104	0	29	10482
2026-01-30 04:21:53.35	180.13	25.64	-34.4	-43.7	3.8	8.46e-01	0	44	104	0	29	10511
2026-01-30 04:21:54.35	180.21	25.48	-34.4	-43.7	3.8	8.45e-01	0	44	104	0	29	10560
2026-01-30 04:21:55.35	180.29	25.32	-34.4	-43.7	3.8	8.46e-01	0	44	104	0	29	10504
2026-01-30 04:21:56.35	180.37	25.17	-34.3	-43.5	3.8	8.46e-01	0	44	104	0	29	10424
2026-01-30 04:21:57.35	180.45	25.01	-34.3	-43.4	3.8	8.45e-01	0	44	104	0	29	10345
2026-01-30 04:21:58.35	180.52	24.86	-34.1	-43.2	3.8	8.45e-01	0	44	104	0	29	10198
2026-01-30 04:21:59.35	180.60	24.70	-34.0	-43.0	3.8	8.46e-01	0	44	104	0	29	10136
2026-01-30 04:22:00.36	180.68	24.55	-33.8	-43.1	3.8	8.45e-01	0	44	104	0	28	10475
2026-01-30 04:22:01.36	180.76	24.40	-33.7	-43.0	3.8	8.46e-01	0	44	104	0	28	10429
2026-01-30 04:22:02.36	180.83	24.25	-33.8	-43.0	3.8	8.46e-01	0	44	104	0	28	10363
2026-01-30 04:22:03.36	180.91	24.10	-33.7	-42.8	3.8	8.46e-01	0	44	104	0	28	10189
2026-01-30 04:22:04.36	180.98	23.95	-33.7	-42.7	3.8	8.46e-01	0	43	104	0	28	10091
2026-01-30 04:22:05.36	181.05	23.80	-33.7	-42.6	3.8	8.46e-01	0	44	104	0	28	10024
2026-01-30 04:22:06.37	181.13	23.65	-32.6	-38.3	4.3	8.10e-01	0	43	104	0	24	6959
2026-01-30 04:22:07.37	181.20	23.51	-33.2	-42.5	3.8	8.42e-01	0	44	104	0	26	10512
2026-01-30 04:22:08.37	181.27	23.36	-33.0	-41.4	3.8	8.45e-01	0	43	104	0	26	9459
2026-01-30 04:22:09.37	181.34	23.21	-33.1	-41.9	3.8	8.46e-01	0	44	104	0	26	9883
2026-01-30 04:22:10.37	181.41	23.07	-33.1	-42.1	3.8	8.47e-01	0	43	104	0	26	10168
2026-01-30 04:22:11.37	181.48	22.93	-33.2	-42.4	3.8	8.47e-01	0	43	104	0	26	10456
2026-01-30 04:22:12.37	181.55	22.78	-33.2	-42.6	3.8	8.46e-01	0	43	104	0	26	10674
2026-01-30 04:22:13.37	181.62	22.64	-33.2	-42.7	3.8	8.46e-01	0	44	104	0	26	10777
2026-01-30 04:22:14.37	181.69	22.50	-33.2	-42.8	3.8	8.45e-01	0	44	104	0	26	10873
2026-01-30 04:22:15.37	181.75	22.36	-33.2	-42.9	3.8	8.47e-01	0	43	104	0	26	10954
2026-01-30 04:22:16.38	181.82	22.22	-33.2	-42.7	3.8	8.46e-01	0	44	104	0	26	10852
2026-01-30 04:22:17.38	181.89	22.08	-33.2	-42.6	3.8	8.47e-01	0	44	104	0	26	10656
2026-01-30 04:22:18.38	181.95	21.94	-33.1	-42.2	3.8	8.46e-01	0	43	104	0	26	10232
2026-01-30 04:22:19.39	182.02	21.80	-33.0	-41.4	3.8	8.45e-01	0	44	104	0	26	9433
2026-01-30 04:22:20.40	182.08	21.66	-32.9	-40.9	3.8	8.45e-01	0	43	104	0	25	9110
2026-01-30 04:22:21.40	182.15	21.53	-32.6	-39.4	4.2	8.40e-01	0	44	0	0	25	7877
2026-01-30 04:22:22.40	182.21	21.39	-32.4	-38.0	4.6	8.24e-01	0	43	0	0	25	6908
2026-01-30 04:22:23.40	182.27	21.26	-32.1	-36.7	5.2	7.66e-01	0	43	0	0	25	6084
2026-01-30 04:22:24.40	182.33	21.12	-31.7	-35.5	6.0	4.38e-01	0	43	0	2097152	24	5572
2026-01-30 04:22:25.40	182.40	20.99	-31.1	-34.0	7.2	1.90e-01	0	43	0	9437184	23	5024
2026-01-30 04:22:26.40	182.46	20.86	-30.3	-32.7	8.7	4.66e-02	0	43	0	16777216	21	4722
2026-01-30 04:22:27.40	182.52	20.72	-29.4	-30.7	10.4	8.71e-03	0	43	0	24117248	20	4160
2026-01-30 04:22:28.40	182.58	20.59	-28.5	-29.3	12.0	6.37e-04	0	43	0	31457280	18	3960
2026-01-30 04:22:29.40	182.64	20.46	-27.5	-28.0	13.4	3.31e-05	0	43	0	38797312	16	3812
2026-01-30 04:22:30.40	182.70	20.33	-26.5	-26.7	14.5	4.50e-06	0	43	0	46137344	14	3710
2026-01-30 04:22:31.40	182.76	20.20	-25.8	-26.2	15.3	0.00e+00	0	44	0	52428800	12	3776
2026-01-30 04:22:32.41	182.81	20.07	-25.4	-25.5	15.7	0.00e+00	0	44	0	60817408	12	3609
2026-01-30 04:22:33.42	182.87	19.94	-25.8	-26.7	15.3	0.00e+00	0	43	0	68157440	11	3999
2026-01-30 04:22:34.42	182.93	19.81	-25.8	-26.8	15.3	0.00e+00	0	44	0	74448896	11	4025
