#Pass ID: 20260130_122320_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#almurnet v.1.7.20240730
#Start time: 2026-01-30 12:23:21

#Version: 2.2.20231116
#Station: R2M6_AANII_01
#Location: 30.233357 lon 59.946436 lat
#TLE: 1 43010U 17072A   26029.52179110  .00000394  00000+0  20818-3 0  9997
#TLE: 2 43010  98.9957   1.5649 0002507  83.7772 276.3689 14.19703315425310

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-30 12:23:21.07	159.89	7.06	-29.8	-32.9	5.2	7.95e-01	0	41	0	0	21	5100
2026-01-30 12:23:22.07	159.89	7.14	-29.4	-31.9	5.4	7.89e-01	0	41	104	0	20	4835
2026-01-30 12:23:23.08	159.90	7.22	-29.6	-32.6	9.5	1.03e-02	0	41	0	0	20	5067
2026-01-30 12:23:24.09	159.90	7.30	-29.4	-31.8	10.0	8.02e-03	0	41	0	5242880	20	4792
2026-01-30 12:23:25.11	159.91	7.38	-29.3	-32.2	10.2	5.01e-03	0	41	0	11534336	19	5003
2026-01-30 12:23:26.12	159.91	7.46	-29.5	-32.6	9.9	6.09e-03	0	41	0	16777216	19	5154
2026-01-30 12:23:27.13	159.92	7.54	-29.3	-32.3	10.1	5.16e-03	0	41	0	23068672	19	5036
2026-01-30 12:23:28.14	159.92	7.62	-29.6	-32.9	9.7	6.30e-03	0	41	0	28311552	19	5277
2026-01-30 12:23:29.15	159.93	7.70	-30.0	-33.6	8.9	1.72e-02	0	41	0	33554432	20	5475
2026-01-30 12:23:30.16	159.93	7.78	-29.8	-33.1	9.2	1.81e-02	0	42	0	39845888	20	5281
2026-01-30 12:23:31.17	159.94	7.86	-29.4	-32.0	9.9	1.10e-02	0	41	0	45088768	20	4862
2026-01-30 12:23:32.18	159.94	7.94	-29.0	-31.3	10.8	2.75e-03	0	41	0	51380224	19	4714
2026-01-30 12:23:33.19	159.95	8.02	-28.5	-30.6	11.5	8.64e-04	0	41	0	56623104	18	4607
2026-01-30 12:23:34.20	159.95	8.10	-28.0	-30.0	12.3	1.96e-04	0	41	0	61865984	17	4503
2026-01-30 12:23:35.21	159.96	8.18	-27.6	-29.6	12.8	6.06e-05	0	41	0	68157440	16	4489
2026-01-30 12:23:36.22	159.96	8.27	-27.1	-28.8	13.4	8.00e-06	0	42	0	73400320	15	4376
2026-01-30 12:23:37.23	159.97	8.35	-26.7	-28.4	13.9	3.40e-06	0	42	0	79691776	14	4383
2026-01-30 12:23:38.24	159.98	8.43	-26.6	-28.1	14.1	2.20e-06	0	42	0	84934656	14	4284
2026-01-30 12:23:39.25	159.98	8.51	-26.6	-28.1	14.1	3.40e-06	0	42	0	90177536	14	4303
2026-01-30 12:23:40.26	159.99	8.60	-26.6	-28.2	14.0	1.10e-06	0	42	0	96468992	14	4333
2026-01-30 12:23:41.28	159.99	8.68	-26.7	-28.3	14.0	5.70e-06	0	42	0	101711872	14	4349
2026-01-30 12:23:42.29	160.00	8.77	-26.6	-28.2	14.0	1.10e-06	0	41	0	108003328	14	4325
2026-01-30 12:23:43.30	160.00	8.85	-26.7	-28.4	13.9	1.10e-06	0	42	0	113246208	14	4386
2026-01-30 12:23:44.31	160.01	8.93	-26.8	-28.5	13.9	9.10e-06	0	42	0	119537664	14	4389
2026-01-30 12:23:45.32	160.01	9.02	-26.8	-28.6	13.9	1.10e-06	0	42	0	124780544	14	4403
2026-01-30 12:23:46.33	160.02	9.10	-26.9	-28.7	13.8	1.10e-06	0	42	0	130023424	14	4451
2026-01-30 12:23:47.34	160.02	9.19	-26.8	-28.5	14.0	2.20e-06	0	42	0	136314880	14	4377
2026-01-30 12:23:48.35	160.03	9.28	-26.9	-28.6	13.9	4.50e-06	0	42	0	141557760	14	4414
2026-01-30 12:23:49.36	160.04	9.36	-27.1	-29.2	13.6	4.50e-06	0	42	0	147849216	14	4598
2026-01-30 12:23:50.37	160.04	9.45	-27.1	-29.2	13.6	1.10e-06	0	42	0	153092096	14	4573
2026-01-30 12:23:51.38	160.05	9.53	-27.2	-29.3	13.5	3.40e-06	0	42	0	159383552	14	4629
2026-01-30 12:23:52.40	160.05	9.62	-27.2	-29.4	13.5	1.37e-05	0	42	0	164626432	14	4644
