#Pass ID: 20260130_140520_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#almurnet v.1.7.20240730
#Start time: 2026-01-30 14:05:20

#Version: 2.2.20231116
#Station: R2M6_AANII_01
#Location: 30.233357 lon 59.946436 lat
#TLE: 1 43010U 17072A   26030.15608130 -.00000008  00000+0  17846-4 0  9998
#TLE: 2 43010  98.9957   2.2091 0002519  83.4285 276.7177 14.19702268425400

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-30 14:05:20.08	215.94	6.98	-27.2	-28.9	5.8	7.54e-01	0	39	0	0	15	4385
2026-01-30 14:05:21.08	216.04	7.05	-29.2	-32.6	5.4	7.74e-01	0	39	104	0	18	5302
2026-01-30 14:05:22.09	216.14	7.11	-29.4	-33.0	9.5	1.84e-02	0	39	0	0	18	5453
2026-01-30 14:05:23.10	216.24	7.17	-29.0	-31.8	10.3	8.13e-03	0	39	0	5242880	18	4999
2026-01-30 14:05:24.11	216.35	7.23	-29.2	-32.6	9.8	1.27e-02	0	39	0	11534336	18	5291
2026-01-30 14:05:25.12	216.45	7.29	-28.8	-31.3	10.7	6.90e-03	0	39	0	16777216	18	4812
2026-01-30 14:05:26.14	216.55	7.36	-28.4	-30.4	11.3	1.84e-03	0	39	0	23068672	18	4515
2026-01-30 14:05:27.14	216.65	7.42	-28.1	-30.0	11.9	7.64e-04	0	39	0	28311552	17	4480
2026-01-30 14:05:28.16	216.76	7.48	-27.6	-29.4	12.6	2.38e-04	0	39	0	33554432	16	4413
2026-01-30 14:05:29.17	216.86	7.54	-27.4	-28.7	13.0	6.17e-05	0	39	0	39845888	16	4211
2026-01-30 14:05:30.18	216.97	7.61	-27.1	-28.6	13.3	3.77e-05	0	39	0	45088768	15	4280
2026-01-30 14:05:31.19	217.07	7.67	-27.0	-28.4	13.4	1.71e-05	0	39	0	51380224	15	4233
2026-01-30 14:05:32.20	217.18	7.73	-27.0	-28.4	13.4	3.20e-05	0	39	0	56623104	15	4218
2026-01-30 14:05:33.21	217.28	7.80	-27.1	-28.6	13.3	3.08e-05	0	39	0	61865984	15	4290
2026-01-30 14:05:34.22	217.39	7.86	-27.4	-29.3	12.8	1.18e-04	0	39	0	68157440	15	4495
2026-01-30 14:05:35.23	217.50	7.92	-27.0	-28.3	13.4	3.66e-05	0	39	0	73400320	15	4215
2026-01-30 14:05:36.25	217.61	7.99	-26.7	-28.2	13.8	1.83e-05	0	39	0	79691776	14	4285
2026-01-30 14:05:37.26	217.71	8.05	-26.5	-27.6	14.1	2.20e-06	0	39	0	84934656	14	4126
2026-01-30 14:05:38.27	217.82	8.11	-26.3	-27.4	14.3	3.40e-06	0	39	0	90177536	14	4051
2026-01-30 14:05:39.28	217.93	8.17	-26.2	-27.5	14.5	2.20e-06	0	39	0	96468992	13	4204
2026-01-30 14:05:40.29	218.04	8.24	-26.2	-27.4	14.5	1.10e-06	0	39	0	101711872	13	4178
2026-01-30 14:05:41.30	218.15	8.30	-26.2	-27.6	14.5	0.00e+00	0	40	0	108003328	13	4213
2026-01-30 14:05:42.31	218.26	8.37	-26.3	-27.7	14.4	2.20e-06	0	39	0	113246208	13	4256
