#Pass ID: 20260130_054805_FENGYUN 3E
#Satellite: FENGYUN 3E
#Configuration: FENGYUN 3E
#almurnet v.1.7.20240730
#Start time: 2026-01-30 05:48:08

#Version: 2.2.20231116
#Station: R3.2S-Naryan-Mar
#Location: 53.008057 lon 67.646978 lat
#TLE: 1 49008U 21062A   26029.52207456 -.00000035  00000+0  41692-5 0  9997
#TLE: 2 49008  98.7499  34.4814 0002557 110.8023 249.3427 14.19887743236900

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-30 05:48:08.75	35.59	0.16	-59.9	-73.3	3.3	8.40e-01	0	44	0	0	60	181650
2026-01-30 05:48:09.76	35.54	0.22	-60.7	-74.5	3.5	8.46e-01	0	44	104	0	60	206860
2026-01-30 05:48:10.76	35.50	0.27	-61.7	-75.4	3.6	8.45e-01	0	45	104	0	60	229973
2026-01-30 05:48:11.77	35.45	0.33	-61.0	-75.6	3.6	8.45e-01	0	45	104	0	60	234893
2026-01-30 05:48:12.78	35.41	0.39	-61.8	-75.6	3.6	8.46e-01	0	45	104	0	60	236938
2026-01-30 05:48:13.79	35.36	0.45	-61.1	-75.5	3.6	8.45e-01	0	45	104	0	60	233958
2026-01-30 05:48:14.80	35.32	0.50	-62.6	-75.7	3.6	8.45e-01	0	45	104	0	60	238015
2026-01-30 05:48:15.80	35.27	0.56	-61.2	-75.5	3.6	8.46e-01	0	45	104	0	60	233357
2026-01-30 05:48:16.81	35.23	0.62	-60.8	-74.3	3.6	8.45e-01	0	45	104	0	60	203864
2026-01-30 05:48:17.82	35.18	0.68	-61.8	-75.2	3.6	8.45e-01	0	45	104	0	60	225862
2026-01-30 05:48:18.82	35.14	0.73	-62.4	-75.6	3.6	8.45e-01	0	45	104	0	60	234913
2026-01-30 05:48:19.83	35.09	0.79	-62.1	-75.3	3.6	8.45e-01	0	45	104	0	60	228792
2026-01-30 05:48:20.83	35.04	0.85	-61.9	-75.4	3.6	8.45e-01	0	45	104	0	60	231137
2026-01-30 05:48:21.84	35.00	0.91	-59.4	-75.6	3.6	8.46e-01	0	45	104	0	60	237130
2026-01-30 05:48:22.85	34.95	0.96	-60.3	-75.4	3.6	8.45e-01	0	45	104	0	60	230407
2026-01-30 05:48:23.86	34.90	1.02	-61.7	-74.5	3.6	8.46e-01	0	45	104	0	60	209159
2026-01-30 05:48:24.87	34.86	1.08	-57.7	-74.9	3.6	8.45e-01	0	45	104	0	60	218322
2026-01-30 05:48:25.88	34.81	1.14	-58.7	-74.3	3.6	8.46e-01	0	45	104	0	60	202619
2026-01-30 05:48:26.89	34.76	1.20	-57.2	-74.9	3.6	8.46e-01	0	45	104	0	60	218575
