#Pass ID: 20260130_090225_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#almurnet v.1.7.20240730
#Start time: 2026-01-30 09:02:25

#Version: 2.2.20231116
#Station: R3.2S-Naryan-Mar
#Location: 53.008057 lon 67.646978 lat
#TLE: 1 43010U 17072A   26029.52179110  .00000394  00000+0  20818-3 0  9997
#TLE: 2 43010  98.9957   1.5649 0002507  83.7772 276.3689 14.19703315425310

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-30 09:02:25.59	122.39	0.03	-59.5	-77.8	3.5	1.51e+00	0	42	0	0	60	303179
2026-01-30 09:02:26.59	122.36	0.09	-59.1	-74.0	3.6	8.44e-01	0	44	104	0	60	197195
2026-01-30 09:02:27.60	122.33	0.15	-59.0	-74.3	3.6	8.44e-01	0	44	104	0	60	203163
2026-01-30 09:02:28.60	122.30	0.21	-58.3	-74.4	3.6	8.46e-01	0	44	104	0	60	205673
2026-01-30 09:02:29.61	122.28	0.27	-56.2	-72.9	3.6	8.45e-01	0	44	104	0	60	173742
2026-01-30 09:02:30.62	122.25	0.33	-56.1	-73.2	3.6	8.46e-01	0	44	104	0	60	179717
2026-01-30 09:02:31.62	122.22	0.39	-57.4	-73.9	3.6	8.45e-01	0	44	104	0	60	194905
2026-01-30 09:02:32.63	122.19	0.45	-58.7	-74.2	3.6	8.45e-01	0	44	104	0	60	200520
2026-01-30 09:02:33.64	122.17	0.51	-58.0	-74.0	3.6	8.45e-01	0	44	104	0	60	196449
2026-01-30 09:02:34.65	122.14	0.57	-58.2	-74.1	3.6	8.45e-01	0	44	104	0	60	198593
2026-01-30 09:02:35.65	122.11	0.63	-61.2	-75.0	3.5	8.44e-01	0	44	104	0	60	221378
2026-01-30 09:02:36.66	122.08	0.69	-59.1	-74.5	3.6	8.46e-01	0	44	104	0	60	208049
2026-01-30 09:02:37.67	122.05	0.75	-60.8	-74.8	3.6	8.45e-01	0	44	104	0	60	215506
2026-01-30 09:02:38.68	122.03	0.81	-60.2	-74.5	3.6	8.45e-01	0	44	104	0	60	207950
2026-01-30 09:02:39.69	122.00	0.87	-58.0	-74.0	3.6	8.45e-01	0	44	104	0	60	196179
2026-01-30 09:02:40.69	121.97	0.93	-59.5	-74.8	3.6	8.44e-01	0	44	104	0	60	215882
2026-01-30 09:02:41.70	121.94	1.00	-59.8	-74.5	3.6	8.45e-01	0	44	104	0	60	207106
2026-01-30 09:02:42.71	121.91	1.06	-57.9	-73.8	3.6	8.45e-01	0	44	104	0	60	192330
2026-01-30 09:02:43.71	121.88	1.12	-59.3	-74.3	3.6	8.45e-01	0	44	104	0	60	203214
2026-01-30 09:02:44.72	121.85	1.18	-60.4	-74.4	3.6	8.45e-01	0	44	104	0	60	205273
2026-01-30 09:02:45.72	121.82	1.24	-59.7	-74.4	3.6	8.45e-01	0	44	104	0	60	204691
2026-01-30 09:02:46.73	121.79	1.30	-60.0	-74.6	3.6	8.45e-01	0	44	104	0	60	211013
2026-01-30 09:02:47.73	121.76	1.36	-59.6	-74.6	3.6	8.47e-01	0	44	104	0	60	210774
2026-01-30 09:02:48.74	121.73	1.42	-58.3	-74.6	3.6	8.46e-01	0	44	104	0	60	209332
2026-01-30 09:02:49.74	121.70	1.49	-58.2	-74.4	3.6	8.45e-01	0	44	104	0	60	205309
2026-01-30 09:02:50.74	121.68	1.55	-55.8	-72.3	3.6	8.44e-01	0	44	104	0	60	161888
2026-01-30 09:02:51.74	121.65	1.61	-59.9	-74.0	3.6	8.45e-01	0	44	104	0	60	196188
2026-01-30 09:02:52.75	121.61	1.67	-58.7	-73.5	3.6	8.45e-01	0	44	104	0	60	186417
2026-01-30 09:02:53.76	121.58	1.73	-58.7	-73.7	3.6	8.46e-01	0	44	104	0	60	189579
2026-01-30 09:02:54.76	121.55	1.80	-60.2	-74.1	3.6	8.44e-01	0	44	104	0	60	198557
2026-01-30 09:02:55.77	121.52	1.86	-57.6	-73.3	3.6	8.45e-01	0	44	104	0	60	181845
2026-01-30 09:02:56.78	121.49	1.92	-58.1	-72.7	3.6	8.44e-01	0	44	104	0	60	169976
2026-01-30 09:02:57.79	121.46	1.99	-60.0	-73.5	3.6	8.45e-01	0	44	104	0	60	186385
2026-01-30 09:02:58.79	121.43	2.05	-59.1	-73.1	3.6	8.45e-01	0	44	104	0	60	176600
2026-01-30 09:02:59.80	121.40	2.11	-58.9	-73.2	3.6	8.46e-01	0	44	104	0	60	178459
2026-01-30 09:03:00.81	121.37	2.17	-59.1	-73.0	3.6	8.44e-01	0	44	104	0	60	174262
2026-01-30 09:03:01.82	121.34	2.24	-57.9	-72.5	3.6	8.45e-01	0	44	104	0	60	164657
2026-01-30 09:03:02.83	121.30	2.30	-55.3	-72.1	3.6	8.46e-01	0	44	104	0	60	158539
2026-01-30 09:03:03.83	121.27	2.37	-55.3	-72.3	3.6	8.46e-01	0	44	104	0	60	161713
2026-01-30 09:03:04.84	121.24	2.43	-55.3	-72.2	3.6	8.44e-01	0	44	104	0	60	159763
2026-01-30 09:03:05.84	121.21	2.49	-55.3	-72.2	3.6	8.45e-01	0	44	104	0	60	160221
2026-01-30 09:03:06.85	121.17	2.56	-55.1	-72.2	3.6	8.46e-01	0	44	104	0	60	159781
2026-01-30 09:03:07.85	121.14	2.62	-55.2	-72.2	3.6	8.45e-01	0	44	104	0	60	160512
2026-01-30 09:03:08.86	121.11	2.69	-54.9	-72.0	3.6	8.45e-01	0	44	104	0	60	155720
