#Pass ID: 20260130_154825_FENGYUN 3E
#Satellite: FENGYUN 3E
#Configuration: FENGYUN 3E
#almurnet v.1.7.20240730
#Start time: 2026-01-30 15:48:27

#Version: 2.2.20231116
#Station: R3.2S-Naryan-Mar
#Location: 53.008057 lon 67.646978 lat
#TLE: 1 49008U 21062A   26030.15628484 -.00000231  00000+0 -88238-4 0  9991
#TLE: 2 49008  98.7496  35.1082 0002567 110.3408 249.8045 14.19886954236998

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-30 15:48:27.86	235.71	0.09	-58.3	-72.9	3.4	8.45e-01	0	43	0	0	60	172127
2026-01-30 15:48:28.86	235.80	0.14	-60.3	-73.2	3.6	8.45e-01	0	44	104	0	60	179443
2026-01-30 15:48:29.86	235.88	0.18	-60.5	-73.5	3.6	8.46e-01	0	44	104	0	60	184887
2026-01-30 15:48:30.87	235.97	0.22	-60.7	-73.5	3.6	8.44e-01	0	44	104	0	60	185668
2026-01-30 15:48:31.87	236.06	0.27	-60.7	-73.5	3.6	8.45e-01	0	44	104	0	60	185448
2026-01-30 15:48:32.88	236.15	0.31	-61.0	-73.9	3.6	8.45e-01	0	44	104	0	60	194457
2026-01-30 15:48:33.89	236.24	0.36	-61.0	-74.0	3.6	8.46e-01	0	44	104	0	60	195485
2026-01-30 15:48:34.89	236.32	0.40	-61.3	-74.3	3.6	8.46e-01	0	44	104	0	60	203500
2026-01-30 15:48:35.89	236.41	0.45	-61.5	-74.6	3.6	8.45e-01	0	44	104	0	60	209985
2026-01-30 15:48:36.90	236.50	0.49	-61.5	-74.9	3.6	8.44e-01	0	44	104	0	60	216656
2026-01-30 15:48:37.91	236.59	0.54	-61.5	-74.8	3.6	8.47e-01	0	44	104	0	60	216350
2026-01-30 15:48:38.91	236.68	0.58	-61.4	-74.8	3.6	8.46e-01	0	44	104	0	60	214384
2026-01-30 15:48:39.92	236.77	0.63	-61.4	-74.7	3.6	8.46e-01	0	44	104	0	60	213694
