#Pass ID: 20260130_021410_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#almurnet v.1.7.20251203
#Start time: 2026-01-30 02:14:11

#Version: 2.2.20231116
#Station: R4.6S_Anadyr
#Location: 177.4865 lon 64.73178 lat
#TLE: 1 43010U 17072A   26029.52179110  .00000394  00000+0  20818-3 0  9997
#TLE: 2 43010  98.9957   1.5649 0002507  83.7772 276.3689 14.19703315425310

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-30 02:14:11.41	154.80	0.07	-46.0	-60.4	3.5	1.51e+00	0	35	0	0	60	42507
2026-01-30 02:14:12.42	154.80	0.13	-49.4	-61.6	3.6	8.45e-01	0	37	104	0	60	43263
2026-01-30 02:14:13.43	154.81	0.19	-49.4	-61.6	3.6	8.45e-01	0	37	104	0	60	43376
2026-01-30 02:14:14.44	154.81	0.25	-49.4	-61.5	3.6	8.45e-01	0	37	104	0	60	43078
2026-01-30 02:14:15.45	154.81	0.31	-49.4	-61.6	3.6	8.45e-01	0	37	104	0	60	43243
2026-01-30 02:14:16.46	154.81	0.37	-49.4	-61.5	3.5	8.46e-01	0	37	104	0	60	43185
2026-01-30 02:14:17.47	154.82	0.44	-49.4	-61.5	3.6	8.46e-01	0	37	104	0	60	43206
2026-01-30 02:14:18.48	154.82	0.50	-49.4	-61.6	3.6	8.45e-01	0	37	104	0	60	43262
2026-01-30 02:14:19.49	154.82	0.56	-49.4	-61.5	3.6	8.46e-01	0	37	104	0	60	43195
2026-01-30 02:14:20.50	154.82	0.62	-49.4	-61.6	3.6	8.45e-01	0	37	104	0	60	43433
2026-01-30 02:14:21.51	154.83	0.68	-49.4	-61.6	3.6	8.45e-01	0	37	104	0	60	43254
2026-01-30 02:14:22.52	154.83	0.75	-49.4	-61.6	3.5	8.46e-01	0	37	104	0	60	43239
2026-01-30 02:14:23.53	154.83	0.81	-49.4	-61.5	3.6	8.46e-01	0	37	104	0	60	43061
