#Pass ID: 20260130_021133_AQUA
#Satellite: AQUA
#Configuration: AQUA
#Start time: 2026-01-30 02:11:38.977971

#LorettStation: 1.0.0 05.05.2024
#Station: Regia
#Location: 37.494653 lon 55.929028 lat
#TLE: 1 27424U 02022A   26027.96263068  .00001625  00000+0  33481-3 0  9997
#TLE: 2 27424  98.4102 354.6095 0001839  63.4368   7.7786 14.61867353262782

#Time	Az	El	Level	SNR
2026-01-30 02:11:41.622402	1.6	15.3	-69.4	0.0
2026-01-30 02:11:42.736853	1.5	15.4	-69.3	0.0
2026-01-30 02:11:43.851224	1.4	15.5	-69.4	0.0
2026-01-30 02:11:44.965379	1.3	15.6	-69.4	0.0
2026-01-30 02:11:46.080572	1.1	15.8	-68.9	0.0
2026-01-30 02:11:47.194418	1.0	15.9	-69.3	0.0
2026-01-30 02:11:48.307945	0.9	16.0	-69.4	0.0
2026-01-30 02:11:49.421917	0.8	16.1	-69.2	0.0
2026-01-30 02:11:50.536078	0.7	16.3	-69.5	0.0
2026-01-30 02:11:51.650680	0.5	16.4	-69.6	0.0
2026-01-30 02:11:52.765072	0.4	16.5	-69.6	0.0
2026-01-30 02:11:53.879918	0.3	16.6	-69.3	0.0
2026-01-30 02:11:54.994118	0.2	16.8	-69.3	0.0
2026-01-30 02:11:56.107745	0.0	16.9	-69.5	0.0
2026-01-30 02:11:57.221943	359.9	17.0	-69.6	0.0
2026-01-30 02:11:58.336222	359.8	17.2	-69.6	0.0
2026-01-30 02:11:59.450328	359.7	17.3	-69.4	0.0
2026-01-30 02:12:00.564991	359.5	17.4	-69.5	0.0
2026-01-30 02:12:01.678818	359.4	17.5	-69.5	0.0
2026-01-30 02:12:02.793812	359.3	17.7	-69.5	0.0
2026-01-30 02:12:03.907263	359.1	17.8	-69.7	0.0
2026-01-30 02:12:05.020970	359.0	17.9	-69.7	0.0
2026-01-30 02:12:06.134174	358.9	18.1	-69.2	0.0
2026-01-30 02:12:07.248725	358.7	18.2	-69.6	0.0
2026-01-30 02:12:08.363346	358.6	18.3	-69.7	0.0
2026-01-30 02:12:09.477138	358.4	18.5	-69.6	0.0
2026-01-30 02:12:10.591406	358.3	18.6	-69.6	0.0
2026-01-30 02:12:11.705626	358.1	18.7	-69.5	0.0
2026-01-30 02:12:12.820308	358.0	18.9	-69.6	0.0
2026-01-30 02:12:13.949794	357.9	19.0	-69.4	0.0
2026-01-30 02:12:15.064286	357.7	19.2	-69.4	0.0
2026-01-30 02:12:16.177614	357.6	19.3	-69.5	0.0
2026-01-30 02:12:17.291961	357.4	19.4	-69.1	0.0
2026-01-30 02:12:18.405250	357.3	19.6	-69.5	0.0
2026-01-30 02:12:19.520625	357.1	19.7	-69.6	0.0
2026-01-30 02:12:20.635053	356.9	19.9	-69.4	0.0
2026-01-30 02:12:21.749081	356.8	20.0	-69.4	0.0
2026-01-30 02:12:22.863975	356.6	20.1	-69.7	0.0
2026-01-30 02:12:23.977698	356.5	20.3	-69.6	0.0
2026-01-30 02:12:25.091198	356.3	20.4	-69.5	0.0
2026-01-30 02:12:26.204846	356.1	20.6	-69.6	0.0
2026-01-30 02:12:27.318928	356.0	20.7	-69.5	0.0
2026-01-30 02:12:28.433493	355.8	20.9	-69.5	0.0
2026-01-30 02:12:29.549589	355.6	21.0	-69.5	0.0
2026-01-30 02:12:30.664010	355.5	21.2	-69.5	0.0
2026-01-30 02:12:31.778129	355.3	21.3	-69.5	0.0
2026-01-30 02:12:32.892150	355.1	21.5	-69.4	0.0
2026-01-30 02:12:34.005227	354.9	21.6	-69.5	0.0
2026-01-30 02:12:35.118338	354.8	21.7	-69.5	0.0
2026-01-30 02:12:36.247861	354.6	21.9	-69.5	0.0
2026-01-30 02:12:37.362280	354.4	22.1	-69.5	0.0
2026-01-30 02:12:38.475779	354.2	22.2	-69.4	0.0
2026-01-30 02:12:39.591117	354.0	22.4	-69.7	0.0
2026-01-30 02:12:40.705152	353.8	22.5	-69.6	0.0
2026-01-30 02:12:41.819196	353.7	22.7	-69.4	0.0
2026-01-30 02:12:42.933470	353.5	22.8	-69.3	0.0
2026-01-30 02:12:44.046362	353.3	23.0	-69.3	0.0
2026-01-30 02:12:45.159802	353.1	23.1	-69.1	0.0
2026-01-30 02:12:46.274372	352.9	23.3	-69.4	0.0
2026-01-30 02:12:47.388463	352.7	23.4	-69.3	0.0
2026-01-30 02:12:48.502762	352.5	23.6	-69.4	0.0
