#Pass ID: 20260130_023602_FENGYUN 3D
#Satellite: FENGYUN 3D
#Configuration: FENGYUN 3D
#Start time: 2026-01-30 02:35:57

#Version: 1.5.20200625
#Station: XPeterburg
#Location: 30.318091 lon 59.932769 lat
#TLE: 1 43010U 17072A   26028.95797775  .00000451  00000+0  23492-3 0  9991
#TLE: 2 43010  98.9958   0.9922 0002505  85.7480 274.3981 14.19703224425237

#Time	Az	El	Level	Level2	SNR	BER	Gain	Gain2
2026-01-30 02:35:57.56	11.48	67.72	-38.1	-40.6	3.3	8397617	94	3282
2026-01-30 02:35:57.77	11.43	67.81	-37.7	-45.4	3.6	8424613	86	5928
2026-01-30 02:35:57.97	11.39	67.90	-38.1	-42.2	3.5	8447914	93	3910
2026-01-30 02:35:58.17	11.35	67.99	-38.1	-41.3	3.4	8447914	93	3550
2026-01-30 02:35:58.37	11.31	68.08	-38.1	-41.0	3.3	8404701	93	3447
2026-01-30 02:35:58.57	11.27	68.17	-38.0	-42.1	3.6	8408042	93	3945
2026-01-30 02:35:58.77	11.23	68.26	-37.8	-41.5	3.6	8408042	93	3733
2026-01-30 02:35:58.97	11.19	68.35	-37.7	-40.0	3.4	8436870	93	3226
2026-01-30 02:35:59.17	11.14	68.44	-37.5	-39.0	3.4	8400272	93	2912
2026-01-30 02:35:59.37	11.10	68.54	-37.3	-39.5	3.7	8400272	93	3201
2026-01-30 02:35:59.57	11.06	68.63	-37.0	-39.1	3.8	8394607	92	3155
2026-01-30 02:35:59.77	11.01	68.72	-36.6	-37.8	4.4	8331275	91	2811
2026-01-30 02:35:59.98	10.97	68.81	-36.2	-36.4	4.8	8331275	91	2500
2026-01-30 02:36:00.18	10.92	68.90	-35.6	-35.8	5.3	7905223	89	2514
2026-01-30 02:36:00.38	10.88	68.99	-35.1	-35.2	5.8	6543731	88	2471
2026-01-30 02:36:00.58	10.83	69.08	-34.7	-34.7	6.5	6543731	87	2449
2026-01-30 02:36:00.78	10.79	69.17	-33.7	-33.4	7.1	3184902	86	2368
2026-01-30 02:36:00.98	10.74	69.27	-33.5	-33.2	7.7	1719085	85	2370
2026-01-30 02:36:01.18	10.69	69.36	-33.0	-32.6	8.4	816158	84	2360
2026-01-30 02:36:01.38	10.64	69.45	-32.5	-32.2	9.0	816158	83	2356
2026-01-30 02:36:01.58	10.60	69.54	-32.1	-31.7	9.7	355155	82	2362
2026-01-30 02:36:01.78	10.55	69.63	-31.6	-31.2	10.3	126148	81	2361
2026-01-30 02:36:01.99	10.50	69.73	-31.2	-30.8	11.0	126148	80	2362
2026-01-30 02:36:02.19	10.45	69.82	-30.4	-29.9	11.6	40500	79	2302
2026-01-30 02:36:02.39	10.40	69.91	-30.0	-29.5	12.2	9029	78	2318
2026-01-30 02:36:02.59	10.35	70.00	-29.5	-28.9	12.8	9029	77	2293
2026-01-30 02:36:02.79	10.30	70.09	-29.0	-28.5	13.4	1808	76	2304
2026-01-30 02:36:02.99	10.25	70.18	-28.4	-27.7	13.9	320	75	2264
