#Pass ID: 20260130_090305_FENGYUN 3F
#Satellite: FENGYUN 3F
#Configuration: FENGYUN 3F
#Start time: 2026-01-30 09:02:58

#Version: 1.5.20200625
#Station: XPeterburg
#Location: 30.318091 lon 59.932769 lat
#TLE: 1 57490U 23111A   26028.94488140  .00000128  00000+0  80589-4 0  9993
#TLE: 2 57490  98.7012 101.4610 0001418 106.0264 254.1069 14.19909110129105

#Time	Az	El	Level	Level2	SNR	BER	Gain	Gain2
2026-01-30 09:02:58.79	40.95	67.54	-38.2	-40.6	3.3	8390396	94	6502
2026-01-30 09:02:58.99	41.05	67.62	-38.0	-48.4	3.6	8067890	80	16401
2026-01-30 09:02:59.19	41.16	67.70	-38.2	-41.9	3.5	8444480	93	7498
2026-01-30 09:02:59.39	41.26	67.79	-38.2	-41.1	3.3	8435657	93	6862
2026-01-30 09:02:59.59	41.36	67.87	-38.2	-41.1	3.3	8406875	93	6902
2026-01-30 09:02:59.79	41.47	67.95	-38.2	-42.6	3.6	8405078	93	8143
2026-01-30 09:02:59.99	41.58	68.03	-38.2	-42.3	3.5	8443576	93	7907
2026-01-30 09:03:00.20	41.69	68.12	-38.2	-41.4	3.4	8443576	93	7071
2026-01-30 09:03:00.40	41.80	68.20	-38.2	-41.2	3.3	8424476	93	6951
2026-01-30 09:03:00.60	41.91	68.29	-38.2	-42.7	3.6	8393165	93	8179
2026-01-30 09:03:00.80	42.02	68.37	-38.3	-42.7	3.6	8410800	93	8188
2026-01-30 09:03:01.00	42.13	68.45	-38.3	-41.7	3.4	8444618	93	7335
2026-01-30 09:03:01.20	42.24	68.54	-38.2	-41.2	3.3	8420757	93	6936
2026-01-30 09:03:01.40	42.35	68.62	-38.2	-41.2	3.3	8389617	93	6934
2026-01-30 09:03:01.60	42.46	68.70	-38.3	-42.7	3.6	8436000	93	8193
2026-01-30 09:03:01.80	42.58	68.79	-38.2	-41.8	3.4	8430702	93	7464
2026-01-30 09:03:02.01	42.70	68.87	-38.2	-41.1	3.3	8430702	93	6903
2026-01-30 09:03:02.21	42.82	68.96	-38.2	-41.2	3.3	8403282	93	6949
2026-01-30 09:03:02.41	42.93	69.04	-38.2	-42.6	3.6	8383312	93	8101
2026-01-30 09:03:02.61	43.05	69.12	-38.2	-41.4	3.5	8432235	94	7108
2026-01-30 09:03:02.81	43.17	69.21	-38.1	-40.5	3.3	8367313	94	6445
2026-01-30 09:03:03.01	43.29	69.29	-38.1	-40.2	3.3	8396942	94	6293
2026-01-30 09:03:03.21	43.41	69.37	-38.1	-41.7	3.6	8349391	94	7452
2026-01-30 09:03:03.41	43.54	69.45	-38.1	-41.0	1.9	8439662	95	6908
2026-01-30 09:03:03.61	43.66	69.54	-38.1	-40.5	3.4	8439662	94	6483
2026-01-30 09:03:03.81	43.79	69.62	-38.1	-40.2	3.3	8373916	94	6288
2026-01-30 09:03:04.02	43.92	69.71	-38.1	-40.1	3.3	8391105	94	6212
2026-01-30 09:03:04.22	44.05	69.79	-38.0	-41.4	3.6	8345684	94	7242
2026-01-30 09:03:04.42	44.17	69.87	-37.9	-40.2	3.5	8382923	94	6461
2026-01-30 09:03:04.62	44.30	69.96	-37.7	-39.2	3.3	8414314	94	5805
2026-01-30 09:03:04.82	44.43	70.04	-37.7	-39.4	3.3	8406269	93	5975
2026-01-30 09:03:05.02	44.56	70.12	-37.7	-40.8	3.6	8341804	93	7022
2026-01-30 09:03:05.22	44.70	70.20	-37.6	-40.4	3.6	8341804	93	6809
2026-01-30 09:03:05.42	44.83	70.29	-37.6	-39.2	3.4	8435794	93	5953
2026-01-30 09:03:05.62	44.97	70.37	-37.5	-38.9	3.3	8428722	93	5758
2026-01-30 09:03:05.82	45.10	70.45	-37.5	-40.1	3.6	8391609	93	6692
2026-01-30 09:03:06.02	45.24	70.54	-37.5	-40.1	3.6	8419864	93	6676
2026-01-30 09:03:06.23	45.39	70.62	-37.4	-38.8	3.5	8427555	93	5806
2026-01-30 09:03:06.43	45.53	70.70	-37.4	-38.4	3.4	8397869	93	5523
2026-01-30 09:03:06.63	45.67	70.79	-37.2	-38.5	3.5	8385704	92	5710
2026-01-30 09:03:06.83	45.81	70.87	-37.3	-40.2	3.6	8416774	92	6836
2026-01-30 09:03:07.03	45.96	70.95	-37.3	-39.2	3.6	8416774	92	6093
2026-01-30 09:03:07.23	46.10	71.03	-37.2	-38.3	3.5	8433219	92	5603
2026-01-30 09:03:07.43	46.25	71.12	-37.3	-38.6	3.5	8391609	92	5682
2026-01-30 09:03:07.63	46.40	71.20	-37.2	-39.6	3.6	8384628	92	6488
2026-01-30 09:03:07.83	46.54	71.28	-37.2	-39.0	3.6	8426399	92	5993
2026-01-30 09:03:08.04	46.70	71.37	-37.2	-38.2	3.5	8406349	92	5512
2026-01-30 09:03:08.24	46.86	71.45	-37.3	-38.4	3.5	8380977	92	5584
2026-01-30 09:03:08.44	47.01	71.53	-37.2	-39.6	3.6	8386516	92	6481
2026-01-30 09:03:08.64	47.16	71.61	-37.2	-39.0	3.7	8434352	92	6084
2026-01-30 09:03:08.84	47.32	71.70	-37.1	-37.9	3.6	8390293	92	5418
