#Pass ID: 20260130_021147_AQUA
#Satellite: AQUA
#Configuration: AQUA
#Start time: 2026-01-30 02:11:43

#Time	Level	Level2	SNR	BER	Gain	Gain2
02:11:43.49	-36.2	-46.4	3.3	7675476	90	1632
02:11:43.61	-35.8	-59.7	3.4	7566833	65	7900
02:11:43.72	-36.0	-53.6	3.5	7563629	78	3807
02:11:43.83	-36.3	-48.5	3.5	7561187	89	2068
02:11:43.94	-36.3	-48.4	3.5	7558898	89	2036
02:11:44.05	-36.3	-48.2	3.5	7610778	89	1992
02:11:44.16	-36.3	-48.1	3.5	7602539	89	1971
02:11:44.28	-36.3	-48.0	3.4	7606811	89	1950
02:11:44.39	-36.3	-47.8	3.4	7667236	89	1914
02:11:44.50	-36.3	-48.6	3.4	7593231	89	2077
02:11:44.61	-36.3	-48.6	3.5	7584381	89	2081
02:11:44.72	-36.3	-48.5	3.5	7577209	89	2065
02:11:44.84	-36.2	-48.3	3.5	7587738	89	2021
02:11:44.95	-36.3	-48.2	3.4	7572174	89	1988
02:11:45.06	-36.3	-48.0	3.4	7600250	89	1955
02:11:45.17	-36.3	-47.9	3.4	7631988	89	1931
02:11:45.28	-36.3	-48.5	3.3	7560119	89	2077
02:11:45.39	-36.3	-48.5	3.5	7561035	89	2072
02:11:45.51	-36.3	-48.6	3.5	7602081	89	2090
02:11:45.62	-36.2	-48.4	3.5	7591705	89	2041
02:11:45.73	-36.3	-48.2	3.5	7613830	89	1998
02:11:45.84	-36.3	-48.1	3.4	7613220	89	1970
02:11:45.95	-36.3	-47.9	3.4	7630157	89	1934
02:11:46.06	-36.3	-47.9	3.4	7618408	89	1926
02:11:46.18	-36.3	-48.6	3.4	7574920	89	2080
02:11:46.29	-36.3	-48.5	3.5	7561645	89	2069
02:11:46.40	-36.3	-48.5	3.5	7579498	89	2067
02:11:46.51	-36.3	-48.4	3.5	7597198	89	2041
02:11:46.62	-36.3	-48.2	3.5	7572174	89	1988
02:11:46.74	-36.3	-48.0	3.4	7615814	89	1955
02:11:46.85	-36.3	-47.9	3.4	7602233	89	1925
02:11:46.96	-36.3	-47.8	3.4	7626647	89	1906
02:11:47.07	-36.3	-48.5	3.5	7552337	89	2068
02:11:47.18	-36.3	-48.6	3.5	7576293	89	2085
02:11:47.29	-36.3	-48.4	3.5	7566223	89	2049
02:11:47.41	-36.3	-48.3	3.5	7619628	89	2009
02:11:47.52	-36.3	-48.1	3.5	7609405	89	1982
02:11:47.63	-36.3	-48.0	3.4	7645111	89	1941
02:11:47.74	-36.3	-47.9	3.4	7623596	89	1923
02:11:47.85	-36.3	-48.6	3.2	7566833	89	2085
02:11:47.96	-36.3	-48.6	3.5	7524719	89	2085
02:11:48.08	-36.3	-48.5	3.5	7561950	89	2074
02:11:48.19	-36.3	-48.4	3.5	7585296	89	2036
02:11:48.30	-36.4	-48.4	3.5	7624511	89	2028
